DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,571.25,551.50,580.00,551.50,571.00,566.30,565.00,6821,317,3753,55.02
03-Aug-2016,566.30,572.90,572.90,546.00,554.00,552.85,556.79,8320,384,5909,71.02
04-Aug-2016,552.85,559.90,569.00,548.10,554.75,557.50,557.85,2949,413,1321,44.79
05-Aug-2016,557.50,558.00,566.90,558.00,560.00,562.40,562.78,3390,259,2661,78.50
08-Aug-2016,562.40,560.10,573.85,553.25,562.60,567.20,563.09,6701,423,3998,59.66
09-Aug-2016,567.20,560.00,574.00,560.00,572.00,568.80,567.77,3758,286,2423,64.48
10-Aug-2016,568.80,569.75,571.95,555.10,570.00,569.25,566.20,6697,387,5293,79.04
11-Aug-2016,569.25,574.00,576.40,562.50,564.15,565.35,566.52,30025,690,27014,89.97
12-Aug-2016,565.35,111.00,114.00,90.45,112.95,111.20,112.07,57397,1860,39741,69.24
16-Aug-2016,111.20,115.85,117.95,114.05,114.50,114.50,114.82,69379,634,60764,87.58
17-Aug-2016,114.50,114.90,117.10,114.90,116.00,115.80,115.99,52883,294,46302,87.56
18-Aug-2016,115.80,119.50,119.50,112.20,116.30,116.60,116.29,69548,1194,48114,69.18
19-Aug-2016,116.60,117.00,119.00,116.10,117.05,117.40,117.68,31232,630,23387,74.88
22-Aug-2016,117.40,117.40,119.50,116.00,116.80,117.40,118.57,61035,692,50133,82.14
23-Aug-2016,117.40,117.90,119.50,116.20,118.55,118.75,118.26,41007,949,27364,66.73
24-Aug-2016,118.75,119.80,122.85,119.15,121.00,120.95,120.88,122828,1344,98847,80.48
25-Aug-2016,120.95,129.00,134.90,120.25,121.50,121.50,125.36,1547247,21068,701460,45.34
26-Aug-2016,121.50,122.45,125.55,121.20,121.50,121.80,123.11,248966,6015,144028,57.85
29-Aug-2016,121.80,122.40,122.65,118.00,121.90,121.10,120.54,104697,1564,69822,66.69
30-Aug-2016,121.10,123.90,126.00,119.50,119.55,120.40,121.99,1922279,4877,1596112,83.03
31-Aug-2016,120.40,121.10,123.00,121.00,121.20,121.50,122.08,232467,2692,136477,58.71
01-Sep-2016,121.50,122.05,122.60,118.70,120.30,120.20,120.46,186827,2518,126570,67.75
02-Sep-2016,120.20,120.50,122.00,120.50,121.40,121.05,121.33,103088,1478,71630,69.48
06-Sep-2016,121.05,121.90,122.85,121.20,122.00,121.95,121.92,110479,1326,87588,79.28
07-Sep-2016,121.95,123.00,123.00,121.50,121.80,122.00,122.27,78424,1284,58647,74.78
08-Sep-2016,122.00,129.00,130.00,125.00,127.00,126.70,126.88,609508,9444,259971,42.65
09-Sep-2016,126.70,126.25,127.70,123.50,125.40,125.50,125.10,293060,7602,179771,61.34
12-Sep-2016,125.50,123.70,123.70,120.65,121.80,122.05,122.26,223322,2350,168227,75.33
14-Sep-2016,122.05,122.00,123.00,121.30,122.05,121.70,121.97,77254,1120,49253,63.75
15-Sep-2016,121.70,121.20,123.95,121.20,122.30,121.95,122.22,47530,777,32332,68.02
16-Sep-2016,121.95,125.00,126.80,119.25,120.30,120.35,124.42,435379,4268,173784,39.92
19-Sep-2016,120.35,122.30,123.25,120.50,123.00,122.90,122.59,99335,3053,71805,72.29
20-Sep-2016,122.90,123.85,123.85,121.00,121.70,121.35,121.89,50499,772,39510,78.24
21-Sep-2016,121.35,121.85,122.95,121.00,122.00,121.85,122.01,95482,2164,71513,74.90
22-Sep-2016,121.85,122.25,122.70,120.30,122.00,121.90,121.90,220044,1986,189682,86.20
23-Sep-2016,121.90,121.10,122.00,120.00,121.00,120.65,121.21,70399,1041,45305,64.35
