DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,186.80,187.90,191.90,184.95,184.95,186.50,187.57,530878,5665,490610,92.41
03-Aug-2016,186.50,186.50,187.00,183.00,183.55,184.05,184.50,29586,544,18740,63.34
04-Aug-2016,184.05,186.00,188.50,184.55,186.80,186.80,186.68,23705,711,15184,64.05
05-Aug-2016,186.80,190.00,204.70,188.15,198.15,199.10,197.06,584318,7973,330884,56.63
08-Aug-2016,199.10,199.10,205.00,196.25,200.00,199.75,202.12,314005,8022,161499,51.43
09-Aug-2016,199.75,202.50,207.75,197.30,203.50,203.05,204.41,456973,15538,269998,59.08
10-Aug-2016,203.05,202.35,208.00,197.30,204.00,203.80,204.35,236605,12282,155586,65.76
11-Aug-2016,203.80,199.70,206.00,199.70,203.55,202.55,203.60,147003,6468,120691,82.10
12-Aug-2016,202.55,204.00,207.00,197.00,197.00,197.50,201.27,68354,2859,44291,64.80
16-Aug-2016,197.50,198.00,209.70,191.50,192.00,195.15,203.11,368659,10247,229214,62.18
17-Aug-2016,195.15,193.95,194.70,188.55,190.10,190.30,191.39,114872,2263,60550,52.71
18-Aug-2016,190.30,190.95,193.90,188.70,192.00,191.65,192.16,66332,2290,40190,60.59
19-Aug-2016,191.65,192.50,195.00,187.70,189.15,188.85,191.58,272414,3314,240015,88.11
22-Aug-2016,188.85,190.50,191.65,186.65,188.85,188.00,189.25,94274,2522,68900,73.08
23-Aug-2016,188.00,188.00,188.45,183.25,184.90,185.40,186.99,66177,4131,49248,74.42
24-Aug-2016,185.40,186.35,186.35,182.25,183.50,184.85,185.30,134124,4689,100187,74.70
25-Aug-2016,184.85,185.10,186.40,183.00,184.75,184.15,184.85,63618,2759,42844,67.35
26-Aug-2016,184.15,184.90,186.30,182.00,182.20,182.20,183.42,38612,1003,31072,80.47
29-Aug-2016,182.20,180.60,183.95,179.05,179.90,179.90,180.67,82093,3228,59785,72.83
30-Aug-2016,179.90,180.30,182.90,175.00,178.70,176.35,178.03,155977,6561,113748,72.93
31-Aug-2016,176.35,176.50,189.50,173.05,186.65,186.05,181.98,477504,20824,172225,36.07
01-Sep-2016,186.05,184.00,190.00,180.25,187.85,187.70,186.62,199472,11160,93695,46.97
02-Sep-2016,187.70,187.00,189.60,184.00,187.00,185.65,186.94,29054,1365,12945,44.55
06-Sep-2016,185.65,189.90,204.50,189.00,204.10,202.45,198.77,386653,11411,172045,44.50
07-Sep-2016,202.45,202.00,204.50,195.50,197.35,198.20,199.50,104429,3770,40229,38.52
08-Sep-2016,198.20,197.95,209.90,197.95,209.00,208.70,207.18,404546,10682,275992,68.22
09-Sep-2016,208.70,208.00,209.75,203.15,209.15,207.50,207.40,219170,7281,121512,55.44
12-Sep-2016,207.50,203.15,207.00,196.65,203.80,203.45,202.94,117814,2275,88222,74.88
14-Sep-2016,203.45,204.80,206.95,190.60,191.40,191.90,195.94,312055,12804,204662,65.59
15-Sep-2016,191.90,191.00,191.25,180.20,180.35,181.10,183.76,323818,12816,186950,57.73
16-Sep-2016,181.10,183.00,203.25,183.00,199.80,199.60,193.11,743790,16760,397491,53.44
19-Sep-2016,199.60,199.80,202.85,195.50,196.85,196.85,199.19,266310,6601,126111,47.35
20-Sep-2016,196.85,196.85,205.05,196.05,201.00,202.30,201.03,288723,8904,162470,56.27
21-Sep-2016,202.30,205.00,208.75,201.00,203.00,203.80,204.57,491876,17203,303303,61.66
