DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,105.65,107.20,110.45,106.00,107.50,106.60,108.02,318256,3885,75999,23.88
03-Aug-2016,106.60,105.50,106.85,102.60,103.75,103.15,104.08,276765,4293,123621,44.67
04-Aug-2016,103.15,105.55,106.40,103.20,104.00,103.85,104.04,120057,1847,58398,48.64
05-Aug-2016,103.85,104.60,110.90,103.05,108.75,109.05,108.05,582141,5583,192131,33.00
08-Aug-2016,109.05,110.45,112.00,109.50,110.80,110.95,110.77,529042,6294,201860,38.16
09-Aug-2016,110.95,111.00,112.40,108.00,110.10,110.25,110.77,381719,4150,158721,41.58
10-Aug-2016,110.25,112.90,114.80,106.30,106.40,107.30,111.26,1176125,12151,388887,33.07
11-Aug-2016,107.30,108.30,108.30,104.55,106.00,105.70,106.03,224437,2239,94192,41.97
12-Aug-2016,105.70,106.00,107.00,103.50,104.05,103.85,104.79,171649,2048,87987,51.26
16-Aug-2016,103.85,104.00,104.60,102.00,103.50,103.30,102.89,329806,3896,115993,35.17
17-Aug-2016,103.30,103.00,107.60,102.65,107.10,106.75,105.44,200364,2102,110434,55.12
18-Aug-2016,106.75,106.50,108.40,105.75,107.00,106.80,107.09,225627,3143,111124,49.25
19-Aug-2016,106.80,107.70,112.70,106.60,110.80,110.60,110.66,594859,6312,258698,43.49
22-Aug-2016,110.60,110.60,111.00,108.45,108.65,109.00,109.22,174077,2005,114096,65.54
23-Aug-2016,109.00,107.00,118.60,107.00,114.85,115.15,115.85,2891853,21401,964305,33.35
24-Aug-2016,115.15,115.15,117.90,113.00,114.70,114.45,115.93,1367856,10935,603168,44.10
25-Aug-2016,114.45,115.40,115.90,114.00,115.00,114.80,114.91,415496,3893,228606,55.02
26-Aug-2016,114.80,115.80,117.00,113.00,114.00,114.05,114.80,333246,6360,169214,50.78
29-Aug-2016,114.05,116.30,116.30,113.00,113.40,113.70,114.02,225098,4366,116393,51.71
30-Aug-2016,113.70,114.90,115.90,113.00,114.00,114.25,114.66,424786,7506,204426,48.12
31-Aug-2016,114.25,115.00,116.90,114.20,116.00,115.25,115.31,1025801,13495,728603,71.03
01-Sep-2016,115.25,114.00,115.80,112.50,113.70,113.20,113.95,297262,6251,151977,51.13
02-Sep-2016,113.20,114.50,115.20,112.05,112.30,112.50,113.26,174843,2303,110695,63.31
06-Sep-2016,112.50,113.50,115.75,112.60,113.50,113.90,114.44,570514,6818,309831,54.31
07-Sep-2016,113.90,114.25,114.90,111.60,112.60,112.70,113.68,262440,2942,174229,66.39
08-Sep-2016,112.70,113.20,114.40,112.00,112.70,112.80,113.22,151789,2125,87764,57.82
09-Sep-2016,112.80,112.00,112.95,110.20,110.90,110.65,111.47,1182254,5717,1112947,94.14
12-Sep-2016,110.65,108.00,110.50,105.25,106.60,107.00,107.89,138771,1833,92760,66.84
14-Sep-2016,107.00,108.35,109.75,107.00,107.80,108.20,108.08,163430,1800,69821,42.72
15-Sep-2016,108.20,109.90,109.90,108.00,108.40,108.40,108.73,85641,825,35917,41.94
16-Sep-2016,108.40,109.35,111.50,107.75,108.00,108.15,109.66,170279,1769,92645,54.41
19-Sep-2016,108.15,109.00,109.30,107.40,108.30,108.20,108.20,72042,1045,31431,43.63
20-Sep-2016,108.20,108.50,108.95,106.35,106.85,106.80,107.22,92276,1302,45358,49.15
21-Sep-2016,106.80,107.40,108.30,106.00,106.90,106.25,106.91,101439,1051,47206,46.54
22-Sep-2016,106.25,107.70,108.50,106.35,106.65,106.95,107.30,114458,1091,61378,53.62
