DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,79.95,80.10,81.00,78.40,78.85,78.95,79.74,1016909,4640,187078,18.40
03-Aug-2016,78.95,78.95,78.95,76.30,76.60,76.50,77.25,1372597,5016,412152,30.03
04-Aug-2016,76.50,77.15,78.00,76.10,78.00,77.60,77.25,1144569,5795,273929,23.93
05-Aug-2016,77.60,78.00,79.05,77.00,78.60,78.45,78.13,1677775,6354,215741,12.86
08-Aug-2016,78.45,79.60,80.95,78.70,79.50,79.55,79.76,2089368,11344,621590,29.75
09-Aug-2016,79.55,80.00,80.70,78.60,79.80,79.75,79.56,1882699,8094,239958,12.75
10-Aug-2016,79.75,79.80,80.10,76.65,77.20,77.20,78.04,1178390,4960,326470,27.70
11-Aug-2016,77.20,77.35,77.90,75.10,77.40,77.20,76.51,1850102,6156,402792,21.77
12-Aug-2016,77.20,77.75,79.30,77.10,77.90,77.70,78.26,2337230,8015,633434,27.10
16-Aug-2016,77.70,77.95,78.65,76.85,77.50,77.65,77.72,1127946,3939,225599,20.00
17-Aug-2016,77.65,78.00,78.15,76.20,77.80,77.55,77.19,1634606,4983,659879,40.37
18-Aug-2016,77.55,77.55,78.25,76.75,77.25,77.25,77.23,2722409,8212,2011686,73.89
19-Aug-2016,77.25,77.45,77.80,76.65,77.00,76.95,77.04,1509754,2704,1016715,67.34
22-Aug-2016,76.95,77.10,77.75,76.50,76.75,76.90,77.13,943262,2644,465951,49.40
23-Aug-2016,76.90,77.00,78.35,76.70,77.65,77.80,77.64,766897,3339,181398,23.65
24-Aug-2016,77.80,77.50,79.30,77.25,79.00,79.00,78.37,1096915,4016,297707,27.14
25-Aug-2016,79.00,79.45,79.70,78.20,78.70,78.95,78.98,2439675,8010,758246,31.08
26-Aug-2016,78.95,79.30,79.80,78.50,78.75,79.10,79.18,1154103,4470,415596,36.01
29-Aug-2016,79.10,79.00,79.30,78.10,78.65,78.80,78.75,473677,2299,126446,26.69
30-Aug-2016,78.80,78.65,81.70,78.65,81.15,81.10,80.71,3384007,12377,573518,16.95
31-Aug-2016,81.10,81.50,84.90,81.25,84.25,84.20,83.13,3792942,16704,1710088,45.09
01-Sep-2016,84.20,84.90,84.95,82.25,83.40,83.05,83.80,1145174,4930,360280,31.46
02-Sep-2016,83.05,83.35,85.35,82.30,84.40,84.60,83.78,1305709,5425,453420,34.73
06-Sep-2016,84.60,84.95,86.00,84.15,86.00,85.60,85.04,1023626,4764,369813,36.13
07-Sep-2016,85.60,86.20,87.55,84.90,86.70,86.35,86.65,1715256,6266,531983,31.01
08-Sep-2016,86.35,86.70,86.70,85.10,85.25,85.55,86.11,1027150,3393,447824,43.60
09-Sep-2016,85.55,85.45,85.95,83.70,84.85,84.75,84.82,1515328,4777,870641,57.46
12-Sep-2016,84.75,83.85,83.85,81.80,82.30,82.15,82.96,1292277,7840,628604,48.64
14-Sep-2016,82.15,80.00,81.75,78.80,81.45,81.15,80.39,1415351,6250,508233,35.91
15-Sep-2016,81.15,81.35,81.80,79.20,79.65,79.70,80.16,524560,3302,188959,36.02
16-Sep-2016,79.70,80.00,81.00,78.10,79.00,78.75,79.27,1490297,6148,775251,52.02
19-Sep-2016,78.75,79.00,79.95,78.40,79.20,79.25,79.24,483952,3432,100699,20.81
20-Sep-2016,79.25,79.25,79.70,78.00,78.75,78.50,78.61,589930,5678,179444,30.42
21-Sep-2016,78.50,78.95,81.65,77.75,80.00,79.85,80.09,1648489,7579,228359,13.85
22-Sep-2016,79.85,80.55,81.45,79.50,80.00,79.95,80.10,949694,5663,454624,47.87
23-Sep-2016,79.95,80.30,80.80,79.45,79.70,79.75,80.16,477914,3827,175267,36.67
26-Sep-2016,79.75,79.75,80.10,78.10,78.65,78.75,78.90,708257,4031,167554,23.66
27-Sep-2016,78.75,78.80,79.65,77.60,77.90,77.90,78.67,543903,4383,131569,24.19
28-Sep-2016,77.90,77.50,78.90,77.25,78.25,78.10,78.03,752940,3692,328010,43.56
29-Sep-2016,78.10,79.00,79.20,71.50,71.80,72.25,73.63,2149062,5513,1016725,47.31
30-Sep-2016,72.25,72.30,75.50,71.80,74.50,74.45,73.92,758301,3512,245015,32.31
03-Oct-2016,74.45,75.10,76.35,74.50,75.55,75.55,75.71,1067878,4226,321627,30.12
04-Oct-2016,75.55,75.70,76.30,75.00,75.70,75.90,75.74,538981,4046,136023,25.24
05-Oct-2016,75.90,76.25,76.40,75.00,75.00,75.25,75.54,696867,3921,172611,24.77
06-Oct-2016,75.25,75.50,78.20,75.15,75.95,76.00,76.74,1328542,6149,249356,18.77
07-Oct-2016,76.00,76.50,77.75,75.65,76.50,76.65,76.82,1178015,10304,324924,27.58
10-Oct-2016,76.65,77.00,77.45,75.05,75.35,75.55,75.93,1137905,11006,207983,18.28
13-Oct-2016,75.55,75.60,75.80,74.00,74.95,74.60,74.86,830790,5237,355258,42.76
14-Oct-2016,74.60,74.15,75.40,74.15,74.35,74.35,74.65,549970,2622,151474,27.54
17-Oct-2016,74.35,74.60,74.75,72.85,73.50,73.40,73.72,607687,2972,214046,35.22
18-Oct-2016,73.40,73.70,75.25,73.40,74.90,74.90,74.26,732714,3729,346302,47.26
19-Oct-2016,74.90,75.00,76.10,74.35,75.40,75.45,75.14,799011,6868,377821,47.29
20-Oct-2016,75.45,75.60,76.50,74.30,74.95,74.80,75.11,920528,5206,391102,42.49
21-Oct-2016,74.80,75.20,75.45,73.95,74.25,74.45,74.50,753156,6329,386806,51.36
24-Oct-2016,74.45,74.60,75.70,72.95,73.90,73.90,74.07,1370831,4667,372514,27.17
25-Oct-2016,73.90,74.00,74.70,72.85,74.50,74.40,73.81,682422,3425,111237,16.30
26-Oct-2016,74.40,74.50,74.95,73.65,74.10,74.05,74.20,525089,1876,156948,29.89
27-Oct-2016,74.05,74.45,74.45,72.80,73.05,73.10,73.29,472223,2523,176858,37.45
28-Oct-2016,73.10,73.25,74.35,73.25,73.80,73.70,73.73,309588,1512,103084,33.30
30-Oct-2016,73.70,75.00,75.00,73.50,74.30,74.15,74.27,185342,989,83783,45.20
01-Nov-2016,74.15,74.70,75.50,73.75,74.90,74.90,74.68,1080103,4872,232656,21.54
02-Nov-2016,74.90,74.60,74.60,72.15,72.40,72.35,73.09,1333626,8790,636345,47.72
03-Nov-2016,72.35,72.50,74.80,72.35,74.20,74.25,74.11,1716870,11773,963658,56.13
04-Nov-2016,74.25,74.85,75.05,72.70,73.90,73.50,73.75,1211298,7508,494757,40.85
07-Nov-2016,73.50,74.55,75.20,74.05,74.30,74.25,74.48,377358,2647,139343,36.93
08-Nov-2016,74.25,74.25,74.85,73.30,73.55,73.70,73.88,1027103,3188,336544,32.77
09-Nov-2016,73.70,70.00,72.75,67.40,71.65,72.00,70.57,2042690,5682,974721,47.72
10-Nov-2016,72.00,74.10,74.25,71.70,71.80,72.15,72.65,1429023,5199,945641,66.17
11-Nov-2016,72.15,72.10,72.10,69.95,70.25,70.20,70.67,1471568,3846,887666,60.32
15-Nov-2016,70.20,70.60,71.75,67.40,67.70,67.60,69.04,1913276,11235,905897,47.35
16-Nov-2016,67.60,68.10,69.50,67.90,68.00,68.15,68.56,624078,7989,147833,23.69
17-Nov-2016,68.15,69.00,69.70,68.10,68.40,68.25,68.80,548627,2827,112051,20.42
18-Nov-2016,68.25,68.80,69.60,68.05,69.35,69.10,68.95,665203,2990,240771,36.20
21-Nov-2016,69.10,69.65,70.25,66.65,67.10,66.80,67.96,929400,4506,459268,49.42
22-Nov-2016,66.80,67.40,68.15,66.80,68.10,67.85,67.46,699186,4216,260314,37.23
23-Nov-2016,67.85,68.00,69.20,67.30,68.95,68.95,68.36,600341,3951,191702,31.93
24-Nov-2016,68.95,68.60,73.80,67.60,69.65,70.70,69.98,2771404,5347,1416752,51.12
25-Nov-2016,70.70,70.55,71.65,69.30,69.75,69.75,70.17,1233596,5037,501591,40.66
28-Nov-2016,69.75,69.50,71.40,69.35,71.00,70.90,70.68,590463,3756,139858,23.69
29-Nov-2016,70.90,71.45,72.25,70.65,71.25,71.05,71.54,839288,3932,336090,40.04
30-Nov-2016,71.05,71.50,72.00,71.20,71.40,71.50,71.56,518773,2127,272436,52.52
01-Dec-2016,71.50,72.50,74.80,71.75,73.00,72.80,73.22,2366212,9156,770506,32.56
02-Dec-2016,72.80,72.50,74.25,71.80,73.90,73.50,73.16,889920,5195,271356,30.49
05-Dec-2016,73.50,74.00,74.30,73.15,74.05,73.70,73.76,683424,4053,324041,47.41
06-Dec-2016,73.70,74.30,76.55,74.25,75.15,75.00,75.57,1418163,6833,293031,20.66
07-Dec-2016,75.00,75.15,75.60,74.30,75.25,75.15,74.97,1175172,11957,498807,42.45
08-Dec-2016,75.15,75.50,76.05,75.00,75.55,75.75,75.65,628654,4414,339614,54.02
09-Dec-2016,75.75,76.00,76.55,75.15,76.05,76.35,76.10,558237,2541,289953,51.94
12-Dec-2016,76.35,76.35,76.80,74.45,75.30,75.40,75.25,1025264,4451,478991,46.72
13-Dec-2016,75.40,75.40,76.75,74.80,76.45,76.30,75.82,400995,2712,144147,35.95
14-Dec-2016,76.30,75.50,76.45,75.00,75.00,75.35,75.57,333282,1848,123414,37.03
15-Dec-2016,75.35,75.00,76.40,74.65,75.00,74.90,75.34,335735,2490,107038,31.88
16-Dec-2016,74.90,75.90,77.70,75.00,75.85,76.10,76.53,1855578,9680,300333,16.19
19-Dec-2016,76.10,76.45,76.45,75.05,75.45,75.30,75.52,290688,2042,83792,28.83
20-Dec-2016,75.30,75.95,75.95,73.15,73.95,73.70,74.01,342850,3353,103983,30.33
21-Dec-2016,73.70,74.50,75.85,73.65,75.10,75.20,74.90,536601,4062,189081,35.24
22-Dec-2016,75.20,75.00,75.20,73.50,73.60,73.85,74.22,321223,3206,64274,20.01
23-Dec-2016,73.85,74.30,74.30,71.70,71.75,72.00,72.60,968201,4202,535852,55.35
26-Dec-2016,72.00,72.00,72.00,70.00,70.55,70.55,70.68,470153,3019,155743,33.13
27-Dec-2016,70.55,70.55,71.90,69.75,71.90,71.50,71.03,683588,4838,185513,27.14
28-Dec-2016,71.50,72.00,74.45,71.80,73.40,73.00,73.32,1091545,5192,533278,48.86
29-Dec-2016,73.00,72.90,74.25,72.45,73.10,73.35,73.11,1168938,7086,554152,47.41
30-Dec-2016,73.35,73.90,74.35,72.75,73.60,73.45,73.35,1148828,6026,649568,56.54
02-Jan-2017,73.45,73.95,74.30,73.25,73.70,73.80,73.81,927971,7065,516309,55.64
03-Jan-2017,73.80,74.00,74.60,73.70,73.85,74.00,74.06,1500289,6786,863616,57.56
04-Jan-2017,74.00,74.05,74.85,73.50,73.85,73.90,74.10,1187273,8180,569485,47.97
05-Jan-2017,73.90,74.20,79.30,74.20,78.10,78.30,77.74,5479234,22377,1233124,22.51
06-Jan-2017,78.30,78.65,78.85,77.05,77.70,77.60,77.75,1895017,13630,564476,29.79
09-Jan-2017,77.60,77.85,78.40,77.10,78.25,78.05,77.87,1118318,6804,508100,45.43
10-Jan-2017,78.05,78.40,83.00,78.35,80.45,80.55,81.38,6724746,28305,1191804,17.72
11-Jan-2017,80.55,81.00,81.30,79.35,80.90,81.00,80.22,1668328,12399,560667,33.61
12-Jan-2017,81.00,81.00,83.90,80.20,83.10,83.10,82.43,3923924,18154,1190171,30.33
13-Jan-2017,83.10,83.95,83.95,81.90,83.30,83.35,82.95,1408649,6174,445677,31.64
16-Jan-2017,83.35,83.25,84.75,81.00,83.65,83.55,83.95,1727250,8061,495009,28.66
17-Jan-2017,83.55,84.00,85.70,82.65,84.50,84.70,84.08,2393021,12536,619598,25.89
18-Jan-2017,84.70,85.00,85.25,82.60,82.80,83.05,83.97,1622079,6572,575319,35.47
19-Jan-2017,83.05,83.20,84.00,82.70,83.30,83.45,83.39,850069,3465,260199,30.61
20-Jan-2017,83.45,83.50,83.95,81.10,81.15,81.50,82.43,926586,4808,326045,35.19
23-Jan-2017,81.50,81.50,83.60,80.75,82.45,82.50,82.48,1533849,5371,366978,23.93
24-Jan-2017,82.50,83.50,84.95,82.75,84.60,84.70,84.06,1973721,8769,730607,37.02
25-Jan-2017,84.70,85.25,85.40,83.60,83.80,84.00,84.49,1485064,5274,729015,49.09
27-Jan-2017,84.00,84.25,88.90,84.15,88.50,88.45,86.94,4201790,16911,1249203,29.73
30-Jan-2017,88.45,88.70,89.90,86.15,86.25,86.50,87.87,4247985,18976,1706061,40.16
31-Jan-2017,86.50,86.55,87.00,83.85,84.30,84.10,85.13,2258453,9940,1032620,45.72
01-Feb-2017,84.10,83.65,86.15,83.05,85.80,85.70,85.01,1432482,6368,379954,26.52
02-Feb-2017,85.70,85.70,86.95,85.10,85.35,85.55,85.87,1609626,8635,595678,37.01
03-Feb-2017,85.55,85.70,86.35,85.35,85.90,85.70,85.77,674104,3091,210047,31.16
06-Feb-2017,85.70,88.50,88.50,87.00,87.60,87.75,87.63,2508608,9512,1342972,53.53
07-Feb-2017,87.75,87.90,88.40,86.30,87.15,86.85,87.44,1282071,5554,579006,45.16
08-Feb-2017,86.85,86.85,88.20,86.75,87.50,87.55,87.57,1114798,5282,411175,36.88
09-Feb-2017,87.55,87.55,88.90,87.05,88.40,88.20,88.14,1352347,5697,541015,40.01
10-Feb-2017,88.20,88.45,91.65,88.10,91.25,91.20,90.42,4469105,18304,1640351,36.70
13-Feb-2017,91.20,91.00,91.00,84.50,85.75,86.05,86.87,3571586,15838,1178715,33.00
14-Feb-2017,86.05,86.00,86.15,83.90,83.90,84.20,84.75,1453011,5976,589141,40.55
15-Feb-2017,84.20,83.90,85.75,83.20,83.80,84.10,84.57,1829351,7179,898507,49.12
16-Feb-2017,84.10,84.20,86.20,83.80,85.40,85.40,85.39,1805071,7167,625780,34.67
