DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,592.90,598.00,618.80,580.15,602.00,602.50,605.01,1883855,50854,337143,17.90
03-Aug-2016,602.50,602.00,602.80,576.20,586.00,588.30,589.51,678231,17963,149018,21.97
04-Aug-2016,588.30,595.00,651.00,587.50,621.00,622.15,630.76,2289006,57516,373188,16.30
05-Aug-2016,622.15,626.00,632.00,613.25,622.80,621.30,622.37,476195,13492,60605,12.73
08-Aug-2016,621.30,625.75,625.75,556.25,561.00,559.05,577.27,1581862,57824,802234,50.71
09-Aug-2016,559.05,561.50,571.50,530.05,536.00,535.60,543.51,1375277,46264,468136,34.04
10-Aug-2016,535.60,539.70,556.00,536.25,551.00,550.30,549.02,1002765,26061,333453,33.25
11-Aug-2016,550.30,552.00,555.45,531.00,532.50,532.35,539.45,363157,7348,155605,42.85
12-Aug-2016,532.35,535.90,542.80,527.05,529.00,529.80,534.41,254952,5647,97822,38.37
16-Aug-2016,529.80,530.10,534.45,505.60,521.40,519.35,516.81,413017,12489,176791,42.80
17-Aug-2016,519.35,518.90,530.00,518.00,524.00,525.65,524.99,165209,4491,60769,36.78
18-Aug-2016,525.65,528.00,557.35,521.00,544.00,543.80,545.47,489208,12692,157457,32.19
19-Aug-2016,543.80,544.90,561.00,536.35,541.65,542.50,548.74,305984,8618,100804,32.94
22-Aug-2016,542.50,546.40,573.70,543.90,571.00,569.45,560.74,608750,17367,221641,36.41
23-Aug-2016,569.45,573.80,573.80,550.10,555.50,553.50,559.77,169895,4889,58041,34.16
24-Aug-2016,553.50,552.20,563.80,545.50,548.00,549.85,554.69,162799,5220,51396,31.57
25-Aug-2016,549.85,550.25,563.50,540.55,542.90,541.80,551.77,176349,5276,72270,40.98
26-Aug-2016,541.80,542.00,555.00,537.00,542.80,541.70,543.55,158455,4327,65983,41.64
29-Aug-2016,541.70,544.40,546.45,528.45,532.60,531.60,534.49,131200,3248,70263,53.55
30-Aug-2016,531.60,532.10,557.40,532.10,548.00,548.80,550.32,306524,11981,141826,46.27
31-Aug-2016,548.80,543.10,559.00,543.10,552.65,550.80,552.62,187513,4387,99735,53.19
01-Sep-2016,550.80,553.05,555.70,540.60,543.20,545.25,547.86,88041,2686,37075,42.11
02-Sep-2016,545.25,548.75,549.90,535.00,535.00,536.55,540.33,86255,2512,43119,49.99
06-Sep-2016,536.55,542.80,555.45,537.50,552.00,552.40,549.30,202703,5590,116541,57.49
07-Sep-2016,552.40,550.00,553.25,540.05,543.00,542.55,545.43,70291,2426,38123,54.24
08-Sep-2016,542.55,542.40,548.00,535.50,545.00,543.80,542.06,96553,4095,57689,59.75
09-Sep-2016,543.80,544.80,551.75,535.50,537.40,540.15,540.96,90962,3572,47005,51.68
12-Sep-2016,540.15,534.60,534.70,516.50,521.00,520.00,524.36,102587,3946,57767,56.31
14-Sep-2016,520.00,517.15,534.90,517.15,529.30,531.45,528.22,93389,3852,52310,56.01
15-Sep-2016,531.45,525.00,563.90,525.00,550.90,548.85,550.45,335891,9299,127658,38.01
16-Sep-2016,548.85,552.00,556.00,544.05,549.65,548.50,550.44,213728,6707,108537,50.78
19-Sep-2016,548.50,549.00,550.00,535.85,544.00,544.40,543.41,140395,7963,76424,54.43
20-Sep-2016,544.40,545.25,546.00,533.55,534.50,536.00,538.78,63363,2966,32440,51.20
21-Sep-2016,536.00,539.00,550.00,536.00,541.00,544.65,541.85,158475,4349,104236,65.77
22-Sep-2016,544.65,545.60,550.95,542.50,550.00,546.50,547.38,271641,21077,162555,59.84
23-Sep-2016,546.50,549.90,567.95,546.50,567.80,563.60,558.71,517305,12966,271060,52.40
26-Sep-2016,563.60,565.00,569.30,545.00,548.15,549.60,554.42,149408,4908,84960,56.86
27-Sep-2016,549.60,548.65,566.20,543.00,565.00,555.15,551.91,160599,4767,120707,75.16
28-Sep-2016,555.15,565.15,568.45,545.35,547.70,548.30,554.65,217857,7666,135998,62.43
29-Sep-2016,548.30,550.00,575.50,510.00,564.90,556.80,547.22,413911,8809,317528,76.71
30-Sep-2016,556.80,552.20,574.70,541.40,558.00,559.10,555.53,187528,6585,112422,59.95
03-Oct-2016,559.10,561.00,592.40,561.00,582.00,583.00,581.14,443267,25615,225796,50.94
04-Oct-2016,583.00,584.35,600.00,578.20,590.00,593.35,593.55,255994,8565,113107,44.18
05-Oct-2016,593.35,589.70,618.95,589.70,608.00,607.15,606.71,546197,19223,246436,45.12
06-Oct-2016,607.15,609.00,624.50,607.60,615.00,616.25,616.08,256471,7177,126046,49.15
07-Oct-2016,616.25,618.10,635.90,610.55,630.00,629.45,625.10,208119,7269,73805,35.46
10-Oct-2016,629.45,630.20,634.95,608.05,615.10,616.85,616.80,166054,3309,115697,69.67
13-Oct-2016,616.85,614.80,614.80,566.65,591.00,592.95,587.13,180593,4119,92778,51.37
14-Oct-2016,592.95,597.00,599.90,584.00,587.20,591.10,591.82,54380,1780,24720,45.46
17-Oct-2016,591.10,591.95,611.80,583.10,598.20,601.40,593.75,230508,4089,139814,60.65
18-Oct-2016,601.40,607.00,610.00,596.20,604.00,605.60,605.34,129136,4914,54397,42.12
19-Oct-2016,605.60,610.00,612.00,585.20,590.00,594.75,604.55,177726,5348,100141,56.35
20-Oct-2016,594.75,616.00,672.00,607.00,630.00,630.55,645.07,1924287,49571,341774,17.76
21-Oct-2016,630.55,633.00,638.85,617.00,623.00,626.05,628.27,239438,8648,55741,23.28
24-Oct-2016,626.05,627.00,628.80,600.25,601.50,604.60,610.22,165594,4780,97538,58.90
25-Oct-2016,604.60,609.00,611.00,591.80,593.00,593.80,600.24,109588,3488,55454,50.60
26-Oct-2016,593.80,590.00,609.00,582.25,583.00,587.00,597.48,169607,5916,72932,43.00
27-Oct-2016,587.00,590.00,594.25,573.15,589.00,587.10,584.13,102020,3812,41904,41.07
28-Oct-2016,587.10,589.90,610.00,585.00,595.50,597.15,600.80,158987,6198,67174,42.25
30-Oct-2016,597.15,599.00,606.70,592.10,600.00,598.80,599.97,46588,1224,22774,48.88
01-Nov-2016,598.80,600.20,613.00,594.00,611.50,610.35,607.81,157664,6033,86104,54.61
02-Nov-2016,610.35,596.20,602.70,592.00,595.05,594.25,595.53,71389,4851,41198,57.71
03-Nov-2016,594.25,594.15,599.55,580.10,588.40,585.15,588.80,55056,3205,32668,59.34
04-Nov-2016,585.15,584.50,585.35,551.20,551.60,555.70,563.37,74529,3795,42835,57.47
07-Nov-2016,555.70,561.00,576.55,561.00,568.00,567.20,569.60,55604,2567,33945,61.05
08-Nov-2016,567.20,570.00,580.00,566.20,573.95,571.65,574.44,67046,2594,40355,60.19
09-Nov-2016,571.65,550.00,579.00,515.00,579.00,570.25,550.78,244989,4666,189632,77.40
10-Nov-2016,570.25,579.00,598.00,579.00,590.00,591.15,589.87,61632,2708,37065,60.14
11-Nov-2016,591.15,581.10,594.90,566.45,582.00,582.80,579.43,52003,2253,32403,62.31
15-Nov-2016,582.80,585.00,603.30,557.35,587.35,594.20,585.81,164000,5513,108837,66.36
16-Nov-2016,594.20,590.00,601.00,584.05,591.00,590.70,594.07,108151,3317,63239,58.47
17-Nov-2016,590.70,585.05,599.95,585.05,599.75,596.40,594.70,62642,2006,51288,81.87
18-Nov-2016,596.40,592.85,599.80,587.00,595.00,592.90,592.68,87986,2982,66812,75.93
21-Nov-2016,592.90,593.60,598.00,551.50,577.60,578.05,574.01,288388,9190,244227,84.69
22-Nov-2016,578.05,586.00,601.90,575.75,593.00,596.50,591.90,58861,2904,39118,66.46
23-Nov-2016,596.50,600.10,608.00,585.10,602.50,602.15,598.13,104329,2830,69426,66.55
24-Nov-2016,602.15,600.00,626.80,595.05,614.95,616.10,611.46,98985,3137,59501,60.11
