DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,91.10,90.60,92.25,90.10,90.10,90.20,90.86,47577,1046,35660,74.95
03-Aug-2016,90.20,90.10,92.90,89.75,90.00,90.10,90.80,114876,1854,61771,53.77
04-Aug-2016,90.10,91.90,91.90,90.00,90.50,90.35,90.55,47767,1027,32854,68.78
05-Aug-2016,90.35,90.25,91.40,90.05,90.40,90.25,90.74,94865,3048,63497,66.93
08-Aug-2016,90.25,91.00,91.70,90.60,91.00,90.95,91.16,68772,1747,43489,63.24
09-Aug-2016,90.95,90.30,92.20,90.30,91.25,91.45,91.22,203973,1969,132314,64.87
10-Aug-2016,91.45,91.25,94.40,91.25,91.65,91.90,92.61,270715,4327,121742,44.97
11-Aug-2016,91.90,92.35,93.90,83.55,90.60,89.40,91.38,6137091,10892,4700900,76.60
12-Aug-2016,89.40,91.00,92.00,89.25,91.80,91.45,90.89,334732,3825,204401,61.06
16-Aug-2016,91.45,92.00,95.80,91.40,93.45,93.10,93.94,364639,4906,200354,54.95
17-Aug-2016,93.10,93.90,105.00,93.90,103.30,101.30,98.95,3422009,23475,858500,25.09
18-Aug-2016,101.30,105.00,106.50,101.75,102.50,102.65,103.75,1943958,12243,1109327,57.07
19-Aug-2016,102.65,102.90,104.00,100.10,100.85,100.70,101.94,441540,4135,242126,54.84
22-Aug-2016,100.70,101.60,103.00,97.80,98.25,98.45,100.26,260868,3630,127151,48.74
23-Aug-2016,98.45,98.00,99.25,95.35,96.00,96.05,96.93,226374,3099,133945,59.17
24-Aug-2016,96.05,96.90,98.00,95.70,96.85,96.80,96.93,130759,1972,59273,45.33
25-Aug-2016,96.80,96.35,98.00,95.00,95.10,95.05,95.77,145953,2590,99381,68.09
26-Aug-2016,95.05,96.70,96.70,94.10,95.95,95.50,95.23,92659,1164,50383,54.37
29-Aug-2016,95.50,94.10,98.35,94.10,96.80,96.55,96.86,218336,2534,116977,53.58
30-Aug-2016,96.55,97.30,103.50,96.50,103.00,103.05,101.26,1104961,7783,570298,51.61
31-Aug-2016,103.05,104.00,106.10,101.60,104.40,104.55,104.41,1042877,8520,610378,58.53
01-Sep-2016,104.55,104.55,104.70,99.80,99.90,100.20,101.67,303469,3717,199245,65.66
02-Sep-2016,100.20,100.25,103.35,99.05,100.50,100.75,101.15,345380,3620,167747,48.57
06-Sep-2016,100.75,101.00,103.65,101.00,103.45,102.60,102.59,418708,2758,268978,64.24
07-Sep-2016,102.60,103.50,104.40,101.50,101.65,101.85,102.66,482573,2450,391324,81.09
08-Sep-2016,101.85,102.00,106.00,101.30,105.45,104.90,103.75,1013811,7427,565567,55.79
09-Sep-2016,104.90,105.75,113.95,105.75,107.80,108.45,109.94,4559540,31956,2023591,44.38
12-Sep-2016,108.45,105.90,106.70,103.10,103.70,103.50,105.35,1065088,7566,659355,61.91
14-Sep-2016,103.50,103.40,107.70,103.20,105.35,105.60,105.58,625629,4780,317446,50.74
15-Sep-2016,105.60,106.00,106.90,104.80,105.70,105.80,105.89,598429,3656,325396,54.38
16-Sep-2016,105.80,106.40,111.95,105.70,107.10,108.35,108.97,1721393,12769,602038,34.97
19-Sep-2016,108.35,108.20,109.60,106.00,107.30,107.35,107.39,685665,3808,420896,61.39
20-Sep-2016,107.35,107.15,107.85,103.75,104.15,104.05,105.24,573603,4511,387665,67.58
21-Sep-2016,104.05,104.40,108.50,104.40,106.30,106.45,107.02,654304,4039,368281,56.29
22-Sep-2016,106.45,108.10,108.15,105.80,107.15,107.65,107.66,837397,5343,477105,56.97
23-Sep-2016,107.65,107.65,115.50,107.00,111.80,111.50,112.83,2152385,13011,955168,44.38
26-Sep-2016,111.50,112.00,120.00,112.00,117.00,118.60,116.94,2769716,18285,1109171,40.05
