DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,440.75,442.75,442.75,434.50,436.35,437.75,437.70,202578,7916,67057,33.10
03-Aug-2016,437.75,437.90,439.50,429.00,429.05,431.25,432.31,218797,8940,90777,41.49
04-Aug-2016,431.25,433.80,440.00,430.30,431.55,432.20,433.55,183609,6992,52617,28.66
05-Aug-2016,432.20,433.95,433.95,425.00,425.00,426.65,429.03,316958,8456,202061,63.75
08-Aug-2016,426.65,427.40,438.65,427.40,431.45,431.45,433.96,388538,10154,126676,32.60
09-Aug-2016,431.45,434.00,443.90,431.45,439.50,440.00,437.42,365859,10325,138806,37.94
10-Aug-2016,440.00,442.00,463.00,441.20,449.30,451.15,453.65,1430559,29645,210124,14.69
11-Aug-2016,451.15,452.00,472.00,451.15,453.05,453.50,461.32,724083,16831,183231,25.31
12-Aug-2016,453.50,455.80,464.80,453.50,454.55,455.15,459.86,587284,10570,138398,23.57
16-Aug-2016,455.15,457.95,458.00,432.40,435.00,434.50,440.22,566593,18024,264937,46.76
17-Aug-2016,434.50,437.80,440.95,429.05,429.05,430.65,432.95,308493,14936,114603,37.15
18-Aug-2016,430.65,432.50,434.20,429.00,430.00,430.00,431.08,331749,13106,139597,42.08
19-Aug-2016,430.00,431.90,439.75,430.20,433.65,433.30,434.60,215376,5348,53371,24.78
22-Aug-2016,433.30,434.90,439.00,432.50,433.30,434.35,435.37,138352,3119,37861,27.37
23-Aug-2016,434.35,434.35,436.70,430.10,431.80,431.35,432.48,199527,8249,65586,32.87
24-Aug-2016,431.35,432.40,438.80,431.40,436.00,436.85,435.23,318026,6349,74672,23.48
25-Aug-2016,436.85,438.80,444.90,434.50,439.10,440.50,440.29,363606,8208,79120,21.76
26-Aug-2016,440.50,441.50,448.95,440.00,441.95,442.55,444.33,550622,7846,278541,50.59
29-Aug-2016,442.55,442.65,454.50,439.00,447.00,448.00,447.53,383836,6990,74308,19.36
30-Aug-2016,448.00,453.50,460.00,446.05,451.50,452.30,453.51,618688,10269,227552,36.78
31-Aug-2016,452.30,452.00,454.60,437.40,439.80,439.45,444.72,674230,20377,281326,41.73
01-Sep-2016,439.45,441.95,447.00,434.40,435.05,435.70,440.12,368311,17373,159379,43.27
02-Sep-2016,435.70,437.50,437.60,431.00,432.00,432.45,433.40,243601,6588,127923,52.51
06-Sep-2016,432.45,432.70,449.50,432.70,443.00,444.75,441.31,421556,8921,109406,25.95
07-Sep-2016,444.75,445.95,453.10,445.00,445.90,446.55,448.34,392915,10230,108095,27.51
08-Sep-2016,446.55,447.55,456.50,440.50,445.50,446.75,447.89,457576,13517,126943,27.74
09-Sep-2016,446.75,447.00,453.60,442.50,448.00,448.10,448.76,354551,7596,67685,19.09
12-Sep-2016,448.10,440.00,457.00,437.15,448.40,449.25,450.43,346032,7811,95077,27.48
14-Sep-2016,449.25,448.50,457.50,448.05,452.95,454.05,453.94,215955,6218,72639,33.64
15-Sep-2016,454.05,457.00,464.90,454.00,454.60,456.10,459.37,444591,14782,189026,42.52
16-Sep-2016,456.10,461.50,466.80,456.85,462.00,463.20,462.18,426272,16145,229848,53.92
19-Sep-2016,463.20,464.45,484.30,463.20,471.75,469.70,474.96,678050,13828,268652,39.62
20-Sep-2016,469.70,472.90,474.95,466.50,468.50,468.65,469.90,173312,5831,68313,39.42
21-Sep-2016,468.65,469.95,475.00,469.65,470.85,472.05,472.37,195622,4204,69912,35.74
22-Sep-2016,472.05,475.00,480.00,472.05,473.00,473.90,475.52,291565,6711,91981,31.55
23-Sep-2016,473.90,476.00,478.25,464.00,470.00,470.70,473.83,207061,6573,115770,55.91
26-Sep-2016,470.70,471.60,474.70,468.00,470.00,470.80,471.09,172658,4460,65245,37.79
27-Sep-2016,470.80,476.00,477.90,468.10,471.00,471.90,473.39,178850,3896,72723,40.66
28-Sep-2016,471.90,472.35,485.50,472.15,479.10,479.40,480.56,377536,7825,120341,31.88
29-Sep-2016,479.40,481.85,486.90,451.20,454.50,455.35,469.13,442843,10197,160669,36.28
30-Sep-2016,455.35,456.00,466.05,451.40,456.05,456.80,457.70,207921,4183,79468,38.22
03-Oct-2016,456.80,458.55,473.35,458.55,468.50,469.15,467.08,238730,4976,75179,31.49
04-Oct-2016,469.15,471.00,474.10,466.60,469.30,469.65,469.99,194448,6582,71705,36.88
05-Oct-2016,469.65,470.15,478.00,467.00,468.90,468.80,471.41,235315,5851,82364,35.00
06-Oct-2016,468.80,473.50,481.95,470.00,472.20,472.75,474.82,245985,6103,78430,31.88
07-Oct-2016,472.75,473.85,484.00,472.00,480.35,481.05,478.58,249894,5136,58263,23.32
10-Oct-2016,481.05,485.40,496.50,482.10,490.00,490.80,491.79,441892,9000,135127,30.58
13-Oct-2016,490.80,494.00,494.25,480.10,484.90,485.45,485.53,207154,7299,82955,40.05
14-Oct-2016,485.45,487.50,496.80,484.90,491.00,492.35,491.71,235171,5635,52415,22.29
17-Oct-2016,492.35,495.95,495.95,482.45,487.20,486.10,488.98,208528,8735,88522,42.45
18-Oct-2016,486.10,489.30,506.90,488.00,491.00,492.80,496.28,471315,11543,149390,31.70
19-Oct-2016,492.80,494.90,496.75,485.05,486.80,486.70,490.98,184198,5022,76849,41.72
20-Oct-2016,486.70,489.45,498.50,488.55,492.00,493.30,494.72,286519,5917,73371,25.61
21-Oct-2016,493.30,493.90,493.90,486.50,490.30,490.30,490.00,99245,2795,33899,34.16
24-Oct-2016,490.30,492.50,496.90,488.00,490.70,490.30,492.38,188559,5038,64777,34.35
25-Oct-2016,490.30,490.85,496.50,482.45,487.05,487.90,488.67,302089,6892,101664,33.65
26-Oct-2016,487.90,489.45,490.00,479.00,484.30,482.00,483.32,181283,7309,75426,41.61
27-Oct-2016,482.00,484.00,493.00,476.80,483.00,481.10,482.99,368794,9983,167541,45.43
28-Oct-2016,481.10,482.50,482.90,475.10,477.95,478.35,479.41,285530,13274,159764,55.95
30-Oct-2016,478.35,480.35,482.00,478.50,479.95,479.75,480.29,20274,577,6022,29.70
01-Nov-2016,479.75,480.50,482.30,467.50,470.00,469.85,473.41,139981,4516,72769,51.98
02-Nov-2016,469.85,469.85,485.90,455.80,460.70,458.85,471.23,684992,16899,151495,22.12
03-Nov-2016,458.85,465.00,472.45,455.20,455.45,456.80,461.96,378446,9090,139375,36.83
04-Nov-2016,456.80,457.65,461.05,447.25,449.60,450.35,452.63,274355,7096,142642,51.99
07-Nov-2016,450.35,452.00,461.50,452.00,460.05,459.25,457.48,137012,3200,46774,34.14
08-Nov-2016,459.25,461.00,469.90,459.05,469.10,467.55,462.96,155685,3592,61769,39.68
09-Nov-2016,467.55,440.00,460.20,436.60,456.80,458.75,447.77,176660,3990,66386,37.58
10-Nov-2016,458.75,468.00,471.20,461.90,466.50,468.10,465.10,231839,3818,152586,65.82
11-Nov-2016,468.10,461.50,461.50,440.50,442.05,443.35,449.03,357223,7364,178790,50.05
15-Nov-2016,443.35,449.90,449.90,432.20,438.75,436.90,438.34,196599,5852,121203,61.65
16-Nov-2016,436.90,445.00,446.05,437.05,443.00,442.45,440.06,160361,5940,94589,58.99
17-Nov-2016,442.45,447.95,447.95,438.50,443.60,443.70,443.55,77596,1767,26138,33.68
18-Nov-2016,443.70,450.00,450.95,440.00,446.95,447.30,446.92,133299,3632,33946,25.47
21-Nov-2016,447.30,448.00,448.35,436.30,440.30,442.20,441.44,114576,2418,41090,35.86
22-Nov-2016,442.20,443.95,450.00,441.45,447.65,449.05,446.45,144744,3610,40273,27.82
23-Nov-2016,449.05,452.90,455.00,444.50,451.00,452.75,449.91,121838,2652,26109,21.43
24-Nov-2016,452.75,447.00,452.85,444.00,444.00,445.95,448.42,93321,1996,15862,17.00
25-Nov-2016,445.95,448.35,468.30,446.60,455.50,456.15,454.32,146581,3041,33900,23.13
28-Nov-2016,456.15,457.45,462.20,453.55,457.00,457.75,459.13,122496,2050,38853,31.72
29-Nov-2016,457.75,459.00,464.85,456.50,459.20,459.70,461.13,135792,2558,22478,16.55
30-Nov-2016,459.70,462.50,468.00,456.80,465.00,465.95,464.33,165092,4618,56874,34.45
01-Dec-2016,465.95,467.00,468.95,455.00,459.50,458.80,462.73,116896,2829,28755,24.60
02-Dec-2016,458.80,457.95,458.00,448.30,455.00,453.20,452.59,96909,2152,31295,32.29
05-Dec-2016,453.20,455.50,464.00,441.00,448.40,450.75,453.12,353572,8365,78960,22.33
06-Dec-2016,450.75,451.00,456.70,443.80,445.55,445.40,450.78,157753,3143,36566,23.18
07-Dec-2016,445.40,449.00,449.80,442.00,448.50,448.00,446.32,118881,3435,28127,23.66
08-Dec-2016,448.00,450.50,458.00,448.55,454.15,454.85,453.51,263115,4659,171642,65.23
09-Dec-2016,454.85,456.50,461.95,450.65,451.35,453.00,456.55,111992,3732,35541,31.74
12-Dec-2016,453.00,452.45,453.30,447.10,450.55,450.80,450.33,77587,1841,10315,13.29
13-Dec-2016,450.80,452.35,459.00,450.35,451.95,451.75,454.95,115874,3268,21155,18.26
14-Dec-2016,451.75,453.00,457.00,448.05,449.20,450.55,453.99,119193,3998,62121,52.12
15-Dec-2016,450.55,448.20,454.40,447.50,449.00,448.55,450.40,94180,2370,25080,26.63
16-Dec-2016,448.55,450.00,452.20,436.00,439.10,439.05,444.15,177046,3090,76941,43.46
19-Dec-2016,439.05,441.95,444.00,435.70,440.10,440.80,439.35,91632,1738,18656,20.36
20-Dec-2016,440.80,441.45,445.40,435.75,436.70,439.20,441.36,103757,2211,24115,23.24
21-Dec-2016,439.20,438.50,451.85,437.05,446.00,446.70,444.25,164680,3940,42082,25.55
22-Dec-2016,446.70,446.50,446.50,441.50,442.20,443.70,443.94,114278,2220,35098,30.71
23-Dec-2016,443.70,443.90,446.50,440.50,441.20,441.60,442.54,87242,2388,15957,18.29
26-Dec-2016,441.60,442.50,443.95,438.10,442.00,442.30,440.69,112182,1560,15700,14.00
27-Dec-2016,442.30,444.95,449.90,441.05,447.00,447.30,446.16,129967,2861,25450,19.58
28-Dec-2016,447.30,448.05,453.95,445.60,451.00,451.25,450.75,118853,2398,19947,16.78
29-Dec-2016,451.25,452.00,468.45,451.70,456.25,457.70,460.03,260352,7447,31100,11.95
30-Dec-2016,457.70,461.95,465.90,458.55,461.00,461.20,463.21,132387,2767,17649,13.33
02-Jan-2017,461.20,462.50,468.00,460.55,467.90,466.20,464.76,130820,2497,13933,10.65
03-Jan-2017,466.20,468.60,479.45,467.55,477.60,476.50,473.04,170747,4787,48189,28.22
04-Jan-2017,476.50,478.00,499.00,477.50,486.00,487.00,485.51,206183,4429,56282,27.30
05-Jan-2017,487.00,491.30,513.70,490.95,507.00,507.60,507.61,523028,10583,152711,29.20
06-Jan-2017,507.60,511.90,518.65,502.10,506.00,504.75,509.91,269632,8166,54860,20.35
09-Jan-2017,504.75,506.40,507.00,493.60,496.25,495.85,497.99,148154,3610,31044,20.95
10-Jan-2017,495.85,496.35,509.90,488.00,505.00,505.35,503.25,244342,8881,50626,20.72
11-Jan-2017,505.35,506.90,514.50,504.00,508.00,508.00,507.57,257142,5155,110135,42.83
12-Jan-2017,508.00,508.50,510.50,498.00,500.00,500.50,502.13,340518,5278,224341,65.88
13-Jan-2017,500.50,501.50,509.60,496.70,500.00,499.90,502.76,121637,4672,29525,24.27
16-Jan-2017,499.90,499.95,508.00,495.55,499.00,499.90,502.02,157529,3983,22328,14.17
17-Jan-2017,499.90,500.25,508.65,489.90,493.85,493.95,501.40,191618,6752,50003,26.10
18-Jan-2017,493.95,495.00,502.00,493.50,496.10,496.25,497.85,136997,3754,18621,13.59
19-Jan-2017,496.25,497.45,502.00,492.60,493.85,494.95,497.74,146939,3062,29153,19.84
20-Jan-2017,494.95,494.50,500.00,485.50,490.20,487.00,494.19,127762,2366,36447,28.53
23-Jan-2017,487.00,483.00,493.45,483.00,489.30,489.70,490.38,243612,2531,19930,8.18
24-Jan-2017,489.70,500.00,502.00,495.45,500.00,497.35,498.63,314189,7483,79092,25.17
25-Jan-2017,497.35,504.50,504.50,497.50,499.00,498.80,500.12,239439,5534,49246,20.57
27-Jan-2017,498.80,499.80,509.00,499.80,500.50,502.65,505.03,280475,5534,75843,27.04
30-Jan-2017,502.65,501.00,504.65,496.50,497.85,497.55,500.51,188799,3762,28397,15.04
31-Jan-2017,497.55,498.95,501.45,495.10,498.65,498.25,499.24,228420,4736,25379,11.11
01-Feb-2017,498.25,499.30,503.15,497.35,498.75,499.05,500.14,225275,4961,25846,11.47
02-Feb-2017,499.05,500.40,503.80,497.10,499.40,499.05,499.88,231803,4945,31676,13.67
03-Feb-2017,499.05,499.50,503.15,493.55,496.50,495.90,499.70,209164,5482,24509,11.72
06-Feb-2017,495.90,499.50,510.00,496.35,500.55,501.95,502.95,460381,7255,82285,17.87
07-Feb-2017,501.95,505.00,508.95,499.00,502.00,501.75,505.50,409625,8961,62730,15.31
08-Feb-2017,501.75,503.00,506.50,494.50,495.95,498.15,502.89,307467,6269,31174,10.14
09-Feb-2017,498.15,497.85,502.85,494.85,496.75,497.40,498.99,211811,4106,17886,8.44
10-Feb-2017,497.40,497.95,505.95,493.85,494.55,495.95,501.58,323436,7762,51027,15.78
13-Feb-2017,495.95,499.40,504.40,496.20,500.60,500.60,500.12,251110,5241,39059,15.55
14-Feb-2017,500.60,502.50,502.50,495.20,497.95,496.45,498.31,206792,5123,28197,13.64
15-Feb-2017,496.45,498.75,506.00,493.00,494.70,495.65,500.15,262554,6839,52908,20.15
