DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,220.65,220.80,223.45,218.10,219.90,220.45,220.68,291047,3720,193328,66.43
03-Aug-2016,220.45,220.80,221.60,215.20,220.00,219.90,218.46,161271,2769,84304,52.27
04-Aug-2016,219.90,221.10,221.15,215.80,216.50,218.75,218.16,370082,4816,247090,66.77
05-Aug-2016,218.75,218.75,220.05,216.10,216.10,217.40,218.23,625949,5899,417631,66.72
08-Aug-2016,217.40,217.95,218.60,216.05,216.70,216.55,217.09,141929,2218,83463,58.81
09-Aug-2016,216.55,216.65,220.00,216.50,217.05,217.65,217.81,220619,2868,126342,57.27
10-Aug-2016,217.65,218.10,225.70,218.10,220.35,220.40,221.70,773814,7924,343143,44.34
11-Aug-2016,220.40,219.65,222.80,217.65,219.95,219.65,220.36,208155,3094,97898,47.03
12-Aug-2016,219.65,220.60,221.00,216.25,216.85,217.55,219.25,156614,2569,102771,65.62
16-Aug-2016,217.55,218.70,220.00,218.00,219.60,219.25,219.20,115253,1616,77230,67.01
17-Aug-2016,219.25,219.10,224.35,218.55,221.10,221.85,222.36,396806,4822,232175,58.51
18-Aug-2016,221.85,222.00,224.80,221.00,222.15,222.50,222.66,211179,3111,140854,66.70
19-Aug-2016,222.50,222.00,223.00,215.70,216.95,216.60,218.99,326908,3548,240976,73.71
22-Aug-2016,216.60,217.00,218.25,215.70,216.00,216.05,216.79,460648,2475,396239,86.02
23-Aug-2016,216.05,216.55,220.40,215.80,218.45,218.25,218.04,389453,3445,299262,76.84
24-Aug-2016,218.25,217.00,231.95,217.00,230.15,229.35,226.63,1136073,11863,448788,39.50
25-Aug-2016,229.35,232.00,234.70,226.15,228.70,228.05,231.76,758238,8925,347998,45.90
26-Aug-2016,228.05,229.00,235.00,225.50,226.50,227.05,231.22,598103,7300,214727,35.90
29-Aug-2016,227.05,226.90,230.80,225.20,226.90,226.55,227.95,213488,2984,101140,47.38
30-Aug-2016,226.55,228.35,233.45,225.00,225.70,225.75,228.61,396015,4443,163319,41.24
31-Aug-2016,225.75,226.00,228.70,225.30,227.10,226.90,227.06,176506,2217,98735,55.94
01-Sep-2016,226.90,226.00,232.00,225.00,225.80,225.60,228.23,311742,4655,140020,44.92
02-Sep-2016,225.60,225.00,227.80,225.00,226.00,226.00,226.60,169962,3685,87339,51.39
06-Sep-2016,226.00,226.60,229.40,225.15,225.50,225.55,226.77,229466,3782,101795,44.36
07-Sep-2016,225.55,226.10,227.95,222.10,224.85,224.20,225.47,197063,3014,95072,48.24
08-Sep-2016,224.20,224.55,233.65,224.25,229.45,229.60,229.49,480573,5687,206752,43.02
09-Sep-2016,229.60,229.90,234.85,225.20,226.50,227.15,231.57,519524,5733,158043,30.42
12-Sep-2016,227.15,224.25,224.60,217.80,219.50,218.85,221.79,205766,2817,111850,54.36
14-Sep-2016,218.85,219.00,224.80,218.05,222.75,223.25,222.33,143370,2088,68077,47.48
15-Sep-2016,223.25,225.00,225.50,220.10,221.15,221.05,221.83,104568,3015,55413,52.99
16-Sep-2016,221.05,221.50,225.00,210.00,215.15,213.60,216.52,327578,5899,196776,60.07
19-Sep-2016,213.60,213.60,219.00,213.60,218.00,217.45,217.74,111644,1893,54963,49.23
20-Sep-2016,217.45,218.70,226.00,217.75,223.15,222.65,223.01,259671,4575,99647,38.37
21-Sep-2016,222.65,223.75,228.20,222.05,222.90,222.80,225.69,190728,3225,70254,36.83
22-Sep-2016,222.80,228.00,229.00,224.00,225.80,226.60,226.19,197030,3615,92085,46.74
23-Sep-2016,226.60,227.35,227.50,222.00,222.15,222.25,224.07,113622,1722,66158,58.23
26-Sep-2016,222.25,221.10,227.40,220.25,222.35,221.60,223.96,104395,1985,42686,40.89
27-Sep-2016,221.60,222.60,228.50,222.60,223.00,223.50,224.79,168413,2906,82939,49.25
28-Sep-2016,223.50,222.85,225.15,222.50,223.20,223.25,223.90,161549,1230,123278,76.31
29-Sep-2016,223.25,224.40,227.00,211.60,220.00,220.05,219.62,340515,5567,228770,67.18
30-Sep-2016,220.05,220.00,223.65,216.05,223.00,223.15,220.52,105836,1530,56412,53.30
03-Oct-2016,223.15,223.95,239.70,223.10,238.00,236.65,232.51,899317,11416,427847,47.57
04-Oct-2016,236.65,239.00,246.00,238.50,239.50,240.25,242.00,791155,15237,391255,49.45
05-Oct-2016,240.25,241.00,241.55,223.00,236.85,237.30,237.40,422953,5743,173051,40.91
06-Oct-2016,237.30,238.00,242.00,230.20,233.80,233.45,236.15,159382,3058,78188,49.06
