DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,560.90,561.95,561.95,549.05,549.05,553.35,553.58,126978,2467,104178,82.04
03-Aug-2016,553.35,553.35,560.00,531.50,533.20,536.40,545.72,512349,13848,168645,32.92
04-Aug-2016,536.40,544.80,547.80,531.00,535.10,534.90,539.32,225905,5487,163715,72.47
05-Aug-2016,534.90,539.95,568.50,537.95,567.00,565.40,554.38,241501,6021,144855,59.98
08-Aug-2016,565.40,571.00,575.00,561.25,569.20,569.90,571.52,232192,6281,185211,79.77
09-Aug-2016,569.90,565.20,570.90,556.95,558.05,561.20,564.44,45129,3672,28697,63.59
10-Aug-2016,561.20,558.15,565.00,545.25,550.00,547.40,555.19,41208,1345,24848,60.30
11-Aug-2016,547.40,549.00,551.95,536.75,538.70,539.30,542.25,83613,4931,64585,77.24
12-Aug-2016,539.30,545.00,545.40,532.80,533.00,536.35,538.60,87230,4750,63569,72.88
16-Aug-2016,536.35,536.40,549.00,536.40,539.85,540.55,544.01,88289,6781,56914,64.46
17-Aug-2016,540.55,542.55,558.70,540.00,549.05,550.20,549.44,125251,5475,92413,73.78
18-Aug-2016,550.20,547.30,574.00,546.10,567.00,568.10,561.18,214432,7733,167942,78.32
19-Aug-2016,568.10,568.05,573.50,562.00,566.85,564.85,565.23,63009,1483,53410,84.77
22-Aug-2016,564.85,566.00,571.00,552.50,553.00,553.60,557.72,43987,982,37439,85.11
23-Aug-2016,553.60,558.65,558.65,545.50,548.00,549.95,551.37,76661,1804,62029,80.91
24-Aug-2016,549.95,549.95,566.00,549.95,563.50,562.05,559.81,73869,3077,49166,66.56
25-Aug-2016,562.05,563.50,565.15,552.00,552.00,553.75,560.80,67706,2554,34848,51.47
26-Aug-2016,553.75,552.00,563.50,552.00,559.90,559.65,560.21,68059,1871,49006,72.01
29-Aug-2016,559.65,559.65,569.90,553.55,559.85,562.90,564.05,93210,4549,47041,50.47
30-Aug-2016,562.90,560.55,579.70,560.55,575.00,574.90,572.89,131254,4638,82609,62.94
