DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,662.80,663.00,675.00,645.50,653.00,651.00,660.18,6010,412,4555,75.79
03-Aug-2016,651.00,659.55,663.95,645.50,650.05,654.65,656.71,6667,400,4589,68.83
04-Aug-2016,654.65,630.00,630.00,544.00,553.00,549.15,566.05,136111,7215,72806,53.49
05-Aug-2016,549.15,550.60,580.00,550.00,560.00,561.55,566.23,44598,2378,19732,44.24
08-Aug-2016,561.55,575.00,578.00,560.10,563.40,562.10,565.58,10808,756,7001,64.78
09-Aug-2016,562.10,573.70,573.75,545.05,549.55,549.25,555.30,10774,687,6735,62.51
10-Aug-2016,549.25,560.95,561.00,533.00,534.90,534.65,540.03,10051,1006,7261,72.24
11-Aug-2016,534.65,543.00,543.00,518.00,518.40,520.35,524.64,14581,970,8206,56.28
12-Aug-2016,520.35,520.00,539.70,495.00,525.00,525.45,523.48,56051,3370,16444,29.34
16-Aug-2016,525.45,525.50,534.95,520.00,524.00,527.50,528.54,6368,628,3834,60.21
17-Aug-2016,527.50,529.80,539.00,525.00,525.00,527.45,530.57,5393,379,3196,59.26
18-Aug-2016,527.45,527.55,532.75,519.00,520.00,524.55,527.50,5157,430,3796,73.61
19-Aug-2016,524.55,523.10,539.95,518.10,522.00,521.55,523.24,7444,381,4467,60.01
22-Aug-2016,521.55,521.00,524.95,490.70,504.85,498.20,503.20,17193,1103,10478,60.94
23-Aug-2016,498.20,509.00,510.00,493.60,504.00,504.75,504.20,5893,317,4564,77.45
24-Aug-2016,504.75,509.80,519.70,502.30,510.50,513.95,510.89,4822,309,3059,63.44
25-Aug-2016,513.95,530.00,564.00,517.00,519.80,520.70,544.53,109018,4826,30473,27.95
26-Aug-2016,520.70,526.00,529.70,508.75,517.00,512.95,517.92,11376,869,4452,39.14
29-Aug-2016,512.95,512.00,520.00,505.10,510.05,513.45,515.57,17449,731,13378,76.67
30-Aug-2016,513.45,515.00,520.00,509.00,509.00,510.15,514.69,13662,711,7154,52.36
31-Aug-2016,510.15,501.25,518.95,501.25,510.00,510.30,511.73,6829,457,4056,59.39
01-Sep-2016,510.30,514.90,514.90,496.00,497.00,499.30,503.00,7507,465,5811,77.41
02-Sep-2016,499.30,505.40,505.40,480.00,481.35,484.20,491.05,9308,665,7094,76.21
06-Sep-2016,484.20,497.85,532.80,481.70,501.40,501.10,515.90,111818,5063,20840,18.64
07-Sep-2016,501.10,504.85,507.40,488.05,495.20,494.65,494.01,62828,1791,46147,73.45
08-Sep-2016,494.65,488.00,499.00,477.50,486.20,486.45,486.46,30353,1954,18839,62.07
09-Sep-2016,486.45,493.00,493.00,481.00,484.00,484.70,485.58,20770,953,17928,86.32
12-Sep-2016,484.70,481.10,481.10,464.00,465.20,467.30,471.74,12291,939,8898,72.39
14-Sep-2016,467.30,465.00,475.00,465.00,468.75,466.90,469.50,11835,694,8817,74.50
15-Sep-2016,466.90,466.05,474.95,466.00,471.05,470.10,470.62,10912,688,8430,77.25
16-Sep-2016,470.10,473.90,487.85,463.70,472.50,473.50,474.66,12936,1073,6325,48.89
19-Sep-2016,473.50,473.50,475.00,467.00,469.50,468.95,469.93,35785,527,28320,79.14
20-Sep-2016,468.95,470.00,470.00,460.10,469.35,467.60,466.46,9856,452,7412,75.20
21-Sep-2016,467.60,469.40,475.00,465.00,472.00,470.70,471.40,11036,624,7876,71.37
22-Sep-2016,470.70,474.80,475.00,465.60,469.00,468.95,469.13,44773,489,43602,97.38
23-Sep-2016,468.95,465.05,478.80,465.05,468.55,470.35,472.94,11704,751,8228,70.30
26-Sep-2016,470.35,466.10,475.00,457.25,464.50,466.15,467.62,31763,866,25570,80.50
27-Sep-2016,466.15,473.70,479.00,465.00,469.00,468.25,469.34,11455,592,5338,46.60
28-Sep-2016,468.25,472.75,474.30,460.00,463.60,463.55,466.95,17809,430,17001,95.46
29-Sep-2016,463.55,464.40,472.00,458.30,463.00,463.35,464.38,10752,564,8313,77.32
30-Sep-2016,463.35,463.00,469.90,435.50,464.45,460.85,451.15,14455,758,6958,48.14
03-Oct-2016,460.85,464.80,475.00,442.40,473.85,468.95,460.02,41406,1271,32418,78.29
04-Oct-2016,468.95,474.95,474.95,458.20,460.00,460.40,460.94,23670,509,19503,82.40
05-Oct-2016,460.40,462.00,470.50,459.00,462.05,461.05,462.96,15434,444,12678,82.14
06-Oct-2016,461.05,459.30,468.00,459.00,464.00,460.25,460.89,16121,307,13404,83.15
07-Oct-2016,460.25,468.00,468.00,456.20,458.00,459.90,460.03,12350,265,11475,92.91
10-Oct-2016,459.90,474.00,474.00,459.05,461.50,461.00,460.30,15998,281,14242,89.02
13-Oct-2016,461.00,458.10,468.00,458.10,461.00,460.55,461.15,6495,302,4125,63.51
14-Oct-2016,460.55,465.85,494.00,455.05,473.05,474.10,480.70,28561,1843,8179,28.64
17-Oct-2016,474.10,480.00,488.85,460.50,463.50,463.45,471.36,10487,694,6833,65.16
18-Oct-2016,463.45,466.90,467.00,456.30,464.95,464.15,464.03,8114,274,4984,61.42
19-Oct-2016,464.15,470.00,507.00,460.00,480.00,486.30,487.72,46590,2367,19959,42.84
20-Oct-2016,486.30,489.60,493.30,475.00,477.25,477.95,482.59,11303,646,6792,60.09
21-Oct-2016,477.95,470.10,482.00,466.00,477.90,475.70,475.33,7131,452,4972,69.72
24-Oct-2016,475.70,487.50,487.50,469.55,472.00,471.65,474.79,4356,386,2873,65.96
25-Oct-2016,471.65,478.00,478.00,466.50,467.00,468.25,470.21,32940,389,31367,95.22
26-Oct-2016,468.25,473.20,495.45,460.20,461.25,464.00,478.94,57677,3154,14376,24.93
27-Oct-2016,464.00,464.20,472.00,460.25,462.00,462.40,465.70,7627,504,4031,52.85
28-Oct-2016,462.40,468.30,468.70,462.15,464.00,462.85,464.05,2985,248,1559,52.23
30-Oct-2016,462.85,475.65,483.50,464.05,474.50,476.95,474.97,3976,227,3338,83.95
01-Nov-2016,476.95,465.05,483.95,465.05,469.00,469.85,472.13,6323,423,4422,69.94
02-Nov-2016,469.85,472.45,472.50,461.00,463.65,464.90,463.44,5768,295,4733,82.06
03-Nov-2016,464.90,460.55,467.90,451.00,451.10,451.95,460.39,5295,467,4049,76.47
04-Nov-2016,451.95,450.00,455.00,440.15,442.00,442.05,444.96,6092,339,4456,73.15
07-Nov-2016,442.05,443.05,456.00,440.25,443.00,442.95,446.14,6903,604,4886,70.78
08-Nov-2016,442.95,450.00,450.00,440.45,445.00,443.95,444.21,2385,180,1391,58.32
09-Nov-2016,443.95,435.00,444.80,391.55,444.00,436.90,416.61,15022,707,10983,73.11
10-Nov-2016,436.90,487.00,487.00,420.00,426.00,425.70,449.54,109264,4603,47836,43.78
11-Nov-2016,425.70,417.50,428.80,405.00,407.00,408.45,415.50,35730,2653,12260,34.31
15-Nov-2016,408.45,408.00,408.00,381.00,381.00,382.75,389.44,31250,1251,23264,74.44
