DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,458.00,459.40,463.00,456.65,460.00,459.25,459.23,40094,1513,16307,40.67
03-Aug-2016,459.25,460.00,461.95,453.65,458.00,456.95,456.22,68345,1514,51630,75.54
04-Aug-2016,456.95,461.00,461.00,448.50,456.50,458.30,453.35,132900,8571,64928,48.85
05-Aug-2016,458.30,454.20,459.95,454.20,456.00,458.10,457.58,103572,7125,83762,80.87
08-Aug-2016,458.10,458.80,459.70,453.00,453.15,453.80,454.12,306362,2384,289392,94.46
09-Aug-2016,453.80,455.00,456.05,436.00,436.45,437.40,443.20,92030,4068,67765,73.63
10-Aug-2016,437.40,438.95,439.00,418.00,419.00,420.40,426.88,104067,3033,71544,68.75
11-Aug-2016,420.40,421.95,425.00,414.70,415.00,417.35,420.03,51114,2352,25394,49.68
12-Aug-2016,417.35,418.00,430.55,415.55,422.00,422.15,424.34,62230,3166,25679,41.26
16-Aug-2016,422.15,422.00,429.70,422.00,427.15,427.45,426.94,333661,1823,314862,94.37
17-Aug-2016,427.45,429.60,432.95,425.00,426.00,426.00,427.19,75148,1499,56301,74.92
18-Aug-2016,426.00,427.10,428.80,419.10,419.65,420.10,423.33,40667,1707,29033,71.39
19-Aug-2016,420.10,420.10,424.25,409.50,411.95,412.05,415.09,82381,2951,53788,65.29
22-Aug-2016,412.05,412.90,414.00,399.10,399.95,400.90,403.78,131606,3080,105871,80.45
23-Aug-2016,400.90,401.70,408.50,397.75,399.80,400.15,401.53,87165,2590,46109,52.90
24-Aug-2016,400.15,400.95,415.00,400.00,413.00,409.90,404.63,167913,2940,118023,70.29
25-Aug-2016,409.90,412.90,417.50,401.25,404.00,404.75,407.26,146599,4844,76758,52.36
26-Aug-2016,404.75,406.95,408.80,401.50,402.05,402.70,403.46,50430,1980,25511,50.59
29-Aug-2016,402.70,403.85,408.00,400.50,405.15,406.65,404.18,43328,1621,23324,53.83
30-Aug-2016,406.65,410.90,413.70,405.60,410.15,410.65,409.35,108085,2309,65706,60.79
31-Aug-2016,410.65,414.00,420.00,411.00,415.00,413.30,415.59,123954,3313,62201,50.18
01-Sep-2016,413.30,415.95,432.00,415.00,429.30,427.35,425.89,261663,7207,121638,46.49
02-Sep-2016,427.35,433.00,435.05,428.00,428.10,429.90,430.92,95266,3114,37949,39.83
06-Sep-2016,429.90,430.55,443.00,430.55,438.20,439.20,438.27,136834,4520,68377,49.97
07-Sep-2016,439.20,438.80,455.00,436.00,451.00,450.40,446.18,175177,6967,102305,58.40
08-Sep-2016,450.40,462.00,465.00,450.40,456.00,453.85,458.33,246817,5045,125239,50.74
09-Sep-2016,453.85,455.25,457.40,445.95,452.70,451.85,452.18,49737,2034,21262,42.75
12-Sep-2016,451.85,442.00,449.15,436.00,439.90,437.75,441.99,68295,2362,45318,66.36
14-Sep-2016,437.75,436.00,456.30,434.10,455.00,452.70,447.72,108816,2824,53012,48.72
15-Sep-2016,452.70,456.00,468.00,452.10,465.70,465.05,462.34,265466,8151,137813,51.91
16-Sep-2016,465.05,466.00,479.40,464.55,475.50,476.05,474.49,232592,6388,148058,63.66
19-Sep-2016,476.05,477.50,534.40,474.65,520.40,522.70,517.40,2030408,49632,528837,26.05
20-Sep-2016,522.70,520.00,529.90,508.10,515.10,516.55,517.69,337526,13425,123520,36.60
21-Sep-2016,516.55,517.00,543.90,517.00,522.20,525.30,534.18,766397,16146,218020,28.45
22-Sep-2016,525.30,535.00,540.85,523.10,529.00,529.20,529.92,627229,13639,222877,35.53
23-Sep-2016,529.20,530.50,544.00,530.00,535.00,535.40,537.96,494033,13459,203043,41.10
26-Sep-2016,535.40,536.75,567.65,532.55,557.20,558.30,558.21,1155607,23596,384117,33.24
27-Sep-2016,558.30,559.00,564.80,541.85,550.00,548.90,555.69,344585,8256,94825,27.52
28-Sep-2016,548.90,553.00,556.90,543.50,549.00,547.85,549.48,154943,3423,48405,31.24
29-Sep-2016,547.85,550.00,568.40,467.05,523.00,522.20,542.54,420546,11686,189939,45.16
30-Sep-2016,522.20,523.00,539.00,520.00,536.85,534.40,533.07,163848,4187,49498,30.21
03-Oct-2016,534.40,536.00,553.00,536.00,547.00,547.80,548.19,208889,5531,111346,53.30
04-Oct-2016,547.80,554.00,578.00,552.05,563.75,566.50,569.83,932923,17116,353124,37.85
05-Oct-2016,566.50,570.00,582.00,566.00,568.40,569.70,574.47,373343,8535,119553,32.02
06-Oct-2016,569.70,573.00,576.25,560.00,565.35,564.40,569.33,212622,7360,60619,28.51
07-Oct-2016,564.40,567.85,569.65,553.45,554.20,555.15,560.02,126301,4039,50784,40.21
10-Oct-2016,555.15,557.60,600.00,557.60,593.80,588.95,580.92,729044,14584,310380,42.57
13-Oct-2016,588.95,585.00,594.45,558.80,576.00,580.55,578.52,329292,8975,107176,32.55
14-Oct-2016,580.55,580.00,593.00,572.00,583.50,582.60,584.39,227302,5397,75960,33.42
17-Oct-2016,582.60,587.45,629.00,583.00,615.00,612.35,611.16,1612357,26051,568687,35.27
18-Oct-2016,612.35,618.00,634.90,616.00,619.00,621.05,626.10,811520,17852,236595,29.15
19-Oct-2016,621.05,621.30,644.70,611.90,635.75,634.50,634.52,806300,14109,263671,32.70
20-Oct-2016,634.50,636.00,647.85,629.10,646.00,641.10,640.54,396703,7815,142818,36.00
21-Oct-2016,641.10,641.00,645.10,630.10,634.20,635.45,636.15,218831,4541,80105,36.61
24-Oct-2016,635.45,637.00,642.00,625.30,628.45,627.70,633.29,202722,4876,82722,40.81
25-Oct-2016,627.70,625.00,640.00,613.00,627.00,628.00,628.58,420026,8323,151478,36.06
26-Oct-2016,628.00,627.00,632.00,611.65,617.00,615.50,622.78,173221,5609,64683,37.34
27-Oct-2016,615.50,615.00,615.00,587.90,597.95,593.85,596.73,317097,7767,114100,35.98
28-Oct-2016,593.85,590.00,614.30,586.75,603.85,603.45,605.21,161576,4116,67240,41.62
30-Oct-2016,603.45,609.10,624.90,609.10,620.00,620.15,617.11,124154,2508,69930,56.33
01-Nov-2016,620.15,622.95,654.00,621.00,646.00,643.05,640.24,580853,13506,234668,40.40
02-Nov-2016,643.05,641.00,641.00,622.10,630.50,630.30,631.25,198844,4545,77275,38.86
03-Nov-2016,630.30,627.10,643.30,622.35,633.00,634.40,636.46,213909,5968,76813,35.91
04-Nov-2016,634.40,635.00,635.75,598.60,617.00,614.60,612.69,196470,5511,73929,37.63
07-Nov-2016,614.60,628.95,628.95,601.65,615.00,611.45,618.70,77213,4576,24954,32.32
08-Nov-2016,611.45,619.00,619.90,601.90,604.00,605.95,611.00,80933,3344,32978,40.75
09-Nov-2016,605.95,574.00,599.00,551.25,587.00,589.55,577.95,322077,7484,184131,57.17
10-Nov-2016,589.55,601.25,614.95,582.30,587.20,586.65,601.58,248013,7162,70121,28.27
11-Nov-2016,586.65,584.00,584.90,542.30,550.00,549.25,560.54,257372,7369,123494,47.98
15-Nov-2016,549.25,550.90,550.90,464.50,506.60,509.30,511.60,210217,6760,80699,38.39
16-Nov-2016,509.30,520.00,526.30,500.00,504.00,502.70,514.94,228895,6483,72572,31.71
17-Nov-2016,502.70,507.00,518.80,507.00,514.00,511.55,514.21,116350,4540,44493,38.24
18-Nov-2016,511.55,510.50,517.80,505.00,512.95,510.25,512.13,100884,6162,24732,24.52
21-Nov-2016,510.25,511.20,520.00,490.15,508.00,502.40,502.02,132736,4972,43808,33.00
22-Nov-2016,502.40,506.00,522.00,501.75,520.95,516.90,512.69,112740,3424,54413,48.26
23-Nov-2016,516.90,521.00,528.90,516.00,525.00,525.65,523.70,139822,4998,55838,39.94
24-Nov-2016,525.65,521.00,539.80,517.00,521.95,523.00,527.90,396794,5914,246970,62.24
25-Nov-2016,523.00,524.95,525.00,508.00,509.90,510.90,518.45,153270,4254,76303,49.78
28-Nov-2016,510.90,512.90,519.95,510.95,515.00,513.75,515.83,77197,3279,28104,36.41
29-Nov-2016,513.75,516.90,520.00,494.05,497.30,498.60,507.77,178057,4618,77645,43.61
30-Nov-2016,498.60,505.00,515.00,503.00,507.60,509.05,510.58,135533,4266,63378,46.76
01-Dec-2016,509.05,511.90,514.00,497.00,498.95,499.20,504.81,62172,3185,24441,39.31
02-Dec-2016,499.20,499.30,502.00,491.10,491.20,492.80,494.35,64472,3349,27587,42.79
05-Dec-2016,492.80,495.00,495.05,482.60,484.50,484.70,485.98,82045,3364,41432,50.50
06-Dec-2016,484.70,489.00,492.65,483.75,485.75,485.25,487.78,80575,2646,37429,46.45
07-Dec-2016,485.25,489.80,499.70,485.10,488.15,486.95,493.58,145913,5282,29538,20.24
08-Dec-2016,486.95,487.65,504.45,487.65,494.95,494.45,498.03,215483,6768,46055,21.37
09-Dec-2016,494.45,499.00,504.00,493.00,496.35,494.45,498.08,83496,3164,22072,26.43
12-Dec-2016,494.45,498.80,499.80,482.65,488.00,488.00,492.81,59407,2070,24265,40.85
13-Dec-2016,488.00,490.90,490.90,482.80,487.10,485.75,486.20,79490,3143,41571,52.30
14-Dec-2016,485.75,487.50,505.00,480.60,482.20,483.65,494.27,263453,6993,74406,28.24
15-Dec-2016,483.65,481.00,494.45,476.00,490.00,489.85,488.40,102694,3914,45068,43.89
16-Dec-2016,489.85,495.70,495.70,484.00,485.05,485.60,487.20,76098,2033,43514,57.18
19-Dec-2016,485.60,475.00,483.00,470.50,472.70,474.65,474.11,171214,4929,51392,30.02
20-Dec-2016,474.65,475.80,482.30,468.15,472.95,473.10,473.01,105920,2926,32121,30.33
21-Dec-2016,473.10,473.20,484.65,471.80,483.90,480.30,477.97,56766,2936,29101,51.26
22-Dec-2016,480.30,483.00,483.00,468.65,469.75,470.65,473.72,44881,1758,19061,42.47
23-Dec-2016,470.65,470.10,476.50,467.00,473.00,472.20,471.34,47242,1825,16318,34.54
26-Dec-2016,472.20,468.05,472.85,460.00,460.50,461.70,462.70,67586,1924,37847,56.00
27-Dec-2016,461.70,460.25,494.00,458.00,492.80,491.55,481.67,220354,7334,69371,31.48
28-Dec-2016,491.55,493.60,495.80,485.00,490.20,490.65,491.25,92617,3691,20372,22.00
29-Dec-2016,490.65,490.00,495.00,487.20,489.00,489.40,490.79,51761,1980,11805,22.81
30-Dec-2016,489.40,493.25,504.00,488.20,493.00,493.65,498.60,123786,4030,37677,30.44
02-Jan-2017,493.65,493.50,521.40,491.00,518.40,515.35,512.80,367374,8650,109827,29.90
03-Jan-2017,515.35,519.90,529.00,515.55,524.10,526.10,523.13,148958,4329,43950,29.50
04-Jan-2017,526.10,527.90,527.90,502.40,508.50,507.70,515.26,92209,3855,41242,44.73
05-Jan-2017,507.70,510.00,527.00,508.50,519.10,520.40,518.22,132634,4247,43635,32.90
06-Jan-2017,520.40,523.50,523.50,509.00,510.25,511.35,514.57,54803,2240,22993,41.96
09-Jan-2017,511.35,513.90,513.90,498.10,507.50,509.10,506.61,105647,3512,43530,41.20
10-Jan-2017,509.10,510.90,519.50,506.30,507.55,508.15,512.22,245322,4731,136517,55.65
11-Jan-2017,508.15,510.00,516.15,509.50,509.60,511.45,512.52,72160,2090,25734,35.66
12-Jan-2017,511.45,514.65,522.40,507.00,507.00,509.05,515.84,141980,4672,45781,32.24
13-Jan-2017,509.05,511.00,514.90,509.60,509.80,510.85,512.19,63618,2145,29067,45.69
16-Jan-2017,510.85,509.00,523.30,505.15,510.30,511.80,516.70,342874,6206,147642,43.06
17-Jan-2017,511.80,514.00,521.20,510.45,515.20,516.25,516.65,124309,3367,49336,39.69
18-Jan-2017,516.25,518.40,520.00,510.20,512.80,511.75,515.64,74013,3313,26934,36.39
19-Jan-2017,511.75,512.80,534.95,512.00,533.00,532.75,528.15,382511,8894,184593,48.26
20-Jan-2017,532.75,534.00,539.50,512.05,515.00,515.80,527.98,261868,7470,84285,32.19
23-Jan-2017,515.80,517.45,523.00,515.70,517.00,517.85,519.22,73696,2864,27756,37.66
24-Jan-2017,517.85,519.50,524.00,517.20,521.75,521.75,521.04,76514,2737,36698,47.96
