DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
31-Aug-2016,225.00,274.20,305.50,274.20,299.95,299.40,288.84,79264509,669395,26961879,34.02
01-Sep-2016,299.40,302.50,316.50,302.00,306.00,305.15,310.01,14699482,166343,4520383,30.75
02-Sep-2016,305.15,306.50,309.00,298.55,301.25,301.25,302.43,4762383,53285,1649265,34.63
06-Sep-2016,301.25,303.00,310.25,300.60,309.00,307.75,306.42,5777669,52340,2910081,50.37
07-Sep-2016,307.75,308.85,312.80,302.40,304.25,304.00,308.80,4147204,40102,2311178,55.73
08-Sep-2016,304.00,306.50,308.00,303.65,306.00,305.50,305.84,1509509,20968,708714,46.95
09-Sep-2016,305.50,303.65,303.65,298.10,299.00,298.80,300.53,1570381,27001,987459,62.88
12-Sep-2016,298.80,290.90,299.75,287.60,298.80,296.95,295.07,1779353,23318,697466,39.20
14-Sep-2016,296.95,299.10,303.30,296.00,297.10,296.95,298.43,1148592,19478,508802,44.30
15-Sep-2016,296.95,298.00,302.75,295.00,298.40,299.35,299.19,1288230,14982,468881,36.40
16-Sep-2016,299.35,300.60,304.50,299.45,301.05,301.80,302.14,1559076,22083,741909,47.59
19-Sep-2016,301.80,303.00,303.90,299.25,301.40,301.35,301.74,732837,11054,427389,58.32
20-Sep-2016,301.35,301.35,301.50,296.30,297.10,297.15,299.09,493343,6519,282065,57.17
21-Sep-2016,297.15,298.00,301.90,297.35,300.45,300.00,300.24,512999,9554,272494,53.12
22-Sep-2016,300.00,302.25,304.00,300.70,301.80,302.15,302.19,1107243,16199,783572,70.77
23-Sep-2016,302.15,303.00,307.95,301.40,303.00,303.30,304.85,1735881,22724,1217110,70.11
26-Sep-2016,303.30,303.00,303.00,299.00,301.90,302.20,301.30,573498,10970,368874,64.32
27-Sep-2016,302.20,303.00,303.50,298.00,299.50,298.90,300.86,399580,5472,260706,65.25
28-Sep-2016,298.90,300.50,304.45,295.55,296.50,297.55,301.22,800367,11339,454371,56.77
29-Sep-2016,297.55,298.90,302.50,281.55,287.50,285.90,292.13,1238800,19786,671117,54.17
30-Sep-2016,285.90,287.00,293.80,286.05,291.50,291.20,290.92,678758,16007,446498,65.78
03-Oct-2016,291.20,298.50,299.90,295.20,297.50,297.60,297.05,770999,26557,547857,71.06
04-Oct-2016,297.60,299.10,299.95,296.50,297.20,297.55,298.09,638685,18094,464292,72.69
05-Oct-2016,297.55,299.80,299.90,295.00,295.60,295.65,296.93,629557,7577,478618,76.02
06-Oct-2016,295.65,299.00,307.50,296.00,306.20,304.30,300.56,2018179,21793,1246987,61.79
07-Oct-2016,304.30,305.00,315.45,305.00,308.60,309.25,311.19,2853699,27800,1039221,36.42
10-Oct-2016,309.25,311.90,314.90,308.65,312.50,313.10,311.50,870931,11662,406381,46.66
13-Oct-2016,313.10,310.00,311.40,303.80,306.40,306.25,307.30,634699,7481,331743,52.27
14-Oct-2016,306.25,307.00,321.30,306.40,315.00,314.70,316.19,2723451,24521,1032407,37.91
17-Oct-2016,314.70,316.00,316.45,306.00,307.30,307.80,311.55,1042365,25234,659295,63.25
18-Oct-2016,307.80,309.35,312.40,303.00,308.90,307.45,307.17,1410353,24569,922889,65.44
