DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,51.85,52.00,52.10,50.20,50.85,50.75,51.15,19781321,35853,5629774,28.46
03-Aug-2016,50.75,50.70,51.30,49.05,49.10,49.35,50.19,17660216,45730,5248131,29.72
04-Aug-2016,49.35,49.80,49.80,48.45,49.20,49.20,49.14,12551096,37550,2689204,21.43
05-Aug-2016,49.20,49.60,51.00,49.30,50.50,50.70,50.33,17444688,49515,3699744,21.21
08-Aug-2016,50.70,50.90,52.00,50.45,51.10,51.45,51.27,16073466,53944,2925374,18.20
09-Aug-2016,51.45,51.15,51.15,49.95,50.00,50.10,50.46,11057633,35836,2939832,26.59
10-Aug-2016,50.10,50.15,50.40,48.50,48.60,48.65,49.01,16076791,39014,4700559,29.24
11-Aug-2016,48.65,48.50,49.00,48.00,48.70,48.70,48.59,10962938,30267,2448812,22.34
12-Aug-2016,48.70,48.80,49.55,48.05,48.80,49.05,48.74,12441261,32616,2296465,18.46
16-Aug-2016,49.05,48.95,48.95,47.25,47.70,47.85,47.91,15961622,41662,3682867,23.07
17-Aug-2016,47.85,47.75,49.90,47.75,49.70,49.60,49.04,18391300,57086,4922122,26.76
18-Aug-2016,49.60,49.70,50.70,49.20,49.95,50.20,50.15,15025056,46579,4941627,32.89
19-Aug-2016,50.20,50.00,51.20,49.60,50.05,50.15,50.47,15778074,32058,3742703,23.72
22-Aug-2016,50.15,50.10,50.90,49.05,50.35,50.55,50.16,16515879,34710,3470428,21.01
23-Aug-2016,50.55,50.35,51.65,50.25,51.35,51.35,51.21,26796769,52720,7979756,29.78
24-Aug-2016,51.35,51.30,52.15,51.20,51.85,52.00,51.75,17114058,42236,3995329,23.35
25-Aug-2016,52.00,52.20,52.75,51.20,51.35,51.40,52.05,18584372,41826,4020493,21.63
26-Aug-2016,51.40,51.60,54.65,51.05,53.90,53.95,53.43,42143722,82174,8790680,20.86
29-Aug-2016,53.95,54.15,55.00,52.65,53.75,53.85,54.01,28444148,66854,4091151,14.38
