DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,103.00,103.65,105.80,103.20,104.30,104.90,104.83,203725,2405,113438,55.68
03-Aug-2016,104.90,104.50,104.50,101.60,102.80,102.90,102.99,95571,2678,54057,56.56
04-Aug-2016,102.90,104.35,105.10,102.20,103.75,104.00,103.94,104001,3230,66218,63.67
05-Aug-2016,104.00,104.15,105.15,103.00,103.80,104.20,104.08,77981,2628,43518,55.81
08-Aug-2016,104.20,104.70,105.20,102.10,102.50,102.75,103.58,74879,3599,52692,70.37
09-Aug-2016,102.75,102.75,103.85,102.40,102.55,102.80,102.73,363021,3035,38182,10.52
10-Aug-2016,102.80,104.35,104.65,103.10,103.95,103.85,103.91,149170,1668,102760,68.89
11-Aug-2016,103.85,103.80,107.80,103.80,107.50,106.95,106.12,361014,6069,242059,67.05
12-Aug-2016,106.95,109.70,109.70,106.00,106.55,106.35,107.50,277480,4797,133645,48.16
16-Aug-2016,106.35,106.05,106.65,103.55,103.70,103.80,105.32,206644,4615,149200,72.20
17-Aug-2016,103.80,103.50,104.95,103.50,104.25,104.70,104.11,189682,1463,169386,89.30
18-Aug-2016,104.70,105.00,105.90,104.55,105.50,105.30,105.30,113506,2442,93636,82.49
19-Aug-2016,105.30,105.90,106.60,105.20,106.30,106.00,106.05,69780,990,56782,81.37
22-Aug-2016,106.00,106.50,107.00,105.75,106.80,106.60,106.21,59633,1380,43952,73.70
23-Aug-2016,106.60,106.45,106.60,105.70,106.00,106.00,106.05,37788,1074,30810,81.53
24-Aug-2016,106.00,106.90,108.80,105.65,105.95,106.10,107.03,239665,3605,155922,65.06
25-Aug-2016,106.10,108.45,108.45,106.50,108.00,107.95,107.74,162894,3884,125326,76.94
26-Aug-2016,107.95,108.85,109.10,106.50,107.70,107.60,107.95,94283,2888,63346,67.19
