DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,477.85,485.00,487.00,478.00,484.00,485.05,484.08,26330,860,19119,72.61
03-Aug-2016,485.05,483.20,488.00,477.00,478.00,478.50,481.00,10213,434,8310,81.37
04-Aug-2016,478.50,482.00,485.95,470.00,470.20,471.50,474.81,9775,753,6664,68.17
05-Aug-2016,471.50,476.45,484.80,469.00,470.10,476.50,474.44,25227,1258,17853,70.77
08-Aug-2016,476.50,477.45,478.00,471.00,472.00,472.20,473.00,19214,817,12531,65.22
09-Aug-2016,472.20,471.00,476.00,467.55,473.50,472.95,471.24,9378,673,6999,74.63
10-Aug-2016,472.95,473.50,474.90,465.35,470.85,468.00,469.36,7493,458,5320,71.00
11-Aug-2016,468.00,470.00,475.00,466.50,467.20,468.05,469.70,5070,270,3636,71.72
12-Aug-2016,468.05,470.00,471.85,465.00,466.95,465.75,467.30,7233,494,5156,71.28
16-Aug-2016,465.75,465.75,472.90,465.00,471.90,467.25,468.20,4521,464,2761,61.07
17-Aug-2016,467.25,473.00,473.00,465.00,465.10,466.10,466.34,4604,348,2821,61.27
18-Aug-2016,466.10,466.10,472.80,465.00,467.00,467.75,468.79,7467,500,4275,57.25
19-Aug-2016,467.75,467.00,473.00,463.05,464.00,463.75,466.22,8787,414,6242,71.04
22-Aug-2016,463.75,463.10,467.00,460.80,466.00,465.30,464.82,5622,360,3996,71.08
23-Aug-2016,465.30,461.10,469.65,461.10,464.05,465.30,464.54,4866,230,4015,82.51
24-Aug-2016,465.30,465.30,467.75,454.00,460.00,459.50,460.12,15019,796,10242,68.19
25-Aug-2016,459.50,464.60,464.60,456.35,460.00,460.50,459.73,7776,442,5535,71.18
26-Aug-2016,460.50,459.50,462.20,455.10,458.00,458.75,458.63,9159,332,6144,67.08
29-Aug-2016,458.75,459.00,465.50,459.00,459.50,460.40,460.90,7038,1077,4336,61.61
30-Aug-2016,460.40,464.00,467.00,458.00,458.05,459.00,459.74,5976,349,4268,71.42
31-Aug-2016,459.00,459.05,462.45,455.00,457.45,455.75,458.94,5054,389,3223,63.77
01-Sep-2016,455.75,462.00,467.00,435.50,436.00,436.70,442.76,61384,3696,36745,59.86
02-Sep-2016,436.70,436.00,452.80,436.00,449.55,449.30,444.04,22544,1144,16082,71.34
06-Sep-2016,449.30,447.05,449.30,437.00,438.00,438.80,441.64,23608,1143,14604,61.86
07-Sep-2016,438.80,439.00,449.00,416.00,416.30,420.50,427.50,36764,1582,26591,72.33
08-Sep-2016,420.50,420.50,432.00,420.50,425.70,425.15,426.25,29234,854,23722,81.15
09-Sep-2016,425.15,430.00,438.00,425.15,432.60,433.35,431.72,25425,816,20746,81.60
12-Sep-2016,433.35,437.00,437.00,425.20,430.00,430.10,429.89,22262,467,20196,90.72
14-Sep-2016,430.10,430.00,433.80,428.00,430.00,430.25,430.00,28245,409,25242,89.37
15-Sep-2016,430.25,431.00,434.00,428.35,428.35,428.70,431.18,5700,258,3263,57.25
16-Sep-2016,428.70,434.00,434.00,418.40,419.00,422.80,427.33,14136,950,9204,65.11
19-Sep-2016,422.80,428.50,430.00,417.00,419.45,419.25,423.67,7527,724,4459,59.24
20-Sep-2016,419.25,421.25,433.00,419.00,433.00,427.15,425.07,12148,525,9189,75.64
21-Sep-2016,427.15,431.95,432.80,423.15,432.50,430.35,429.37,15699,581,13498,85.98
22-Sep-2016,430.35,434.00,452.00,430.60,452.00,450.75,442.71,49613,1980,36463,73.49
23-Sep-2016,450.75,455.00,470.00,455.00,462.50,465.75,464.47,50845,2926,25641,50.43
26-Sep-2016,465.75,465.00,465.00,450.80,462.00,459.85,458.87,28815,1301,23037,79.95
27-Sep-2016,459.85,459.00,463.90,451.20,459.00,459.55,460.10,18951,588,17699,93.39
28-Sep-2016,459.55,459.00,463.00,454.10,460.00,460.20,457.52,10952,383,6054,55.28
29-Sep-2016,460.20,458.60,469.00,438.00,438.95,439.25,452.26,13004,739,8054,61.93
30-Sep-2016,439.25,435.00,448.00,435.00,446.20,444.95,442.11,7238,552,4299,59.39
03-Oct-2016,444.95,452.00,477.00,445.25,470.00,467.00,468.35,32592,1530,15522,47.63
04-Oct-2016,467.00,472.00,474.95,460.50,463.55,467.60,470.02,17639,593,11557,65.52
05-Oct-2016,467.60,471.95,471.95,456.60,457.00,459.10,462.74,11135,637,7341,65.93
06-Oct-2016,459.10,457.00,464.95,451.25,452.10,453.05,457.56,6563,440,4234,64.51
