DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,446.85,449.00,449.85,433.55,435.75,435.60,442.01,2440571,35811,352349,14.44
03-Aug-2016,435.60,434.90,440.55,426.35,427.55,429.00,433.95,2613232,35379,479950,18.37
04-Aug-2016,429.00,432.35,439.00,427.50,434.10,433.50,433.41,2172134,25555,266848,12.29
05-Aug-2016,433.50,437.20,442.75,435.15,438.70,440.00,439.53,2338994,30904,579688,24.78
08-Aug-2016,440.00,443.35,449.00,438.90,442.10,442.60,443.95,2119413,25285,307982,14.53
09-Aug-2016,442.60,443.95,443.95,435.30,438.50,438.45,439.40,1751419,24173,267262,15.26
10-Aug-2016,438.45,441.00,441.25,421.35,421.90,423.40,429.08,2479027,33515,402993,16.26
11-Aug-2016,423.40,423.80,440.20,417.55,439.80,435.80,426.62,3495662,54840,733357,20.98
12-Aug-2016,435.80,439.00,442.80,433.10,435.55,437.25,438.26,2558475,30338,320992,12.55
16-Aug-2016,437.25,439.00,463.75,436.20,458.00,459.25,451.72,6815276,99598,826426,12.13
17-Aug-2016,459.25,463.90,463.90,452.00,454.85,456.15,458.63,3353119,49928,515875,15.38
18-Aug-2016,456.15,457.85,470.40,456.60,465.90,465.95,463.75,3302731,45209,515463,15.61
19-Aug-2016,465.95,466.50,474.40,464.25,466.75,468.00,469.74,3525114,45995,632616,17.95
22-Aug-2016,468.00,468.40,472.20,460.65,466.40,467.00,466.84,2751982,40326,513108,18.65
23-Aug-2016,467.00,467.95,476.30,465.10,473.30,473.65,472.39,3264783,48930,666566,20.42
24-Aug-2016,473.65,475.00,489.65,473.25,488.00,488.30,481.91,4742651,59559,1196358,25.23
25-Aug-2016,488.30,490.00,500.65,485.10,491.30,492.30,493.37,6856846,74144,2027926,29.58
26-Aug-2016,492.30,493.00,505.50,491.80,503.10,502.85,500.36,4261092,58099,605328,14.21
29-Aug-2016,502.85,502.00,532.30,498.30,529.05,530.25,517.41,6074431,71672,746683,12.29
30-Aug-2016,530.25,533.00,535.90,525.35,529.20,528.50,531.00,5211509,73535,1298045,24.91
31-Aug-2016,528.50,532.00,539.90,529.00,532.65,531.80,534.71,3067241,43670,541595,17.66
01-Sep-2016,531.80,533.00,536.15,521.10,526.50,525.55,529.85,3059615,44953,489226,15.99
02-Sep-2016,525.55,527.70,548.30,526.20,542.65,544.65,539.25,3794834,55454,514716,13.56
06-Sep-2016,544.65,547.50,562.20,545.00,559.65,559.45,554.73,4166960,69079,1229739,29.51
07-Sep-2016,559.45,560.40,568.90,554.20,559.65,560.75,562.66,3010187,43567,425847,14.15
08-Sep-2016,560.75,561.95,566.20,558.00,561.90,561.25,561.86,1939912,46327,459409,23.68
09-Sep-2016,561.25,561.95,574.55,556.60,561.55,563.95,565.69,4212569,66945,893763,21.22
12-Sep-2016,563.95,548.80,554.80,531.10,532.25,533.40,543.44,3771846,56498,619679,16.43
14-Sep-2016,533.40,552.00,586.45,545.00,578.50,579.70,567.81,9767659,136389,952408,9.75
15-Sep-2016,579.70,574.25,574.70,560.25,561.45,562.25,566.60,5035775,77159,698484,13.87
16-Sep-2016,562.25,567.30,577.00,550.50,555.00,553.95,565.17,5907367,83550,792732,13.42
19-Sep-2016,553.95,560.00,573.95,560.00,569.50,569.75,569.49,4277355,63142,436345,10.20
20-Sep-2016,569.75,570.95,571.00,557.40,558.60,560.40,562.91,3050735,47123,433459,14.21
21-Sep-2016,560.40,561.00,569.00,554.00,555.00,556.05,562.67,3132964,47615,588202,18.77
22-Sep-2016,556.05,565.00,579.90,557.00,576.20,575.70,569.67,5296487,74242,1180684,22.29
23-Sep-2016,575.70,577.70,595.80,575.30,581.00,581.70,587.60,6612951,87355,914797,13.83
26-Sep-2016,581.70,579.70,585.50,562.00,564.90,565.55,575.29,4453543,65550,623033,13.99
27-Sep-2016,565.55,570.00,578.30,554.40,555.00,556.70,567.97,4692453,69112,688674,14.68
28-Sep-2016,556.70,559.00,569.85,557.05,568.40,565.85,564.32,4039803,52920,816934,20.22
29-Sep-2016,565.85,571.70,583.40,521.00,532.50,530.80,551.49,8206125,85759,1154378,14.07
30-Sep-2016,530.80,529.25,549.80,527.55,546.80,546.90,540.10,4227357,57321,528206,12.49
03-Oct-2016,546.90,550.20,572.50,550.10,569.85,570.70,562.81,4009161,49170,560450,13.98
04-Oct-2016,570.70,575.00,575.80,562.35,568.50,567.25,567.83,2732518,37569,336628,12.32
05-Oct-2016,567.25,571.00,584.45,565.65,576.35,577.80,578.55,4478557,56817,540388,12.07
06-Oct-2016,577.80,579.40,585.90,565.10,572.35,570.55,576.96,3202413,46717,331689,10.36
07-Oct-2016,570.55,574.40,578.35,567.25,576.85,576.80,574.28,2777844,36608,311820,11.23
10-Oct-2016,576.80,579.95,585.00,576.45,580.10,579.15,580.87,2016755,31110,181792,9.01
13-Oct-2016,579.15,575.00,576.50,544.55,551.95,553.50,557.67,4214252,56437,699516,16.60
14-Oct-2016,553.50,556.55,560.60,549.15,553.90,553.20,554.54,3288596,47195,555743,16.90
17-Oct-2016,553.20,555.00,559.45,536.20,540.50,539.45,547.09,2779113,45435,401437,14.44
18-Oct-2016,539.45,543.00,553.80,540.15,550.45,551.10,546.75,3361626,43760,1063049,31.62
19-Oct-2016,551.10,553.00,553.75,540.10,542.00,543.35,545.91,3404715,61045,973537,28.59
20-Oct-2016,543.35,545.95,552.00,543.80,544.90,544.75,547.68,2551076,31584,674096,26.42
21-Oct-2016,544.75,545.00,546.20,538.00,543.25,543.90,542.23,2040889,27808,290715,14.24
24-Oct-2016,543.90,547.00,556.55,543.30,546.15,547.70,549.10,3317787,50298,626928,18.90
25-Oct-2016,547.70,550.00,550.60,540.00,540.40,541.25,543.54,1868425,28439,289728,15.51
