DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,261.60,262.60,265.00,259.50,264.50,263.10,262.43,8843,445,7204,81.47
03-Aug-2016,263.10,261.00,274.90,260.00,267.00,269.15,268.81,44057,1275,25539,57.97
04-Aug-2016,269.15,270.00,272.00,264.10,264.90,264.65,267.42,12670,464,8108,63.99
05-Aug-2016,264.65,264.05,269.50,263.00,263.30,264.25,266.53,26796,716,14575,54.39
08-Aug-2016,264.25,263.05,266.00,263.05,263.10,263.85,264.91,153891,151,152996,99.42
09-Aug-2016,263.85,263.15,265.80,262.00,263.30,263.75,265.39,55644,218,53739,96.58
10-Aug-2016,263.75,262.00,265.00,262.00,262.70,262.95,263.34,3682,201,2309,62.71
11-Aug-2016,262.95,262.05,264.50,261.40,263.25,263.65,263.24,4187,165,2055,49.08
12-Aug-2016,263.65,263.15,263.40,259.50,260.10,260.15,260.87,3790,241,2190,57.78
16-Aug-2016,260.15,262.95,263.50,237.60,239.95,243.75,247.20,47400,881,39940,84.26
17-Aug-2016,243.75,240.00,260.00,224.50,245.50,250.35,243.45,617687,5698,507671,82.19
18-Aug-2016,250.35,250.50,267.00,242.90,256.35,258.10,259.80,318703,1727,295641,92.76
19-Aug-2016,258.10,257.95,262.00,256.80,256.85,258.65,259.44,10899,598,4558,41.82
22-Aug-2016,258.65,259.95,261.50,255.00,255.00,258.15,257.55,107423,653,102432,95.35
23-Aug-2016,258.15,257.00,259.80,251.50,253.00,253.25,255.06,6830,510,2371,34.71
24-Aug-2016,253.25,252.05,258.95,251.20,254.90,253.30,254.46,3922,326,1505,38.37
25-Aug-2016,253.30,260.50,263.00,252.10,258.10,258.30,259.32,24808,873,12169,49.05
26-Aug-2016,258.30,259.75,260.00,253.60,259.60,257.70,257.60,6797,537,2150,31.63
29-Aug-2016,257.70,255.00,260.00,249.00,250.00,251.65,253.75,5322,513,3112,58.47
30-Aug-2016,251.65,252.00,259.65,250.10,255.90,254.05,254.63,3486,334,1657,47.53
31-Aug-2016,254.05,255.00,255.00,251.50,252.00,252.55,253.25,5036,260,2853,56.65
01-Sep-2016,252.55,250.00,263.40,246.10,259.00,261.90,258.49,267330,940,260381,97.40
02-Sep-2016,261.90,260.00,260.00,255.00,255.05,255.80,257.01,2567,251,1105,43.05
06-Sep-2016,255.80,259.95,272.10,255.00,263.00,270.85,269.02,827231,1084,813292,98.31
07-Sep-2016,270.85,268.00,289.00,264.00,288.00,283.65,275.54,753365,1916,730478,96.96
08-Sep-2016,283.65,280.00,293.80,270.50,270.50,272.70,275.37,360434,1183,335313,93.03
09-Sep-2016,272.70,274.95,275.05,268.35,268.35,270.65,273.08,8655,285,5693,65.78
12-Sep-2016,270.65,265.00,268.50,258.95,262.00,263.45,262.59,11042,339,5896,53.40
14-Sep-2016,263.45,261.35,268.00,261.35,263.05,265.10,264.74,3391,175,1863,54.94
15-Sep-2016,265.10,265.70,270.00,261.75,266.10,267.60,265.62,2991,132,1949,65.16
16-Sep-2016,267.60,266.05,273.00,266.00,266.00,266.85,269.25,10807,235,8833,81.73
19-Sep-2016,266.85,265.50,273.90,265.50,266.50,269.00,270.23,3700,166,2721,73.54
20-Sep-2016,269.00,267.05,280.80,267.05,271.00,273.95,272.84,10933,217,10382,94.96
21-Sep-2016,273.95,273.80,273.80,264.50,265.00,265.25,267.19,13961,449,10410,74.56
22-Sep-2016,265.25,265.00,269.40,265.00,266.65,267.45,267.68,1894,129,1008,53.22
23-Sep-2016,267.45,266.65,270.00,266.60,267.00,267.70,268.44,2339,76,1711,73.15
26-Sep-2016,267.70,266.35,270.50,265.20,270.50,268.35,266.95,2542,141,1510,59.40
27-Sep-2016,268.35,265.70,270.40,265.00,266.10,266.85,266.98,13790,167,12576,91.20
28-Sep-2016,266.85,268.95,268.95,265.15,268.00,267.00,266.71,1421,82,732,51.51
29-Sep-2016,267.00,268.00,273.00,258.50,265.00,268.20,267.95,30919,951,18647,60.31
30-Sep-2016,268.20,268.00,282.40,265.10,282.40,276.75,273.31,7608,410,5569,73.20
03-Oct-2016,276.75,273.00,280.00,267.00,272.00,271.35,273.45,21264,740,13615,64.03
04-Oct-2016,271.35,277.00,277.00,265.90,270.55,269.85,271.23,4477,291,2983,66.63
05-Oct-2016,269.85,271.00,272.50,267.10,267.35,269.40,270.10,6559,174,5336,81.35
06-Oct-2016,269.40,267.35,272.50,267.35,268.70,270.05,271.12,13697,286,11839,86.43
07-Oct-2016,270.05,268.70,270.70,267.55,269.25,269.55,270.09,3343,107,2818,84.30
10-Oct-2016,269.55,267.50,270.95,266.50,269.00,269.30,269.41,2851,156,2471,86.67
13-Oct-2016,269.30,271.50,275.00,259.50,266.00,267.20,266.48,13465,430,7397,54.94
14-Oct-2016,267.20,265.50,270.00,265.50,267.15,269.05,268.49,1231,91,907,73.68
17-Oct-2016,269.05,270.50,277.00,268.05,273.00,272.80,273.27,16579,426,14136,85.26
18-Oct-2016,272.80,274.75,274.80,268.30,271.90,271.40,271.80,12616,378,9954,78.90
19-Oct-2016,271.40,270.00,273.85,268.00,270.00,271.15,271.06,33545,459,24303,72.45
20-Oct-2016,271.15,269.00,273.00,268.00,269.50,271.00,271.08,16048,204,14535,90.57
21-Oct-2016,271.00,270.60,270.75,268.25,268.35,268.95,269.62,2468,95,1780,72.12
24-Oct-2016,268.95,274.00,278.95,271.60,272.00,272.00,274.28,54781,1032,39092,71.36
25-Oct-2016,272.00,272.00,274.70,266.00,268.00,267.40,268.32,4548,316,2636,57.96
26-Oct-2016,267.40,270.90,270.90,262.00,264.00,265.95,266.07,8851,428,5326,60.17
27-Oct-2016,265.95,257.00,278.00,257.00,275.00,273.10,265.29,34002,1576,13036,38.34
28-Oct-2016,273.10,270.90,275.00,267.00,267.00,267.60,271.22,8161,332,5287,64.78
30-Oct-2016,267.60,270.00,270.00,265.00,267.00,266.55,267.61,2460,83,1849,75.16
01-Nov-2016,266.55,269.95,269.95,266.20,269.95,268.50,268.38,3112,126,1380,44.34
02-Nov-2016,268.50,264.55,275.50,259.50,271.00,269.90,266.30,22688,1041,13186,58.12
03-Nov-2016,269.90,270.00,272.30,263.50,266.00,265.00,266.83,7101,405,4970,69.99
04-Nov-2016,265.00,263.50,272.00,262.20,271.50,269.35,267.39,10178,563,5541,54.44
07-Nov-2016,269.35,272.50,272.50,267.00,268.50,268.70,269.28,3568,168,2012,56.39
08-Nov-2016,268.70,266.00,269.90,266.00,266.10,268.10,267.58,1663,97,803,48.29
09-Nov-2016,268.10,257.00,281.35,221.20,280.00,274.30,266.80,18480,531,11599,62.77
10-Nov-2016,274.30,273.00,277.95,266.05,268.60,268.40,274.03,4293,238,2825,65.80
