DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,852.05,854.65,864.75,843.10,858.00,860.70,856.43,62748,1953,50072,79.80
03-Aug-2016,860.70,857.00,863.45,835.00,835.00,840.00,841.63,31042,1071,23541,75.84
04-Aug-2016,840.00,850.00,850.00,803.00,824.00,819.35,831.49,34025,4130,18892,55.52
05-Aug-2016,819.35,827.05,849.00,816.55,828.25,828.20,826.18,36650,2396,16772,45.76
08-Aug-2016,828.20,828.20,845.10,801.10,818.00,819.45,818.73,59553,3697,32278,54.20
09-Aug-2016,819.45,817.00,834.05,813.55,824.40,828.90,823.55,45188,1975,32376,71.65
10-Aug-2016,828.90,832.05,836.90,819.05,823.95,823.70,829.43,85413,1707,75146,87.98
11-Aug-2016,823.70,824.00,834.85,814.55,823.00,827.25,825.47,16217,3384,8809,54.32
12-Aug-2016,827.25,821.00,834.90,813.60,828.00,825.30,826.83,24043,1795,14752,61.36
16-Aug-2016,825.30,826.10,829.00,812.65,827.00,824.10,825.12,14328,1973,11065,77.23
17-Aug-2016,824.10,830.00,837.45,818.55,825.00,827.20,825.36,188019,902,182991,97.33
18-Aug-2016,827.20,836.40,837.90,821.20,823.40,826.80,829.25,21457,2392,11992,55.89
19-Aug-2016,826.80,837.90,837.90,819.50,829.00,833.35,829.30,45042,1087,41526,92.19
22-Aug-2016,833.35,836.80,840.00,824.65,830.00,828.45,830.54,13716,1569,8565,62.45
23-Aug-2016,828.45,839.00,839.00,816.00,818.10,823.05,824.31,14296,1410,8574,59.97
24-Aug-2016,823.05,834.95,834.95,815.00,821.50,819.80,824.03,25083,2418,14390,57.37
25-Aug-2016,819.80,823.00,823.25,805.00,816.00,813.25,813.27,28709,2543,16804,58.53
26-Aug-2016,813.25,805.10,818.90,805.10,817.00,816.15,811.82,20674,1961,14857,71.86
29-Aug-2016,816.15,822.00,834.50,811.00,822.65,830.65,825.92,16366,2187,10775,65.84
30-Aug-2016,830.65,831.90,842.00,820.50,826.00,826.30,828.50,27329,1963,14406,52.71
31-Aug-2016,826.30,821.00,860.00,821.00,853.00,855.25,848.01,51457,3400,37587,73.05
01-Sep-2016,855.25,859.00,869.90,842.50,860.00,860.25,856.85,30874,2694,18673,60.48
02-Sep-2016,860.25,861.45,869.00,846.70,852.75,854.00,858.03,14631,973,6832,46.70
