DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,414.55,420.00,420.00,403.60,408.95,408.85,409.43,9069,350,6122,67.50
03-Aug-2016,408.85,408.85,408.85,395.00,397.25,397.90,398.11,25431,464,21174,83.26
04-Aug-2016,397.90,407.30,407.30,388.80,397.00,396.60,391.96,15660,562,10866,69.39
05-Aug-2016,396.60,399.00,427.80,391.00,414.00,416.30,411.00,47196,1174,26372,55.88
08-Aug-2016,416.30,419.05,420.00,412.60,414.50,415.20,417.27,4506,147,3962,87.93
09-Aug-2016,415.20,414.00,422.40,414.00,417.00,418.10,418.52,19863,378,15005,75.54
10-Aug-2016,418.10,415.10,421.00,415.10,420.00,418.50,419.39,35375,342,31070,87.83
11-Aug-2016,418.50,415.80,423.00,414.55,423.00,420.70,419.20,13243,380,8346,63.02
12-Aug-2016,420.70,420.00,425.00,418.10,419.00,419.65,421.74,28150,650,17777,63.15
16-Aug-2016,419.65,401.00,406.50,375.50,403.25,401.80,388.26,226830,3556,174538,76.95
17-Aug-2016,401.80,402.00,420.55,390.55,404.00,409.00,408.76,70910,1693,53548,75.52
18-Aug-2016,409.00,419.55,428.00,406.00,420.00,420.20,417.60,52628,678,45238,85.96
19-Aug-2016,420.20,424.85,424.90,411.65,416.55,413.35,417.76,12994,496,8242,63.43
22-Aug-2016,413.35,413.00,419.00,411.00,414.00,414.00,415.03,3396,200,2413,71.05
23-Aug-2016,414.00,406.00,421.95,406.00,415.90,415.25,417.14,8016,433,4631,57.77
24-Aug-2016,415.25,411.00,416.00,410.85,415.00,414.65,413.21,11814,478,7594,64.28
25-Aug-2016,414.65,411.05,432.00,409.95,420.60,415.20,415.03,76833,686,34358,44.72
26-Aug-2016,415.20,420.00,422.00,410.00,410.70,411.30,412.51,38108,373,20076,52.68
29-Aug-2016,411.30,410.25,413.90,400.00,409.15,408.90,407.27,7347,486,4834,65.80
30-Aug-2016,408.90,413.70,414.35,401.60,408.00,406.90,406.90,29313,596,26559,90.60
31-Aug-2016,406.90,407.00,414.30,404.00,410.00,409.50,409.23,26431,516,22692,85.85
01-Sep-2016,409.50,415.50,415.50,393.70,402.95,400.20,401.72,35748,663,24076,67.35
02-Sep-2016,400.20,405.00,405.55,400.05,405.00,403.95,403.92,95203,1263,51748,54.36
06-Sep-2016,403.95,405.00,409.15,396.70,398.05,399.65,404.82,20330,466,16650,81.90
07-Sep-2016,399.65,404.90,405.00,382.00,382.00,391.45,398.37,49856,883,37045,74.30
08-Sep-2016,391.45,392.00,393.95,382.00,388.50,388.10,388.85,203242,1212,192577,94.75
