DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,69.70,70.00,70.10,67.05,67.50,67.50,68.38,1011287,5453,483447,47.81
03-Aug-2016,67.50,67.95,67.95,65.55,65.80,65.85,66.37,902792,5230,403130,44.65
04-Aug-2016,65.85,66.30,66.95,65.25,65.30,65.50,65.90,827483,3422,377471,45.62
05-Aug-2016,65.50,65.75,66.50,65.40,65.85,66.00,65.90,838834,3720,362644,43.23
08-Aug-2016,66.00,66.45,66.60,65.75,65.80,65.90,66.13,535305,2763,255894,47.80
09-Aug-2016,65.90,66.20,66.20,64.60,65.20,65.05,65.33,456339,2408,208549,45.70
10-Aug-2016,65.05,65.15,65.65,63.75,64.25,64.00,64.37,683713,3560,409545,59.90
11-Aug-2016,64.00,64.35,65.30,63.50,63.90,63.85,64.05,590765,3205,251996,42.66
12-Aug-2016,63.85,64.20,64.30,63.40,63.80,63.80,63.83,689060,4093,341756,49.60
16-Aug-2016,63.80,64.10,64.10,63.00,63.50,63.65,63.44,471840,2563,185753,39.37
17-Aug-2016,63.65,63.70,64.90,63.50,64.35,64.35,64.24,601931,2512,235257,39.08
18-Aug-2016,64.35,64.50,66.25,63.90,65.95,65.85,65.32,1368429,5771,472507,34.53
19-Aug-2016,65.85,66.95,67.40,66.25,66.60,66.70,66.87,1642148,7858,725957,44.21
22-Aug-2016,66.70,67.60,67.90,66.00,66.25,66.20,66.68,1021412,5372,440820,43.16
23-Aug-2016,66.20,66.20,66.60,64.90,65.20,65.30,65.68,881994,3865,312382,35.42
24-Aug-2016,65.30,65.60,66.25,64.45,65.00,65.10,65.23,1582403,7096,613531,38.77
25-Aug-2016,65.10,65.40,65.75,64.50,64.90,64.80,65.08,689710,3473,292722,42.44
26-Aug-2016,64.80,65.25,65.70,63.80,63.95,64.00,64.51,877085,3709,450613,51.38
29-Aug-2016,64.00,63.95,64.20,63.00,63.05,63.20,63.58,1407350,4430,797449,56.66
30-Aug-2016,63.20,63.55,66.15,63.55,65.20,65.25,64.94,1989791,8710,800633,40.24
31-Aug-2016,65.25,65.45,66.35,64.20,64.60,64.75,65.33,1229755,5530,398833,32.43
01-Sep-2016,64.75,65.00,65.35,63.25,63.65,63.55,64.27,794851,3666,449010,56.49
02-Sep-2016,63.55,64.10,64.75,63.20,63.80,64.00,64.07,576249,2870,276290,47.95
06-Sep-2016,64.00,64.30,65.40,64.00,65.25,65.10,64.74,953640,3819,373079,39.12
07-Sep-2016,65.10,65.75,67.15,65.30,65.85,65.70,66.20,2275431,12670,902253,39.65
08-Sep-2016,65.70,66.00,71.40,65.50,69.15,68.70,69.07,8381045,32016,2320307,27.69
09-Sep-2016,68.70,69.15,69.70,62.60,64.75,64.95,64.96,14190997,32223,4047822,28.52
12-Sep-2016,64.95,64.00,65.00,54.60,55.35,55.40,57.95,35255665,59137,14140012,40.11
14-Sep-2016,55.40,55.95,58.90,55.60,56.95,57.05,57.44,8902783,30261,3081028,34.61
15-Sep-2016,57.05,57.50,58.30,55.65,56.20,56.00,57.07,3608142,11322,1469320,40.72
16-Sep-2016,56.00,56.80,59.45,56.15,57.40,57.40,57.71,8135291,26728,2190340,26.92
19-Sep-2016,57.40,58.50,59.55,58.10,58.90,58.85,58.93,3275502,13430,1675318,51.15
20-Sep-2016,58.85,59.20,59.40,57.15,57.70,57.60,58.21,1365011,6105,730938,53.55
21-Sep-2016,57.60,57.80,60.70,57.60,59.00,58.95,59.53,5123931,16666,1424783,27.81
22-Sep-2016,58.95,60.75,61.40,59.70,60.95,60.90,60.73,5342208,24190,1873119,35.06
23-Sep-2016,60.90,61.15,62.65,60.50,60.80,60.70,61.54,4089782,17706,1471717,35.99
26-Sep-2016,60.70,60.50,60.90,58.95,59.35,59.15,59.79,1599989,6652,822261,51.39
27-Sep-2016,59.15,59.80,59.90,58.80,58.95,59.05,59.39,1049037,4449,404518,38.56
28-Sep-2016,59.05,59.10,59.70,58.85,58.90,59.00,59.21,877196,3516,451880,51.51
29-Sep-2016,59.00,59.65,59.65,55.00,55.50,55.35,56.65,2275966,9105,1206855,53.03
30-Sep-2016,55.35,55.95,56.85,55.30,56.85,56.45,56.14,1183987,5080,653555,55.20
03-Oct-2016,56.45,57.10,62.45,56.45,61.50,61.35,60.82,8859043,28684,2499964,28.22
04-Oct-2016,61.35,63.40,63.90,61.80,62.35,62.30,62.69,4791457,18449,2084027,43.49
05-Oct-2016,62.30,62.90,62.90,60.90,61.25,61.35,61.46,1630568,6283,780129,47.84
06-Oct-2016,61.35,61.75,61.75,59.60,60.35,60.30,60.80,1345744,5160,674942,50.15
07-Oct-2016,60.30,60.50,63.45,59.10,61.65,61.70,61.85,4644999,13954,1219869,26.26
10-Oct-2016,61.70,62.30,62.35,61.20,61.40,61.35,61.60,1052030,4021,495570,47.11
13-Oct-2016,61.35,61.80,61.80,59.35,60.10,60.00,60.34,1189575,5245,597802,50.25
14-Oct-2016,60.00,60.50,61.75,60.05,61.50,61.35,60.87,1569733,5641,773997,49.31
17-Oct-2016,61.35,62.65,63.40,61.30,61.65,61.60,62.30,3226219,13395,1266496,39.26
18-Oct-2016,61.60,62.00,62.30,61.30,61.50,61.60,61.75,1216997,4623,552941,45.43
19-Oct-2016,61.60,61.95,61.95,60.70,60.70,60.85,61.14,852606,3460,466446,54.71
20-Oct-2016,60.85,61.20,61.90,59.50,60.45,60.20,60.87,1570593,5365,875978,55.77
