DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,53.00,53.00,53.55,52.10,52.30,52.40,52.73,2316971,6106,443062,19.12
03-Aug-2016,52.40,52.30,52.60,51.05,51.25,51.20,51.78,2981590,7417,630520,21.15
04-Aug-2016,51.20,51.50,52.05,50.60,51.20,51.20,51.36,5057598,10183,557950,11.03
05-Aug-2016,51.20,51.60,52.20,51.40,51.90,52.05,51.84,3126924,6555,472712,15.12
08-Aug-2016,52.05,52.45,53.00,52.05,52.25,52.45,52.50,2976725,9439,470901,15.82
09-Aug-2016,52.45,52.45,53.30,52.15,52.35,52.40,52.64,2368472,7155,482826,20.39
10-Aug-2016,52.40,52.50,52.75,50.85,50.85,51.10,51.53,3085144,7855,651157,21.11
11-Aug-2016,51.10,50.80,51.55,50.25,51.25,51.15,50.91,2742380,7063,410986,14.99
12-Aug-2016,51.15,51.45,51.60,50.75,50.85,51.00,51.12,1891304,5724,383266,20.26
16-Aug-2016,51.00,51.00,51.60,50.10,51.35,51.35,50.98,3522274,8031,562701,15.98
17-Aug-2016,51.35,51.25,51.55,50.75,51.35,51.30,51.19,2234645,5261,441609,19.76
18-Aug-2016,51.30,51.80,52.45,51.45,52.10,52.10,51.99,2439706,6026,637363,26.12
19-Aug-2016,52.10,52.20,52.80,51.80,52.20,52.30,52.37,2334535,6483,590828,25.31
22-Aug-2016,52.30,52.25,52.55,51.45,52.00,52.10,52.05,1707295,4486,397556,23.29
23-Aug-2016,52.10,51.95,52.95,51.85,52.60,52.65,52.53,2905939,8430,634784,21.84
24-Aug-2016,52.65,53.40,53.45,52.75,53.00,53.15,53.09,3057159,9147,824849,26.98
25-Aug-2016,53.15,53.10,53.70,52.00,52.05,52.30,52.86,4346560,7916,1228338,28.26
26-Aug-2016,52.30,52.30,52.80,51.50,52.30,52.40,52.19,3926844,8832,542203,13.81
29-Aug-2016,52.40,52.20,53.20,51.90,53.05,53.00,52.61,2791925,6913,590591,21.15
30-Aug-2016,53.00,53.45,53.45,52.90,53.15,53.15,53.15,2358954,5859,829484,35.16
31-Aug-2016,53.15,53.15,54.00,52.85,53.15,53.25,53.40,4827669,10581,908921,18.83
01-Sep-2016,53.25,53.25,53.70,50.90,51.15,51.15,52.26,4597744,10684,1431473,31.13
02-Sep-2016,51.15,51.40,52.10,51.00,51.70,51.85,51.65,2771016,7442,706009,25.48
06-Sep-2016,51.85,52.10,52.60,52.00,52.20,52.25,52.23,1711506,4444,480394,28.07
07-Sep-2016,52.25,52.30,53.10,51.95,52.75,52.70,52.62,2994991,6570,934104,31.19
08-Sep-2016,52.70,52.70,53.40,52.60,53.15,53.15,53.07,2513600,5524,592057,23.55
09-Sep-2016,53.15,53.35,54.20,53.15,53.55,53.50,53.64,4358394,9350,941293,21.60
12-Sep-2016,53.50,53.25,53.25,50.85,51.40,51.50,51.92,5447166,12165,1003146,18.42
14-Sep-2016,51.50,51.35,53.00,51.35,52.95,52.80,52.34,3634756,8952,861547,23.70
15-Sep-2016,52.80,52.90,53.30,52.00,52.10,52.20,52.54,2127237,5360,314048,14.76
16-Sep-2016,52.20,52.90,53.15,51.50,51.60,51.75,52.34,4705196,9695,2311107,49.12
19-Sep-2016,51.75,52.00,52.10,51.40,51.80,51.80,51.84,1896968,5024,663255,34.96
20-Sep-2016,51.80,51.80,52.00,51.35,51.45,51.50,51.64,1227429,4221,278627,22.70
21-Sep-2016,51.50,51.65,51.85,50.90,51.15,51.10,51.36,1641784,4748,506805,30.87
22-Sep-2016,51.10,51.70,52.00,51.35,51.80,51.80,51.72,1609815,5047,549153,34.11
23-Sep-2016,51.80,51.95,52.60,51.50,51.75,51.80,52.19,3101198,7750,1030093,33.22
26-Sep-2016,51.80,51.70,52.00,51.00,51.40,51.25,51.54,1654179,4639,415644,25.13
27-Sep-2016,51.25,51.45,51.95,51.05,51.20,51.15,51.49,1662148,4649,513317,30.88
28-Sep-2016,51.15,51.25,51.85,51.00,51.50,51.45,51.47,2795266,5474,689105,24.65
29-Sep-2016,51.45,51.60,51.90,46.35,46.80,46.85,48.32,5530064,12279,2299227,41.58
30-Sep-2016,46.85,46.70,47.85,46.20,47.65,47.65,47.29,4153675,12245,792727,19.08
03-Oct-2016,47.65,48.00,48.80,47.55,48.50,48.65,48.35,2957616,7091,518392,17.53
04-Oct-2016,48.65,48.70,48.80,48.20,48.70,48.65,48.52,1786439,4698,360239,20.17
05-Oct-2016,48.65,48.80,49.30,48.40,48.60,48.60,48.77,1888644,5160,382774,20.27
06-Oct-2016,48.60,48.65,49.20,47.70,47.85,47.95,48.58,2638597,5631,498914,18.91
07-Oct-2016,47.95,47.80,48.40,47.55,48.10,48.05,48.00,2766404,7700,355392,12.85
10-Oct-2016,48.05,48.20,48.65,47.90,48.05,48.05,48.23,958112,3206,332788,34.73
13-Oct-2016,48.05,47.95,47.95,46.25,46.55,46.60,46.88,3896558,9536,878996,22.56
14-Oct-2016,46.60,46.80,47.35,46.65,47.15,47.10,46.96,1514652,4470,375000,24.76
17-Oct-2016,47.10,47.15,47.50,46.10,46.60,46.50,46.68,1816838,4985,383568,21.11
18-Oct-2016,46.50,46.80,47.45,46.60,47.25,47.30,47.03,1863294,4352,552858,29.67
19-Oct-2016,47.30,47.35,47.95,47.20,47.90,47.85,47.65,1918580,5509,369389,19.25
20-Oct-2016,47.85,48.05,48.80,47.80,48.65,48.70,48.35,3841798,7945,985578,25.65
21-Oct-2016,48.70,48.50,48.65,48.15,48.45,48.40,48.36,1050630,2803,267926,25.50
24-Oct-2016,48.40,48.60,49.10,48.00,48.35,48.45,48.55,1936845,8387,680297,35.12
25-Oct-2016,48.45,48.45,48.70,47.90,48.25,48.15,48.16,1124538,2969,454296,40.40
26-Oct-2016,48.15,47.80,48.50,47.40,47.55,47.60,47.97,2010347,5826,639810,31.83
27-Oct-2016,47.60,47.50,47.70,46.60,46.95,46.80,46.93,8675372,7218,4451001,51.31
28-Oct-2016,46.80,46.85,47.35,46.80,47.10,47.10,47.08,1677134,3886,288582,17.21
30-Oct-2016,47.10,47.50,47.50,46.80,46.95,47.05,47.17,468997,2003,225179,48.01
01-Nov-2016,47.05,47.15,47.70,46.85,47.10,47.10,47.26,1537950,4209,462449,30.07
02-Nov-2016,47.10,46.70,46.80,46.00,46.15,46.15,46.35,2878282,8154,834880,29.01
03-Nov-2016,46.15,46.05,46.55,45.50,45.60,45.80,46.11,2141163,5667,462661,21.61
04-Nov-2016,45.80,45.80,45.90,43.80,44.10,43.95,44.59,3824770,8837,1171341,30.63
07-Nov-2016,43.95,44.65,44.75,44.30,44.60,44.55,44.55,1279823,3999,460885,36.01
