DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,11.05,11.05,11.20,10.90,11.00,10.95,11.03,1446708,967,1103056,76.25
03-Aug-2016,10.95,11.00,11.20,10.65,10.80,10.75,10.80,1597060,1140,1144229,71.65
04-Aug-2016,10.75,10.80,11.00,10.80,10.90,10.85,10.91,693156,543,526174,75.91
05-Aug-2016,10.85,10.85,11.00,10.80,10.85,10.85,10.91,1031995,544,820978,79.55
08-Aug-2016,10.85,11.00,11.00,10.60,10.70,10.65,10.77,1697322,1070,1309771,77.17
09-Aug-2016,10.65,10.70,10.80,10.35,10.50,10.45,10.53,1722779,1211,1349836,78.35
10-Aug-2016,10.45,10.60,10.60,10.20,10.40,10.30,10.39,2109934,1501,1346504,63.82
11-Aug-2016,10.30,10.30,10.60,10.25,10.30,10.30,10.40,1259124,873,907863,72.10
12-Aug-2016,10.30,10.45,10.55,10.25,10.30,10.30,10.38,722057,867,439008,60.80
16-Aug-2016,10.30,10.30,10.40,9.95,10.00,10.00,10.07,1449321,1039,1093263,75.43
17-Aug-2016,10.00,10.10,10.20,9.95,10.05,10.00,10.02,2153993,1114,1656351,76.90
18-Aug-2016,10.00,10.05,10.15,9.95,9.95,9.95,10.00,1335888,694,988925,74.03
19-Aug-2016,9.95,10.00,10.05,9.80,9.80,9.85,9.95,1390409,723,1220729,87.80
22-Aug-2016,9.85,10.00,10.05,9.70,9.90,9.85,9.83,1339977,1100,1015926,75.82
23-Aug-2016,9.85,10.00,10.00,9.85,10.00,9.95,9.96,699544,821,451307,64.51
24-Aug-2016,9.95,10.10,10.75,9.95,10.45,10.40,10.36,2008196,1687,1449040,72.16
25-Aug-2016,10.40,10.50,10.55,10.05,10.15,10.15,10.30,1134335,1230,613172,54.06
26-Aug-2016,10.15,10.30,10.30,9.85,9.95,10.00,10.04,1369486,1142,814201,59.45
29-Aug-2016,10.00,10.10,10.20,9.90,10.00,9.95,10.01,1009900,873,607974,60.20
30-Aug-2016,9.95,10.10,10.30,9.95,10.05,10.00,10.12,1118210,750,760025,67.97
31-Aug-2016,10.00,9.90,10.15,9.90,10.05,10.05,10.05,561970,599,376914,67.07
01-Sep-2016,10.05,10.00,10.25,9.95,10.05,10.00,10.06,969228,797,536960,55.40
02-Sep-2016,10.00,10.25,10.25,9.60,9.70,9.65,9.80,1637296,1206,1142548,69.78
06-Sep-2016,9.65,9.70,9.90,9.70,9.80,9.80,9.80,1171651,857,871204,74.36
07-Sep-2016,9.80,9.85,9.90,9.55,9.60,9.65,9.74,1311037,984,946464,72.19
08-Sep-2016,9.65,9.75,9.75,9.45,9.50,9.55,9.58,1652602,1305,1120556,67.81
09-Sep-2016,9.55,9.60,9.75,9.40,9.45,9.50,9.55,2989815,1911,1850285,61.89
12-Sep-2016,9.50,9.55,9.60,9.40,9.45,9.45,9.50,2341071,1364,1602585,68.46
14-Sep-2016,9.45,9.50,9.90,9.20,9.30,9.30,9.45,5150272,2727,3536074,68.66
15-Sep-2016,9.30,10.20,10.40,9.15,9.45,9.40,9.64,14134475,9771,6080692,43.02
16-Sep-2016,9.40,9.60,9.65,9.25,9.50,9.50,9.47,3998367,3395,2602162,65.08
19-Sep-2016,9.50,9.50,9.65,9.05,9.20,9.15,9.31,3347146,2324,2089536,62.43
20-Sep-2016,9.15,9.15,9.30,8.90,9.00,8.95,9.06,4297649,3014,2641253,61.46
21-Sep-2016,8.95,8.90,9.05,8.75,8.85,8.85,8.87,3523632,2762,2191862,62.20
22-Sep-2016,8.85,8.90,9.00,8.75,8.85,8.90,8.88,2630145,2836,1642668,62.46
23-Sep-2016,8.90,8.95,9.00,8.75,8.80,8.80,8.83,2177332,2985,1464659,67.27
26-Sep-2016,8.80,8.85,9.25,8.75,8.85,8.85,8.96,3533544,4801,2243605,63.49
27-Sep-2016,8.85,8.95,9.10,8.90,9.00,8.95,8.98,1364043,1870,848865,62.23
28-Sep-2016,8.95,8.90,9.05,8.80,8.90,8.90,8.91,3109493,3046,2123433,68.29
29-Sep-2016,8.90,8.90,9.05,8.10,8.25,8.20,8.51,5269291,3980,3231159,61.32
30-Sep-2016,8.20,8.20,8.55,8.10,8.20,8.25,8.34,2659819,2568,1479055,55.61
03-Oct-2016,8.25,8.25,9.30,8.25,9.00,9.00,8.96,9312965,8436,3944247,42.35
04-Oct-2016,9.00,9.05,9.10,8.70,9.05,9.05,8.93,3049569,3265,1442408,47.30
05-Oct-2016,9.05,9.10,9.25,8.80,8.95,9.00,8.99,2432000,2479,1288361,52.98
06-Oct-2016,9.00,9.10,9.10,8.65,8.75,8.75,8.86,2596989,2874,1607390,61.89
07-Oct-2016,8.75,8.85,8.90,8.55,8.60,8.60,8.70,1924899,3035,1086070,56.42
10-Oct-2016,8.60,8.60,8.85,8.50,8.60,8.60,8.65,1868460,2299,995284,53.27
13-Oct-2016,8.60,8.55,8.65,8.40,8.55,8.50,8.51,1468091,2278,893198,60.84
14-Oct-2016,8.50,8.60,8.85,8.50,8.80,8.75,8.65,1116157,1444,708659,63.49
17-Oct-2016,8.75,8.75,9.10,8.70,8.95,8.85,8.91,2117928,2213,1063499,50.21
18-Oct-2016,8.85,8.90,9.00,8.80,8.90,8.90,8.91,1970378,2038,1146071,58.17
19-Oct-2016,8.90,8.95,9.20,8.90,9.15,9.10,9.03,3145789,2952,1643408,52.24
20-Oct-2016,9.10,9.25,9.50,9.00,9.20,9.20,9.25,6879725,5181,2914987,42.37
21-Oct-2016,9.20,9.25,9.35,8.90,9.00,9.00,9.10,3973273,3403,2049737,51.59
24-Oct-2016,9.00,9.00,9.05,8.60,8.70,8.75,8.85,3713690,3351,1993811,53.69
25-Oct-2016,8.75,8.70,8.80,8.45,8.55,8.60,8.58,4808783,3928,2686986,55.88
26-Oct-2016,8.60,8.55,8.80,8.50,8.70,8.65,8.65,2262227,1942,1236330,54.65
27-Oct-2016,8.65,8.65,8.75,8.45,8.45,8.50,8.55,1684664,1861,1027590,61.00
28-Oct-2016,8.50,8.60,8.60,8.30,8.30,8.35,8.42,2650446,2735,1645647,62.09
30-Oct-2016,8.35,8.50,8.65,8.30,8.55,8.50,8.49,1323054,919,624762,47.22
01-Nov-2016,8.50,8.70,8.70,8.45,8.45,8.45,8.56,2708418,2401,1445746,53.38
02-Nov-2016,8.45,8.35,8.40,8.25,8.25,8.30,8.33,2093298,2479,1148472,54.86
03-Nov-2016,8.30,8.40,8.40,8.15,8.15,8.15,8.25,2474028,2981,1289774,52.13
04-Nov-2016,8.15,8.25,8.25,7.70,8.00,8.00,7.95,5145040,3727,2333659,45.36
07-Nov-2016,8.00,8.05,8.35,8.00,8.05,8.00,8.13,1579747,1792,698598,44.22
08-Nov-2016,8.00,8.20,8.25,8.00,8.15,8.15,8.10,1628587,1662,721658,44.31
09-Nov-2016,8.15,7.75,7.90,7.00,7.75,7.70,7.57,5066355,3028,2027303,40.02
10-Nov-2016,7.70,8.10,8.25,7.75,7.95,7.95,7.96,2820761,2332,1091740,38.70
11-Nov-2016,7.95,7.90,7.90,7.35,7.45,7.50,7.59,3403393,2476,1659677,48.77
15-Nov-2016,7.50,7.50,7.50,6.90,6.95,7.00,7.12,3940723,3647,2365796,60.03
16-Nov-2016,7.00,7.20,7.25,6.85,6.95,6.95,7.01,2390501,1695,1086187,45.44
17-Nov-2016,6.95,7.00,7.20,6.95,7.15,7.10,7.08,1651680,1477,803003,48.62
18-Nov-2016,7.10,7.15,7.35,7.05,7.30,7.25,7.22,2092442,1780,1099383,52.54
21-Nov-2016,7.25,7.35,7.35,6.80,6.90,6.90,6.99,1895082,2054,1084870,57.25
22-Nov-2016,6.90,7.05,7.15,6.85,7.10,7.10,7.03,1608695,1749,655932,40.77
23-Nov-2016,7.10,7.10,7.20,6.95,7.10,7.10,7.06,2216479,1803,1203685,54.31
24-Nov-2016,7.10,7.10,7.15,7.00,7.10,7.10,7.07,731307,1020,390987,53.46
25-Nov-2016,7.10,7.20,7.30,7.05,7.15,7.15,7.17,969294,1067,449297,46.35
28-Nov-2016,7.15,7.35,7.55,7.10,7.35,7.40,7.32,1951202,2186,905897,46.43
29-Nov-2016,7.40,7.40,7.65,7.35,7.50,7.50,7.53,1561700,1647,834569,53.44
30-Nov-2016,7.50,7.50,7.80,7.45,7.75,7.75,7.67,1430257,2468,733661,51.30
01-Dec-2016,7.75,7.80,7.90,7.50,7.60,7.55,7.67,2433828,2140,976407,40.12
02-Dec-2016,7.55,7.55,7.55,7.10,7.20,7.20,7.28,2799120,2526,1101487,39.35
05-Dec-2016,7.20,7.40,7.65,7.25,7.35,7.40,7.42,2289959,2269,895374,39.10
06-Dec-2016,7.40,7.15,7.25,6.95,7.05,7.00,7.06,5975701,4427,3026211,50.64
07-Dec-2016,7.00,7.05,7.50,7.00,7.25,7.20,7.25,5151097,3238,1939784,37.66
08-Dec-2016,7.20,7.35,7.40,7.10,7.20,7.20,7.24,1714316,1772,690938,40.30
09-Dec-2016,7.20,7.25,7.25,7.10,7.10,7.15,7.17,1437125,1603,768386,53.47
12-Dec-2016,7.15,7.20,7.25,7.00,7.05,7.05,7.11,1368438,1366,614050,44.87
13-Dec-2016,7.05,7.10,7.10,7.00,7.10,7.05,7.05,854441,995,468068,54.78
14-Dec-2016,7.05,7.10,7.15,7.00,7.10,7.05,7.09,727820,911,340385,46.77
15-Dec-2016,7.05,7.00,7.15,7.00,7.10,7.05,7.09,1196894,1090,562270,46.98
16-Dec-2016,7.05,7.05,7.15,6.95,6.95,6.95,7.01,1148940,1345,637544,55.49
19-Dec-2016,6.95,7.00,7.05,6.90,6.95,6.95,6.97,939111,1187,423291,45.07
20-Dec-2016,6.95,7.00,7.00,6.70,6.80,6.80,6.83,1955958,2059,1172749,59.96
21-Dec-2016,6.80,6.85,6.90,6.75,6.75,6.80,6.80,1026917,1095,689467,67.14
22-Dec-2016,6.80,6.85,6.85,6.60,6.75,6.70,6.71,1139890,1410,653574,57.34
23-Dec-2016,6.70,6.75,6.75,6.60,6.65,6.65,6.68,1067299,1381,621084,58.19
26-Dec-2016,6.65,6.65,6.65,6.40,6.50,6.50,6.52,1328521,1584,786141,59.17
27-Dec-2016,6.50,6.55,6.80,6.30,6.75,6.65,6.53,1898973,2008,914932,48.18
28-Dec-2016,6.65,6.70,6.90,6.65,6.75,6.70,6.78,918534,1281,440399,47.95
29-Dec-2016,6.70,6.80,6.90,6.70,6.80,6.80,6.82,884073,931,429568,48.59
30-Dec-2016,6.80,6.85,6.95,6.80,6.90,6.90,6.88,728167,717,398890,54.78
02-Jan-2017,6.90,6.90,7.25,6.85,7.15,7.15,7.08,1662131,1660,845268,50.85
03-Jan-2017,7.15,7.15,7.15,7.00,7.00,7.05,7.07,936392,1222,451121,48.18
04-Jan-2017,7.05,7.05,7.30,7.05,7.15,7.20,7.20,2945758,1884,1323092,44.92
05-Jan-2017,7.20,7.25,7.40,7.20,7.20,7.25,7.28,1198299,1432,633767,52.89
06-Jan-2017,7.25,7.30,7.30,7.05,7.25,7.25,7.19,1651377,1663,812926,49.23
09-Jan-2017,7.25,7.20,7.35,7.05,7.10,7.10,7.14,1278130,1211,713390,55.82
10-Jan-2017,7.10,7.10,7.10,6.90,6.90,6.95,6.99,2265603,1891,1094880,48.33
11-Jan-2017,6.95,6.95,7.20,6.95,7.15,7.15,7.09,2194209,1471,1322500,60.27
12-Jan-2017,7.15,7.15,7.25,7.05,7.15,7.10,7.13,3013350,1864,1653575,54.87
13-Jan-2017,7.10,7.15,7.25,7.05,7.10,7.10,7.11,1287334,1083,556999,43.27
16-Jan-2017,7.10,7.05,7.10,6.95,7.00,7.00,7.03,1786703,1340,850635,47.61
17-Jan-2017,7.00,7.05,7.10,6.90,6.95,6.95,7.01,1146971,927,668215,58.26
18-Jan-2017,6.95,6.95,7.10,6.95,7.00,7.00,7.02,976766,1759,488846,50.05
19-Jan-2017,7.00,7.05,7.05,6.85,6.90,6.90,6.93,1431914,1134,1001688,69.95
20-Jan-2017,6.90,6.95,7.75,6.85,7.00,7.00,7.19,13711898,9144,7692904,56.10
23-Jan-2017,7.00,7.05,7.25,7.00,7.10,7.10,7.12,1505332,799,821072,54.54
24-Jan-2017,7.10,7.10,7.10,7.00,7.10,7.10,7.07,709901,335,581310,81.89
25-Jan-2017,7.10,7.10,7.15,6.90,7.00,7.00,7.00,1449382,785,928560,64.07
27-Jan-2017,7.00,7.05,7.10,6.95,6.95,6.95,7.03,2248270,824,1195462,53.17
30-Jan-2017,6.95,6.95,7.35,6.90,7.25,7.20,7.18,2488888,1395,1368299,54.98
31-Jan-2017,7.20,7.20,7.50,7.10,7.20,7.20,7.29,3710628,1959,1525135,41.10
01-Feb-2017,7.20,7.25,7.35,7.10,7.15,7.15,7.23,1494212,975,629616,42.14
02-Feb-2017,7.15,7.20,7.20,7.05,7.10,7.05,7.11,1810246,1395,1082580,59.80
03-Feb-2017,7.05,7.10,7.60,7.10,7.50,7.45,7.37,4674759,2126,2366689,50.63
06-Feb-2017,7.45,7.60,7.85,7.40,7.70,7.75,7.63,4494525,1942,2584979,57.51
07-Feb-2017,7.75,7.75,8.15,7.65,7.75,7.80,7.91,5555209,3433,2950374,53.11
08-Feb-2017,7.80,7.90,8.15,7.70,8.00,8.00,7.94,4976506,2337,2569222,51.63
09-Feb-2017,8.00,7.65,7.80,7.50,7.60,7.60,7.63,5554162,2892,2574887,46.36
10-Feb-2017,7.60,7.60,7.75,7.30,7.35,7.30,7.43,3396477,2657,1623603,47.80
13-Feb-2017,7.30,7.30,7.45,7.05,7.10,7.10,7.17,2221243,1280,1297337,58.41
14-Feb-2017,7.10,7.05,7.15,7.00,7.10,7.05,7.07,1786788,1337,986762,55.23
15-Feb-2017,7.05,7.05,7.15,6.95,7.05,7.00,7.04,1884194,1704,1088495,57.77
16-Feb-2017,7.00,7.00,7.10,6.95,7.10,7.10,7.03,917409,752,518866,56.56
