DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,288.55,288.55,291.90,285.00,288.00,288.05,288.21,1741,91,1392,79.95
03-Aug-2016,288.05,288.00,292.85,285.00,288.00,287.75,286.27,5040,103,3588,71.19
04-Aug-2016,287.75,283.00,295.00,283.00,294.00,293.80,291.05,3564,189,2854,80.08
05-Aug-2016,293.80,298.00,298.00,290.20,293.50,293.55,294.18,5466,140,3826,70.00
08-Aug-2016,293.55,287.85,297.00,287.85,290.95,290.15,290.51,4293,109,3636,84.70
09-Aug-2016,290.15,293.95,293.95,282.00,288.00,286.55,288.55,5041,192,3630,72.01
10-Aug-2016,286.55,282.00,293.00,282.00,286.00,286.00,286.44,2517,89,1483,58.92
11-Aug-2016,286.00,286.20,293.50,283.25,283.60,284.95,286.13,2646,88,1624,61.38
12-Aug-2016,284.95,280.10,289.50,280.10,285.00,285.00,285.38,1959,60,1305,66.62
16-Aug-2016,285.00,290.00,290.00,280.50,284.00,284.45,284.48,1938,90,873,45.05
17-Aug-2016,284.45,288.90,292.00,281.60,292.00,289.80,288.44,2002,74,1339,66.88
18-Aug-2016,289.80,290.00,290.00,285.00,285.30,286.20,285.98,1974,95,1658,83.99
19-Aug-2016,286.20,287.10,291.75,283.15,284.00,283.85,285.51,3210,130,2031,63.27
22-Aug-2016,283.85,285.00,288.05,283.00,284.80,284.80,286.36,2519,94,1889,74.99
23-Aug-2016,284.80,285.80,288.70,282.00,282.00,282.80,285.15,2116,181,1191,56.29
24-Aug-2016,282.80,282.35,284.05,282.20,282.60,283.45,282.92,992,97,571,57.56
25-Aug-2016,283.45,282.00,286.00,280.00,281.00,281.55,282.98,3515,149,2070,58.89
26-Aug-2016,281.55,281.30,286.00,275.05,275.05,277.00,280.13,5304,252,3504,66.06
29-Aug-2016,277.00,279.00,285.00,275.00,280.00,280.45,279.33,4697,199,2676,56.97
30-Aug-2016,280.45,280.15,284.50,277.50,278.00,281.30,280.54,2648,114,1474,55.66
31-Aug-2016,281.30,279.70,294.90,276.00,288.15,288.55,287.63,10101,417,7761,76.83
01-Sep-2016,288.55,283.00,291.00,281.10,282.00,284.00,285.89,3258,122,2129,65.35
02-Sep-2016,284.00,281.30,286.75,280.00,281.00,281.25,282.54,4325,174,2552,59.01
06-Sep-2016,281.25,279.20,284.85,277.10,280.90,280.50,280.26,8180,337,5371,65.66
07-Sep-2016,280.50,280.05,282.95,275.35,278.90,277.85,278.17,3342,132,2151,64.36
08-Sep-2016,277.85,279.05,282.90,273.60,277.00,278.55,277.89,8338,301,3189,38.25
09-Sep-2016,278.55,277.35,282.00,277.00,281.90,280.65,279.33,5047,140,2820,55.87
12-Sep-2016,280.65,285.00,285.00,278.35,278.55,279.85,279.82,4025,68,3702,91.98
14-Sep-2016,279.85,284.90,284.90,278.00,283.00,283.15,280.99,1606,73,988,61.52
15-Sep-2016,283.15,284.35,284.40,276.70,279.00,279.05,279.78,2416,110,1256,51.99
16-Sep-2016,279.05,283.00,283.75,275.00,275.50,276.60,279.08,3246,208,2435,75.02
19-Sep-2016,276.60,280.00,285.00,276.10,285.00,282.95,282.34,2286,107,1952,85.39
20-Sep-2016,282.95,280.00,304.90,279.20,298.00,299.25,295.92,43370,1629,15652,36.09
21-Sep-2016,299.25,298.15,302.90,288.15,290.75,291.00,295.55,7693,382,4938,64.19
22-Sep-2016,291.00,296.85,296.85,286.35,289.50,290.75,291.10,4374,228,2952,67.49
23-Sep-2016,290.75,289.20,292.00,286.50,287.00,288.15,289.84,3910,164,2796,71.51
26-Sep-2016,288.15,288.25,292.00,286.20,286.55,287.20,288.10,823,71,511,62.09
27-Sep-2016,287.20,283.55,292.90,283.50,290.00,289.35,290.24,4376,257,2445,55.87
28-Sep-2016,289.35,286.35,292.00,286.35,286.70,288.15,289.36,3235,118,2654,82.04
29-Sep-2016,288.15,288.20,288.20,260.10,281.00,277.20,275.15,6945,299,5265,75.81
30-Sep-2016,277.20,268.00,279.00,265.00,275.80,274.35,272.39,3485,191,2458,70.53
03-Oct-2016,274.35,274.40,284.95,274.35,283.00,280.25,280.86,2290,107,1305,56.99
04-Oct-2016,280.25,283.00,288.00,280.50,288.00,285.70,283.82,760,53,707,93.03
05-Oct-2016,285.70,286.05,286.20,283.50,285.40,284.35,284.63,1470,51,1267,86.19
06-Oct-2016,284.35,283.30,288.50,283.15,283.25,284.40,284.85,1911,94,1325,69.34
07-Oct-2016,284.40,283.25,285.00,280.35,281.50,281.55,282.50,997,51,716,71.82
10-Oct-2016,281.55,282.55,289.00,282.00,283.95,284.90,285.01,5690,198,3360,59.05
13-Oct-2016,284.90,285.00,285.00,280.00,280.00,280.80,281.61,4165,106,3415,81.99
14-Oct-2016,280.80,280.40,290.50,280.35,283.80,283.20,286.35,13707,391,4716,34.41
17-Oct-2016,283.20,292.00,292.00,281.00,281.00,281.55,284.79,2507,141,2039,81.33
18-Oct-2016,281.55,285.05,288.00,279.00,279.20,280.10,281.18,5271,202,3709,70.37
19-Oct-2016,280.10,284.55,285.00,280.30,280.30,280.45,283.70,2300,73,1420,61.74
20-Oct-2016,280.45,281.00,285.40,280.45,282.50,282.65,282.40,3766,101,2765,73.42
21-Oct-2016,282.65,282.50,285.90,280.30,281.00,280.90,282.56,1026,54,642,62.57
24-Oct-2016,280.90,282.05,284.60,280.40,283.90,282.20,282.40,5612,195,2217,39.50
25-Oct-2016,282.20,283.75,287.00,282.15,286.00,284.45,282.90,2847,66,2513,88.27
26-Oct-2016,284.45,285.00,295.00,281.50,291.50,291.20,291.52,12188,392,8676,71.18
27-Oct-2016,291.20,292.90,297.90,280.60,280.60,283.55,290.03,11470,374,3908,34.07
28-Oct-2016,283.55,284.20,289.00,284.20,285.05,286.10,286.04,3403,101,2197,64.56
30-Oct-2016,286.10,289.70,295.00,286.65,292.00,290.05,291.57,5101,130,4012,78.65
01-Nov-2016,290.05,289.95,293.50,286.00,286.00,287.20,289.04,3238,160,1677,51.79
