DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,286.60,285.35,287.50,279.10,280.80,280.00,281.40,71655,903,60203,84.02
03-Aug-2016,280.00,278.80,282.55,275.25,281.90,276.90,277.58,65086,2326,44281,68.03
04-Aug-2016,276.90,278.10,293.00,277.10,290.00,289.15,285.02,42746,3459,29257,68.44
05-Aug-2016,289.15,286.35,290.15,284.05,285.10,288.00,286.87,27289,834,11916,43.67
08-Aug-2016,288.00,289.25,291.75,284.30,286.05,286.50,287.18,27139,2777,13932,51.34
09-Aug-2016,286.50,285.00,290.00,281.50,288.10,289.35,285.90,21563,1231,9394,43.57
10-Aug-2016,289.35,289.35,289.35,280.00,280.80,281.95,283.43,24088,916,12845,53.33
11-Aug-2016,281.95,281.55,282.00,273.10,278.00,279.10,276.52,59930,1385,48489,80.91
12-Aug-2016,279.10,278.00,285.00,275.00,279.60,280.95,278.04,110314,1258,86925,78.80
16-Aug-2016,280.95,278.00,287.70,276.45,280.10,281.00,282.04,28486,5982,19377,68.02
17-Aug-2016,281.00,281.90,282.95,277.00,277.05,278.30,279.50,268649,853,261180,97.22
18-Aug-2016,278.30,278.55,288.40,278.55,287.80,287.80,286.15,137893,6157,124941,90.61
19-Aug-2016,287.80,286.00,288.00,285.15,285.30,286.55,286.89,8458,433,4930,58.29
22-Aug-2016,286.55,283.95,293.25,283.95,286.15,286.95,289.09,18715,676,5762,30.79
23-Aug-2016,286.95,287.30,288.80,280.15,280.50,281.70,283.63,14754,747,10061,68.19
24-Aug-2016,281.70,282.10,288.00,278.60,282.00,283.10,281.06,87003,1657,65669,75.48
25-Aug-2016,283.10,284.90,295.00,282.60,284.70,285.75,288.52,59091,2126,20846,35.28
26-Aug-2016,285.75,288.05,292.00,281.15,290.50,290.75,287.30,28080,884,16534,58.88
29-Aug-2016,290.75,290.80,297.85,288.15,292.15,293.00,293.24,1047987,2972,1020095,97.34
30-Aug-2016,293.00,295.70,300.00,293.55,295.55,295.30,299.33,1132353,6592,1089415,96.21
31-Aug-2016,295.30,296.95,300.00,292.00,297.05,297.85,292.58,676088,5015,634746,93.89
01-Sep-2016,297.85,296.00,307.00,289.70,292.00,292.25,296.04,398132,4293,217874,54.72
02-Sep-2016,292.25,292.00,294.90,288.20,288.40,289.65,292.04,25808,839,11983,46.43
06-Sep-2016,289.65,278.45,298.00,278.45,294.95,295.10,291.68,54761,1565,33879,61.87
07-Sep-2016,295.10,296.85,302.25,293.65,297.55,298.30,297.27,374932,2382,346026,92.29
08-Sep-2016,298.30,299.80,300.00,296.00,299.00,299.45,298.57,362124,2353,320673,88.55
09-Sep-2016,299.45,300.00,301.50,295.65,296.00,297.70,298.18,32145,1527,19176,59.65
12-Sep-2016,297.70,295.35,301.50,293.00,296.25,297.20,297.12,26023,694,17852,68.60
14-Sep-2016,297.20,299.00,299.00,295.25,298.10,298.15,296.83,98048,510,90463,92.26
15-Sep-2016,298.15,299.00,299.00,290.00,290.15,291.15,294.83,22956,1092,10003,43.57
