DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,47.35,47.40,47.60,45.80,46.00,46.05,46.89,5387384,10195,1263574,23.45
03-Aug-2016,46.05,46.60,46.70,45.65,45.85,45.90,46.24,5710555,12595,1035040,18.13
04-Aug-2016,45.90,46.40,47.25,45.80,47.15,46.75,46.37,5386938,12833,1034031,19.20
05-Aug-2016,46.75,47.80,48.80,47.50,47.95,48.10,48.10,13258689,22030,3316327,25.01
08-Aug-2016,48.10,48.55,48.85,47.60,47.70,47.90,48.28,5442880,9504,1770033,32.52
09-Aug-2016,47.90,48.20,48.20,46.85,47.05,47.05,47.34,4599264,8550,1122018,24.40
10-Aug-2016,47.05,47.20,47.40,45.80,45.80,45.90,46.28,5331221,9532,1626720,30.51
11-Aug-2016,45.90,45.50,46.20,45.00,45.65,45.55,45.56,3827030,8239,772581,20.19
12-Aug-2016,45.55,46.05,46.45,45.50,45.80,45.85,46.00,4113003,9814,902844,21.95
16-Aug-2016,45.85,46.00,46.35,45.55,46.15,46.15,45.99,3564485,6556,639599,17.94
17-Aug-2016,46.15,46.05,48.65,45.90,48.10,48.15,48.02,17430827,28480,5522617,31.68
18-Aug-2016,48.15,48.65,48.90,47.80,48.05,48.00,48.32,9392497,13928,3390277,36.10
19-Aug-2016,48.00,48.25,50.00,47.95,49.45,49.55,49.29,30285716,33420,13902177,45.90
22-Aug-2016,49.55,49.80,51.00,48.15,50.15,50.20,49.87,18837563,29235,5598323,29.72
23-Aug-2016,50.20,50.30,50.70,48.90,49.80,49.90,49.97,12322070,19369,2855782,23.18
24-Aug-2016,49.90,50.05,50.40,49.40,49.65,49.75,49.81,4312215,8145,828589,19.21
25-Aug-2016,49.75,49.70,49.90,48.50,48.60,48.70,48.97,11314209,14050,4703563,41.57
26-Aug-2016,48.70,48.80,49.00,47.80,47.90,48.05,48.26,3819994,7746,1114114,29.17
29-Aug-2016,48.05,48.10,48.50,47.40,48.50,48.25,47.98,3677947,8361,951230,25.86
30-Aug-2016,48.25,48.70,49.10,48.35,48.75,48.80,48.80,5344651,8411,1504290,28.15
31-Aug-2016,48.80,49.45,49.45,48.00,48.20,48.20,48.67,5214324,10250,2118680,40.63
01-Sep-2016,48.20,48.25,48.60,47.70,48.00,48.00,48.20,4101319,7452,862271,21.02
02-Sep-2016,48.00,47.75,48.20,47.50,48.10,48.05,47.90,3346376,6527,681667,20.37
06-Sep-2016,48.05,48.20,48.80,48.15,48.50,48.65,48.54,4230003,8269,1346923,31.84
07-Sep-2016,48.65,48.60,52.55,48.50,52.50,51.75,50.79,25783698,38875,10031200,38.91
08-Sep-2016,51.75,52.50,54.70,52.50,53.65,53.75,53.76,34723722,56955,13618697,39.22
09-Sep-2016,53.75,50.20,52.25,50.20,50.55,50.65,50.86,28866955,53004,9367899,32.45
12-Sep-2016,50.65,50.00,50.10,47.55,47.85,47.80,48.54,8031455,20859,2838862,35.35
14-Sep-2016,47.80,48.30,48.40,47.30,47.90,47.95,47.90,7113469,14023,2339166,32.88
15-Sep-2016,47.95,48.35,48.40,47.55,47.60,47.80,47.86,3859038,7197,933354,24.19
16-Sep-2016,47.80,48.20,48.35,46.35,46.90,46.55,46.97,14827506,18472,7937643,53.53
19-Sep-2016,46.55,46.90,47.50,46.60,47.15,47.20,47.20,4039641,8411,1068651,26.45
20-Sep-2016,47.20,47.20,48.55,46.95,47.55,47.70,47.86,6870795,12580,1083988,15.78
21-Sep-2016,47.70,47.60,48.45,47.55,47.70,47.85,48.00,4756315,9762,832960,17.51
22-Sep-2016,47.85,48.40,49.15,48.25,48.80,48.95,48.73,6905499,17177,2521577,36.52
23-Sep-2016,48.95,48.80,49.40,48.50,48.75,48.75,48.98,6402812,10913,1914393,29.90
26-Sep-2016,48.75,48.60,49.10,47.75,47.80,47.90,48.41,4195966,9389,961907,22.92
27-Sep-2016,47.90,48.10,48.40,47.10,47.25,47.20,47.67,3262374,12237,1040396,31.89
28-Sep-2016,47.20,47.20,49.00,47.10,48.60,48.75,48.26,5185328,11119,1158502,22.34
29-Sep-2016,48.75,49.00,49.10,44.15,45.30,45.20,46.26,11385985,16284,3313720,29.10
30-Sep-2016,45.20,45.20,46.65,45.10,46.40,46.30,46.00,7635654,20196,2575695,33.73
03-Oct-2016,46.30,46.90,48.40,46.55,48.00,48.05,47.65,8055614,19667,2573677,31.95
04-Oct-2016,48.05,48.40,49.15,48.10,48.80,48.80,48.64,7776466,12768,1843329,23.70
05-Oct-2016,48.80,49.50,49.75,48.40,48.70,48.65,48.92,5035449,9018,1065358,21.16
