DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,4584.40,4635.00,4635.00,4526.00,4550.00,4552.55,4585.25,2157,574,1394,64.63
03-Aug-2016,4552.55,4554.00,4587.50,4519.00,4519.00,4521.60,4533.66,2119,384,1647,77.73
04-Aug-2016,4521.60,4531.60,4539.95,4466.15,4500.00,4503.55,4496.34,5491,817,4644,84.57
05-Aug-2016,4503.55,4472.00,4529.95,4444.00,4470.00,4488.50,4473.70,1939,608,983,50.70
08-Aug-2016,4488.50,4456.00,4498.95,4451.00,4460.00,4467.90,4464.98,2260,786,1367,60.49
09-Aug-2016,4467.90,4467.00,4474.00,4430.00,4430.05,4435.45,4456.51,1698,615,1185,69.79
10-Aug-2016,4435.45,4440.70,4460.05,4380.15,4390.00,4398.60,4418.93,4505,727,3020,67.04
11-Aug-2016,4398.60,4398.00,4399.95,4341.00,4350.00,4354.40,4367.63,2095,1098,1399,66.78
12-Aug-2016,4354.40,4387.65,4400.05,4330.00,4355.00,4351.35,4363.58,1363,312,735,53.93
16-Aug-2016,4351.35,4330.00,4393.50,4305.00,4330.00,4326.90,4339.66,1898,742,1062,55.95
17-Aug-2016,4326.90,4340.60,4393.50,4300.05,4300.05,4319.45,4328.63,1724,956,901,52.26
18-Aug-2016,4319.45,4330.20,4334.60,4310.15,4317.00,4317.70,4320.67,1363,445,1015,74.47
19-Aug-2016,4317.70,4350.10,4351.00,4311.05,4330.00,4330.30,4328.18,6505,615,6044,92.91
22-Aug-2016,4330.30,4330.00,4493.85,4310.00,4310.00,4328.65,4330.47,1936,638,1178,60.85
23-Aug-2016,4328.65,4342.80,4350.05,4300.10,4313.05,4324.35,4325.11,938,307,431,45.95
24-Aug-2016,4324.35,4330.30,4344.30,4311.15,4325.00,4324.30,4325.08,5365,247,5167,96.31
25-Aug-2016,4324.30,4325.00,4355.20,4302.10,4329.80,4327.65,4336.03,11475,1901,10464,91.19
26-Aug-2016,4327.65,4327.80,4396.00,4290.00,4320.00,4330.10,4333.25,1726,503,1020,59.10
29-Aug-2016,4330.10,4380.00,4380.00,4300.00,4309.95,4305.25,4315.84,1155,564,677,58.61
30-Aug-2016,4305.25,4322.45,4325.00,4290.00,4292.05,4297.20,4297.34,10633,4484,9150,86.05
31-Aug-2016,4297.20,4319.45,4446.00,4290.00,4325.00,4394.05,4319.92,14696,931,12203,83.04
01-Sep-2016,4394.05,4348.80,4548.00,4348.80,4500.00,4517.40,4474.84,4290,983,2844,66.29
02-Sep-2016,4517.40,4499.95,4549.80,4450.05,4460.00,4461.75,4477.89,1708,324,1158,67.80
06-Sep-2016,4461.75,4499.95,4499.95,4462.25,4477.10,4492.70,4486.77,1273,424,941,73.92
07-Sep-2016,4492.70,4493.00,4524.30,4352.00,4373.75,4372.60,4402.27,5556,965,4289,77.20
08-Sep-2016,4372.60,4392.00,4392.00,4320.00,4327.05,4332.55,4346.99,4049,825,2239,55.30
09-Sep-2016,4332.55,4332.55,4388.00,4332.55,4370.00,4368.00,4362.59,4253,531,3574,84.03
12-Sep-2016,4368.00,4358.00,4400.00,4318.30,4320.00,4320.70,4343.84,2928,678,1829,62.47
14-Sep-2016,4320.70,4252.35,4365.50,4252.35,4290.00,4273.00,4299.08,3771,1423,2464,65.34
15-Sep-2016,4273.00,4295.00,4335.00,4280.30,4304.95,4294.35,4310.58,1712,426,1163,67.93
16-Sep-2016,4294.35,4294.05,4325.00,4271.00,4276.40,4291.35,4296.46,1788,405,1195,66.83
19-Sep-2016,4291.35,4291.05,4300.00,4278.00,4290.05,4292.35,4292.92,1593,412,1036,65.03
20-Sep-2016,4292.35,4290.05,4336.25,4270.30,4276.10,4285.90,4295.96,1280,333,588,45.94
21-Sep-2016,4285.90,4300.00,4310.00,4265.00,4289.95,4281.35,4280.98,1182,331,561,47.46
22-Sep-2016,4281.35,4284.15,4320.00,4284.00,4300.05,4300.90,4302.76,1084,371,376,34.69
23-Sep-2016,4300.90,4300.35,4318.00,4270.00,4280.05,4294.30,4290.30,909,291,487,53.58
26-Sep-2016,4294.30,4304.80,4320.00,4240.00,4240.00,4243.60,4268.11,10168,706,9523,93.66
27-Sep-2016,4243.60,4275.10,4352.00,4223.00,4241.00,4262.75,4293.65,14810,2873,11463,77.40
28-Sep-2016,4262.75,4279.85,4289.90,4202.00,4216.00,4222.25,4228.86,8143,1516,6467,79.42
29-Sep-2016,4222.25,4230.60,4245.00,4114.00,4114.00,4142.25,4174.72,6808,1203,5656,83.08
30-Sep-2016,4142.25,4142.00,4200.70,4086.05,4135.00,4138.20,4138.40,3838,1038,2311,60.21
03-Oct-2016,4138.20,4195.00,4290.00,4120.00,4275.00,4261.55,4220.25,4902,2001,3452,70.42
04-Oct-2016,4261.55,4260.95,4290.00,4160.00,4190.00,4187.45,4194.78,39751,1449,38114,95.88
05-Oct-2016,4187.45,4187.45,4228.00,4151.10,4156.20,4165.80,4180.82,8387,1879,7181,85.62
06-Oct-2016,4165.80,4180.00,4199.90,4155.00,4159.00,4159.55,4179.63,5877,1185,4755,80.91
07-Oct-2016,4159.55,4160.05,4184.25,4125.10,4130.00,4138.70,4173.91,19267,651,18798,97.57
10-Oct-2016,4138.70,4133.80,4278.00,4133.80,4225.00,4226.50,4224.88,13935,2145,7604,54.57
13-Oct-2016,4226.50,4225.00,4245.00,4146.65,4180.00,4182.40,4207.17,38394,4717,34398,89.59
14-Oct-2016,4182.40,4198.00,4290.00,4196.25,4240.05,4257.90,4241.89,6731,1030,5311,78.90
17-Oct-2016,4257.90,4200.10,4265.00,4200.05,4230.00,4235.00,4232.67,4678,1046,3341,71.42
18-Oct-2016,4235.00,4244.95,4251.95,4226.50,4230.05,4239.35,4234.38,4483,585,3289,73.37
19-Oct-2016,4239.35,4240.00,4270.00,4202.05,4239.00,4246.10,4245.68,3715,812,2883,77.60
20-Oct-2016,4246.10,4245.95,4285.00,4209.00,4249.35,4226.95,4244.36,13090,1511,10746,82.09
21-Oct-2016,4226.95,4226.25,4352.00,4226.25,4340.00,4316.25,4313.47,6020,994,4705,78.16
24-Oct-2016,4316.25,4314.35,4350.00,4290.00,4350.00,4327.35,4316.36,4905,696,4033,82.22
25-Oct-2016,4327.35,4310.05,4363.95,4302.50,4310.05,4324.35,4324.55,15757,754,15111,95.90
26-Oct-2016,4324.35,4324.00,4324.00,4225.00,4245.00,4257.00,4277.08,2244,396,1946,86.72
27-Oct-2016,4257.00,4257.00,4289.00,4240.00,4278.90,4271.80,4259.81,2167,373,1292,59.62
28-Oct-2016,4271.80,4262.10,4397.00,4239.80,4370.00,4363.15,4355.42,6704,2140,3802,56.71
30-Oct-2016,4363.15,4342.00,4389.00,4333.45,4336.00,4360.95,4364.56,951,209,628,66.04
01-Nov-2016,4360.95,4315.05,4371.70,4266.25,4276.25,4308.10,4314.46,4388,2141,3012,68.64
02-Nov-2016,4308.10,4270.05,4350.00,4210.00,4240.00,4244.05,4246.03,15290,2696,12174,79.62
03-Nov-2016,4244.05,4284.80,4307.95,4231.00,4231.00,4248.25,4261.30,3299,883,2582,78.27
04-Nov-2016,4248.25,4220.05,4328.00,4202.10,4280.00,4293.50,4243.55,27513,2517,26669,96.93
07-Nov-2016,4293.50,4315.45,4315.45,4238.60,4245.00,4251.95,4261.22,1384,489,940,67.92
08-Nov-2016,4251.95,4300.00,4399.80,4155.00,4290.00,4293.65,4292.86,7541,1496,4980,66.04
09-Nov-2016,4293.65,4079.00,4300.00,4011.10,4239.00,4199.35,4194.17,66504,2545,64072,96.34
10-Nov-2016,4199.35,4250.30,4298.15,4214.05,4297.00,4284.65,4262.49,12644,443,12158,96.16
11-Nov-2016,4284.65,4268.00,4268.00,4086.10,4243.95,4223.95,4183.87,4017,1203,2222,55.31
15-Nov-2016,4223.95,4303.50,4310.00,4150.05,4290.00,4239.55,4215.53,8061,1047,7324,90.86
16-Nov-2016,4239.55,4220.05,4240.00,4140.00,4165.00,4152.45,4190.61,7160,2376,5602,78.24
17-Nov-2016,4152.45,4180.60,4230.00,4142.10,4175.00,4164.50,4165.41,1731,552,1204,69.56
