DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
03-Oct-2017,700.00,735.00,740.00,701.70,713.30,707.55,725.24,35367877,920703,19511140,55.17
04-Oct-2017,707.55,710.15,710.75,699.00,702.05,703.65,704.44,3613280,166791,2241249,62.03
05-Oct-2017,703.65,704.55,704.55,686.10,695.00,694.55,693.13,2680742,108948,1783332,66.52
06-Oct-2017,694.55,693.90,702.00,689.00,694.10,696.75,695.26,1416485,56442,929120,65.59
09-Oct-2017,696.75,694.10,702.50,694.10,695.50,698.65,699.78,951473,45968,734820,77.23
10-Oct-2017,698.65,698.35,701.20,695.55,697.50,700.00,699.76,555002,41515,452804,81.59
11-Oct-2017,700.00,700.00,703.00,686.00,689.00,689.90,697.67,1077409,35472,878466,81.54
12-Oct-2017,689.90,691.10,694.00,685.00,685.00,687.70,689.08,439314,21618,313480,71.36
13-Oct-2017,687.70,688.95,695.05,680.00,691.25,689.70,687.06,1344510,41549,1040884,77.42
16-Oct-2017,689.70,686.00,689.45,669.00,669.75,670.10,673.54,971834,65404,762062,78.41
17-Oct-2017,670.10,670.50,674.00,669.00,671.25,673.05,670.86,664335,60160,545568,82.12
18-Oct-2017,673.05,671.00,672.85,664.15,668.00,668.40,667.84,415712,42451,298766,71.87
19-Oct-2017,668.40,666.10,678.25,666.10,674.00,675.10,674.19,93358,3339,74238,79.52
23-Oct-2017,675.10,670.00,673.80,665.00,665.10,665.80,668.88,292330,23506,221649,75.82
24-Oct-2017,665.80,663.80,671.45,663.00,670.00,665.85,667.83,350373,31547,266286,76.00
25-Oct-2017,665.85,667.00,673.45,658.10,668.05,669.90,664.38,583868,27392,494506,84.69
26-Oct-2017,669.90,669.90,669.90,660.50,665.00,666.85,664.45,242175,18428,184159,76.04
27-Oct-2017,666.85,663.20,666.05,659.00,663.00,662.20,662.06,396395,20201,323434,81.59
30-Oct-2017,662.20,665.00,665.00,649.90,655.80,655.00,654.39,1164020,92771,990031,85.05
31-Oct-2017,655.00,655.80,669.00,655.80,656.85,662.10,664.54,1402840,47194,983276,70.09
01-Nov-2017,662.10,664.00,664.85,642.25,644.00,647.05,652.96,859011,25321,773504,90.05
02-Nov-2017,647.05,647.05,653.60,641.20,643.50,642.75,645.14,574130,17527,489045,85.18
03-Nov-2017,642.75,643.05,653.50,641.10,643.00,642.25,643.34,672547,21356,560608,83.36
