DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,4033.40,4043.90,4100.00,4035.00,4040.00,4039.50,4050.40,4178,597,4020,96.22
03-Aug-2016,4039.50,4040.00,4074.95,4021.00,4047.00,4048.65,4040.35,3688,91,3583,97.15
04-Aug-2016,4048.65,4134.00,4134.00,4020.05,4050.00,4069.95,4057.99,874,157,498,56.98
05-Aug-2016,4069.95,4069.00,4092.70,4050.00,4091.90,4071.45,4074.18,1006,481,637,63.32
08-Aug-2016,4071.45,4071.00,4094.00,4012.50,4020.00,4044.70,4067.00,373,96,333,89.28
09-Aug-2016,4044.70,4044.00,4050.05,4001.00,4010.00,4009.10,4021.23,1196,93,987,82.53
10-Aug-2016,4009.10,4009.00,4064.90,3968.90,4000.00,4006.45,3993.43,459,127,342,74.51
11-Aug-2016,4006.45,4006.00,4022.60,3944.00,4022.60,4002.85,3999.24,957,196,810,84.64
12-Aug-2016,4002.85,4007.40,4050.00,4000.00,4025.00,4016.00,4015.41,457,196,263,57.55
16-Aug-2016,4016.00,4016.00,4120.00,3965.25,4085.00,4080.05,4074.51,1311,864,963,73.46
17-Aug-2016,4080.05,4080.00,4099.00,4011.00,4025.00,4023.85,4044.45,459,181,309,67.32
18-Aug-2016,4023.85,4055.00,4088.00,4003.70,4061.00,4052.00,4031.68,1123,89,1037,92.34
19-Aug-2016,4052.00,4061.00,4079.85,4021.00,4050.00,4053.05,4048.23,273,108,165,60.44
22-Aug-2016,4053.05,4022.55,4062.00,4015.00,4015.00,4021.55,4025.31,3272,144,3217,98.32
23-Aug-2016,4021.55,4021.00,4100.00,4003.05,4047.95,4047.60,4029.89,766,119,241,31.46
24-Aug-2016,4047.60,4045.60,4100.00,4016.00,4075.00,4071.30,4056.99,992,378,629,63.41
25-Aug-2016,4071.30,4070.00,4100.00,4050.00,4060.00,4088.85,4066.68,1991,121,1958,98.34
26-Aug-2016,4088.85,4053.30,4100.00,4053.30,4055.00,4063.80,4081.30,523,90,423,80.88
29-Aug-2016,4063.80,4063.00,4218.40,4045.00,4066.00,4055.50,4098.30,1600,535,1288,80.50
