DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,71.15,71.45,72.60,69.80,70.20,70.20,71.27,368666,2805,160490,43.53
03-Aug-2016,70.20,70.10,71.40,68.90,70.85,69.90,69.87,393113,2520,154485,39.30
04-Aug-2016,69.90,73.55,73.80,71.30,71.65,71.70,72.21,954493,5654,361087,37.83
05-Aug-2016,71.70,72.00,72.80,71.50,71.85,71.70,72.03,315618,1922,164325,52.06
08-Aug-2016,71.70,72.30,72.50,71.10,71.25,71.35,71.74,195764,1402,98456,50.29
09-Aug-2016,71.35,71.65,72.00,70.45,70.85,70.65,71.08,196324,1703,112252,57.18
10-Aug-2016,70.65,71.00,71.50,68.75,69.10,69.00,69.74,264689,1936,162490,61.39
11-Aug-2016,69.00,69.35,70.50,68.80,69.40,69.30,69.55,194586,1383,96295,49.49
12-Aug-2016,69.30,69.50,70.60,69.10,69.85,70.25,69.80,354763,2476,161068,45.40
16-Aug-2016,70.25,71.75,72.50,71.00,72.35,72.25,71.87,648413,5024,268031,41.34
17-Aug-2016,72.25,72.45,74.25,72.05,73.15,73.10,73.31,666864,4225,345683,51.84
18-Aug-2016,73.10,73.70,77.50,73.50,74.10,74.30,75.34,1959258,14082,804506,41.06
19-Aug-2016,74.30,71.00,71.90,67.55,70.30,70.90,70.28,2254613,14655,727821,32.28
22-Aug-2016,70.90,70.50,70.80,69.35,69.45,69.45,69.81,347734,4458,195478,56.21
23-Aug-2016,69.45,69.65,69.75,68.05,68.30,68.20,68.81,353884,4081,234340,66.22
24-Aug-2016,68.20,68.55,69.40,68.10,68.50,68.40,68.60,262458,3485,145994,55.63
25-Aug-2016,68.40,68.80,70.85,68.25,68.50,68.45,69.30,474656,4472,205235,43.24
26-Aug-2016,68.45,68.70,68.90,67.10,67.15,67.25,67.94,268825,4375,168252,62.59
29-Aug-2016,67.25,67.25,67.65,66.00,66.20,66.25,66.69,267352,3800,164110,61.38
