DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
05-Apr-2017,460.00,555.05,636.20,555.00,634.00,632.45,602.65,20556468,324931,3500174,17.03
06-Apr-2017,632.45,637.00,650.90,622.10,627.00,630.20,636.12,2602526,44683,379149,14.57
07-Apr-2017,630.20,622.00,695.80,616.60,683.00,686.20,665.28,5816685,99579,453738,7.80
10-Apr-2017,686.20,690.00,786.30,690.00,756.00,753.35,749.01,7677799,151886,428913,5.59
11-Apr-2017,753.35,758.00,788.80,752.00,781.75,776.05,773.25,2615478,64484,304788,11.65
12-Apr-2017,776.05,780.00,784.70,746.65,758.90,757.90,758.59,1106184,25816,126852,11.47
13-Apr-2017,757.90,756.00,787.40,747.00,756.25,758.45,769.21,1565838,39269,167368,10.69
17-Apr-2017,758.45,762.00,764.95,742.25,745.00,747.60,750.38,403740,9403,67898,16.82
18-Apr-2017,747.60,751.75,751.75,713.10,719.00,718.50,731.89,414386,10506,85631,20.66
19-Apr-2017,718.50,719.50,739.00,715.55,727.15,727.35,728.12,367946,10218,50009,13.59
20-Apr-2017,727.35,730.45,741.75,720.50,731.45,733.20,733.32,354376,8817,38513,10.87
21-Apr-2017,733.20,735.95,739.50,722.00,722.10,726.10,730.43,174889,4302,37508,21.45
24-Apr-2017,726.10,725.10,729.75,705.10,705.95,707.85,714.09,139249,4876,43670,31.36
25-Apr-2017,707.85,715.00,728.90,708.15,723.50,723.70,719.75,300306,6348,111002,36.96
26-Apr-2017,723.70,726.15,734.80,710.00,713.10,717.00,723.95,183150,5283,41778,22.81
27-Apr-2017,717.00,715.10,722.45,704.25,705.00,707.85,712.53,58428,1913,21944,37.56
28-Apr-2017,707.85,710.95,716.80,700.00,701.50,703.50,707.93,73468,4833,26362,35.88
02-May-2017,703.50,708.95,708.95,671.80,677.00,676.15,685.79,358398,8723,190292,53.10
03-May-2017,676.15,675.00,685.20,673.30,676.00,676.70,677.75,117620,4409,49654,42.22
04-May-2017,676.70,679.90,699.70,675.85,694.00,694.80,689.29,234503,7628,84230,35.92
05-May-2017,694.80,691.15,716.60,687.95,702.65,705.10,703.78,449936,13340,103330,22.97
08-May-2017,705.10,711.90,735.00,695.00,704.00,707.00,703.96,2488209,13266,1699059,68.28
09-May-2017,707.00,714.00,724.70,710.50,719.00,718.10,718.16,213147,4888,53327,25.02
10-May-2017,718.10,720.00,733.00,715.05,728.00,726.45,723.52,175325,3842,59145,33.73
