DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,27.75,27.95,27.95,27.65,27.70,27.70,27.71,135809,312,112221,82.63
03-Aug-2016,27.70,27.95,28.05,27.40,27.90,27.90,27.87,736231,1180,590911,80.26
04-Aug-2016,27.90,28.00,28.00,27.30,27.40,27.35,27.52,174297,617,144746,83.05
05-Aug-2016,27.35,27.75,27.75,27.45,27.65,27.60,27.56,74394,343,47404,63.72
08-Aug-2016,27.60,27.60,27.75,27.40,27.55,27.50,27.53,158876,426,123015,77.43
09-Aug-2016,27.50,27.50,28.60,27.35,28.50,28.35,27.99,4824753,1312,4653321,96.45
10-Aug-2016,28.35,28.35,28.70,27.80,28.00,27.90,28.21,248780,648,164772,66.23
11-Aug-2016,27.90,28.00,28.40,27.90,27.95,28.00,28.10,203916,581,82654,40.53
12-Aug-2016,28.00,28.30,28.30,27.70,27.70,27.80,27.93,184701,511,100413,54.37
16-Aug-2016,27.80,27.80,28.10,27.60,28.00,28.00,27.94,704416,1779,590977,83.90
17-Aug-2016,28.00,28.05,28.10,27.70,27.85,27.80,27.90,130507,369,83583,64.04
18-Aug-2016,27.80,28.00,28.00,27.65,27.75,27.70,27.77,158448,381,120785,76.23
19-Aug-2016,27.70,27.90,28.05,27.75,27.95,27.90,27.92,202577,636,144424,71.29
22-Aug-2016,27.90,28.05,28.10,27.80,27.95,27.90,27.94,174719,826,120770,69.12
23-Aug-2016,27.90,28.05,28.40,27.80,28.30,28.15,28.10,289360,787,196070,67.76
24-Aug-2016,28.15,28.25,28.60,28.25,28.40,28.50,28.49,556847,886,358159,64.32
25-Aug-2016,28.50,28.50,28.55,28.40,28.40,28.50,28.49,807403,1036,744153,92.17
26-Aug-2016,28.50,28.40,28.50,27.80,28.00,28.00,28.11,91071,496,74358,81.65
29-Aug-2016,28.00,28.00,28.35,27.55,27.85,27.75,27.95,522390,4470,380764,72.89
30-Aug-2016,27.75,27.85,28.15,27.70,28.00,28.00,27.89,417082,5592,270323,64.81
31-Aug-2016,28.00,28.00,28.35,27.80,28.05,28.05,28.07,413268,1908,294915,71.36
01-Sep-2016,28.05,27.95,28.10,27.75,28.00,27.90,27.89,172524,1467,113733,65.92
02-Sep-2016,27.90,28.00,28.00,27.85,27.95,27.85,27.89,122704,1256,96195,78.40
06-Sep-2016,27.85,27.85,28.30,27.85,28.00,28.05,28.06,608774,943,365626,60.06
07-Sep-2016,28.05,28.25,28.30,27.95,28.15,28.05,28.08,420908,1033,264254,62.78
08-Sep-2016,28.05,28.30,28.50,28.05,28.10,28.15,28.29,423759,1029,208803,49.27
09-Sep-2016,28.15,28.05,28.50,28.05,28.45,28.35,28.39,295066,698,188095,63.75
