DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1387.25,1392.95,1404.00,1390.00,1390.00,1390.05,1395.17,4661,349,3835,82.28
03-Aug-2016,1390.05,1398.85,1399.00,1390.00,1390.00,1391.80,1393.71,2712,184,1962,72.35
04-Aug-2016,1391.80,1399.95,1404.00,1391.00,1400.00,1400.00,1398.87,11325,713,9141,80.72
05-Aug-2016,1400.00,1405.00,1405.00,1398.10,1402.00,1401.95,1400.73,2439,149,2158,88.48
08-Aug-2016,1401.95,1409.95,1415.00,1400.00,1409.90,1404.00,1409.08,3480,746,2337,67.16
09-Aug-2016,1404.00,1418.85,1418.90,1400.00,1400.00,1400.00,1401.82,11799,1167,9706,82.26
10-Aug-2016,1400.00,1400.00,1405.90,1400.00,1403.00,1400.90,1400.52,2221,164,1881,84.69
11-Aug-2016,1400.90,1405.55,1406.90,1399.95,1400.00,1402.60,1400.32,14632,426,13501,92.27
12-Aug-2016,1402.60,1402.05,1409.90,1400.00,1400.00,1400.00,1400.73,6230,215,4425,71.03
16-Aug-2016,1400.00,1405.00,1455.00,1404.00,1405.00,1411.20,1426.30,19971,1144,7199,36.05
17-Aug-2016,1411.20,1411.00,1430.95,1401.15,1407.00,1403.10,1412.88,3333,414,1900,57.01
18-Aug-2016,1403.10,1415.00,1419.95,1405.30,1414.70,1412.35,1412.62,1167,395,706,60.50
19-Aug-2016,1412.35,1412.00,1421.95,1400.05,1400.05,1404.60,1411.14,3267,455,1369,41.90
22-Aug-2016,1404.60,1424.70,1424.70,1400.00,1400.00,1401.90,1402.99,9512,881,5972,62.78
23-Aug-2016,1401.90,1424.75,1424.75,1389.25,1390.05,1395.40,1396.06,3757,513,2255,60.02
24-Aug-2016,1395.40,1422.00,1422.00,1375.05,1395.05,1396.45,1394.15,2629,265,1686,64.13
25-Aug-2016,1396.45,1398.00,1410.00,1395.00,1400.00,1408.70,1403.51,3445,636,2668,77.45
26-Aug-2016,1408.70,1395.00,1424.95,1395.00,1410.00,1405.00,1411.43,3163,611,2024,63.99
29-Aug-2016,1405.00,1405.00,1419.95,1395.75,1400.00,1399.85,1403.14,1131,298,764,67.55
30-Aug-2016,1399.85,1399.00,1416.05,1394.90,1395.00,1395.95,1400.04,15316,548,13172,86.00
31-Aug-2016,1395.95,1399.00,1401.45,1381.30,1400.00,1400.05,1394.53,20599,436,19610,95.20
01-Sep-2016,1400.05,1400.00,1410.00,1398.00,1400.00,1401.20,1402.11,1259,138,627,49.80
02-Sep-2016,1401.20,1411.25,1419.90,1398.25,1408.00,1409.70,1403.72,27638,719,22662,82.00
06-Sep-2016,1409.70,1410.00,1429.00,1397.00,1400.95,1400.30,1406.38,4475,758,2354,52.60
07-Sep-2016,1400.30,1400.95,1434.00,1400.60,1422.15,1425.80,1424.01,17295,1641,14279,82.56
08-Sep-2016,1425.80,1417.10,1434.90,1410.00,1432.00,1430.75,1428.28,8601,279,8230,95.69
09-Sep-2016,1430.75,1443.15,1447.80,1428.00,1431.00,1432.20,1433.54,6245,1636,5095,81.59
12-Sep-2016,1432.20,1401.35,1434.75,1401.05,1430.00,1430.05,1429.23,4806,363,3994,83.10
14-Sep-2016,1430.05,1430.00,1437.00,1427.30,1428.00,1429.95,1430.56,2540,326,1936,76.22
15-Sep-2016,1429.95,1430.05,1434.90,1428.05,1430.00,1430.45,1429.98,3771,190,3348,88.78
16-Sep-2016,1430.45,1439.00,1439.00,1427.00,1430.00,1430.00,1430.04,31686,179,30936,97.63
19-Sep-2016,1430.00,1413.05,1438.95,1413.05,1430.00,1430.50,1431.10,4940,1372,3390,68.62
20-Sep-2016,1430.50,1430.00,1437.55,1422.00,1430.00,1429.50,1429.50,7260,1276,4612,63.53
21-Sep-2016,1429.50,1429.00,1434.85,1428.00,1430.00,1430.20,1429.45,4737,890,3696,78.02
22-Sep-2016,1430.20,1449.90,1449.90,1429.00,1446.00,1437.10,1438.33,6079,1306,3293,54.17
23-Sep-2016,1437.10,1437.00,1448.70,1430.10,1430.10,1431.80,1435.69,1696,318,1170,68.99
26-Sep-2016,1431.80,1431.05,1435.00,1428.00,1431.00,1431.25,1430.59,6375,998,4863,76.28
27-Sep-2016,1431.25,1431.25,1448.65,1423.00,1425.10,1426.50,1436.70,8464,1922,5382,63.59
28-Sep-2016,1426.50,1430.00,1472.40,1422.00,1422.05,1425.35,1450.32,35809,3038,12558,35.07
29-Sep-2016,1425.35,1439.15,1443.00,1376.15,1411.00,1409.00,1415.39,8338,705,5252,62.99
30-Sep-2016,1409.00,1409.00,1425.00,1395.15,1400.00,1402.20,1401.74,13736,483,11386,82.89
03-Oct-2016,1402.20,1391.05,1460.95,1391.05,1418.95,1418.20,1427.23,6671,1124,4122,61.79
04-Oct-2016,1418.20,1419.05,1430.05,1406.00,1413.05,1409.25,1416.94,2154,287,1220,56.64
