DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1333.90,1348.00,1352.90,1300.00,1310.90,1307.75,1330.44,109886,5368,54862,49.93
03-Aug-2016,1307.75,1303.00,1328.00,1275.00,1290.00,1294.55,1304.86,93595,3858,52665,56.27
04-Aug-2016,1294.55,1305.80,1338.00,1296.00,1325.10,1317.90,1318.16,75652,3424,38235,50.54
05-Aug-2016,1317.90,1331.00,1373.90,1320.00,1338.00,1337.05,1346.00,479883,18769,127485,26.57
08-Aug-2016,1337.05,1350.00,1358.00,1321.80,1334.00,1333.85,1340.82,104848,3670,64080,61.12
09-Aug-2016,1333.85,1347.10,1355.00,1325.20,1329.90,1334.40,1341.91,145671,5827,62111,42.64
10-Aug-2016,1334.40,1339.50,1340.00,1305.20,1311.00,1310.70,1318.22,64158,3009,34484,53.75
11-Aug-2016,1310.70,1311.00,1335.45,1302.20,1307.00,1314.25,1319.96,56583,2919,26992,47.70
12-Aug-2016,1314.25,1320.00,1325.55,1299.20,1307.25,1307.95,1312.38,44448,2041,22310,50.19
16-Aug-2016,1307.95,1305.00,1329.50,1302.85,1326.00,1323.20,1317.53,59791,2185,42114,70.44
17-Aug-2016,1323.20,1323.25,1325.60,1305.50,1311.00,1311.05,1314.30,27955,1766,14178,50.72
18-Aug-2016,1311.05,1316.85,1339.00,1306.00,1321.00,1325.85,1327.26,54805,2880,27957,51.01
19-Aug-2016,1325.85,1325.50,1367.70,1317.10,1348.00,1352.65,1352.03,183439,7568,91411,49.83
22-Aug-2016,1352.65,1355.00,1359.95,1341.20,1350.00,1349.35,1348.20,58340,2052,39602,67.88
23-Aug-2016,1349.35,1349.90,1355.00,1304.95,1326.05,1325.00,1339.72,53214,2659,34857,65.50
24-Aug-2016,1325.00,1325.00,1349.00,1323.45,1336.45,1339.40,1339.84,30055,2461,17106,56.92
25-Aug-2016,1339.40,1341.90,1380.00,1332.80,1345.00,1344.45,1357.37,88597,5636,33660,37.99
26-Aug-2016,1344.45,1344.00,1356.05,1338.00,1344.00,1342.95,1345.27,32802,2464,16117,49.13
29-Aug-2016,1342.95,1343.00,1349.95,1327.20,1340.00,1339.10,1338.13,41314,2743,23625,57.18
30-Aug-2016,1339.10,1344.95,1406.00,1337.65,1395.00,1395.10,1381.81,200902,7937,99385,49.47
31-Aug-2016,1395.10,1405.00,1433.80,1385.00,1394.10,1396.85,1408.89,152665,8071,59991,39.30
01-Sep-2016,1396.85,1404.00,1409.00,1340.15,1360.00,1353.05,1370.02,83908,4407,40476,48.24
02-Sep-2016,1353.05,1353.05,1397.85,1353.05,1372.45,1374.80,1378.89,102153,4870,38572,37.76
06-Sep-2016,1374.80,1391.70,1391.70,1355.00,1355.00,1359.85,1367.90,49556,3329,25718,51.90
07-Sep-2016,1359.85,1363.70,1366.20,1341.75,1354.40,1348.10,1350.50,39375,2035,21392,54.33
08-Sep-2016,1348.10,1348.10,1378.45,1322.00,1343.70,1341.90,1350.32,60998,3910,23872,39.14
09-Sep-2016,1341.90,1346.90,1355.00,1327.00,1338.40,1347.30,1340.75,40896,2035,17096,41.80
12-Sep-2016,1347.30,1312.50,1334.50,1301.10,1305.30,1309.10,1315.18,39640,2519,23602,59.54
14-Sep-2016,1309.10,1295.05,1323.70,1295.05,1304.00,1306.00,1312.26,26903,1631,12860,47.80
15-Sep-2016,1306.00,1306.00,1322.05,1290.00,1298.00,1295.10,1300.53,30519,1946,18222,59.71
16-Sep-2016,1295.10,1306.00,1325.00,1284.95,1301.00,1300.00,1308.35,40200,2687,22597,56.21
19-Sep-2016,1300.00,1300.00,1312.00,1286.20,1288.00,1291.55,1298.59,20507,1174,11690,57.00
20-Sep-2016,1291.55,1290.00,1303.75,1264.00,1265.00,1270.05,1280.32,34681,2398,22643,65.29
21-Sep-2016,1270.05,1273.00,1287.00,1271.00,1276.00,1274.75,1278.92,20007,1316,10714,53.55
22-Sep-2016,1274.75,1296.00,1309.50,1276.15,1306.00,1302.20,1298.69,39947,2388,17862,44.71
23-Sep-2016,1302.20,1306.00,1329.00,1290.00,1300.20,1302.50,1312.82,46646,2824,21499,46.09
26-Sep-2016,1302.50,1302.50,1315.00,1277.95,1285.45,1287.75,1297.61,33196,1824,17652,53.18
27-Sep-2016,1287.75,1287.70,1303.00,1280.25,1285.00,1284.50,1288.35,29102,1597,11178,38.41
28-Sep-2016,1284.50,1297.90,1303.45,1278.10,1290.15,1287.55,1288.25,26834,1697,12776,47.61
29-Sep-2016,1287.55,1296.00,1346.00,1201.00,1229.00,1220.15,1294.36,196277,10846,63875,32.54
30-Sep-2016,1220.15,1232.80,1279.40,1221.25,1268.00,1268.70,1248.32,76268,6128,28861,37.84
03-Oct-2016,1268.70,1255.00,1296.00,1236.10,1257.00,1258.05,1267.02,120419,9593,40949,34.01
04-Oct-2016,1258.05,1258.05,1272.70,1237.00,1245.00,1244.85,1247.96,63657,3883,26949,42.33
05-Oct-2016,1244.85,1248.00,1287.80,1246.00,1263.35,1268.30,1271.84,155859,5354,66756,42.83
06-Oct-2016,1268.30,1291.80,1304.00,1263.25,1269.00,1269.10,1289.63,143265,5249,70909,49.49
