DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,329.80,329.45,334.00,311.00,313.85,312.70,319.51,60416,4568,39113,64.74
03-Aug-2016,312.70,312.70,319.75,308.20,309.30,310.10,311.19,21901,1955,12099,55.24
04-Aug-2016,310.10,317.35,317.35,306.00,310.40,309.45,310.94,35426,1823,16856,47.58
05-Aug-2016,309.45,311.00,325.90,311.00,325.60,324.30,319.04,55429,1769,30875,55.70
08-Aug-2016,324.30,328.75,328.75,315.20,316.00,318.00,319.58,30148,1236,16864,55.94
09-Aug-2016,318.00,319.95,323.00,310.25,312.65,312.60,314.12,24134,1514,11945,49.49
10-Aug-2016,312.60,312.60,315.50,305.10,305.40,305.70,309.01,31321,1748,19977,63.78
11-Aug-2016,305.70,302.00,308.00,301.15,302.60,303.05,303.68,27566,1524,22487,81.58
12-Aug-2016,303.05,303.95,310.90,299.00,300.50,300.65,302.63,50649,4488,33123,65.40
16-Aug-2016,300.65,301.75,305.00,298.50,300.05,301.50,302.11,15386,1396,9159,59.53
17-Aug-2016,301.50,301.45,308.60,296.65,306.20,307.40,305.46,16406,963,8800,53.64
18-Aug-2016,307.40,305.65,310.00,301.85,303.40,303.50,307.07,84241,4360,70564,83.76
19-Aug-2016,303.50,305.00,308.00,298.50,299.00,300.45,302.98,45218,3788,38222,84.53
22-Aug-2016,300.45,302.85,302.85,295.00,296.50,296.10,298.87,54660,5335,47555,87.00
23-Aug-2016,296.10,297.00,297.90,289.35,290.10,291.95,293.42,60930,4564,48997,80.42
24-Aug-2016,291.95,291.95,292.90,286.75,288.20,289.20,288.64,66586,5752,48029,72.13
25-Aug-2016,289.20,290.90,291.40,284.15,285.50,286.55,288.72,60849,4897,48238,79.27
26-Aug-2016,286.55,288.65,294.00,286.55,289.25,290.30,291.03,38086,3441,26306,69.07
29-Aug-2016,290.30,290.30,293.95,286.05,291.35,289.90,288.70,26219,2489,18723,71.41
30-Aug-2016,289.90,289.00,292.80,286.00,286.55,287.75,289.06,77416,3457,63516,82.05
31-Aug-2016,287.75,289.00,291.80,284.00,286.05,286.45,288.03,156779,8023,122341,78.03
01-Sep-2016,286.45,287.50,292.90,286.15,288.10,287.85,288.76,51338,7400,33496,65.25
02-Sep-2016,287.85,288.00,289.00,286.15,287.50,287.55,287.47,21862,1695,14928,68.28
06-Sep-2016,287.55,292.45,292.45,287.05,289.00,288.50,288.60,32150,2044,21143,65.76
07-Sep-2016,288.50,291.90,291.90,287.05,288.25,287.70,288.97,46358,3028,30748,66.33
08-Sep-2016,287.70,289.90,305.00,285.20,297.80,297.80,292.01,415356,4708,298430,71.85
09-Sep-2016,297.80,300.45,309.35,298.00,303.75,306.60,304.40,181897,4801,63769,35.06
12-Sep-2016,306.60,303.75,309.00,295.70,299.00,300.35,303.79,185173,6556,58107,31.38
14-Sep-2016,300.35,304.95,304.95,289.15,290.90,291.60,293.92,407098,3454,376805,92.56
15-Sep-2016,291.60,295.00,295.00,288.15,289.00,289.65,291.18,55557,3474,30404,54.73
16-Sep-2016,289.65,293.00,293.90,289.05,290.00,290.65,290.78,307323,12854,257229,83.70
19-Sep-2016,290.65,292.00,292.95,290.00,290.10,290.55,291.33,41853,1608,21450,51.25
20-Sep-2016,290.55,294.00,298.00,289.00,290.40,290.25,292.69,69270,2710,31598,45.62
21-Sep-2016,290.25,287.20,292.50,287.20,290.00,290.10,290.36,28790,1621,16423,57.04
22-Sep-2016,290.10,291.00,292.95,289.00,290.00,289.95,290.20,101987,7145,88548,86.82
23-Sep-2016,289.95,292.80,297.30,288.15,295.00,293.25,291.67,164207,2361,113521,69.13
26-Sep-2016,293.25,295.95,295.95,292.00,294.40,293.20,293.75,36281,1264,17042,46.97
27-Sep-2016,293.20,295.90,306.50,293.25,297.50,297.65,301.76,203156,4701,59634,29.35
