DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,21.40,21.25,21.60,21.25,21.40,21.40,21.44,2752330,2442,1040219,37.79
03-Aug-2016,21.40,21.30,21.55,20.95,21.10,21.10,21.30,3353751,3414,1285863,38.34
04-Aug-2016,21.10,21.45,21.45,20.80,21.30,21.25,21.16,3411464,2931,1379656,40.44
05-Aug-2016,21.25,21.50,21.65,21.35,21.45,21.50,21.52,3600718,4237,1468094,40.77
08-Aug-2016,21.50,21.50,21.65,21.45,21.55,21.55,21.56,1466432,1939,665792,45.40
09-Aug-2016,21.55,21.60,21.95,21.35,21.60,21.70,21.63,4035838,6236,1725924,42.76
10-Aug-2016,21.70,21.70,21.75,21.20,21.35,21.30,21.39,1658349,3324,752352,45.37
11-Aug-2016,21.30,21.20,21.55,20.90,21.50,21.40,21.16,2663366,4725,1191684,44.74
12-Aug-2016,21.40,21.45,21.60,21.25,21.30,21.35,21.46,2248125,3944,802844,35.71
16-Aug-2016,21.35,21.30,21.50,21.20,21.45,21.45,21.39,2761331,3223,1270717,46.02
17-Aug-2016,21.45,21.50,21.55,21.25,21.35,21.30,21.37,3126594,3677,1675064,53.57
18-Aug-2016,21.30,21.50,21.75,21.40,21.60,21.65,21.62,3100498,4631,1251386,40.36
19-Aug-2016,21.65,21.70,22.65,21.55,22.50,22.30,22.09,5561568,5305,2483848,44.66
22-Aug-2016,22.30,22.55,22.75,21.90,22.35,22.40,22.30,7843520,5017,1638739,20.89
23-Aug-2016,22.40,22.30,22.65,22.10,22.40,22.45,22.37,4722988,3309,961318,20.35
24-Aug-2016,22.45,22.45,22.90,22.25,22.70,22.70,22.52,4945623,4438,1503050,30.39
25-Aug-2016,22.70,22.50,22.80,22.20,22.25,22.30,22.45,5312497,3842,2363565,44.49
26-Aug-2016,22.30,22.25,22.45,21.90,22.00,22.05,22.12,1971596,1859,747543,37.92
29-Aug-2016,22.05,22.05,22.35,21.90,22.30,22.25,22.17,3238102,6635,1311935,40.52
30-Aug-2016,22.25,22.30,22.70,22.30,22.55,22.60,22.49,3579048,3085,1467852,41.01
31-Aug-2016,22.60,22.50,22.85,22.40,22.45,22.50,22.57,4116027,4804,962250,23.38
01-Sep-2016,22.50,22.40,22.60,22.15,22.25,22.25,22.38,3138154,4096,727925,23.20
02-Sep-2016,22.25,22.30,22.50,22.00,22.30,22.35,22.30,2036323,2009,511203,25.10
06-Sep-2016,22.35,22.40,23.00,22.40,23.00,22.90,22.77,5012734,4618,2281887,45.52
07-Sep-2016,22.90,23.25,24.90,22.90,24.40,24.30,24.14,17677163,21039,6233234,35.26
08-Sep-2016,24.30,24.40,25.40,24.20,24.60,24.60,24.75,10599948,14415,3352504,31.63
09-Sep-2016,24.60,24.60,25.00,23.95,24.10,24.20,24.28,4497995,5243,1826449,40.61
12-Sep-2016,24.20,23.90,23.90,22.55,23.05,23.00,23.13,5959926,5213,2169655,36.40
14-Sep-2016,23.00,22.95,23.85,22.90,23.70,23.75,23.48,4213159,3942,1055710,25.06
15-Sep-2016,23.75,23.50,23.75,23.20,23.30,23.35,23.42,2536229,2479,723979,28.55
16-Sep-2016,23.35,23.35,24.50,23.30,23.60,23.60,23.96,9785703,9859,2526589,25.82
19-Sep-2016,23.60,23.65,23.85,23.40,23.50,23.55,23.61,4049834,3958,1586290,39.17
20-Sep-2016,23.55,23.65,23.65,23.20,23.35,23.25,23.35,2858159,4239,1491811,52.19
21-Sep-2016,23.25,23.25,23.45,23.00,23.15,23.10,23.21,4486511,3255,1942098,43.29
22-Sep-2016,23.10,23.35,23.70,23.05,23.30,23.25,23.31,4952860,3447,1949191,39.35
23-Sep-2016,23.25,23.30,23.35,22.90,23.00,23.00,23.16,4181792,2752,1478636,35.36
26-Sep-2016,23.00,22.95,22.95,22.10,22.40,22.40,22.52,6019356,4604,1495007,24.84
27-Sep-2016,22.40,22.50,22.65,22.15,22.35,22.30,22.44,3430809,2628,832397,24.26
28-Sep-2016,22.30,22.30,22.95,22.30,22.80,22.75,22.70,4427259,4488,912666,20.61
29-Sep-2016,22.75,22.90,23.10,21.20,21.50,21.40,21.96,12166994,8402,2860740,23.51
30-Sep-2016,21.40,21.55,22.30,21.30,21.90,21.85,21.78,5187481,5477,1432802,27.62
03-Oct-2016,21.85,22.00,23.50,22.00,23.40,23.20,22.71,8345678,6591,2177883,26.10
