DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,75.75,76.20,77.50,74.80,75.55,75.40,76.14,1271342,4506,682712,53.70
03-Aug-2016,75.40,74.90,75.75,73.20,74.00,74.00,74.43,760303,3644,366339,48.18
04-Aug-2016,74.00,74.70,75.50,73.65,74.30,74.25,74.50,521758,2801,226368,43.39
05-Aug-2016,74.25,74.40,81.15,74.40,80.80,80.10,78.54,3212832,12166,1597143,49.71
08-Aug-2016,80.10,81.90,85.90,78.10,80.20,79.10,80.64,3983653,18391,1652275,41.48
09-Aug-2016,79.10,79.65,80.90,77.30,77.40,77.95,79.20,887421,5468,321518,36.23
10-Aug-2016,77.95,78.20,78.40,74.20,74.30,74.65,75.66,758456,4454,368293,48.56
11-Aug-2016,74.65,75.40,75.55,71.75,73.80,73.85,73.62,1068907,6484,414872,38.81
12-Aug-2016,73.85,75.10,75.50,72.50,72.70,72.90,73.95,1045554,6169,465159,44.49
16-Aug-2016,72.90,73.45,73.60,71.40,72.20,72.20,72.40,573542,2879,265092,46.22
17-Aug-2016,72.20,71.70,75.35,71.70,74.75,74.75,73.85,825606,4268,290001,35.13
18-Aug-2016,74.75,75.60,77.00,74.90,75.00,75.25,76.04,1048883,6175,403748,38.49
19-Aug-2016,75.25,75.60,75.70,74.20,74.95,75.00,75.00,433467,2483,145567,33.58
22-Aug-2016,75.00,75.20,75.60,73.65,73.75,73.90,74.28,363568,2751,149339,41.08
23-Aug-2016,73.90,74.30,75.80,73.35,75.00,75.20,74.91,1031867,7007,306685,29.72
24-Aug-2016,75.20,75.05,77.50,74.05,75.70,75.60,76.06,1076836,6626,330101,30.65
25-Aug-2016,75.60,75.75,77.30,74.65,75.40,75.15,76.26,695581,3271,294508,42.34
26-Aug-2016,75.15,75.50,75.80,73.50,74.60,73.90,74.66,386094,1895,178943,46.35
29-Aug-2016,73.90,74.35,74.85,72.60,73.60,73.20,73.32,438211,2625,216521,49.41
30-Aug-2016,73.20,73.60,77.50,73.60,77.40,76.00,75.44,907669,5680,445884,49.12
31-Aug-2016,76.00,78.80,83.90,77.50,81.55,82.35,80.94,6406477,27196,1895454,29.59
01-Sep-2016,82.35,81.55,82.00,76.00,76.80,76.55,78.71,2880199,18267,936350,32.51
02-Sep-2016,76.55,76.50,77.90,75.50,76.25,76.25,76.72,927485,6651,302251,32.59
06-Sep-2016,76.25,76.95,80.00,76.05,78.85,79.15,78.05,1177082,7022,442953,37.63
07-Sep-2016,79.15,79.65,79.65,76.80,76.90,77.15,78.09,1253392,4378,803554,64.11
08-Sep-2016,77.15,76.10,79.75,76.10,78.45,78.45,78.47,947423,4750,337894,35.66
09-Sep-2016,78.45,78.85,78.90,76.20,76.30,76.40,77.18,612297,3145,315970,51.60
12-Sep-2016,76.40,73.80,74.50,72.05,72.25,72.30,73.12,761862,3742,453384,59.51
14-Sep-2016,72.30,71.80,73.90,71.80,73.55,73.50,73.01,738291,3635,342416,46.38
15-Sep-2016,73.50,75.45,75.90,73.60,74.00,74.10,74.68,865430,5258,313128,36.18
16-Sep-2016,74.10,74.95,75.65,72.20,75.00,74.35,74.36,1014283,4645,576992,56.89
19-Sep-2016,74.35,74.35,75.45,73.10,73.75,73.65,74.21,413136,2381,198434,48.03
20-Sep-2016,73.65,74.20,74.45,73.00,73.40,73.35,73.53,418452,1999,220374,52.66
21-Sep-2016,73.35,73.60,74.30,72.80,73.00,73.15,73.54,272089,1747,145443,53.45
22-Sep-2016,73.15,74.85,76.80,73.55,75.30,75.55,75.42,1094492,6074,446875,40.83
23-Sep-2016,75.55,75.70,75.70,73.10,73.25,73.40,74.40,498356,4627,284190,57.03
26-Sep-2016,73.40,73.30,74.35,72.50,73.10,72.80,73.28,531442,4166,224651,42.27
27-Sep-2016,72.80,73.30,74.00,71.50,72.20,72.05,72.69,382675,2765,210490,55.00
28-Sep-2016,72.05,72.90,73.65,70.30,72.25,72.50,72.61,531582,4161,204145,38.40
29-Sep-2016,72.50,73.15,74.35,62.25,67.95,67.60,70.16,1206476,6943,564519,46.79
30-Sep-2016,67.60,68.00,69.70,66.70,68.70,68.50,68.74,448855,3437,193932,43.21
03-Oct-2016,68.50,69.90,75.50,68.60,74.55,74.45,73.51,1410670,8439,615470,43.63
04-Oct-2016,74.45,74.10,74.90,72.45,73.35,73.30,73.49,645388,4286,281635,43.64
05-Oct-2016,73.30,73.65,74.90,73.10,73.10,73.60,73.95,601729,3752,241456,40.13
06-Oct-2016,73.60,73.95,75.70,72.05,72.80,72.80,73.92,815270,4553,355807,43.64
07-Oct-2016,72.80,73.60,74.45,72.10,73.30,73.65,73.47,593805,4168,179116,30.16
10-Oct-2016,73.65,73.95,76.30,73.10,75.30,75.45,74.90,953761,4527,370998,38.90
13-Oct-2016,75.45,74.65,76.25,69.50,72.60,72.30,73.07,1301441,6280,559063,42.96
14-Oct-2016,72.30,74.00,74.40,71.75,72.85,72.90,73.09,882760,5040,255030,28.89
17-Oct-2016,72.90,73.40,73.50,70.55,71.00,70.90,71.83,510591,2650,275245,53.91
18-Oct-2016,70.90,71.25,73.40,71.25,72.35,72.50,72.51,571642,3218,277614,48.56
