DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
03-Jul-2017,119.45,119.00,125.50,118.00,119.65,120.45,120.50,38549,320,26016,67.49
04-Jul-2017,120.45,119.50,121.35,117.00,120.25,119.40,119.54,166542,657,120102,72.12
05-Jul-2017,119.40,121.75,124.40,119.00,122.50,121.50,120.42,321381,852,289313,90.02
06-Jul-2017,121.50,121.95,129.15,121.00,123.00,122.65,124.97,288149,1404,135086,46.88
07-Jul-2017,122.65,121.00,125.95,120.65,125.55,125.35,124.74,92378,545,84952,91.96
10-Jul-2017,125.35,128.00,128.00,123.00,128.00,127.15,127.15,80251,166,69424,86.51
11-Jul-2017,127.15,124.75,126.00,123.20,125.00,125.00,124.75,107656,360,89461,83.10
12-Jul-2017,125.00,124.15,125.00,120.05,120.10,121.00,122.60,102386,774,94910,92.70
13-Jul-2017,121.00,123.95,129.90,120.05,129.00,129.30,127.38,201068,1168,150846,75.02
14-Jul-2017,129.30,128.35,128.35,122.90,128.30,127.80,126.14,51172,517,38143,74.54
17-Jul-2017,127.80,128.00,128.00,124.20,126.00,126.25,126.40,43658,540,31055,71.13
18-Jul-2017,126.25,125.00,129.80,124.15,126.00,125.40,126.95,64981,517,53000,81.56
19-Jul-2017,125.40,125.00,127.90,124.40,127.00,127.00,126.63,80466,811,72116,89.62
20-Jul-2017,127.00,126.65,128.00,125.00,127.00,127.15,126.03,192194,623,169001,87.93
21-Jul-2017,127.15,129.00,132.80,125.30,127.00,126.95,128.43,79220,721,39402,49.74
24-Jul-2017,126.95,126.00,127.95,126.00,127.50,126.75,127.04,87403,483,84264,96.41
25-Jul-2017,126.75,128.00,128.00,125.20,127.90,127.25,126.61,244883,388,231349,94.47
26-Jul-2017,127.25,126.00,127.90,124.00,127.25,127.05,126.74,82506,271,72733,88.15
27-Jul-2017,127.05,125.20,127.90,124.00,124.00,124.55,126.42,79226,382,70406,88.87
28-Jul-2017,124.55,122.15,125.80,122.15,125.50,125.00,124.34,28961,276,17790,61.43
31-Jul-2017,125.00,123.00,128.50,123.00,127.00,127.05,125.90,92025,333,83679,90.93
01-Aug-2017,127.05,126.55,129.80,126.50,127.10,127.10,127.29,58031,216,53053,91.42
02-Aug-2017,127.10,128.00,130.00,126.50,128.00,128.15,127.53,183404,454,155326,84.69
03-Aug-2017,128.15,128.00,135.00,127.25,127.25,128.60,132.49,956200,6498,341966,35.76
04-Aug-2017,128.60,130.00,132.00,125.70,128.20,129.50,129.40,280043,2279,143855,51.37
07-Aug-2017,129.50,129.05,129.15,127.30,128.00,128.00,128.11,71665,320,66278,92.48
