DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,312.50,314.50,321.95,307.15,310.00,310.00,314.53,303064,5354,100282,33.09
03-Aug-2016,310.00,309.00,310.00,285.15,297.00,296.25,295.18,343936,5800,158793,46.17
04-Aug-2016,296.25,300.15,305.85,294.00,300.80,300.55,300.46,258196,5281,139401,53.99
05-Aug-2016,300.55,302.45,314.00,300.00,302.60,304.30,308.00,230365,4512,73061,31.72
08-Aug-2016,304.30,305.80,315.00,299.35,303.55,304.25,307.36,211450,4186,78886,37.31
09-Aug-2016,304.25,304.95,305.90,298.00,300.15,300.95,301.38,129731,2871,55473,42.76
10-Aug-2016,300.95,302.25,305.00,281.00,296.00,295.10,292.82,191410,3460,92324,48.23
11-Aug-2016,295.10,297.00,301.00,290.00,301.00,299.60,297.14,171336,2864,98752,57.64
12-Aug-2016,299.60,300.00,317.75,293.00,299.70,300.20,306.79,1075897,16245,264385,24.57
16-Aug-2016,300.20,303.90,330.20,303.85,330.20,330.20,323.25,1042127,18297,495309,47.53
17-Aug-2016,330.20,338.50,363.20,335.00,363.20,363.05,355.30,1504123,20830,525760,34.95
18-Aug-2016,363.05,368.80,383.25,357.70,365.20,365.00,372.04,841199,14630,272518,32.40
19-Aug-2016,365.00,370.00,377.00,356.10,371.00,373.05,369.31,650292,11436,126002,19.38
22-Aug-2016,373.05,374.70,394.80,374.00,386.20,385.65,384.74,769936,14012,237692,30.87
23-Aug-2016,385.65,385.60,396.10,382.10,392.95,393.55,390.17,421514,13267,121224,28.76
24-Aug-2016,393.55,392.95,397.10,384.05,385.05,385.80,388.30,215526,5029,92265,42.81
25-Aug-2016,385.80,387.00,391.00,381.00,385.00,384.60,385.30,194412,4830,79059,40.67
26-Aug-2016,384.60,386.95,399.00,376.00,393.50,393.40,390.98,392203,8397,123966,31.61
29-Aug-2016,393.40,394.90,413.05,393.50,413.05,413.05,409.10,439761,6073,174791,39.75
30-Aug-2016,413.05,425.10,433.70,421.55,433.70,433.70,431.51,80100,680,54783,68.39
31-Aug-2016,433.70,455.35,455.35,414.00,416.15,418.25,435.28,638580,13219,242142,37.92
01-Sep-2016,418.25,423.50,423.80,401.25,407.80,407.65,408.51,267753,5079,119412,44.60
02-Sep-2016,407.65,411.45,425.00,403.15,411.00,411.60,415.61,231371,6339,77228,33.38
06-Sep-2016,411.60,409.10,419.70,408.00,409.00,409.20,412.47,88719,2119,45126,50.86
07-Sep-2016,409.20,411.00,412.95,388.75,388.75,388.75,398.19,147006,3317,102569,69.77
08-Sep-2016,388.75,371.00,378.40,369.35,369.35,369.35,370.52,88797,1211,51185,57.64
09-Sep-2016,369.35,350.90,350.90,350.90,350.90,350.90,350.90,40934,400,35932,87.78
12-Sep-2016,350.90,333.40,333.40,333.40,333.40,333.40,333.40,18356,244,18356,100.00
14-Sep-2016,333.40,331.00,350.05,326.30,350.05,350.05,341.32,329321,3659,119191,36.19
15-Sep-2016,350.05,363.00,367.55,358.00,367.55,367.55,364.97,101382,915,72776,71.78
16-Sep-2016,367.55,375.00,383.50,350.60,355.95,358.45,370.47,406806,8450,171031,42.04
19-Sep-2016,358.45,364.90,376.35,364.00,376.35,376.35,373.00,148087,2009,78567,53.05
20-Sep-2016,376.35,385.00,395.15,383.60,395.15,395.15,393.29,591980,7483,252376,42.63
21-Sep-2016,395.15,400.00,414.90,398.00,412.50,413.20,411.56,455100,7940,205211,45.09
22-Sep-2016,413.20,419.00,427.00,392.55,392.55,392.55,406.01,317197,7527,145463,45.86
23-Sep-2016,392.55,392.00,408.00,382.00,385.80,385.50,392.41,184935,4778,64698,34.98
26-Sep-2016,385.50,388.00,396.95,378.55,385.50,382.05,383.77,118436,2661,57207,48.30
27-Sep-2016,382.05,389.00,396.00,382.45,383.50,384.40,388.94,135059,3014,65762,48.69
28-Sep-2016,384.40,387.10,393.00,380.50,383.00,382.70,384.74,73344,1901,34322,46.80
29-Sep-2016,382.70,388.00,392.00,363.60,363.60,363.60,373.51,117940,2133,70265,59.58
30-Sep-2016,363.60,348.10,375.75,347.95,368.15,372.50,363.78,151720,4111,59871,39.46
03-Oct-2016,372.50,375.00,391.10,375.00,391.10,391.10,384.27,153593,3542,87857,57.20
04-Oct-2016,391.10,400.00,405.00,390.60,394.50,393.95,395.93,164759,3355,92034,55.86
05-Oct-2016,393.95,399.00,401.00,385.00,386.50,387.95,390.18,75883,1543,42461,55.96
06-Oct-2016,387.95,393.80,402.00,372.00,377.05,375.90,388.57,209063,5484,62018,29.66
07-Oct-2016,375.90,382.55,382.70,370.00,373.00,373.30,374.62,95452,2678,45930,48.12
10-Oct-2016,373.30,375.80,385.05,373.35,375.20,377.80,378.84,64150,1609,31231,48.68
13-Oct-2016,377.80,376.00,378.20,362.10,365.70,366.55,367.21,77873,2062,47037,60.40
