DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,835.65,839.00,847.50,826.85,829.15,828.90,838.35,2135409,58314,1032926,48.37
03-Aug-2016,828.90,832.70,847.35,821.30,839.55,839.60,834.21,2105776,54905,946623,44.95
04-Aug-2016,839.60,842.00,854.95,840.10,848.50,848.55,849.42,2609726,80529,1276828,48.93
05-Aug-2016,848.55,852.90,854.45,837.05,842.05,841.90,843.54,1908271,66511,999455,52.37
08-Aug-2016,841.90,842.05,844.85,830.40,832.15,832.80,834.18,3382787,80342,2553280,75.48
09-Aug-2016,832.80,834.00,835.20,822.60,826.00,829.35,828.15,1896252,35709,1218998,64.28
10-Aug-2016,829.35,831.70,833.00,815.05,816.50,817.65,822.31,1315780,44438,590459,44.88
11-Aug-2016,817.65,814.30,818.80,785.20,810.45,808.25,802.63,6662203,120009,3938077,59.11
12-Aug-2016,808.25,816.80,825.90,790.55,796.55,800.55,810.65,8732728,191480,3707844,42.46
16-Aug-2016,800.55,808.35,808.35,781.20,782.00,782.70,789.29,5115466,136255,3395970,66.39
17-Aug-2016,782.70,778.75,790.80,772.80,784.00,785.00,783.60,3550406,105570,1801018,50.73
18-Aug-2016,785.00,790.00,794.40,785.50,788.95,788.80,789.96,1585900,47264,881102,55.56
19-Aug-2016,788.80,792.75,793.50,779.60,783.40,783.80,785.95,3217425,76358,2353564,73.15
22-Aug-2016,783.80,784.25,785.00,765.00,767.25,770.10,770.43,5501620,115633,3857650,70.12
23-Aug-2016,770.10,770.70,770.70,760.00,762.20,762.35,762.42,3756220,112083,2614395,69.60
24-Aug-2016,762.35,765.00,775.35,763.55,770.95,769.70,770.68,3806381,125963,2340088,61.48
25-Aug-2016,769.70,773.95,777.30,762.05,765.10,764.95,770.54,2285008,41352,1146593,50.18
26-Aug-2016,764.95,766.25,768.65,752.75,754.75,755.25,758.89,1978922,64762,1129224,57.06
29-Aug-2016,755.25,757.90,762.40,746.60,760.75,759.30,757.20,2362413,78806,1235086,52.28
30-Aug-2016,759.30,763.80,777.00,760.95,775.60,774.85,771.75,1726397,59155,785558,45.50
31-Aug-2016,774.85,778.00,782.00,771.30,773.00,775.65,777.56,3405144,103437,2191404,64.36
01-Sep-2016,775.65,775.60,778.90,767.25,772.00,770.05,772.32,1183855,48282,500280,42.26
02-Sep-2016,770.05,774.00,784.30,768.00,781.55,782.35,777.90,1867621,51918,1107258,59.29
06-Sep-2016,782.35,786.00,789.00,778.30,780.10,782.65,782.85,1556462,37765,841073,54.04
07-Sep-2016,782.65,783.00,784.55,776.55,777.15,779.25,780.02,1353192,35428,806335,59.59
08-Sep-2016,779.25,780.00,809.75,777.30,807.90,808.05,797.67,3663747,77567,1963074,53.58
09-Sep-2016,808.05,811.00,818.50,794.10,794.85,797.45,808.12,4003165,82375,1782226,44.52
12-Sep-2016,797.45,789.00,795.90,779.10,786.00,787.05,789.85,2621800,82800,1324610,50.52
14-Sep-2016,787.05,795.00,796.20,774.40,779.15,779.85,781.74,3858523,103242,2305978,59.76
15-Sep-2016,779.85,784.00,792.60,782.15,788.00,786.35,787.26,1479337,47159,638355,43.15
16-Sep-2016,786.35,790.05,794.00,781.25,783.00,783.80,786.36,2303954,47120,1528935,66.36
19-Sep-2016,783.80,784.55,789.70,780.55,781.95,782.50,784.62,1283403,37461,592290,46.15
20-Sep-2016,782.50,785.00,786.60,777.00,777.90,778.75,780.94,2078649,67957,1373656,66.08
21-Sep-2016,778.75,782.00,784.50,776.35,778.70,778.85,780.44,1572757,60915,987934,62.82
22-Sep-2016,778.85,786.05,788.85,783.30,786.80,786.75,785.83,1730313,57309,1092167,63.12
23-Sep-2016,786.75,790.10,790.75,778.00,778.00,780.05,785.19,1768021,43553,973527,55.06
26-Sep-2016,780.05,781.00,784.25,764.60,765.55,766.15,771.37,2308824,53492,1497509,64.86
27-Sep-2016,766.15,766.50,776.90,766.15,770.95,770.15,771.79,1556490,44799,803393,51.62
28-Sep-2016,770.15,766.20,773.75,763.40,765.40,764.80,765.87,2342694,51298,1550279,66.18
29-Sep-2016,764.80,769.00,770.00,732.00,740.90,735.85,743.63,5321213,69483,3045363,57.23
30-Sep-2016,735.85,739.95,745.00,735.10,743.00,742.70,740.32,2051308,61625,1200313,58.51
03-Oct-2016,742.70,750.00,761.00,750.00,758.20,757.05,756.55,1856097,36270,807064,43.48
04-Oct-2016,757.05,762.00,773.00,759.25,764.05,764.30,765.16,2557812,67550,1385498,54.17
05-Oct-2016,764.30,768.50,768.50,757.30,762.00,759.45,763.73,1847125,34536,996470,53.95
06-Oct-2016,759.45,765.00,766.55,750.10,752.50,752.90,759.66,1755184,34617,1047817,59.70
07-Oct-2016,752.90,756.00,756.20,748.80,749.50,751.20,751.78,1554398,30799,906730,58.33
10-Oct-2016,751.20,752.95,758.00,750.00,755.50,755.45,755.12,1365905,24474,767900,56.22
13-Oct-2016,755.45,749.20,753.90,735.10,741.00,739.70,741.25,2996697,120511,2170873,72.44
14-Oct-2016,739.70,740.90,747.00,737.40,744.55,745.50,744.53,1849542,55583,1309947,70.83
17-Oct-2016,745.50,747.30,747.40,732.00,732.15,733.95,737.52,1510291,51146,930477,61.61
18-Oct-2016,733.95,735.95,745.30,735.50,743.30,743.50,740.11,1901132,76379,1208119,63.55
19-Oct-2016,743.50,748.40,759.00,747.05,750.40,750.25,753.70,2267328,42352,763118,33.66
20-Oct-2016,750.25,754.75,755.90,742.95,745.10,745.50,748.31,1360596,33723,639797,47.02
21-Oct-2016,745.50,747.00,749.00,740.55,747.75,747.75,746.10,1807639,44912,1177086,65.12
24-Oct-2016,747.75,749.90,753.70,745.25,746.80,747.15,749.64,1014731,29114,599443,59.07
25-Oct-2016,747.15,749.10,759.00,746.25,747.95,747.40,751.81,1924646,57793,934154,48.54
26-Oct-2016,747.40,749.00,749.00,736.10,739.00,738.70,741.86,1206610,42966,742336,61.52
27-Oct-2016,738.70,742.00,750.70,737.20,744.20,746.90,746.31,2686399,38647,1502634,55.93
28-Oct-2016,746.90,747.00,752.00,741.95,743.55,743.40,747.04,1900094,53348,1190945,62.68
30-Oct-2016,743.40,749.00,750.00,747.00,748.50,748.10,748.50,276367,6360,147345,53.31
01-Nov-2016,748.10,749.00,749.00,732.10,734.00,733.75,738.74,2566651,94926,1859956,72.47
02-Nov-2016,733.75,732.80,732.80,713.10,715.00,714.05,718.28,3286334,93541,2174362,66.16
03-Nov-2016,714.05,714.00,717.00,700.40,702.30,703.65,707.59,4374269,139263,2963034,67.74
04-Nov-2016,703.65,679.90,679.90,647.10,653.80,651.50,662.50,17908933,294097,9068802,50.64
07-Nov-2016,651.50,676.00,677.00,653.00,654.50,654.90,661.12,6663505,132187,3834590,57.55
08-Nov-2016,654.90,660.00,663.05,632.30,633.00,635.40,639.62,9896681,148895,6125453,61.89
09-Nov-2016,635.40,600.00,669.15,571.90,666.00,660.75,632.58,14963330,233614,7060933,47.19
10-Nov-2016,660.75,680.00,693.60,664.10,669.80,666.20,676.78,9357587,126047,4642241,49.61
11-Nov-2016,666.20,690.00,708.00,680.00,690.75,688.00,696.51,13184334,183701,5056652,38.35
15-Nov-2016,688.00,697.95,705.55,674.65,679.75,682.45,688.37,5816519,113510,2483631,42.70
16-Nov-2016,682.45,691.00,694.75,660.00,661.35,667.40,677.67,4722902,109627,2406748,50.96
17-Nov-2016,667.40,668.75,681.35,660.00,670.00,669.25,671.08,3756250,69209,1712371,45.59
18-Nov-2016,669.25,671.50,692.50,662.05,687.00,688.85,684.83,6150792,117966,3092186,50.27
21-Nov-2016,688.85,692.00,697.10,676.05,689.90,690.35,686.67,5090705,92364,3082616,60.55
22-Nov-2016,690.35,699.00,699.40,685.00,689.20,689.90,690.84,3359143,63829,1683939,50.13
23-Nov-2016,689.90,696.00,704.90,691.05,702.00,701.30,700.00,4496512,83299,2534782,56.37
24-Nov-2016,701.30,699.50,699.50,680.00,682.00,682.50,688.95,3783616,74232,2243952,59.31
25-Nov-2016,682.50,689.50,717.00,685.10,712.45,714.15,704.79,4410579,138479,2252501,51.07
28-Nov-2016,714.15,713.65,720.20,710.05,714.00,715.15,716.11,2607872,68333,1469837,56.36
29-Nov-2016,715.15,719.90,721.50,702.00,706.20,706.50,709.08,3674024,110380,1986774,54.08
30-Nov-2016,706.50,710.90,719.50,706.30,708.15,709.80,712.10,4359468,105725,3057773,70.14
01-Dec-2016,709.80,709.80,724.50,707.00,721.95,721.50,717.61,2796906,69981,1265661,45.25
02-Dec-2016,721.50,719.30,730.95,716.10,721.50,720.35,724.40,3163480,75366,1583804,50.07
05-Dec-2016,720.35,722.00,725.00,710.35,715.00,713.10,717.26,2946490,64782,1418594,48.15
06-Dec-2016,713.10,716.55,721.70,704.15,707.75,706.15,710.51,2939600,77282,1696420,57.71
07-Dec-2016,706.15,700.00,700.00,660.00,664.40,664.00,673.52,12922300,215680,6110504,47.29
08-Dec-2016,664.00,664.00,679.60,658.85,675.35,675.70,670.00,6865033,184663,3017359,43.95
09-Dec-2016,675.70,678.00,682.80,671.25,672.20,673.00,676.21,3298719,83130,1174996,35.62
12-Dec-2016,673.00,673.20,681.90,670.00,676.55,676.40,677.74,2155130,75964,1216030,56.42
13-Dec-2016,676.40,676.00,685.70,666.55,683.70,684.35,679.51,4508196,78980,2151646,47.73
14-Dec-2016,684.35,685.95,692.65,675.00,679.40,678.40,683.73,3202343,55505,1645035,51.37
15-Dec-2016,678.40,672.80,673.60,645.00,650.05,649.95,659.96,9539189,130273,6442657,67.54
16-Dec-2016,649.95,650.85,651.90,633.60,648.00,647.35,642.74,10780836,260370,5508351,51.09
19-Dec-2016,647.35,644.00,644.00,630.10,633.20,632.25,636.79,4214766,121269,2399176,56.92
20-Dec-2016,632.25,635.00,638.00,622.10,627.45,627.90,628.66,3984283,119142,1978756,49.66
21-Dec-2016,627.90,632.00,633.90,613.05,614.30,614.45,619.97,7404147,128457,5296267,71.53
22-Dec-2016,614.45,616.25,625.00,608.00,609.80,609.15,615.10,5479188,97635,2351009,42.91
23-Dec-2016,609.15,614.00,629.50,611.20,622.65,623.50,622.55,6105681,111130,2047093,33.53
26-Dec-2016,623.50,624.55,624.90,610.00,611.05,611.25,615.13,3005547,56292,1070244,35.61
27-Dec-2016,611.25,614.00,622.20,612.60,621.40,621.10,618.12,2289086,48741,773368,33.79
28-Dec-2016,621.10,624.00,628.65,619.05,621.40,621.35,624.24,2516753,48341,976789,38.81
29-Dec-2016,621.35,621.50,624.95,611.85,615.10,614.70,616.78,4788982,64289,3124709,65.25
30-Dec-2016,614.70,619.00,632.00,616.65,628.80,630.00,625.46,3523510,69370,1616830,45.89
02-Jan-2017,630.00,633.00,640.35,627.00,633.90,634.05,635.10,2266225,46055,896600,39.56
03-Jan-2017,634.05,637.00,641.95,631.85,636.00,636.10,637.13,2821892,58293,1700439,60.26
04-Jan-2017,636.10,638.00,643.80,634.80,640.50,637.35,638.64,2500456,42866,1685501,67.41
05-Jan-2017,637.35,646.10,647.90,641.50,642.90,643.45,644.65,2589560,63865,1238018,47.81
06-Jan-2017,643.45,648.10,649.75,639.45,641.00,640.75,644.39,1864378,53069,872047,46.77
09-Jan-2017,640.75,641.10,646.90,631.00,632.10,632.05,635.79,1827405,45997,936150,51.23
10-Jan-2017,632.05,635.00,639.90,627.10,639.15,638.55,633.98,2559697,65558,1352427,52.84
11-Jan-2017,638.55,640.00,649.55,639.30,646.25,648.20,645.61,2784843,58559,1850483,66.45
12-Jan-2017,648.20,629.00,646.90,629.00,645.15,644.75,638.96,6269913,106936,4038990,64.42
13-Jan-2017,644.75,647.00,657.40,642.45,651.95,653.00,651.27,3524996,46104,1984667,56.30
16-Jan-2017,653.00,651.00,654.90,642.20,643.50,643.50,647.47,1349694,31954,622860,46.15
17-Jan-2017,643.50,645.00,652.70,644.45,648.10,649.70,649.67,3016496,62451,2218625,73.55
18-Jan-2017,649.70,649.00,654.00,644.50,649.05,649.95,650.10,4013631,53000,2976410,74.16
19-Jan-2017,649.95,647.00,653.70,641.10,641.80,643.45,647.16,2089653,43776,1310628,62.72
20-Jan-2017,643.45,642.85,647.40,640.00,641.50,641.55,642.53,3671360,31285,2941000,80.11
23-Jan-2017,641.55,640.00,645.25,632.50,633.95,633.65,636.84,2955807,55577,1875131,63.44
24-Jan-2017,633.65,636.00,644.50,636.00,642.05,641.40,641.08,2187797,43162,1434442,65.57
25-Jan-2017,641.40,644.00,646.70,634.20,635.90,635.85,638.34,3068071,55704,2144051,69.88
27-Jan-2017,635.85,638.30,643.00,633.80,642.10,640.50,638.79,2362371,65787,1446331,61.22
30-Jan-2017,640.50,640.05,654.90,639.00,643.65,644.75,648.92,2406083,44606,995113,41.36
31-Jan-2017,644.75,644.50,649.00,630.00,630.75,631.50,635.82,1926978,47290,1190940,61.80
01-Feb-2017,631.50,631.00,637.45,618.40,626.45,625.55,626.76,3507275,70006,2001086,57.06
02-Feb-2017,625.55,626.20,644.70,620.00,641.00,641.40,634.55,3819377,94231,2095963,54.88
03-Feb-2017,641.40,644.50,649.80,640.25,648.00,647.25,646.13,2048060,46626,1059728,51.74
