DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,243.20,245.10,248.00,238.00,241.90,242.20,243.37,97409,1130,42646,43.78
03-Aug-2016,242.20,241.75,241.75,232.75,233.90,234.35,235.15,59831,936,28021,46.83
04-Aug-2016,234.35,238.60,238.65,231.10,234.50,233.55,234.41,75402,814,27293,36.20
05-Aug-2016,233.55,234.00,246.60,233.50,243.00,242.05,241.38,71769,1013,28787,40.11
08-Aug-2016,242.05,244.00,249.75,243.10,247.95,245.80,245.69,55127,759,30484,55.30
09-Aug-2016,245.80,249.70,249.70,238.30,238.35,239.30,241.94,47853,646,24467,51.13
10-Aug-2016,239.30,238.00,239.75,228.00,232.05,231.90,233.54,42417,876,16078,37.90
11-Aug-2016,231.90,229.90,237.00,228.35,230.00,230.20,233.85,40773,526,18627,45.68
12-Aug-2016,230.20,233.95,234.00,219.90,229.00,227.00,227.54,174765,2079,81133,46.42
16-Aug-2016,227.00,227.80,232.45,221.00,230.00,229.65,225.97,105581,1038,54921,52.02
17-Aug-2016,229.65,230.00,239.00,229.05,238.00,236.90,234.95,47862,660,24627,51.45
18-Aug-2016,236.90,237.00,240.00,234.05,236.70,236.70,237.63,35719,1069,14120,39.53
19-Aug-2016,236.70,233.00,239.50,227.30,228.00,229.40,233.99,66930,1934,24459,36.54
22-Aug-2016,229.40,228.00,239.95,228.00,233.55,235.15,235.61,43809,578,15275,34.87
23-Aug-2016,235.15,233.00,237.00,230.15,236.00,235.30,233.66,29053,859,8333,28.68
24-Aug-2016,235.30,234.00,236.95,228.35,234.80,232.85,232.32,25718,797,6005,23.35
25-Aug-2016,232.85,232.90,235.90,228.50,234.00,233.60,232.27,37810,788,15477,40.93
26-Aug-2016,233.60,234.00,236.95,227.65,230.00,230.65,231.00,42052,1312,18544,44.10
29-Aug-2016,230.65,233.00,241.00,232.00,238.00,236.85,237.16,57380,901,33733,58.79
30-Aug-2016,236.85,238.45,239.40,233.25,235.00,234.95,235.46,47093,485,15202,32.28
31-Aug-2016,234.95,237.00,239.00,230.50,231.60,232.55,234.32,32915,618,12950,39.34
01-Sep-2016,232.55,236.00,236.00,228.90,230.00,229.90,232.44,28678,767,7372,25.71
02-Sep-2016,229.90,230.00,234.55,227.05,228.00,228.15,231.88,44878,510,15133,33.72
06-Sep-2016,228.15,232.00,233.00,224.45,228.95,228.25,228.08,31121,482,10595,34.04
07-Sep-2016,228.25,232.90,241.75,230.35,239.50,236.80,236.16,116094,1457,49546,42.68
08-Sep-2016,236.80,242.00,250.00,242.00,250.00,247.35,246.36,193172,5070,148824,77.04
09-Sep-2016,247.35,251.35,252.95,244.00,251.00,250.95,250.14,85977,1569,46254,53.80
12-Sep-2016,250.95,246.90,248.00,242.50,246.05,245.35,245.69,105072,1174,73967,70.40
14-Sep-2016,245.35,245.35,259.00,243.00,254.55,255.55,252.60,141274,2458,87326,61.81
15-Sep-2016,255.55,269.00,275.00,259.15,260.70,262.25,267.34,591611,11008,241793,40.87
16-Sep-2016,262.25,261.55,266.95,252.00,254.25,255.70,259.01,161939,5188,56616,34.96
19-Sep-2016,255.70,256.30,260.85,252.00,253.55,254.75,256.86,69808,982,39881,57.13
20-Sep-2016,254.75,260.00,260.00,247.60,249.05,249.25,251.83,76458,1567,22648,29.62
21-Sep-2016,249.25,250.00,256.40,249.15,254.40,254.30,254.39,114018,2472,73597,64.55
22-Sep-2016,254.30,253.60,257.80,250.35,253.50,255.45,255.05,87196,3539,32466,37.23
23-Sep-2016,255.45,258.00,258.00,251.40,252.00,253.05,254.57,79432,2554,29956,37.71
26-Sep-2016,253.05,250.20,254.50,249.25,251.85,250.15,252.83,37811,882,13894,36.75
27-Sep-2016,250.15,250.00,255.00,247.20,250.05,249.90,252.84,47247,1768,10421,22.06
28-Sep-2016,249.90,251.50,253.85,249.15,250.30,251.90,251.67,42762,529,6643,15.53
29-Sep-2016,251.90,251.95,255.00,235.00,239.00,237.60,247.54,58918,1297,22911,38.89
30-Sep-2016,237.60,237.00,255.00,236.95,249.00,249.10,241.45,49934,864,15230,30.50
03-Oct-2016,249.10,248.85,254.50,246.25,252.80,251.95,251.65,40914,799,10496,25.65
04-Oct-2016,251.95,255.45,257.80,251.50,257.75,256.05,254.44,41665,1109,8559,20.54
05-Oct-2016,256.05,258.00,259.90,252.70,257.20,256.30,255.84,57101,998,14507,25.41
06-Oct-2016,256.30,257.20,271.90,255.05,261.90,262.20,262.75,149279,2161,80648,54.03
07-Oct-2016,262.20,264.05,268.30,257.15,263.00,261.75,261.47,82591,991,26524,32.11
10-Oct-2016,261.75,265.45,266.80,261.00,262.45,263.15,262.88,73420,494,37783,51.46
13-Oct-2016,263.15,265.05,265.70,256.00,260.90,260.35,259.32,95922,1981,43326,45.17
14-Oct-2016,260.35,261.55,272.00,257.15,269.50,269.35,264.87,257862,2039,204494,79.30
17-Oct-2016,269.35,270.90,280.90,265.05,279.50,278.10,274.27,131663,2296,71878,54.59
18-Oct-2016,278.10,276.20,287.50,276.20,284.00,285.50,283.09,127378,2154,70487,55.34
19-Oct-2016,285.50,283.05,288.00,280.00,283.90,285.20,282.53,57903,929,21340,36.85
20-Oct-2016,285.20,281.60,288.65,278.20,281.00,280.45,283.75,80008,1568,31308,39.13
21-Oct-2016,280.45,281.25,283.80,278.00,278.00,278.35,280.58,69655,1066,30985,44.48
24-Oct-2016,278.35,281.85,281.85,272.55,279.45,278.80,277.90,65452,905,27456,41.95
25-Oct-2016,278.80,276.50,281.75,273.35,275.00,276.75,277.97,61700,1233,17934,29.07
26-Oct-2016,276.75,278.90,279.00,267.00,278.00,275.40,271.94,77956,1694,18366,23.56
27-Oct-2016,275.40,275.00,291.50,273.00,290.95,288.05,285.51,265140,4217,116688,44.01
28-Oct-2016,288.05,292.20,295.00,289.00,292.95,293.00,292.83,135044,1792,46702,34.58
30-Oct-2016,293.00,299.00,299.00,293.95,295.25,295.70,295.85,34810,704,17138,49.23
01-Nov-2016,295.70,291.35,299.55,288.00,292.00,289.10,293.29,48667,1096,26788,55.04
02-Nov-2016,289.10,287.00,293.00,282.00,284.45,285.00,286.55,142658,1781,122543,85.90
03-Nov-2016,285.00,292.70,292.70,278.10,280.00,281.00,285.93,45849,1365,20697,45.14
04-Nov-2016,281.00,278.60,284.00,268.00,276.30,277.45,278.52,38694,2074,21636,55.92
07-Nov-2016,277.45,282.35,289.70,265.30,270.80,272.80,279.54,70829,3229,45727,64.56
08-Nov-2016,272.80,272.35,279.05,270.20,276.00,275.35,275.14,32124,1143,11613,36.15
09-Nov-2016,275.35,227.20,248.95,220.30,225.00,220.95,222.77,297482,2464,168908,56.78
10-Nov-2016,220.95,230.00,240.80,224.90,225.00,225.50,229.51,208985,4582,101023,48.34
11-Nov-2016,225.50,221.55,229.30,210.00,217.95,212.95,218.26,87725,3475,42570,48.53
15-Nov-2016,212.95,215.00,218.00,174.60,193.00,192.25,197.09,121805,3688,50872,41.77
16-Nov-2016,192.25,204.00,204.00,181.00,185.50,184.10,191.67,108612,2645,59962,55.21
17-Nov-2016,184.10,184.20,189.90,182.70,185.00,185.75,187.21,64003,847,38979,60.90
18-Nov-2016,185.75,189.00,189.00,182.10,183.95,183.75,186.31,31847,847,11076,34.78
21-Nov-2016,183.75,187.50,190.00,178.20,178.20,181.00,182.28,33853,813,14960,44.19
22-Nov-2016,181.00,187.00,187.05,174.60,179.00,177.95,178.38,45364,727,32079,70.71
23-Nov-2016,177.95,180.00,195.70,179.00,195.70,192.80,186.74,44288,1509,18608,42.02
24-Nov-2016,192.80,194.60,198.00,185.00,193.00,193.20,193.21,44516,1590,14368,32.28
25-Nov-2016,193.20,195.00,202.00,187.15,190.60,191.20,191.73,72490,2722,34341,47.37
28-Nov-2016,191.20,194.00,195.00,188.00,188.55,188.55,189.25,42428,1271,32747,77.18
29-Nov-2016,188.55,192.00,192.00,188.00,189.00,189.05,190.23,36412,1700,24313,66.77
30-Nov-2016,189.05,194.00,199.00,189.00,193.20,193.95,192.57,121225,4244,63543,52.42
01-Dec-2016,193.95,198.45,202.50,194.00,196.90,196.70,198.35,63223,3331,22907,36.23
02-Dec-2016,196.70,196.90,197.50,189.10,189.55,191.20,193.35,39367,1227,8624,21.91
05-Dec-2016,191.20,193.00,199.30,191.95,197.00,197.75,195.11,49427,1217,11380,23.02
06-Dec-2016,197.75,198.00,201.90,194.15,197.30,198.55,198.45,58169,2194,13349,22.95
07-Dec-2016,198.55,200.00,200.00,191.55,194.30,192.80,197.02,31524,1184,5520,17.51
08-Dec-2016,192.80,193.50,199.45,193.50,198.65,197.30,197.02,32130,1383,4032,12.55
09-Dec-2016,197.30,197.05,201.50,197.05,199.65,199.55,199.02,29764,1250,7256,24.38
12-Dec-2016,199.55,201.55,218.30,201.05,209.85,208.55,208.89,82804,2107,19507,23.56
13-Dec-2016,208.55,240.00,240.00,223.50,227.35,226.75,232.24,656885,15127,112884,17.18
14-Dec-2016,226.75,231.00,231.30,218.95,222.00,223.10,222.77,289328,2603,219853,75.99
15-Dec-2016,223.10,217.00,229.00,217.00,225.50,225.40,223.08,52794,2088,12807,24.26
