DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,473.20,473.70,475.75,453.85,457.80,457.15,463.62,1613886,31798,559821,34.69
03-Aug-2016,457.15,457.15,463.95,442.70,450.75,450.40,454.77,1896648,28731,544419,28.70
04-Aug-2016,450.40,453.00,465.35,447.70,460.40,461.10,458.74,1919766,29244,651492,33.94
05-Aug-2016,461.10,461.35,468.00,457.50,462.05,462.10,462.55,1041617,21755,385229,36.98
08-Aug-2016,462.10,461.00,470.65,458.80,465.40,465.90,466.11,1227384,27395,440976,35.93
09-Aug-2016,465.90,463.00,465.95,457.50,460.95,461.10,461.36,1259169,30257,559399,44.43
10-Aug-2016,461.10,461.10,467.90,456.40,461.00,460.75,462.47,1433800,35161,668599,46.63
11-Aug-2016,460.75,460.00,470.45,443.60,461.05,458.70,459.62,1246039,27073,382769,30.72
12-Aug-2016,458.70,460.20,464.30,453.55,454.40,458.55,461.17,800007,11118,361875,45.23
16-Aug-2016,458.55,454.20,460.40,451.20,455.30,457.70,455.82,1143660,20441,534481,46.73
17-Aug-2016,457.70,458.70,465.70,454.75,460.10,461.75,460.37,2231915,44553,1328505,59.52
18-Aug-2016,461.75,462.50,486.25,460.95,484.20,484.05,473.69,3774233,39036,1820498,48.23
19-Aug-2016,484.05,488.15,490.90,477.90,483.15,481.90,484.29,2798534,36326,878797,31.40
22-Aug-2016,481.90,468.00,473.70,456.55,459.10,458.85,463.27,5025105,57453,2199187,43.76
23-Aug-2016,458.85,459.00,466.90,453.10,464.95,464.70,459.35,1361993,20151,340617,25.01
24-Aug-2016,464.70,469.70,469.70,461.75,464.80,463.70,464.51,826079,19719,239049,28.94
25-Aug-2016,463.70,464.30,472.00,463.00,467.10,467.55,466.59,1171073,15871,291872,24.92
26-Aug-2016,467.55,469.00,476.50,465.05,468.10,469.65,470.74,895389,12790,287533,32.11
29-Aug-2016,469.65,467.65,474.45,464.65,466.85,467.10,468.76,808224,11902,395085,48.88
30-Aug-2016,467.10,466.25,478.65,466.25,474.40,474.40,472.59,1000974,14241,516212,51.57
31-Aug-2016,474.40,472.60,483.00,469.45,473.00,472.40,478.23,1077276,16556,405274,37.62
01-Sep-2016,472.40,472.70,475.45,464.30,466.05,466.80,469.86,664779,17124,221495,33.32
02-Sep-2016,466.80,464.00,473.90,464.00,470.00,470.10,470.20,696913,9436,150298,21.57
06-Sep-2016,470.10,470.30,482.00,465.75,481.15,480.10,475.39,1445827,17199,439740,30.41
07-Sep-2016,480.10,480.90,494.25,479.85,488.25,488.85,488.05,1018488,16390,208588,20.48
08-Sep-2016,488.85,488.00,498.30,482.25,484.10,484.05,491.82,909941,13673,132710,14.58
09-Sep-2016,484.05,488.40,488.40,474.00,476.35,475.70,477.01,813227,10801,400651,49.27
12-Sep-2016,475.70,466.30,467.45,446.30,452.55,452.60,457.73,849052,13913,243858,28.72
14-Sep-2016,452.60,453.30,485.00,453.30,485.00,481.75,472.12,1761310,21805,505799,28.72
15-Sep-2016,481.75,481.00,515.25,474.65,509.00,508.65,503.10,3622448,48187,580385,16.02
16-Sep-2016,508.65,514.85,518.80,487.55,497.00,495.45,505.68,2882379,43757,583123,20.23
19-Sep-2016,495.45,496.90,501.10,485.10,489.65,490.55,490.42,1476011,29026,510246,34.57
20-Sep-2016,490.55,489.00,499.00,483.35,486.85,487.50,492.31,1144561,28073,384993,33.64
21-Sep-2016,487.50,490.80,495.75,480.30,487.75,488.65,489.80,1137891,23879,340752,29.95
22-Sep-2016,488.65,498.00,510.80,491.75,507.95,508.25,500.45,1451645,28314,354414,24.41
23-Sep-2016,508.25,506.00,506.95,493.50,495.30,496.30,499.01,1081488,18679,279069,25.80
26-Sep-2016,496.30,492.90,506.45,489.25,496.85,497.05,499.54,1656526,28816,401698,24.25
27-Sep-2016,497.05,501.00,509.20,493.20,496.00,494.65,500.71,2865514,38121,1157540,40.40
28-Sep-2016,494.65,498.85,506.95,495.35,505.00,503.50,501.78,1263764,23751,310929,24.60
29-Sep-2016,503.50,506.00,508.35,469.40,482.20,481.15,488.11,2643146,39845,1249512,47.27
30-Sep-2016,481.15,482.00,511.00,477.00,504.45,505.15,494.49,1042348,17932,273815,26.27
03-Oct-2016,505.15,514.00,534.00,501.30,529.75,531.25,522.62,2381563,35393,473683,19.89
04-Oct-2016,531.25,536.00,536.00,516.50,524.80,523.90,525.17,1075509,17086,187414,17.43
05-Oct-2016,523.90,524.70,532.95,524.70,527.90,527.40,528.77,764743,14213,103824,13.58
06-Oct-2016,527.40,529.40,539.10,520.10,524.25,524.25,531.33,1319397,22650,312925,23.72
07-Oct-2016,524.25,526.50,566.95,524.25,558.90,562.85,549.53,3770810,58866,443986,11.77
10-Oct-2016,562.85,562.00,564.90,551.80,556.00,557.55,558.44,2342105,40657,475572,20.31
13-Oct-2016,557.55,555.80,555.80,523.70,537.80,536.30,539.56,2655510,37800,1069373,40.27
14-Oct-2016,536.30,538.00,546.90,532.15,540.85,541.95,540.13,1394236,17735,385388,27.64
17-Oct-2016,541.95,541.50,545.00,521.30,526.80,525.25,531.89,995047,15070,158790,15.96
18-Oct-2016,525.25,528.00,545.35,526.50,542.05,543.30,534.65,1708916,24002,573283,33.55
19-Oct-2016,543.30,543.30,546.80,530.70,534.50,533.20,535.74,1523273,39238,588487,38.63
20-Oct-2016,533.20,535.00,548.90,534.10,534.10,537.30,542.08,1815730,22401,534876,29.46
21-Oct-2016,537.30,538.95,538.95,526.25,531.50,531.80,530.79,1067374,20324,326916,30.63
24-Oct-2016,531.80,533.00,540.00,529.15,534.15,534.10,535.04,1273414,26192,401257,31.51
25-Oct-2016,534.10,536.65,538.00,527.75,531.30,532.35,532.30,894105,15530,466603,52.19
26-Oct-2016,532.35,531.95,550.50,527.25,540.00,539.75,542.06,2035099,42874,685232,33.67
27-Oct-2016,539.75,538.00,544.50,529.70,534.80,534.80,535.18,1536117,24631,607187,39.53
28-Oct-2016,534.80,540.00,555.35,532.70,548.65,547.00,547.85,1611813,29360,274111,17.01
30-Oct-2016,547.00,550.95,552.40,547.30,547.30,549.25,549.72,83794,1712,22604,26.98
01-Nov-2016,549.25,550.00,552.05,541.05,543.90,543.00,545.48,1276384,23509,650948,51.00
02-Nov-2016,543.00,537.00,538.80,523.35,533.00,534.40,531.99,1167366,15441,314205,26.92
03-Nov-2016,534.40,534.20,541.80,526.30,528.45,528.90,535.59,929825,17241,357227,38.42
04-Nov-2016,528.90,526.10,534.10,507.10,523.00,521.05,519.69,1177487,17207,145467,12.35
07-Nov-2016,521.05,525.00,533.55,522.20,528.50,528.40,528.15,923076,16159,293185,31.76
08-Nov-2016,528.40,529.90,536.15,522.75,526.50,525.70,529.41,744554,13263,135857,18.25
09-Nov-2016,525.70,505.05,516.50,475.00,507.00,504.00,498.98,1668045,27437,404526,24.25
10-Nov-2016,504.00,512.40,537.10,511.00,531.95,532.65,527.15,1609726,15362,538866,33.48
11-Nov-2016,532.65,526.00,532.20,495.20,500.70,500.25,514.56,1083494,13813,207958,19.19
15-Nov-2016,500.25,503.90,505.30,478.55,490.90,488.80,489.42,1570574,23514,608093,38.72
16-Nov-2016,488.80,486.10,500.00,482.40,493.00,490.90,490.78,894790,14386,296624,33.15
