DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,17.15,17.30,17.30,16.90,16.95,16.95,17.08,8997729,7544,4502114,50.04
03-Aug-2016,16.95,17.05,17.10,16.40,16.45,16.50,16.66,12660714,16451,5863454,46.31
04-Aug-2016,16.50,16.65,16.75,16.20,16.25,16.25,16.49,17965445,11948,6347357,35.33
05-Aug-2016,16.25,16.65,17.60,16.60,17.10,17.15,17.13,29876541,18153,10273124,34.39
08-Aug-2016,17.15,17.25,17.25,16.90,16.90,16.90,17.06,9721067,10435,4156921,42.76
09-Aug-2016,16.90,17.05,17.05,16.70,16.85,16.75,16.82,9819701,6625,3949974,40.22
10-Aug-2016,16.75,16.80,16.85,16.45,16.80,16.65,16.64,11859336,10322,5195873,43.81
11-Aug-2016,16.65,16.80,16.90,16.40,16.65,16.65,16.65,8520214,6042,3546756,41.63
12-Aug-2016,16.65,16.65,16.75,16.50,16.65,16.55,16.60,8176079,5800,3343954,40.90
16-Aug-2016,16.55,16.60,16.65,16.35,16.45,16.45,16.47,12000786,7601,5993384,49.94
17-Aug-2016,16.45,16.55,16.95,16.45,16.95,16.75,16.73,14809788,9007,5342684,36.08
18-Aug-2016,16.75,16.95,17.20,16.65,16.65,16.65,16.85,11818122,6937,5806684,49.13
19-Aug-2016,16.65,16.65,16.75,16.45,16.55,16.50,16.52,11219997,6413,4928953,43.93
22-Aug-2016,16.50,16.60,16.65,16.40,16.50,16.45,16.48,6454228,4611,2791353,43.25
23-Aug-2016,16.45,16.45,16.60,16.35,16.55,16.50,16.49,9550229,5788,4337978,45.42
24-Aug-2016,16.50,16.50,16.65,16.40,16.45,16.45,16.48,7197985,4389,4108423,57.08
25-Aug-2016,16.45,16.50,16.50,16.25,16.30,16.30,16.34,7823513,5791,3780709,48.32
26-Aug-2016,16.30,16.30,16.35,16.10,16.15,16.10,16.19,6954514,5280,3498972,50.31
29-Aug-2016,16.10,16.15,16.20,15.70,15.70,15.75,15.86,14770712,11084,8696803,58.88
30-Aug-2016,15.75,15.80,16.15,15.70,15.95,15.95,15.94,10365663,5376,4485856,43.28
31-Aug-2016,15.95,15.95,16.00,15.75,15.85,15.80,15.90,12310513,6725,5530343,44.92
01-Sep-2016,15.80,15.75,15.90,15.60,15.70,15.70,15.77,10293681,5524,4634119,45.02
02-Sep-2016,15.70,15.70,15.80,15.65,15.75,15.75,15.73,7599652,6161,3998253,52.61
06-Sep-2016,15.75,15.75,16.50,15.70,16.20,16.25,16.20,29393517,11780,11515215,39.18
07-Sep-2016,16.25,16.30,16.45,16.10,16.30,16.25,16.25,15055211,6683,6984844,46.39
08-Sep-2016,16.25,16.80,17.60,16.60,17.50,17.45,17.22,54654950,27686,20667402,37.81
09-Sep-2016,17.45,17.45,18.35,17.05,17.80,17.90,17.87,61743462,31171,19954487,32.32
12-Sep-2016,17.90,17.40,17.85,17.15,17.25,17.25,17.41,32559534,13910,11864478,36.44
14-Sep-2016,17.25,16.15,16.40,15.65,16.10,16.05,16.04,45541608,23079,19787657,43.45
15-Sep-2016,16.05,16.05,16.20,15.60,16.00,15.95,15.89,32271191,14150,13159566,40.78
16-Sep-2016,15.95,16.00,16.60,15.75,16.30,16.10,16.10,37525004,16429,16792675,44.75
19-Sep-2016,16.10,16.35,16.50,16.00,16.00,16.05,16.16,16460801,10246,7134239,43.34
20-Sep-2016,16.05,16.10,16.15,15.90,15.90,15.90,15.97,9891680,5755,4677394,47.29
21-Sep-2016,15.90,15.90,16.05,15.80,15.80,15.85,15.91,11171371,5931,4941471,44.23
22-Sep-2016,15.85,16.05,16.10,15.85,15.95,15.90,15.93,8710178,5912,3890688,44.67
23-Sep-2016,15.90,15.90,16.35,15.80,15.90,15.90,16.06,17679640,10608,5668467,32.06
26-Sep-2016,15.90,16.10,16.10,15.70,15.70,15.70,15.82,8530275,9043,4287158,50.26
27-Sep-2016,15.70,15.80,16.10,15.50,15.60,15.60,15.74,15667701,9451,7490727,47.81
28-Sep-2016,15.60,15.60,15.70,15.40,15.45,15.40,15.48,22178873,10682,10390009,46.85
29-Sep-2016,15.40,15.55,15.60,14.10,14.55,14.50,14.91,32628873,22014,14989221,45.94
30-Sep-2016,14.50,14.60,14.90,14.55,14.90,14.85,14.73,14037464,11139,7107387,50.63
03-Oct-2016,14.85,15.00,15.25,15.00,15.25,15.15,15.15,9023677,6775,4330843,47.99
04-Oct-2016,15.15,15.25,15.25,14.90,15.15,15.00,15.07,11495619,7544,6078333,52.88
05-Oct-2016,15.00,15.10,15.15,14.85,14.90,14.90,14.94,12716950,7082,4551092,35.79
06-Oct-2016,14.90,15.10,15.15,14.50,14.60,14.60,14.83,17462945,10822,8461783,48.46
07-Oct-2016,14.60,14.65,14.75,14.25,14.50,14.40,14.46,22007104,12964,9897351,44.97
10-Oct-2016,14.40,14.50,15.00,14.50,14.85,14.80,14.77,11726240,8469,5033873,42.93
13-Oct-2016,14.80,14.85,15.35,14.60,14.65,14.70,14.92,18380668,12438,7269819,39.55
14-Oct-2016,14.70,14.80,14.85,14.45,14.50,14.60,14.65,10962469,7376,4827792,44.04
17-Oct-2016,14.60,14.50,14.60,14.30,14.35,14.35,14.40,12503668,9476,6696590,53.56
18-Oct-2016,14.35,14.40,14.55,14.30,14.40,14.35,14.38,15195553,18645,6692879,44.04
19-Oct-2016,14.35,14.45,15.30,14.40,14.75,14.75,14.83,36405694,16224,10043688,27.59
20-Oct-2016,14.75,15.20,15.40,15.10,15.15,15.15,15.20,22887732,15624,9216670,40.27
21-Oct-2016,15.15,15.20,15.30,14.75,14.85,14.80,14.96,13900287,8676,6031174,43.39
24-Oct-2016,14.80,14.90,14.95,14.75,14.75,14.80,14.83,6532412,5203,3738728,57.23
25-Oct-2016,14.80,14.85,14.90,14.60,14.65,14.65,14.70,7259353,4406,3476394,47.89
26-Oct-2016,14.65,14.70,15.20,14.60,14.70,14.70,14.83,14176851,7192,4344395,30.64
27-Oct-2016,14.70,14.70,14.85,14.50,14.65,14.60,14.64,7910045,4518,3316927,41.93
28-Oct-2016,14.60,14.70,15.30,14.55,15.15,15.15,14.92,22626514,10017,9435773,41.70
30-Oct-2016,15.15,15.30,15.55,15.20,15.45,15.40,15.39,9876130,8610,5081760,51.45
01-Nov-2016,15.40,15.55,15.60,15.05,15.15,15.10,15.24,9483399,7521,5029200,53.03
02-Nov-2016,15.10,14.90,14.95,14.65,14.65,14.70,14.76,10039205,6444,5068119,50.48
03-Nov-2016,14.70,14.70,14.85,14.55,14.60,14.60,14.69,7626564,5357,3412658,44.75
04-Nov-2016,14.60,14.70,14.75,14.25,14.35,14.35,14.41,13273085,7807,6292559,47.41
07-Nov-2016,14.35,14.45,15.10,14.40,14.65,14.75,14.74,20508886,9321,4845772,23.63
08-Nov-2016,14.75,14.80,14.85,14.50,14.65,14.60,14.62,10337532,5068,3331346,32.23
09-Nov-2016,14.60,13.00,14.30,12.00,14.30,14.20,13.77,23517999,17038,9630520,40.95
10-Nov-2016,14.20,14.55,15.15,14.30,15.10,15.05,14.76,24653081,11092,8380786,33.99
11-Nov-2016,15.05,14.95,15.25,14.50,14.55,14.55,14.88,22888429,10407,8946904,39.09
15-Nov-2016,14.55,16.00,16.00,15.00,15.30,15.30,15.44,68785763,32366,24226105,35.22
16-Nov-2016,15.30,15.55,15.75,14.70,14.85,14.80,15.30,36782947,16904,10046519,27.31
17-Nov-2016,14.80,14.95,15.10,14.40,14.50,14.45,14.69,24483072,10287,7309837,29.86
18-Nov-2016,14.45,14.60,14.90,14.40,14.75,14.75,14.72,23577782,9676,5288158,22.43
21-Nov-2016,14.75,14.90,14.90,13.85,14.00,13.95,14.18,25218825,11942,9587818,38.02
22-Nov-2016,13.95,14.15,14.25,13.70,14.20,14.05,13.97,20901460,9460,5790998,27.71
23-Nov-2016,14.05,14.35,14.35,14.05,14.15,14.15,14.16,11435254,6541,3862714,33.78
24-Nov-2016,14.15,14.10,14.70,13.95,14.40,14.35,14.35,20846842,7542,4417995,21.19
25-Nov-2016,14.35,14.55,14.65,14.30,14.60,14.55,14.54,9256804,5046,3435162,37.11
28-Nov-2016,14.55,14.60,15.00,14.45,14.90,14.85,14.79,15924477,6546,4821189,30.28
29-Nov-2016,14.85,14.95,15.15,14.80,14.80,14.80,14.94,9547073,5496,2977032,31.18
30-Nov-2016,14.80,14.95,14.95,14.65,14.75,14.80,14.79,11068436,4703,3897592,35.21
01-Dec-2016,14.80,14.85,15.05,14.65,14.85,14.80,14.81,12826903,5201,3377668,26.33
02-Dec-2016,14.80,14.75,14.90,14.55,14.60,14.65,14.73,11207405,4770,3862728,34.47
05-Dec-2016,14.65,14.70,14.75,14.60,14.70,14.65,14.66,5407347,3396,1878563,34.74
06-Dec-2016,14.65,14.75,14.85,14.50,14.60,14.60,14.64,8917379,4129,3698263,41.47
07-Dec-2016,14.60,14.70,14.75,14.45,14.55,14.50,14.64,9984766,4606,3575658,35.81
08-Dec-2016,14.50,14.60,15.10,14.60,15.05,14.90,14.80,13145774,6668,6685663,50.86
09-Dec-2016,14.90,15.10,15.15,14.70,14.80,14.75,14.92,13268962,5793,5514919,41.56
12-Dec-2016,14.75,14.85,14.85,14.60,14.65,14.65,14.70,7922845,3531,2814804,35.53
13-Dec-2016,14.65,14.80,14.80,14.50,14.70,14.65,14.65,6942916,5150,2998143,43.18
14-Dec-2016,14.65,14.75,14.75,14.40,14.45,14.40,14.52,11652438,6200,6013456,51.61
15-Dec-2016,14.40,14.25,14.55,14.20,14.40,14.40,14.43,7897590,4439,3582419,45.36
16-Dec-2016,14.40,14.40,14.50,14.25,14.45,14.40,14.37,8327889,4402,3200558,38.43
19-Dec-2016,14.40,14.45,14.45,14.25,14.30,14.30,14.32,4129986,3120,2285468,55.34
20-Dec-2016,14.30,14.35,14.35,14.10,14.15,14.15,14.24,5781429,3836,2822565,48.82
21-Dec-2016,14.15,14.20,14.25,13.95,14.00,14.00,14.08,8626181,6829,4822849,55.91
22-Dec-2016,14.00,14.00,14.20,13.75,13.95,14.00,13.93,14240026,9430,5665402,39.79
23-Dec-2016,14.00,14.10,14.20,13.95,14.00,13.95,14.05,9496983,5372,3808775,40.11
26-Dec-2016,13.95,13.95,13.95,13.65,13.70,13.65,13.74,6409316,5225,3931919,61.35
