DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,2360.45,2365.00,2380.50,2301.50,2309.00,2305.15,2341.31,14347,2052,11009,76.73
03-Aug-2016,2305.15,2325.00,2333.95,2305.00,2320.00,2320.85,2320.35,8101,883,4946,61.05
04-Aug-2016,2320.85,2360.00,2368.95,2270.00,2275.90,2278.65,2314.53,12323,1756,6647,53.94
05-Aug-2016,2278.65,2280.40,2315.95,2278.00,2279.25,2291.35,2299.07,29964,1790,27843,92.92
08-Aug-2016,2291.35,2310.30,2336.10,2299.85,2325.00,2324.65,2322.54,9941,1576,7986,80.33
09-Aug-2016,2324.65,2330.00,2331.50,2300.00,2310.00,2303.90,2314.00,3218,753,2226,69.17
10-Aug-2016,2303.90,2310.00,2319.90,2271.00,2280.00,2276.60,2288.51,3146,739,2073,65.89
11-Aug-2016,2276.60,2277.10,2277.90,2213.85,2241.00,2241.45,2243.12,7070,1355,5025,71.07
12-Aug-2016,2241.45,2262.00,2289.85,2228.20,2271.00,2276.85,2270.35,3937,1015,2321,58.95
16-Aug-2016,2276.85,2271.00,2300.00,2225.00,2275.00,2286.00,2266.86,18967,3510,9501,50.09
17-Aug-2016,2286.00,2270.00,2294.95,2252.95,2294.95,2275.90,2262.33,8461,1524,5200,61.46
18-Aug-2016,2275.90,2299.50,2300.00,2241.10,2275.00,2282.25,2285.45,8991,1691,6208,69.05
19-Aug-2016,2282.25,2290.00,2300.00,2266.55,2271.00,2290.45,2289.95,40507,1014,38511,95.07
22-Aug-2016,2290.45,2278.05,2350.30,2278.05,2330.00,2336.20,2309.38,25236,9721,15747,62.40
23-Aug-2016,2336.20,2326.20,2337.90,2291.00,2293.00,2300.60,2314.39,4958,1831,3543,71.46
24-Aug-2016,2300.60,2307.00,2307.00,2272.25,2275.05,2281.30,2292.06,3921,1104,2412,61.51
25-Aug-2016,2281.30,2282.00,2309.40,2273.10,2286.05,2300.60,2294.97,5753,1978,4562,79.30
26-Aug-2016,2300.60,2305.95,2357.00,2282.20,2345.00,2345.65,2316.49,74622,3126,68952,92.40
29-Aug-2016,2345.65,2345.00,2379.00,2312.50,2348.00,2335.15,2343.48,5138,2234,2941,57.24
30-Aug-2016,2335.15,2350.05,2358.70,2310.30,2318.20,2325.40,2330.37,11685,2326,10018,85.73
31-Aug-2016,2325.40,2330.00,2344.70,2296.65,2307.00,2308.75,2318.05,5564,1858,4207,75.61
01-Sep-2016,2308.75,2310.00,2315.00,2282.20,2294.00,2290.20,2297.02,2790,997,1734,62.15
02-Sep-2016,2290.20,2295.00,2313.95,2254.65,2285.00,2291.45,2279.02,13413,1876,7563,56.39
06-Sep-2016,2291.45,2316.00,2380.00,2275.00,2305.20,2298.85,2307.45,8565,2646,5814,67.88
07-Sep-2016,2298.85,2310.60,2325.00,2287.05,2298.50,2298.30,2302.65,56968,5541,53669,94.21
08-Sep-2016,2298.30,2324.70,2377.80,2300.00,2350.00,2352.45,2316.84,42799,8514,35388,82.68
09-Sep-2016,2352.45,2359.00,2397.95,2307.85,2345.00,2349.35,2344.91,49072,4515,38261,77.97
12-Sep-2016,2349.35,2349.00,2355.00,2290.00,2290.00,2318.90,2336.50,27295,3395,21074,77.21
14-Sep-2016,2318.90,1188.00,1208.00,1170.00,1184.00,1180.50,1183.82,15458,2665,6914,44.73
15-Sep-2016,1180.50,1196.50,1210.00,1156.05,1162.95,1162.85,1183.57,26546,2786,14743,55.54
16-Sep-2016,1162.85,1173.80,1193.00,1152.85,1155.00,1172.60,1171.16,83894,3596,69494,82.84
19-Sep-2016,1172.60,1172.60,1195.00,1151.00,1194.00,1190.20,1179.67,17572,2210,13021,74.10
20-Sep-2016,1190.20,1190.20,1190.20,1161.85,1165.00,1165.70,1170.96,8563,893,6407,74.82
21-Sep-2016,1165.70,1169.00,1174.95,1155.00,1169.95,1162.50,1160.81,20407,1828,17450,85.51
22-Sep-2016,1162.50,1174.00,1190.00,1156.05,1170.00,1170.80,1173.10,16858,1466,13683,81.17
23-Sep-2016,1170.80,1175.10,1185.80,1165.50,1176.25,1179.80,1179.26,14387,1561,11936,82.96
26-Sep-2016,1179.80,1178.00,1183.90,1141.10,1141.10,1144.05,1153.52,16038,1826,12020,74.95
27-Sep-2016,1144.05,1154.00,1164.90,1144.00,1148.70,1151.45,1152.77,13291,1433,10942,82.33
28-Sep-2016,1151.45,1145.10,1155.30,1135.00,1138.00,1141.85,1146.31,5580,585,4064,72.83
29-Sep-2016,1141.85,1147.00,1178.00,1071.05,1150.00,1147.75,1136.05,42415,3197,32544,76.73
30-Sep-2016,1147.75,1147.00,1159.00,1126.00,1129.00,1136.70,1139.73,13245,1232,10010,75.58
03-Oct-2016,1136.70,1158.75,1190.00,1141.20,1166.00,1166.15,1163.17,40268,1903,33157,82.34
04-Oct-2016,1166.15,1174.95,1180.00,1149.00,1180.00,1174.20,1168.59,7729,881,5914,76.52
05-Oct-2016,1174.20,1170.00,1174.00,1155.00,1155.00,1161.95,1163.27,11403,1145,6807,59.69
06-Oct-2016,1161.95,1155.00,1185.00,1155.00,1160.00,1170.55,1169.88,28073,1706,22496,80.13
07-Oct-2016,1170.55,1171.95,1178.00,1155.10,1158.15,1165.00,1162.65,3732,429,2350,62.97
10-Oct-2016,1165.00,1166.50,1178.50,1152.00,1155.00,1159.15,1167.36,50946,1961,37294,73.20
13-Oct-2016,1159.15,1158.00,1165.00,1137.00,1139.70,1145.25,1148.65,9391,1700,7622,81.16
14-Oct-2016,1145.25,1148.05,1154.95,1135.00,1135.00,1137.05,1139.18,4974,761,3544,71.25
17-Oct-2016,1137.05,1131.10,1151.90,1120.00,1120.10,1137.90,1138.03,114638,2292,113126,98.68
18-Oct-2016,1137.90,1137.00,1150.00,1127.90,1140.00,1145.00,1144.91,7815,942,5090,65.13
19-Oct-2016,1145.00,1149.60,1170.00,1139.95,1169.00,1161.75,1155.46,11477,1665,7595,66.18
20-Oct-2016,1161.75,1166.15,1187.70,1166.15,1167.10,1170.35,1176.66,10933,1030,7815,71.48
21-Oct-2016,1170.35,1175.00,1183.10,1157.05,1182.00,1178.00,1171.21,11572,1233,9064,78.33
24-Oct-2016,1178.00,1182.00,1199.90,1178.10,1199.00,1194.70,1190.19,19003,2335,16258,85.55
25-Oct-2016,1194.70,1200.00,1433.60,1168.00,1433.60,1367.90,1310.36,520141,29180,152732,29.36
26-Oct-2016,1367.90,1425.00,1465.95,1335.00,1342.00,1379.90,1389.11,416633,20068,158542,38.05
27-Oct-2016,1379.90,1354.00,1409.80,1281.55,1297.05,1306.05,1341.72,84527,7683,24919,29.48
28-Oct-2016,1306.05,1318.00,1335.00,1265.00,1275.10,1277.05,1293.37,48234,4657,13524,28.04
30-Oct-2016,1277.05,1280.00,1300.00,1262.20,1277.40,1276.20,1281.66,6117,784,3774,61.70
01-Nov-2016,1276.20,1295.00,1350.00,1262.00,1337.00,1337.05,1315.84,116213,12088,51457,44.28
02-Nov-2016,1337.05,1337.05,1337.05,1287.05,1303.00,1298.70,1306.44,34691,3665,14353,41.37
03-Nov-2016,1298.70,1287.20,1325.00,1287.20,1310.00,1309.15,1310.13,19225,2321,11366,59.12
04-Nov-2016,1309.15,1321.00,1334.50,1262.00,1317.00,1300.60,1295.61,22938,2982,13702,59.73
07-Nov-2016,1300.60,1300.60,1324.00,1268.00,1277.05,1283.75,1300.08,8008,1351,4317,53.91
08-Nov-2016,1283.75,1283.75,1297.85,1265.00,1287.45,1285.70,1280.89,9531,1073,5604,58.80
09-Nov-2016,1285.70,1225.00,1290.00,1150.00,1290.00,1280.40,1244.73,23864,2294,13476,56.47
10-Nov-2016,1280.40,1280.40,1308.95,1280.00,1292.00,1297.95,1294.59,8619,1668,4023,46.68
11-Nov-2016,1297.95,1278.00,1301.00,1201.00,1300.00,1254.90,1241.20,21688,4062,12394,57.15
15-Nov-2016,1254.90,1245.00,1248.00,1113.00,1220.00,1182.75,1164.41,65076,9718,37015,56.88
16-Nov-2016,1182.75,1200.00,1221.40,1151.00,1204.00,1205.15,1192.23,28794,6595,18782,65.23
17-Nov-2016,1205.15,1220.00,1220.00,1162.85,1194.00,1194.75,1182.93,16049,3131,9742,60.70
18-Nov-2016,1194.75,1172.35,1204.95,1172.35,1190.00,1188.65,1190.01,14839,2951,10953,73.81
21-Nov-2016,1188.65,1201.45,1402.60,1201.15,1224.50,1220.95,1229.24,38955,3823,21911,56.25
22-Nov-2016,1220.95,1245.00,1245.00,1180.20,1221.80,1214.10,1201.84,14623,1661,9268,63.38
23-Nov-2016,1214.10,1220.00,1225.15,1191.70,1204.80,1208.35,1200.95,20206,1393,14228,70.41
24-Nov-2016,1208.35,1195.20,1243.20,1195.20,1240.70,1240.15,1229.87,9185,1646,5800,63.15
25-Nov-2016,1240.15,1241.00,1265.85,1225.25,1250.00,1252.30,1243.16,15270,1757,6996,45.82
28-Nov-2016,1252.30,1235.05,1273.15,1235.05,1260.00,1260.15,1259.49,5749,732,3947,68.66
29-Nov-2016,1260.15,1264.70,1272.00,1193.00,1235.60,1221.40,1231.68,24148,2094,12848,53.21
30-Nov-2016,1221.40,1232.10,1245.00,1210.00,1212.05,1220.15,1232.15,26216,2621,22871,87.24
01-Dec-2016,1220.15,1221.10,1237.00,1205.00,1214.00,1212.10,1219.45,23991,2081,21522,89.71
02-Dec-2016,1212.10,1209.85,1209.95,1193.00,1199.00,1200.05,1200.86,32746,1818,30566,93.34
05-Dec-2016,1200.05,1217.00,1217.00,1174.25,1175.50,1178.75,1183.26,9763,997,7165,73.39
06-Dec-2016,1178.75,1180.05,1190.00,1150.55,1150.55,1159.80,1166.51,10469,1652,7776,74.28
07-Dec-2016,1159.80,1160.15,1173.00,1149.10,1150.85,1152.75,1158.98,12199,2252,9110,74.68
08-Dec-2016,1152.75,1152.75,1188.00,1152.10,1182.00,1180.35,1175.30,31104,2859,26817,86.22
09-Dec-2016,1180.35,1190.00,1190.00,1174.50,1180.00,1180.90,1183.39,7162,845,5623,78.51
12-Dec-2016,1180.90,1181.50,1201.00,1176.65,1192.00,1194.25,1188.45,7930,1208,6061,76.43
13-Dec-2016,1194.25,1192.00,1225.00,1185.00,1216.90,1211.85,1212.61,13630,2777,7230,53.04
14-Dec-2016,1211.85,1201.05,1233.05,1201.05,1227.20,1226.10,1220.78,33099,3992,27894,84.27
15-Dec-2016,1226.10,1201.05,1239.95,1196.15,1208.00,1210.60,1222.27,5052,858,2853,56.47
16-Dec-2016,1210.60,1214.05,1240.05,1203.40,1226.00,1228.85,1227.89,9082,1334,7198,79.26
19-Dec-2016,1228.85,1228.85,1230.00,1180.00,1184.70,1189.10,1200.76,7544,1721,5283,70.03
20-Dec-2016,1189.10,1185.00,1197.25,1165.00,1181.00,1174.00,1175.19,8371,2020,6678,79.78
21-Dec-2016,1174.00,1180.00,1213.45,1170.10,1205.00,1197.45,1198.13,23613,3564,17725,75.06
22-Dec-2016,1197.45,1197.95,1204.15,1178.05,1196.00,1196.00,1192.28,8505,1457,6620,77.84
23-Dec-2016,1196.00,1199.95,1200.50,1178.00,1180.00,1181.90,1191.01,5262,1913,3374,64.12
26-Dec-2016,1181.90,1180.00,1196.05,1131.05,1165.00,1149.90,1156.99,6925,790,2677,38.66
27-Dec-2016,1149.90,1145.00,1182.60,1130.40,1174.00,1176.55,1162.27,4799,754,2630,54.80
28-Dec-2016,1176.55,1195.00,1218.00,1161.05,1191.00,1202.40,1196.98,18410,1966,13464,73.13
29-Dec-2016,1202.40,1200.00,1205.00,1173.00,1173.15,1179.10,1190.12,13018,1586,7991,61.38
30-Dec-2016,1179.10,1181.10,1195.35,1146.00,1149.15,1151.80,1165.17,20231,3956,14586,72.10
02-Jan-2017,1151.80,1161.10,1170.00,1140.25,1150.00,1152.65,1155.14,8438,2079,4433,52.54
03-Jan-2017,1152.65,1157.80,1194.10,1152.65,1164.00,1166.55,1175.60,16328,1361,9100,55.73
04-Jan-2017,1166.55,1165.00,1178.20,1162.00,1162.00,1166.40,1171.29,5367,726,2582,48.11
05-Jan-2017,1166.40,1170.70,1178.00,1161.10,1165.00,1166.55,1169.68,8115,547,6091,75.06
06-Jan-2017,1166.55,1172.90,1220.00,1165.10,1191.95,1192.55,1199.46,51134,4209,26092,51.03
09-Jan-2017,1192.55,1192.00,1197.70,1163.00,1163.25,1169.05,1173.32,8134,1116,5442,66.90
10-Jan-2017,1169.05,1163.00,1179.95,1163.00,1164.10,1167.95,1172.64,7260,845,5581,76.87
11-Jan-2017,1167.95,1173.85,1185.00,1165.00,1173.00,1172.05,1175.03,7886,485,6456,81.87
12-Jan-2017,1172.05,1177.95,1180.00,1153.80,1160.00,1163.85,1172.73,9133,478,7426,81.31
13-Jan-2017,1163.85,1172.05,1175.00,1160.00,1171.90,1169.55,1165.25,6644,376,5501,82.80
16-Jan-2017,1169.55,1170.05,1175.00,1170.00,1172.00,1172.35,1173.09,3273,342,2335,71.34
17-Jan-2017,1172.35,1180.00,1195.00,1176.05,1180.00,1179.90,1181.37,46627,1352,42501,91.15
18-Jan-2017,1179.90,1180.00,1195.00,1178.10,1192.35,1186.15,1186.44,9924,1028,7754,78.13
19-Jan-2017,1186.15,1190.75,1210.00,1190.45,1201.00,1200.20,1201.44,16260,1864,8174,50.27
20-Jan-2017,1200.20,1190.05,1202.80,1182.10,1190.45,1189.60,1192.79,5798,763,4228,72.92
23-Jan-2017,1189.60,1189.50,1199.90,1180.00,1188.00,1184.00,1186.24,3536,1189,2150,60.80
24-Jan-2017,1184.00,1187.65,1210.00,1177.20,1206.00,1207.65,1202.87,10329,1424,7961,77.07
25-Jan-2017,1207.65,1207.65,1225.00,1182.35,1199.85,1192.55,1197.58,25574,5237,18145,70.95
27-Jan-2017,1192.55,1214.80,1390.00,1187.85,1335.00,1332.50,1328.36,119174,7026,60041,50.38
30-Jan-2017,1332.50,1344.00,1399.00,1270.00,1380.00,1349.55,1334.69,65690,5368,23694,36.07
31-Jan-2017,1349.55,1350.10,1350.10,1311.00,1311.20,1327.70,1334.22,23283,2898,12243,52.58
01-Feb-2017,1327.70,1327.70,1342.00,1302.15,1315.00,1322.60,1324.57,14673,1692,7889,53.77
02-Feb-2017,1322.60,1336.00,1336.00,1300.00,1300.50,1307.90,1313.58,7100,1147,3868,54.48
03-Feb-2017,1307.90,1316.15,1316.15,1293.00,1307.35,1301.95,1306.37,6314,1101,3588,56.83
06-Feb-2017,1301.95,1318.35,1325.00,1297.05,1297.35,1301.80,1309.13,7016,990,3766,53.68
