DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,74.85,75.30,76.05,73.80,74.70,74.55,74.93,3569878,10349,231258,6.48
03-Aug-2016,74.55,74.90,75.75,72.90,73.00,73.40,74.30,3989991,10978,427219,10.71
04-Aug-2016,73.40,74.05,74.65,72.60,74.10,73.95,73.65,4169419,11407,407113,9.76
05-Aug-2016,73.95,74.50,75.50,74.25,74.90,75.00,74.97,2952862,9144,516219,17.48
08-Aug-2016,75.00,75.30,75.35,74.00,74.40,74.60,74.78,1469825,4645,308236,20.97
09-Aug-2016,74.60,74.95,76.25,74.15,74.60,74.65,75.06,2317550,7036,233661,10.08
10-Aug-2016,74.65,74.65,75.00,71.35,71.95,72.00,73.04,2750118,8249,662143,24.08
11-Aug-2016,72.00,71.20,72.05,69.75,70.80,70.80,70.96,2290517,8087,301916,13.18
12-Aug-2016,70.80,70.95,73.75,70.15,72.55,72.60,72.13,3163132,9184,360063,11.38
16-Aug-2016,72.60,73.20,73.20,71.35,72.35,72.40,72.20,1846236,6626,306724,16.61
17-Aug-2016,72.40,72.40,74.15,72.15,73.15,73.10,73.18,2374598,7943,476596,20.07
18-Aug-2016,73.10,73.50,74.25,73.25,73.55,73.45,73.73,1528584,5550,366040,23.95
19-Aug-2016,73.45,73.55,75.95,73.50,75.85,75.75,74.92,3631533,10727,1039946,28.64
22-Aug-2016,75.75,75.95,76.45,74.55,75.00,75.10,75.40,2082827,8042,337627,16.21
23-Aug-2016,75.10,75.10,76.25,74.35,75.70,75.75,75.37,2698981,7629,369138,13.68
24-Aug-2016,75.75,75.55,76.15,75.05,75.30,75.50,75.57,2213993,5723,294711,13.31
25-Aug-2016,75.50,75.90,76.00,74.65,74.90,74.95,75.24,1845053,4405,481422,26.09
26-Aug-2016,74.95,75.10,75.40,72.90,73.00,73.20,73.81,1539022,5783,359475,23.36
29-Aug-2016,73.20,73.20,73.60,72.25,73.40,73.20,72.88,1532525,6874,232737,15.19
30-Aug-2016,73.20,73.55,77.95,73.25,77.45,77.35,75.72,4020851,13663,1213314,30.18
31-Aug-2016,77.35,77.00,78.55,76.80,76.85,77.10,77.63,3601573,14197,741194,20.58
01-Sep-2016,77.10,77.10,77.40,73.20,74.00,73.85,75.53,2531258,6938,549767,21.72
02-Sep-2016,73.85,73.80,75.45,73.80,75.10,75.10,74.75,1776948,6186,316871,17.83
06-Sep-2016,75.10,75.40,76.90,75.40,76.55,76.55,76.43,2529217,5937,573697,22.68
07-Sep-2016,76.55,76.80,80.50,76.50,79.30,79.05,78.88,4977904,15115,1172055,23.55
08-Sep-2016,79.05,79.45,80.70,79.00,80.00,80.10,80.00,2868529,11423,489258,17.06
09-Sep-2016,80.10,80.10,80.75,78.50,79.95,79.80,79.74,2709406,10021,395201,14.59
12-Sep-2016,79.80,77.90,78.00,75.20,75.45,75.60,76.67,2557768,10194,666823,26.07
14-Sep-2016,75.60,75.50,77.70,75.30,77.60,77.40,76.87,2099399,6743,274995,13.10
15-Sep-2016,77.40,77.80,78.00,75.85,76.40,76.45,76.66,1795340,5496,223091,12.43
16-Sep-2016,76.45,77.00,78.60,74.20,74.85,74.60,75.69,5686322,13623,2299281,40.44
19-Sep-2016,74.60,75.50,75.70,74.80,75.65,75.40,75.28,1100284,3963,172205,15.65
20-Sep-2016,75.40,75.50,75.70,74.50,74.60,74.80,75.12,1547963,4968,272748,17.62
21-Sep-2016,74.80,74.95,75.70,74.50,74.60,74.70,75.00,1015925,5184,240491,23.67
22-Sep-2016,74.70,75.90,76.70,75.50,76.40,76.45,76.13,1742455,5008,607672,34.87
23-Sep-2016,76.45,76.90,76.90,75.35,75.95,75.85,76.21,2875725,9653,587638,20.43
26-Sep-2016,75.85,75.50,76.70,75.05,75.30,75.35,75.87,2536095,8210,212801,8.39
27-Sep-2016,75.35,75.50,75.90,74.00,74.00,74.20,75.04,2966330,12150,540027,18.21
28-Sep-2016,74.20,74.20,76.95,73.70,76.70,76.50,75.40,3983052,14190,777939,19.53
29-Sep-2016,76.50,76.75,77.35,71.40,71.80,73.70,73.77,17561518,15926,2883319,16.42
30-Sep-2016,73.70,72.90,74.15,71.50,73.30,73.15,72.90,5224955,16980,1918716,36.72
03-Oct-2016,73.15,74.00,75.55,73.65,75.30,75.30,74.89,1728490,5518,406433,23.51
04-Oct-2016,75.30,76.20,77.20,74.70,76.85,76.70,75.90,2801969,8694,531634,18.97
05-Oct-2016,76.70,77.55,77.55,75.80,75.95,76.15,76.66,2297050,6330,429505,18.70
06-Oct-2016,76.15,76.25,76.35,73.80,74.20,74.35,75.14,1943013,6268,391938,20.17
07-Oct-2016,74.35,74.35,75.10,74.05,74.50,74.55,74.60,1208743,4825,264259,21.86
10-Oct-2016,74.55,74.70,75.30,74.10,74.25,74.30,74.60,1905653,9931,339714,17.83
13-Oct-2016,74.30,73.90,74.70,70.65,71.30,71.45,72.18,2240430,6856,783456,34.97
14-Oct-2016,71.45,71.90,72.00,70.80,71.25,71.35,71.34,2389877,8576,287960,12.05
17-Oct-2016,71.35,71.90,71.95,70.00,70.45,70.30,70.85,1673600,6209,332676,19.88
18-Oct-2016,70.30,70.80,72.00,70.30,71.70,71.80,71.19,1687094,5116,493980,29.28
19-Oct-2016,71.80,71.85,72.05,71.10,71.70,71.60,71.58,1459788,5767,379588,26.00
20-Oct-2016,71.60,72.00,76.60,71.70,76.15,76.05,75.48,7608599,19653,1632313,21.45
21-Oct-2016,76.05,76.15,76.50,74.80,76.20,76.15,75.67,2455777,17937,340575,13.87
24-Oct-2016,76.15,76.70,79.00,75.80,77.25,77.60,77.82,6206698,13038,1408410,22.69
25-Oct-2016,77.60,77.60,77.90,76.65,77.20,77.25,77.17,1140788,5181,227917,19.98
26-Oct-2016,77.25,76.55,79.50,73.50,73.70,73.90,76.88,13545062,35644,1099746,8.12
27-Oct-2016,73.90,72.55,74.60,72.55,73.65,73.55,73.43,3192449,10511,594515,18.62
28-Oct-2016,73.55,73.50,74.25,73.00,73.55,73.70,73.66,2625824,10301,639735,24.36
30-Oct-2016,73.70,73.70,74.50,73.25,73.55,73.50,73.85,298232,1249,197835,66.34
01-Nov-2016,73.50,73.60,74.00,73.20,73.35,73.35,73.60,1382865,4037,453580,32.80
02-Nov-2016,73.35,72.40,72.50,70.40,70.80,70.70,71.30,1663332,6632,670006,40.28
03-Nov-2016,70.70,70.50,71.45,67.45,67.65,67.65,69.24,2927030,13704,932648,31.86
04-Nov-2016,67.65,68.00,68.40,65.40,65.90,65.60,66.53,3558534,12639,968449,27.21
07-Nov-2016,65.60,66.10,67.70,66.10,67.45,67.30,67.10,1516151,5609,253337,16.71
08-Nov-2016,67.30,67.85,67.90,66.40,67.20,67.00,67.00,1332885,3994,296592,22.25
09-Nov-2016,67.00,63.15,66.85,60.90,65.85,65.85,63.89,4447700,12127,829076,18.64
10-Nov-2016,65.85,68.20,73.55,67.85,73.05,73.05,71.51,7751501,21808,2898635,37.39
11-Nov-2016,73.05,72.80,75.25,70.50,70.90,70.90,72.53,6658418,19459,1265371,19.00
15-Nov-2016,70.90,71.50,73.20,69.35,70.55,70.70,71.42,3937204,10989,632984,16.08
16-Nov-2016,70.70,72.20,72.65,69.30,69.40,69.70,70.53,2939647,11985,604180,20.55
17-Nov-2016,69.70,70.00,70.85,69.05,69.35,69.30,69.73,1795967,8545,310889,17.31
18-Nov-2016,69.30,69.75,71.10,68.75,69.65,69.80,69.89,2427664,8344,491989,20.27
21-Nov-2016,69.80,70.80,71.20,66.40,66.80,66.70,68.12,3050163,8335,701253,22.99
22-Nov-2016,66.70,67.20,67.65,64.80,65.65,65.65,65.86,2853548,9215,658201,23.07
23-Nov-2016,65.65,66.40,66.65,65.50,66.20,66.20,66.06,1835942,5281,215385,11.73
24-Nov-2016,66.20,65.70,67.15,65.45,65.90,66.05,66.24,2493998,6256,590852,23.69
25-Nov-2016,66.05,66.50,67.20,65.95,66.60,66.70,66.57,1942077,5105,416152,21.43
28-Nov-2016,66.70,65.00,66.95,64.80,65.75,65.85,65.99,1860572,5846,399235,21.46
29-Nov-2016,65.85,65.95,66.75,65.60,66.00,66.00,66.18,1095806,4195,224435,20.48
30-Nov-2016,66.00,66.40,67.75,65.85,67.35,67.25,66.90,1903559,10574,671064,35.25
01-Dec-2016,67.25,67.70,67.75,66.10,66.50,66.50,66.78,1235689,3626,232863,18.84
02-Dec-2016,66.50,66.00,67.30,65.50,65.90,66.10,66.36,3120340,7441,246844,7.91
05-Dec-2016,66.10,66.00,66.70,65.60,66.30,66.40,66.04,1511543,4255,178280,11.79
06-Dec-2016,66.40,66.50,67.20,66.25,66.65,66.60,66.67,815559,3131,134695,16.52
07-Dec-2016,66.60,66.95,67.95,65.35,66.15,66.10,66.75,2210460,7545,354606,16.04
08-Dec-2016,66.10,66.50,66.90,66.20,66.50,66.50,66.59,1042266,3965,268161,25.73
09-Dec-2016,66.50,66.85,68.25,66.30,68.00,67.90,67.64,2130575,8183,727117,34.13
12-Dec-2016,67.90,68.00,68.00,66.25,66.70,66.60,66.96,910265,4083,197111,21.65
13-Dec-2016,66.60,67.30,67.30,65.90,66.40,66.55,66.44,943975,3859,234787,24.87
14-Dec-2016,66.55,66.80,66.80,65.60,65.80,65.80,66.07,1104211,4172,267896,24.26
15-Dec-2016,65.80,65.00,66.45,64.70,65.85,65.90,65.85,1431828,4461,247961,17.32
16-Dec-2016,65.90,66.10,66.20,64.30,64.80,64.75,64.99,1669258,7799,667492,39.99
19-Dec-2016,64.75,64.70,65.00,64.10,64.20,64.45,64.57,844498,4015,172890,20.47
20-Dec-2016,64.45,64.65,64.70,62.05,62.60,62.50,63.11,1832206,7362,413384,22.56
21-Dec-2016,62.50,62.75,63.20,62.00,62.00,62.10,62.50,1133060,6143,337192,29.76
22-Dec-2016,62.10,61.85,62.25,61.30,62.05,61.90,61.86,1780422,8035,581727,32.67
23-Dec-2016,61.90,61.90,62.20,61.15,61.45,61.65,61.83,1438425,5211,269637,18.75
26-Dec-2016,61.65,61.30,61.55,59.50,59.80,59.80,60.24,881441,3553,293617,33.31
27-Dec-2016,59.80,59.90,61.20,59.20,61.05,60.90,60.34,910795,3700,191367,21.01
28-Dec-2016,60.90,61.15,61.95,60.50,60.70,60.65,61.20,1160976,4403,395407,34.06
29-Dec-2016,60.65,60.80,61.95,60.00,61.85,61.25,60.69,2243073,6269,871949,38.87
30-Dec-2016,61.25,61.80,62.50,61.10,61.65,61.55,61.77,1283964,5342,374376,29.16
02-Jan-2017,61.55,61.90,62.40,60.75,61.95,61.85,61.52,1192770,4636,184264,15.45
03-Jan-2017,61.85,62.20,62.90,61.30,62.10,62.05,62.17,922925,4740,130098,14.10
04-Jan-2017,62.05,62.05,62.55,61.10,61.35,61.35,61.74,1264499,7904,258566,20.45
05-Jan-2017,61.35,61.90,62.45,61.60,62.20,62.25,62.05,1006643,4133,275100,27.33
06-Jan-2017,62.25,62.50,63.75,62.40,62.80,62.65,62.88,1451584,6728,446436,30.76
09-Jan-2017,62.65,62.95,63.90,62.40,63.35,63.45,63.28,1496116,5162,441025,29.48
10-Jan-2017,63.45,63.60,64.50,62.85,64.10,64.00,63.52,1373309,5833,414683,30.20
11-Jan-2017,64.00,64.50,66.10,64.10,65.40,65.45,65.26,2134469,7066,643822,30.16
12-Jan-2017,65.45,65.60,65.95,64.10,64.65,64.75,64.84,1958949,6167,503069,25.68
13-Jan-2017,64.75,65.00,65.20,63.90,64.60,64.55,64.49,846694,4181,197324,23.31
16-Jan-2017,64.55,64.70,65.25,64.15,65.25,65.10,64.88,1999354,6143,502242,25.12
17-Jan-2017,65.10,65.30,65.95,64.50,64.75,64.75,65.06,1090087,4572,249151,22.86
18-Jan-2017,64.75,65.00,65.40,64.60,64.85,64.95,65.03,1766736,5663,310979,17.60
19-Jan-2017,64.95,64.95,65.90,64.40,65.80,65.65,65.26,1867568,5395,864909,46.31
20-Jan-2017,65.65,65.45,65.90,63.85,64.00,64.10,64.97,1315974,4630,587090,44.61
23-Jan-2017,64.10,64.00,65.50,63.60,64.75,64.70,64.70,960294,3456,286222,29.81
24-Jan-2017,64.70,64.80,66.15,64.80,66.00,65.80,65.36,1520630,4769,777812,51.15
25-Jan-2017,65.80,66.40,70.75,65.25,69.60,69.75,69.47,14823799,13056,2898396,19.55
27-Jan-2017,69.75,68.60,69.70,67.80,68.25,68.35,68.56,3371982,10286,1036836,30.75
30-Jan-2017,68.35,68.20,70.75,68.20,69.30,69.20,69.44,4710192,18109,1493993,31.72
31-Jan-2017,69.20,69.65,70.30,66.50,67.00,66.85,68.12,6915429,25293,1254229,18.14
01-Feb-2017,66.85,67.50,68.55,66.10,68.05,68.20,67.56,3186663,11528,891959,27.99
02-Feb-2017,68.20,68.20,71.40,67.10,70.15,70.50,69.88,6792680,26314,1677228,24.69
03-Feb-2017,70.50,70.75,73.30,70.15,73.10,72.95,72.03,5713116,24819,1480846,25.92
06-Feb-2017,72.95,73.90,73.90,71.55,72.50,72.35,72.70,3384649,11217,950695,28.09
07-Feb-2017,72.35,72.35,74.00,71.50,73.15,73.05,73.05,4045621,12712,1248715,30.87
08-Feb-2017,73.05,73.20,73.25,71.00,72.30,72.30,72.30,2070985,7574,467108,22.55
09-Feb-2017,72.30,72.70,72.85,69.75,70.60,70.80,70.95,2215860,8271,501507,22.63
10-Feb-2017,70.80,71.10,71.55,70.25,70.55,70.70,71.04,1170954,4253,220427,18.82
13-Feb-2017,70.70,71.05,71.20,68.10,69.30,69.25,69.41,1550869,5893,304308,19.62
14-Feb-2017,69.25,69.10,70.30,68.30,69.40,69.80,69.43,1447945,5175,285139,19.69
15-Feb-2017,69.80,69.75,69.75,67.15,67.15,67.75,68.29,1467195,5122,461733,31.47
16-Feb-2017,67.75,67.75,68.85,67.30,68.40,68.40,68.18,1323805,5100,293671,22.18
17-Feb-2017,68.40,68.80,69.55,68.00,68.10,68.25,68.54,1048416,4806,246868,23.55
20-Feb-2017,68.25,68.70,69.80,68.30,69.60,69.55,69.11,1219018,5075,376785,30.91
21-Feb-2017,69.55,70.00,70.50,69.10,70.25,70.30,70.00,1288370,5348,312984,24.29
22-Feb-2017,70.30,70.30,71.65,69.55,69.55,69.85,70.62,2212679,13991,497805,22.50
23-Feb-2017,69.85,69.90,70.60,69.30,69.65,69.60,69.91,2674569,12083,807864,30.21
27-Feb-2017,69.60,69.30,69.75,68.30,68.50,68.55,68.83,1360432,5869,358835,26.38
28-Feb-2017,68.55,68.75,69.80,68.35,69.55,69.50,69.29,1702551,13254,472135,27.73
