DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,474.25,463.50,465.90,456.30,456.30,457.80,461.14,368462,7076,118139,32.06
03-Aug-2016,457.80,457.80,459.50,449.65,454.00,454.05,453.98,525087,9478,316082,60.20
04-Aug-2016,454.05,454.65,461.35,453.50,457.00,455.35,456.51,538150,9330,271321,50.42
05-Aug-2016,455.35,457.80,483.00,456.95,481.00,476.25,472.91,1505520,20855,238074,15.81
08-Aug-2016,476.25,481.15,483.00,467.00,467.25,468.65,471.61,543915,8624,146330,26.90
09-Aug-2016,468.65,471.40,471.40,460.30,463.90,463.20,465.19,162939,3470,46096,28.29
10-Aug-2016,463.20,464.25,524.70,456.60,507.05,504.10,495.61,7588674,113724,1651852,21.77
11-Aug-2016,504.10,508.45,517.20,488.60,495.55,497.90,503.84,2946249,53077,433539,14.71
12-Aug-2016,497.90,498.50,504.50,490.40,493.45,495.05,496.16,791038,16758,216351,27.35
16-Aug-2016,495.05,492.95,505.95,488.70,502.80,503.05,501.04,898573,33356,222867,24.80
17-Aug-2016,503.05,502.00,514.90,496.00,511.50,510.40,509.69,659825,13191,124952,18.94
18-Aug-2016,510.40,512.90,523.85,511.20,517.05,517.95,518.08,771402,11314,193537,25.09
19-Aug-2016,517.95,517.05,549.00,513.00,543.55,543.95,536.85,2575225,38012,437055,16.97
22-Aug-2016,543.95,545.95,545.95,530.00,531.00,531.30,534.83,944713,17407,369620,39.13
23-Aug-2016,531.30,534.55,557.40,528.00,556.00,555.45,547.04,2277770,33476,452310,19.86
24-Aug-2016,555.45,558.00,563.90,551.10,554.10,555.75,558.14,1331075,20164,217669,16.35
25-Aug-2016,555.75,554.95,557.95,548.90,553.00,552.80,552.63,527447,9966,147892,28.04
26-Aug-2016,552.80,549.10,569.65,549.10,564.20,565.30,563.84,1813291,34497,343814,18.96
29-Aug-2016,565.30,565.00,572.65,559.40,562.50,562.30,564.93,891410,14218,298775,33.52
30-Aug-2016,562.30,564.80,569.70,552.80,557.05,557.25,561.43,596464,10626,145688,24.43
31-Aug-2016,557.25,558.40,563.90,552.25,554.35,556.15,558.98,802839,11639,289982,36.12
01-Sep-2016,556.15,556.40,561.50,543.10,554.15,552.75,553.34,978832,15818,393613,40.21
02-Sep-2016,552.75,554.00,563.45,550.85,560.00,558.95,559.15,757335,15674,276916,36.56
06-Sep-2016,558.95,560.00,563.65,556.50,560.35,559.10,559.18,465299,9810,177401,38.13
07-Sep-2016,559.10,560.00,576.00,558.25,570.00,568.75,568.42,1774356,22058,737152,41.54
08-Sep-2016,568.75,572.00,574.60,562.15,564.00,565.40,568.21,405964,6700,126432,31.14
09-Sep-2016,565.40,566.45,570.00,559.05,559.30,560.40,563.35,323891,9996,75417,23.28
12-Sep-2016,560.40,551.00,551.00,526.10,530.05,530.40,532.99,1171779,46247,475095,40.54
14-Sep-2016,530.40,529.00,559.50,529.00,556.00,555.65,548.61,1104053,19523,323590,29.31
15-Sep-2016,555.65,558.00,558.70,544.45,549.00,548.10,548.53,482369,9811,196642,40.77
16-Sep-2016,548.10,552.00,562.40,544.05,552.05,553.10,555.50,1450970,17179,828875,57.13
19-Sep-2016,553.10,553.90,559.60,551.25,553.15,554.05,555.03,330501,6506,132475,40.08
20-Sep-2016,554.05,558.00,558.25,545.45,546.30,547.10,549.34,404718,6577,170621,42.16
21-Sep-2016,547.10,547.10,552.70,541.15,541.20,543.35,547.78,685033,10215,341173,49.80
22-Sep-2016,543.35,550.00,556.90,545.55,551.90,553.35,551.33,704379,12392,302611,42.96
23-Sep-2016,553.35,554.00,558.50,545.20,547.00,546.70,551.26,742165,9326,413162,55.67
26-Sep-2016,546.70,547.00,550.85,538.05,541.25,540.00,544.53,490940,8727,192741,39.26
27-Sep-2016,540.00,540.00,545.50,532.00,533.40,534.35,538.14,613655,10466,296885,48.38
28-Sep-2016,534.35,536.20,542.90,528.60,542.90,541.05,537.02,836313,10248,375381,44.89
29-Sep-2016,541.05,546.95,546.95,504.40,511.00,509.10,520.74,1048793,18496,364222,34.73
30-Sep-2016,509.10,513.90,529.45,509.15,523.00,524.60,517.38,941464,19238,346392,36.79
03-Oct-2016,524.60,528.00,537.80,527.00,537.00,535.85,532.26,707374,8394,345025,48.78
04-Oct-2016,535.85,541.15,542.90,533.10,535.00,535.95,537.45,780294,9482,351252,45.02
05-Oct-2016,535.95,538.00,554.90,535.80,550.30,551.75,547.30,1318429,19633,410368,31.13
06-Oct-2016,551.75,554.75,557.50,538.65,541.00,540.95,549.55,921103,15259,220022,23.89
07-Oct-2016,540.95,544.00,547.95,539.00,540.10,540.30,541.98,622515,7759,342193,54.97
10-Oct-2016,540.30,544.40,551.85,542.10,545.50,544.95,546.92,579728,9168,168390,29.05
13-Oct-2016,544.95,544.45,544.45,526.10,531.55,532.15,534.21,634303,8030,264489,41.70
14-Oct-2016,532.15,534.95,546.15,532.00,544.00,541.40,541.32,721859,8073,365049,50.57
17-Oct-2016,541.40,543.00,547.30,531.65,534.15,535.30,538.75,530721,8625,166293,31.33
18-Oct-2016,535.30,539.00,545.45,539.00,541.80,540.60,541.19,714366,7151,395968,55.43
19-Oct-2016,540.60,544.00,569.50,541.00,566.20,566.55,557.96,1772693,25862,505092,28.49
20-Oct-2016,566.55,569.50,573.45,562.50,566.00,565.90,567.84,1403967,22249,400088,28.50
21-Oct-2016,565.90,568.95,582.10,567.20,578.10,580.60,576.36,1766367,26430,460231,26.06
24-Oct-2016,580.60,583.90,586.10,572.60,577.00,578.25,579.57,721291,15007,163720,22.70
25-Oct-2016,578.25,567.00,571.90,552.55,570.05,566.65,561.44,3708169,33970,2002779,54.01
26-Oct-2016,566.65,565.00,573.95,539.05,539.90,548.95,559.54,828917,12588,234679,28.31
27-Oct-2016,548.95,525.00,541.90,524.25,538.25,539.65,533.12,3698411,59004,1698260,45.92
28-Oct-2016,539.65,535.35,548.80,535.35,543.95,544.65,544.11,1045079,12192,458088,43.83
30-Oct-2016,544.65,545.00,546.35,540.00,542.00,542.00,543.31,73452,1756,36945,50.30
