DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,118.90,119.20,121.00,115.50,116.90,116.40,118.47,551867,4251,202105,36.62
03-Aug-2016,116.40,116.70,116.90,112.50,113.20,113.35,114.86,469399,4102,179421,38.22
04-Aug-2016,113.35,114.30,115.50,111.55,111.80,112.10,112.85,828748,4763,359383,43.36
05-Aug-2016,112.10,113.00,116.00,111.80,115.15,115.45,114.74,1021808,5745,448695,43.91
08-Aug-2016,115.45,125.20,131.30,124.50,126.50,126.65,127.21,6142439,41519,1967236,32.03
09-Aug-2016,126.65,126.50,127.65,123.50,124.70,124.20,124.86,1130441,8265,449702,39.78
10-Aug-2016,124.20,124.45,126.00,120.90,121.50,121.70,123.24,829848,6364,373482,45.01
11-Aug-2016,121.70,121.25,124.45,118.10,120.80,120.85,121.98,987577,8732,329509,33.37
12-Aug-2016,120.85,121.60,125.80,121.20,122.70,122.40,123.32,841115,6992,327558,38.94
16-Aug-2016,122.40,122.30,124.20,121.00,121.60,121.50,122.43,564928,5826,186286,32.98
17-Aug-2016,121.50,121.35,123.95,121.35,122.65,122.30,122.82,497045,5000,149500,30.08
18-Aug-2016,122.30,122.80,125.15,122.50,123.95,123.85,124.11,811613,5668,343664,42.34
19-Aug-2016,123.85,124.10,132.50,121.75,129.00,130.35,128.27,2550943,15535,790985,31.01
22-Aug-2016,130.35,129.80,130.00,126.55,127.60,127.60,128.00,910504,7344,303632,33.35
23-Aug-2016,127.60,127.60,130.90,126.80,129.45,129.45,129.22,1283231,8468,383192,29.86
24-Aug-2016,129.45,129.50,135.70,129.50,133.55,133.55,133.60,2504858,18568,747299,29.83
25-Aug-2016,133.55,134.00,134.45,130.50,130.90,131.25,132.23,692564,5650,304053,43.90
26-Aug-2016,131.25,131.35,131.95,127.20,127.70,127.80,128.98,625537,4349,275906,44.11
