DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,141.00,141.00,141.80,138.10,138.40,138.40,140.13,1175233,5026,558599,47.53
03-Aug-2016,138.40,138.40,140.05,135.10,135.60,135.75,137.55,1451654,9197,736806,50.76
04-Aug-2016,135.75,136.00,139.40,135.50,138.15,138.30,137.87,1515003,19943,498314,32.89
05-Aug-2016,138.30,138.50,140.65,138.50,139.45,139.10,139.25,1427614,10130,815829,57.15
08-Aug-2016,139.10,138.55,143.50,138.40,142.70,142.90,141.83,2430227,15137,822674,33.85
09-Aug-2016,142.90,143.90,147.00,139.15,142.70,143.25,143.89,8549636,35691,2667987,31.21
10-Aug-2016,143.25,144.25,144.50,137.25,137.45,137.75,140.27,3289526,18553,893260,27.15
11-Aug-2016,137.75,137.50,139.25,135.75,137.90,137.30,137.58,1140212,8182,308602,27.07
12-Aug-2016,137.30,137.80,139.45,136.00,136.75,136.95,138.13,1024054,5483,437317,42.70
16-Aug-2016,136.95,136.90,139.10,136.10,137.65,138.05,137.52,1518494,9130,406647,26.78
17-Aug-2016,138.05,138.80,139.40,137.15,137.70,137.65,138.11,778141,4525,180529,23.20
18-Aug-2016,137.65,138.45,139.55,137.85,138.75,138.85,138.71,901208,5892,241957,26.85
19-Aug-2016,138.85,139.85,141.85,138.75,141.05,141.25,140.48,2298138,14826,597089,25.98
22-Aug-2016,141.25,142.00,142.05,138.00,138.40,138.40,139.27,1398679,7244,385819,27.58
23-Aug-2016,138.40,138.70,141.00,138.40,139.90,139.60,139.61,1282978,6831,339090,26.43
24-Aug-2016,139.60,140.40,142.45,139.80,140.20,140.25,140.85,2956023,12890,1115105,37.72
25-Aug-2016,140.25,143.40,145.50,140.10,140.60,140.45,142.93,4868511,28888,1624659,33.37
26-Aug-2016,140.45,141.00,141.70,138.90,139.80,139.90,140.18,1468343,6687,386395,26.32
29-Aug-2016,139.90,140.55,141.15,137.80,139.05,139.00,139.10,1604324,8526,512829,31.97
30-Aug-2016,139.00,139.65,140.75,138.75,140.10,140.20,139.82,1832319,7118,856006,46.72
31-Aug-2016,140.20,140.10,141.60,140.00,140.10,140.25,140.52,1401308,7199,643052,45.89
01-Sep-2016,140.25,140.25,143.35,140.00,141.10,141.10,141.74,2493654,12315,1082837,43.42
02-Sep-2016,141.10,141.40,142.60,141.00,141.80,141.60,141.83,1681308,7645,794694,47.27
06-Sep-2016,141.60,141.90,143.25,141.25,141.70,141.75,142.43,1300643,6394,568762,43.73
07-Sep-2016,141.75,141.75,144.20,141.30,142.50,142.20,142.81,2381717,10741,1054673,44.28
08-Sep-2016,142.20,142.25,143.50,141.80,142.25,142.20,142.60,1155009,4255,463049,40.09
09-Sep-2016,142.20,142.20,142.70,138.80,139.50,139.70,140.68,1199464,6817,529238,44.12
12-Sep-2016,139.70,137.90,138.40,134.95,135.50,135.30,136.11,2248691,8117,1513418,67.30
14-Sep-2016,135.30,135.20,138.20,135.10,137.50,137.45,136.68,1045853,5960,433513,41.45
15-Sep-2016,137.45,137.35,138.50,136.30,137.00,137.00,137.25,1451283,11575,607990,41.89
16-Sep-2016,137.00,138.35,141.70,137.85,139.70,139.85,139.78,3029995,26552,1576447,52.03
19-Sep-2016,139.85,139.85,141.30,138.95,139.55,139.90,139.87,1362666,7241,598513,43.92
20-Sep-2016,139.90,139.70,140.35,137.50,137.65,138.00,138.73,1787917,9223,881833,49.32
21-Sep-2016,138.00,138.00,140.35,137.60,138.00,138.05,138.93,1635459,16274,709557,43.39
22-Sep-2016,138.05,139.15,139.95,137.70,138.55,138.90,138.74,1204798,21944,507165,42.10
23-Sep-2016,138.90,138.90,144.00,138.10,142.25,142.40,141.42,3538509,19219,1152464,32.57
26-Sep-2016,142.40,143.45,144.25,140.00,140.45,140.65,142.22,2769361,15126,948239,34.24
27-Sep-2016,140.65,140.90,146.40,140.55,146.25,144.55,143.10,3316650,18917,1047402,31.58
28-Sep-2016,144.55,148.10,149.15,145.60,146.85,146.75,147.38,6464628,33526,2177900,33.69
29-Sep-2016,146.75,147.90,148.00,134.35,137.40,137.00,139.29,4753568,20308,1976737,41.58
30-Sep-2016,137.00,136.95,140.90,136.20,139.55,139.60,138.70,1471713,11952,308461,20.96
03-Oct-2016,139.60,140.95,143.15,139.80,142.45,142.35,142.19,1927658,18256,812317,42.14
04-Oct-2016,142.35,142.50,143.25,138.75,142.00,141.80,141.24,2678079,12156,731814,27.33
05-Oct-2016,141.80,141.95,154.40,140.45,152.85,153.30,149.41,9741635,52784,2563140,26.31
06-Oct-2016,153.30,153.95,155.45,148.60,151.25,150.90,152.29,6256632,34623,1306260,20.88
07-Oct-2016,150.90,152.30,154.50,150.60,151.40,151.25,152.14,4097231,24220,1482585,36.19
10-Oct-2016,151.25,151.90,153.95,151.10,152.15,151.65,152.44,2063455,14502,672220,32.58
13-Oct-2016,151.65,151.45,153.00,145.10,147.50,147.85,148.61,3116651,18753,899432,28.86
14-Oct-2016,147.85,149.00,154.20,147.40,153.30,153.20,151.21,3968866,21467,1264874,31.87
17-Oct-2016,153.20,153.00,154.25,149.20,150.15,150.25,151.77,3180180,18612,916777,28.83
18-Oct-2016,150.25,150.95,152.70,150.75,151.40,151.90,151.75,2736835,14576,1409840,51.51
19-Oct-2016,151.90,152.00,157.70,150.85,154.15,154.60,155.73,6685790,35705,2342717,35.04
20-Oct-2016,154.60,155.95,156.65,151.95,152.50,152.35,153.83,2780284,19240,767060,27.59
21-Oct-2016,152.35,152.45,154.20,151.15,151.95,152.50,152.29,1751366,9433,497689,28.42
24-Oct-2016,152.50,152.90,156.00,152.00,153.50,154.05,154.69,2715234,14209,1001349,36.88
25-Oct-2016,154.05,149.05,151.75,148.40,149.95,150.00,149.88,3234883,15848,788127,24.36
26-Oct-2016,150.00,148.00,151.20,144.05,144.50,145.40,147.54,3586046,19016,1230985,34.33
27-Oct-2016,145.40,139.50,141.20,135.65,138.00,137.75,138.58,8524741,42639,2639524,30.96
28-Oct-2016,137.75,138.00,141.30,138.00,139.50,139.95,140.07,2281364,11548,651301,28.55
30-Oct-2016,139.95,140.65,141.00,139.00,139.20,139.40,139.84,428310,2724,265308,61.94
01-Nov-2016,139.40,139.40,140.75,138.30,138.50,138.60,139.39,1497745,9189,528702,35.30
02-Nov-2016,138.60,138.00,138.00,134.50,134.95,134.95,135.80,2026448,27288,965391,47.64
03-Nov-2016,134.95,134.10,136.25,130.80,131.50,131.35,132.65,2063211,17579,828088,40.14
04-Nov-2016,131.35,131.00,132.00,126.00,126.40,126.85,128.57,4614456,17869,2187113,47.40
07-Nov-2016,126.85,127.70,130.40,127.25,128.35,128.00,128.84,1948286,11567,893053,45.84
08-Nov-2016,128.00,130.00,131.00,126.55,127.95,127.45,128.56,2758553,16166,1252301,45.40
09-Nov-2016,127.45,118.00,122.90,114.95,122.30,121.90,118.58,5272740,22932,2003341,37.99
10-Nov-2016,121.90,124.00,127.10,123.65,125.30,125.40,125.60,2170482,13087,901782,41.55
11-Nov-2016,125.40,123.00,125.35,117.25,119.80,118.65,120.20,3058329,15153,995788,32.56
15-Nov-2016,118.65,119.80,119.80,114.25,116.90,117.00,117.27,2405650,20436,969678,40.31
16-Nov-2016,117.00,123.10,125.30,120.40,120.80,121.30,122.59,4703414,26292,1444274,30.71
17-Nov-2016,121.30,121.70,122.80,115.20,118.40,118.60,120.26,1306586,11959,441688,33.80
18-Nov-2016,118.60,118.90,121.00,118.30,120.90,120.10,119.90,2008909,11121,1059355,52.73
