DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,330.55,331.00,334.80,321.25,323.00,322.80,327.13,2885984,29828,1891924,65.56
03-Aug-2016,322.80,324.90,327.80,312.20,312.50,313.40,319.24,1322928,17002,540135,40.83
04-Aug-2016,313.40,314.20,324.35,314.20,321.40,322.00,321.89,2900196,20542,1997452,68.87
05-Aug-2016,322.00,325.00,332.70,322.05,331.80,331.25,326.62,1742139,27349,962784,55.26
08-Aug-2016,331.25,335.90,338.10,333.85,333.90,334.75,335.94,1561056,125834,873055,55.93
09-Aug-2016,334.75,337.00,339.35,330.85,336.25,336.35,335.97,1492336,176142,790903,53.00
10-Aug-2016,336.35,336.35,337.95,329.60,333.35,333.50,333.47,1759550,57556,959584,54.54
11-Aug-2016,333.50,333.00,334.30,325.70,328.10,329.20,328.54,962902,27352,427498,44.40
12-Aug-2016,329.20,330.00,337.50,330.00,335.65,336.50,335.26,992433,24426,412605,41.58
16-Aug-2016,336.50,337.00,337.00,326.50,330.90,331.50,330.78,1460134,29604,739905,50.67
17-Aug-2016,331.50,332.90,334.70,330.70,332.50,333.55,332.92,795373,20002,236997,29.80
18-Aug-2016,333.55,334.50,340.00,332.55,337.10,337.70,337.53,764942,15135,307883,40.25
19-Aug-2016,337.70,336.55,342.55,336.10,337.30,337.85,339.28,993684,12566,317339,31.94
22-Aug-2016,337.85,338.40,339.25,330.90,331.90,331.75,333.93,631597,9400,244083,38.65
23-Aug-2016,331.75,331.75,332.25,325.60,327.95,327.90,328.55,2477632,14676,1329984,53.68
24-Aug-2016,327.90,327.00,330.00,320.00,322.50,322.90,324.16,1153702,18021,621456,53.87
25-Aug-2016,322.90,323.40,325.00,318.10,318.20,319.00,321.32,2202417,17651,1438388,65.31
26-Aug-2016,319.00,322.00,337.70,314.00,336.30,329.55,326.64,3477685,37532,1317849,37.89
29-Aug-2016,329.55,339.80,339.80,333.15,337.50,337.95,337.18,2725457,26456,809954,29.72
30-Aug-2016,337.95,338.90,340.85,335.70,339.65,339.65,338.44,1539719,17994,692486,44.97
31-Aug-2016,339.65,338.50,351.35,338.50,343.95,343.55,345.36,4389201,51254,1945681,44.33
