DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,72.00,72.35,72.70,71.45,71.75,71.70,72.01,2909215,19921,1339288,46.04
03-Aug-2016,71.70,72.25,72.50,70.80,71.00,71.25,71.90,5023751,17683,3027769,60.27
04-Aug-2016,71.25,71.55,71.80,70.50,70.95,70.80,71.02,4065811,14415,2169122,53.35
05-Aug-2016,70.80,71.15,71.50,70.85,71.10,71.10,71.07,7685151,16498,5817343,75.70
08-Aug-2016,71.10,71.45,73.30,71.05,72.85,72.75,72.02,14343063,32416,10962713,76.43
09-Aug-2016,72.75,73.25,76.40,73.25,75.35,75.40,75.45,14218653,65815,4898394,34.45
10-Aug-2016,75.40,75.90,75.90,73.60,73.75,74.00,74.64,4373197,19249,1793602,41.01
11-Aug-2016,74.00,74.20,76.00,73.30,74.55,74.65,74.75,3901357,15221,1066102,27.33
12-Aug-2016,74.65,74.85,76.15,73.60,74.95,75.20,75.27,5276189,16766,2218485,42.05
16-Aug-2016,75.20,75.00,77.25,75.00,76.20,76.55,76.24,8040643,35941,4350556,54.11
17-Aug-2016,76.55,76.65,78.60,75.90,77.90,77.95,76.99,8821668,33540,4687393,53.13
18-Aug-2016,77.95,78.00,78.55,76.40,76.90,76.90,77.48,5317797,38472,2536524,47.70
19-Aug-2016,76.90,77.00,78.50,76.55,77.90,78.05,77.79,3821975,15237,1531704,40.08
22-Aug-2016,78.05,78.40,79.15,76.85,77.25,77.05,77.72,4454151,31951,1777753,39.91
23-Aug-2016,77.05,77.90,78.30,73.80,74.70,74.80,75.29,16453253,53430,4415031,26.83
24-Aug-2016,74.80,74.05,76.75,73.80,76.65,76.45,75.72,10358139,28689,4826801,46.60
25-Aug-2016,76.45,77.00,77.00,75.50,75.65,75.65,76.23,4536646,16664,2380837,52.48
26-Aug-2016,75.65,75.75,76.30,75.00,75.70,75.75,75.60,4446656,19327,1774371,39.90
29-Aug-2016,75.75,75.90,76.25,75.15,76.05,75.95,75.59,2310645,13494,1075652,46.55
30-Aug-2016,75.95,76.05,77.80,75.95,77.40,77.10,76.54,3920589,18195,1354676,34.55
31-Aug-2016,77.10,77.35,79.00,76.55,78.80,78.50,77.97,7628462,40047,4050985,53.10
01-Sep-2016,78.50,79.80,80.35,77.50,78.40,78.15,79.07,7490214,27144,2346037,31.32
02-Sep-2016,78.15,78.10,79.35,77.35,78.70,79.00,78.49,3402719,21113,1413102,41.53
06-Sep-2016,79.00,79.30,79.50,78.05,78.50,78.50,78.62,3986718,13646,2081182,52.20
07-Sep-2016,78.50,77.35,77.80,76.15,76.90,76.70,76.86,4132449,16683,2285048,55.30
08-Sep-2016,76.70,76.80,77.85,76.80,77.75,77.55,77.47,5396824,12022,3244630,60.12
09-Sep-2016,77.55,77.50,78.50,76.90,77.00,77.20,77.69,3383997,19652,1377271,40.70
12-Sep-2016,77.20,76.50,76.50,73.55,74.15,74.30,74.80,3976891,21042,1778650,44.72
14-Sep-2016,74.30,73.95,76.25,73.60,75.30,75.35,75.31,4303082,15812,1981962,46.06
15-Sep-2016,75.35,76.35,76.95,74.55,74.95,74.80,75.42,4190124,17240,1768758,42.21
16-Sep-2016,74.80,75.10,75.90,74.65,75.10,75.45,75.39,5836470,21674,3583053,61.39
19-Sep-2016,75.45,75.70,77.30,74.05,77.15,76.85,76.12,5397880,12855,3438609,63.70
20-Sep-2016,76.85,77.40,77.45,75.30,75.75,75.75,75.81,4918419,20174,3154682,64.14
21-Sep-2016,75.75,75.75,76.70,75.50,76.00,76.25,76.12,5084986,15927,3448258,67.81
22-Sep-2016,76.25,76.80,76.80,75.70,76.00,75.95,76.09,2402809,8761,1302930,54.23
