DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,364.85,366.45,370.70,360.10,363.00,361.85,365.78,8108008,91549,2266833,27.96
03-Aug-2016,361.85,364.65,366.45,354.90,357.30,358.05,360.24,5746762,54405,1347574,23.45
04-Aug-2016,358.05,360.40,374.90,357.40,373.80,373.80,368.68,9639368,96430,2510450,26.04
05-Aug-2016,373.80,378.00,383.00,376.50,380.80,381.70,380.21,9117890,118059,2242963,24.60
08-Aug-2016,381.70,382.40,384.50,376.25,379.70,379.55,380.17,6662412,74342,2132669,32.01
09-Aug-2016,379.55,379.00,382.45,373.60,376.45,375.35,377.67,5618546,50798,1538441,27.38
10-Aug-2016,375.35,377.90,379.40,368.15,369.15,370.30,372.60,4594009,46318,771314,16.79
11-Aug-2016,370.30,370.30,373.60,361.50,369.90,368.35,368.09,4419528,49491,787478,17.82
12-Aug-2016,368.35,370.00,378.35,369.35,373.85,374.75,375.08,4411019,55536,1262313,28.62
16-Aug-2016,374.75,375.00,381.00,373.05,380.30,379.15,377.37,6104127,70465,2975447,48.74
17-Aug-2016,379.15,379.95,392.95,379.95,391.25,391.85,387.82,9353131,116408,2947439,31.51
18-Aug-2016,391.85,392.50,393.90,385.10,386.80,387.20,388.63,5920398,59031,1604805,27.11
19-Aug-2016,387.20,389.15,394.65,383.50,390.95,392.15,389.53,8947214,82993,2735259,30.57
22-Aug-2016,392.15,391.50,391.50,384.50,387.30,388.15,387.55,5563430,61900,1284605,23.09
23-Aug-2016,388.15,387.95,391.00,378.15,384.50,385.15,385.80,6720835,65548,1483082,22.07
24-Aug-2016,385.15,385.60,387.30,378.75,379.35,379.95,381.98,4261868,44749,1079805,25.34
25-Aug-2016,379.95,381.70,382.30,370.50,373.00,372.30,376.94,4773691,52365,1094482,22.93
26-Aug-2016,372.30,375.00,375.95,367.30,369.00,369.45,370.62,4311789,45462,984114,22.82
29-Aug-2016,369.45,368.90,375.45,367.75,374.15,373.75,373.11,3718240,41719,930247,25.02
30-Aug-2016,373.75,375.35,379.50,375.00,378.00,377.75,377.61,3804436,42218,1188922,31.25
31-Aug-2016,377.75,378.00,381.35,368.80,370.10,370.10,374.44,4530361,54808,1286875,28.41
01-Sep-2016,370.10,371.30,377.70,369.50,374.55,374.60,373.91,4453409,52415,1098548,24.67
02-Sep-2016,374.60,375.95,376.20,370.40,373.05,374.20,373.14,2824297,27019,373417,13.22
06-Sep-2016,374.20,375.00,386.75,374.40,385.00,385.75,382.81,5828507,60389,2162953,37.11
07-Sep-2016,385.75,387.10,394.15,386.60,390.25,389.95,390.85,6965026,83143,1770874,25.43
08-Sep-2016,389.95,390.25,408.60,390.25,402.30,403.00,402.87,11234744,119210,3085105,27.46
09-Sep-2016,403.00,404.90,406.90,393.25,395.10,394.60,398.32,5962851,74736,1362024,22.84
12-Sep-2016,394.60,385.00,385.90,370.60,371.95,373.30,378.63,6717365,95133,1591768,23.70
14-Sep-2016,373.30,370.00,378.00,363.15,374.20,373.90,370.10,11105369,113979,1633101,14.71
15-Sep-2016,373.90,374.00,375.10,363.75,366.30,366.40,367.78,4875040,53131,733728,15.05
16-Sep-2016,366.40,369.50,371.90,357.60,359.20,358.85,364.76,6075750,58954,1118439,18.41
19-Sep-2016,358.85,360.00,363.95,355.30,361.50,361.65,360.96,5121611,58881,727524,14.20
20-Sep-2016,361.65,364.30,370.00,359.25,365.25,365.60,365.18,5697810,67421,857369,15.05
21-Sep-2016,365.60,365.30,372.50,365.30,369.40,369.80,369.82,6868967,71931,1871831,27.25
22-Sep-2016,369.80,377.70,379.80,372.80,377.30,377.25,376.23,6669414,65404,2262288,33.92
23-Sep-2016,377.25,377.35,378.40,371.00,371.90,372.00,374.98,4461871,50480,1153932,25.86
26-Sep-2016,372.00,371.35,376.55,368.40,370.25,369.75,372.66,4351638,47852,1069775,24.58
27-Sep-2016,369.75,372.60,374.60,366.60,367.65,367.95,369.81,4403977,51302,833134,18.92
28-Sep-2016,367.95,368.25,382.20,368.25,381.20,380.35,375.08,6338968,57210,1613897,25.46
29-Sep-2016,380.35,383.35,383.85,365.00,367.55,368.80,372.61,13361086,75265,5800723,43.42
30-Sep-2016,368.80,367.85,377.45,363.30,375.55,374.25,370.27,5506157,52975,1542572,28.02
03-Oct-2016,374.25,376.90,384.80,376.30,383.20,382.85,381.73,4480810,45832,1522532,33.98
04-Oct-2016,382.85,386.00,393.00,382.40,391.55,391.15,388.28,8523432,80603,1868408,21.92
05-Oct-2016,391.15,395.20,396.50,389.00,389.05,390.70,392.60,5154852,45806,797253,15.47
06-Oct-2016,390.70,392.80,395.85,386.55,391.05,389.85,390.89,7730432,66122,2677163,34.63
07-Oct-2016,389.85,392.90,407.60,390.20,406.55,406.55,400.73,11610384,113299,2259823,19.46
10-Oct-2016,406.55,409.90,420.70,409.00,419.30,418.40,416.73,11642373,118759,2267590,19.48
