DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,2708.25,2702.90,2715.70,2689.80,2703.80,2699.20,2702.65,1289081,101312,937146,72.70
03-Aug-2016,2699.20,2686.00,2699.00,2649.05,2649.05,2656.30,2666.45,1147351,86554,742080,64.68
04-Aug-2016,2656.30,2670.00,2682.95,2636.25,2658.00,2652.00,2656.13,707708,47274,417545,59.00
05-Aug-2016,2652.00,2673.90,2684.30,2632.00,2643.45,2649.10,2657.26,934242,62736,573462,61.38
08-Aug-2016,2649.10,2640.00,2668.00,2629.05,2655.00,2649.50,2651.83,1029122,65630,731432,71.07
09-Aug-2016,2649.50,2658.00,2659.80,2578.85,2654.45,2650.20,2645.82,1130957,133349,846363,74.84
10-Aug-2016,2650.20,2651.00,2682.00,2648.00,2676.00,2675.40,2671.88,1031039,61590,758422,73.56
11-Aug-2016,2675.40,2665.55,2715.00,2665.55,2706.85,2709.90,2702.48,1116569,72571,772611,69.20
12-Aug-2016,2709.90,2705.00,2744.80,2702.05,2740.00,2738.45,2732.86,1163679,85247,882770,75.86
16-Aug-2016,2738.45,2738.00,2740.00,2673.85,2700.00,2691.70,2709.24,1591877,116813,1171765,73.61
17-Aug-2016,2691.70,2699.00,2699.00,2618.00,2628.00,2624.55,2641.55,924283,68405,533042,57.67
18-Aug-2016,2624.55,2635.00,2657.55,2630.10,2631.00,2638.55,2648.64,646032,47877,473218,73.25
19-Aug-2016,2638.55,2640.00,2646.45,2600.00,2602.60,2603.50,2610.69,1208122,59756,911052,75.41
22-Aug-2016,2603.50,2588.00,2594.45,2536.30,2553.50,2548.70,2562.14,1132637,92781,718184,63.41
23-Aug-2016,2548.70,2544.95,2604.95,2540.20,2600.40,2601.05,2593.41,751687,46115,354539,47.17
24-Aug-2016,2601.05,2589.80,2602.00,2569.05,2570.65,2572.05,2579.68,558439,38751,347421,62.21
25-Aug-2016,2572.05,2580.00,2589.70,2526.00,2550.35,2551.05,2549.92,969845,56688,456774,47.10
26-Aug-2016,2551.05,2559.80,2572.55,2517.20,2527.25,2524.95,2536.81,625157,44995,364922,58.37
29-Aug-2016,2524.95,2534.95,2534.95,2466.75,2508.00,2500.55,2489.50,744364,63254,441562,59.32
30-Aug-2016,2500.55,2510.00,2549.80,2501.25,2544.90,2544.15,2526.50,722013,47160,423968,58.72
31-Aug-2016,2544.15,2550.00,2550.00,2500.85,2514.70,2511.30,2520.29,1615834,99253,1249096,77.30
01-Sep-2016,2511.30,2524.90,2534.95,2487.05,2507.25,2507.50,2507.33,672868,44078,400069,59.46
02-Sep-2016,2507.50,2512.00,2519.40,2496.05,2511.00,2514.80,2509.99,871165,54628,606296,69.60
06-Sep-2016,2514.80,2519.90,2520.15,2480.00,2484.70,2484.05,2492.04,1119533,82530,758597,67.76
07-Sep-2016,2484.05,2499.70,2499.70,2423.00,2452.10,2440.55,2463.78,1927020,69195,1503719,78.03
08-Sep-2016,2440.55,2360.00,2360.00,2284.75,2327.70,2322.10,2313.11,3510758,171363,2176708,62.00
09-Sep-2016,2322.10,2329.70,2366.65,2320.05,2352.00,2352.45,2347.82,1371219,85766,817829,59.64
12-Sep-2016,2352.45,2337.00,2363.95,2324.00,2358.00,2359.05,2354.99,1012227,64982,619258,61.18
14-Sep-2016,2359.05,2362.00,2377.60,2310.00,2332.00,2328.45,2330.65,1034929,67854,671415,64.88
15-Sep-2016,2328.45,2339.95,2342.10,2316.75,2325.00,2326.95,2327.02,1409482,97602,1084583,76.95
16-Sep-2016,2326.95,2336.70,2376.00,2320.00,2368.00,2361.70,2346.07,2179002,78997,1674552,76.85
19-Sep-2016,2361.70,2365.00,2427.00,2350.00,2411.00,2411.45,2406.04,1401273,71497,884522,63.12
20-Sep-2016,2411.45,2411.00,2416.90,2385.40,2410.00,2406.50,2399.05,592276,43740,401662,67.82
21-Sep-2016,2406.50,2407.70,2424.00,2400.70,2412.00,2413.40,2412.77,839010,59572,560882,66.85
22-Sep-2016,2413.40,2425.25,2428.00,2371.10,2380.00,2378.00,2392.19,1428787,81643,1006041,70.41
23-Sep-2016,2378.00,2382.00,2403.85,2371.15,2400.00,2398.10,2394.21,900363,50857,652726,72.50
26-Sep-2016,2398.10,2401.10,2419.10,2395.00,2395.10,2401.10,2407.73,876738,43717,648502,73.97
27-Sep-2016,2401.10,2401.10,2448.00,2401.10,2437.00,2436.10,2434.59,1019396,48249,683235,67.02
28-Sep-2016,2436.10,2431.00,2437.50,2415.20,2425.00,2423.05,2423.88,865664,31602,643336,74.32
29-Sep-2016,2423.05,2435.00,2456.50,2419.60,2437.00,2437.80,2435.92,1801979,59697,1169580,64.91
30-Sep-2016,2437.80,2437.05,2449.80,2423.10,2432.20,2430.80,2432.55,1087682,53121,839140,77.15
03-Oct-2016,2430.80,2450.00,2457.65,2401.10,2407.50,2411.70,2417.11,909440,50401,540344,59.42
04-Oct-2016,2411.70,2420.00,2425.05,2398.00,2407.00,2405.15,2408.35,890359,41266,639727,71.85
05-Oct-2016,2405.15,2408.00,2415.40,2376.10,2386.00,2386.35,2389.49,588177,41205,313066,53.23
06-Oct-2016,2386.35,2395.00,2402.40,2372.75,2386.85,2388.75,2385.27,1133786,46955,898741,79.27
07-Oct-2016,2388.75,2388.00,2388.00,2358.20,2370.00,2367.80,2367.26,908256,45358,691128,76.09
10-Oct-2016,2367.80,2369.90,2386.90,2355.05,2380.00,2380.30,2372.07,601071,36640,315767,52.53
13-Oct-2016,2380.30,2363.30,2369.90,2320.90,2334.00,2328.90,2337.63,2586667,123215,1859184,71.88
14-Oct-2016,2328.90,2315.00,2387.00,2291.00,2370.60,2366.20,2344.02,3870607,128774,1627517,42.05
17-Oct-2016,2366.20,2368.90,2375.80,2344.40,2374.95,2362.45,2361.60,1364173,58695,1030081,75.51
18-Oct-2016,2362.45,2376.00,2415.70,2354.80,2398.60,2400.20,2379.35,1064316,53519,685583,64.42
19-Oct-2016,2400.20,2401.00,2410.00,2370.30,2390.00,2395.10,2387.88,992529,42017,552107,55.63
20-Oct-2016,2395.10,2396.90,2409.35,2386.00,2403.00,2401.15,2398.87,632927,37213,426975,67.46
21-Oct-2016,2401.15,2400.00,2431.90,2398.25,2430.00,2428.65,2420.01,629830,39667,414000,65.73
24-Oct-2016,2428.65,2428.20,2434.90,2402.55,2433.00,2427.70,2419.99,626595,27061,413384,65.97
25-Oct-2016,2427.70,2405.00,2414.60,2381.00,2400.00,2398.45,2401.02,886233,40428,654271,73.83
26-Oct-2016,2398.45,2398.60,2402.75,2372.50,2383.00,2396.25,2387.80,718565,43564,468939,65.26
27-Oct-2016,2396.25,2379.70,2429.50,2365.50,2401.10,2418.10,2397.88,1470801,61880,1025670,69.74
28-Oct-2016,2418.10,2410.00,2415.10,2388.00,2398.00,2398.70,2400.14,876051,54342,644360,73.55
30-Oct-2016,2398.70,2398.70,2408.95,2382.00,2390.05,2391.05,2393.74,42676,3032,17073,40.01
01-Nov-2016,2391.05,2399.70,2399.70,2334.15,2359.05,2350.00,2371.67,1467388,70133,1135398,77.38
02-Nov-2016,2350.00,2341.00,2344.00,2295.00,2298.75,2304.05,2315.05,1162538,42121,897174,77.17
03-Nov-2016,2304.05,2294.00,2335.00,2284.50,2320.00,2319.45,2315.15,731655,48066,421809,57.65
04-Nov-2016,2319.45,2320.00,2336.15,2294.00,2330.00,2330.55,2313.13,591876,34571,395290,66.79
07-Nov-2016,2330.55,2337.90,2344.90,2260.05,2266.00,2277.05,2296.42,1024026,40066,772098,75.40
08-Nov-2016,2277.05,2280.45,2307.00,2260.00,2289.60,2283.20,2281.56,966817,39458,601804,62.25
09-Nov-2016,2283.20,2180.00,2275.00,2142.85,2185.80,2169.85,2188.73,2250113,74439,1232057,54.76
10-Nov-2016,2169.85,2204.80,2217.50,2140.80,2147.05,2155.45,2186.26,1086213,55736,622015,57.26
11-Nov-2016,2155.45,2147.05,2147.05,2086.20,2120.00,2101.15,2110.24,1199212,71253,735910,61.37
15-Nov-2016,2101.15,2116.90,2157.55,2051.90,2138.35,2121.30,2116.99,3145162,143796,2506173,79.68
16-Nov-2016,2121.30,2145.10,2208.90,2138.00,2187.65,2189.60,2189.51,2009979,143193,1337046,66.52
17-Nov-2016,2189.60,2185.00,2208.60,2130.15,2134.05,2137.20,2163.54,1252344,74605,824922,65.87
18-Nov-2016,2137.20,2142.00,2150.00,2104.20,2126.20,2125.10,2123.04,1070267,71737,720264,67.30
