DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,490.15,486.00,509.70,485.10,498.30,499.20,500.45,4792350,74540,1403281,29.28
03-Aug-2016,499.20,501.20,503.95,493.10,498.50,496.90,496.98,1196987,35869,590066,49.30
04-Aug-2016,496.90,498.90,503.90,494.20,500.10,499.95,499.17,793067,36560,392667,49.51
05-Aug-2016,499.95,502.00,507.50,493.30,495.25,495.05,499.09,1681614,47206,1118508,66.51
08-Aug-2016,495.05,496.00,504.50,496.00,503.45,503.65,502.44,913042,26359,543452,59.52
09-Aug-2016,503.65,505.00,505.80,495.55,502.70,502.50,500.27,1299439,34950,743176,57.19
10-Aug-2016,502.50,504.00,504.00,491.50,497.05,497.20,496.95,1326514,22217,554755,41.82
11-Aug-2016,497.20,501.00,501.90,495.30,499.55,500.10,499.80,1681953,13957,1296294,77.07
12-Aug-2016,500.10,504.00,504.00,488.40,489.10,493.35,497.53,3618973,37392,2463977,68.08
16-Aug-2016,493.35,490.55,491.75,478.25,482.30,482.95,484.83,2087382,34269,1440589,69.01
17-Aug-2016,482.95,483.10,487.00,472.20,473.95,474.65,478.39,913427,31415,370243,40.53
18-Aug-2016,474.65,477.65,478.70,468.25,469.00,469.50,473.50,1005420,32629,583713,58.06
19-Aug-2016,469.50,470.00,477.20,470.00,473.10,473.20,472.92,3664586,22539,3085753,84.20
22-Aug-2016,473.20,472.00,474.30,465.00,465.65,466.35,470.78,1107412,25059,628480,56.75
23-Aug-2016,466.35,466.70,474.50,461.50,466.00,465.80,467.55,1617568,48117,765811,47.34
24-Aug-2016,465.80,467.00,471.70,463.50,465.50,467.05,467.31,894108,20739,340698,38.10
25-Aug-2016,467.05,470.20,470.95,455.90,457.25,458.10,462.07,1769817,37259,1075337,60.76
26-Aug-2016,458.10,460.00,463.70,457.00,460.40,459.95,460.13,857182,23125,441540,51.51
29-Aug-2016,459.95,462.70,462.70,448.55,450.05,449.55,451.67,797904,33385,417638,52.34
30-Aug-2016,449.55,451.50,464.70,451.20,463.50,462.95,460.65,981748,25371,420348,42.82
31-Aug-2016,462.95,462.00,473.80,461.55,470.40,468.80,469.40,1779070,42036,1081399,60.78
01-Sep-2016,468.80,470.00,476.40,466.30,468.00,469.15,470.87,1046734,36019,570490,54.50
