DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,666.10,670.10,678.05,663.00,665.10,665.15,668.15,7636,534,5632,73.76
03-Aug-2016,665.15,665.00,674.00,633.45,645.00,641.75,646.55,11057,691,7792,70.47
04-Aug-2016,641.75,650.00,657.90,645.00,654.90,651.75,652.92,9544,288,8586,89.96
05-Aug-2016,651.75,657.80,693.40,652.25,681.20,682.75,680.87,57699,1822,40709,70.55
08-Aug-2016,682.75,695.05,723.00,670.00,673.00,676.60,694.57,67421,5087,38288,56.79
09-Aug-2016,676.60,685.00,696.90,675.00,677.00,675.15,682.45,13522,684,8886,65.72
10-Aug-2016,675.15,678.05,688.00,670.00,670.00,674.65,676.89,16691,613,13560,81.24
11-Aug-2016,674.65,670.05,678.00,655.25,658.00,657.75,661.44,9617,750,6884,71.58
12-Aug-2016,657.75,669.00,669.00,640.15,640.20,644.55,652.49,7543,874,6159,81.65
16-Aug-2016,644.55,645.00,660.00,631.15,651.15,655.00,646.00,12272,1999,8134,66.28
17-Aug-2016,655.00,645.00,656.95,642.05,650.25,653.50,649.63,4737,389,3401,71.80
18-Aug-2016,653.50,641.05,658.05,640.00,646.00,653.60,650.53,9753,566,7435,76.23
19-Aug-2016,653.60,655.00,664.00,637.05,648.50,649.40,652.87,13397,877,10205,76.17
22-Aug-2016,649.40,650.00,656.00,631.60,633.10,642.00,649.23,10560,1240,8657,81.98
23-Aug-2016,642.00,643.50,645.05,622.10,627.00,630.75,634.27,9114,850,7802,85.60
24-Aug-2016,630.75,635.00,650.00,624.60,633.90,632.20,632.61,15008,825,12598,83.94
25-Aug-2016,632.20,653.95,653.95,630.05,640.00,639.85,640.66,10119,680,8456,83.57
26-Aug-2016,639.85,659.00,659.00,614.30,633.00,632.90,631.67,9076,441,6153,67.79
29-Aug-2016,632.90,637.90,649.70,624.45,638.95,637.55,637.93,7450,1387,5892,79.09
30-Aug-2016,637.55,635.80,649.00,631.40,638.00,639.25,638.34,9384,316,7404,78.90
31-Aug-2016,639.25,648.35,659.20,642.05,652.05,652.30,651.34,7960,606,5547,69.69
01-Sep-2016,652.30,657.90,669.45,650.05,651.00,652.50,658.29,7779,509,4719,60.66
02-Sep-2016,652.50,659.00,659.00,636.00,636.00,639.50,646.68,13784,862,11130,80.75
06-Sep-2016,639.50,334.80,335.00,312.50,328.00,326.45,319.56,41372,2771,29408,71.08
07-Sep-2016,326.45,329.50,330.30,322.00,325.00,324.40,325.10,6183,349,4046,65.44
08-Sep-2016,324.40,333.00,333.00,315.10,318.90,320.85,325.01,74706,807,69952,93.64
09-Sep-2016,320.85,323.90,349.60,308.00,322.30,332.50,328.78,43609,2306,28990,66.48
12-Sep-2016,332.50,340.00,340.00,315.15,329.90,328.90,326.36,25739,1454,16714,64.94
14-Sep-2016,328.90,316.95,327.85,316.95,321.00,323.00,323.15,5685,397,3400,59.81
15-Sep-2016,323.00,323.10,325.95,321.00,324.40,325.00,324.61,1765,155,1582,89.63
16-Sep-2016,325.00,323.00,323.10,310.10,315.55,313.45,317.23,16093,772,10980,68.23
19-Sep-2016,313.45,310.10,318.00,297.05,297.05,303.30,305.36,36574,2342,28517,77.97
