DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,101.35,101.95,104.20,100.75,101.25,101.05,102.26,354213,2279,229129,64.69
03-Aug-2016,101.05,101.45,101.50,98.50,98.85,99.10,99.93,227048,1880,146926,64.71
04-Aug-2016,99.10,100.10,102.90,98.90,100.25,99.90,100.00,144160,1515,81895,56.81
05-Aug-2016,99.90,100.45,101.50,99.80,100.75,100.25,100.51,132513,1028,84122,63.48
08-Aug-2016,100.25,100.95,101.15,100.00,100.75,100.75,100.56,111503,1035,67505,60.54
09-Aug-2016,100.75,101.00,101.50,98.55,99.80,99.80,99.89,183947,2143,115204,62.63
10-Aug-2016,99.80,99.80,102.25,99.50,100.05,99.95,100.31,223618,3816,134304,60.06
11-Aug-2016,99.95,99.55,100.80,98.60,99.20,99.30,99.52,90668,933,55636,61.36
12-Aug-2016,99.30,99.40,102.20,99.00,101.80,101.45,100.73,154273,1693,114918,74.49
16-Aug-2016,101.45,102.45,102.45,99.60,101.10,101.35,100.57,170306,1595,102353,60.10
17-Aug-2016,101.35,101.50,103.00,101.00,102.00,102.10,102.09,85543,973,49253,57.58
18-Aug-2016,102.10,102.45,105.30,101.60,104.85,104.70,104.24,276831,2591,141412,51.08
19-Aug-2016,104.70,105.00,105.40,102.50,103.00,103.05,104.07,181930,1733,92910,51.07
22-Aug-2016,103.05,103.20,110.10,103.20,107.90,107.95,107.65,976938,6780,550162,56.31
23-Aug-2016,107.95,108.00,111.25,107.65,109.20,109.15,109.48,739362,7651,257289,34.80
24-Aug-2016,109.15,109.50,109.80,107.40,108.00,107.80,108.17,203295,1992,104100,51.21
25-Aug-2016,107.80,109.40,112.90,108.35,109.40,109.00,110.71,627390,6434,325939,51.95
26-Aug-2016,109.00,109.95,110.70,107.50,108.45,108.15,108.89,193952,2108,104848,54.06
29-Aug-2016,108.15,108.65,112.50,106.50,110.85,111.15,110.30,852821,6738,353034,41.40
30-Aug-2016,111.15,112.50,115.15,112.45,113.35,113.65,113.93,826305,9127,330629,40.01
31-Aug-2016,113.65,114.60,117.20,114.50,115.20,114.80,115.46,655203,7371,272498,41.59
01-Sep-2016,114.80,114.55,115.65,111.00,111.70,111.75,112.72,280487,2952,164264,58.56
02-Sep-2016,111.75,112.15,112.40,109.75,111.00,110.80,111.05,286521,2648,106422,37.14
06-Sep-2016,110.80,116.00,117.40,113.75,115.00,114.80,115.04,865115,7719,306427,35.42
07-Sep-2016,114.80,115.75,115.75,112.80,113.00,113.05,113.94,227771,2126,147213,64.63
08-Sep-2016,113.05,113.90,115.20,113.55,114.50,114.10,114.35,210069,1893,106529,50.71
09-Sep-2016,114.10,114.10,115.40,112.80,114.50,113.85,113.79,255765,2800,136293,53.29
12-Sep-2016,113.85,111.05,112.45,109.30,109.85,110.00,110.94,273825,2006,195634,71.44
