DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,870.90,873.10,884.80,850.90,853.70,855.60,861.77,12097,2450,7683,63.51
03-Aug-2016,855.60,859.15,880.00,845.00,856.40,855.35,855.52,119214,2450,109216,91.61
04-Aug-2016,855.35,857.05,874.85,840.00,845.00,845.55,852.77,6088,965,3275,53.79
05-Aug-2016,845.55,851.10,888.00,844.25,865.00,864.60,854.06,228091,2971,212519,93.17
08-Aug-2016,864.60,854.00,928.15,854.00,904.50,912.20,900.25,59828,3982,27845,46.54
09-Aug-2016,912.20,914.00,914.00,892.05,900.00,903.70,905.20,13587,1577,6873,50.59
10-Aug-2016,903.70,904.90,928.00,865.25,898.10,900.90,901.75,377421,12388,170861,45.27
11-Aug-2016,900.90,890.00,919.00,866.60,910.00,907.65,880.29,110916,3810,91032,82.07
12-Aug-2016,907.65,906.00,906.30,859.75,864.00,867.85,883.25,29824,4352,16635,55.78
16-Aug-2016,867.85,864.95,867.05,851.00,851.30,852.50,855.31,15846,2467,7880,49.73
17-Aug-2016,852.50,851.00,864.00,849.30,857.00,858.75,858.09,10343,750,6411,61.98
18-Aug-2016,858.75,858.85,864.40,846.10,859.00,856.30,854.76,9012,711,3691,40.96
19-Aug-2016,856.30,858.00,858.00,840.50,845.50,843.10,846.95,10804,924,4807,44.49
22-Aug-2016,843.10,843.10,848.00,835.00,844.00,842.45,840.16,10869,1060,6589,60.62
23-Aug-2016,842.45,844.95,844.95,832.80,833.00,833.55,835.65,3820,400,2116,55.39
24-Aug-2016,833.55,833.50,840.05,832.75,836.30,836.75,837.18,3155,343,1815,57.53
25-Aug-2016,836.75,836.60,840.05,830.55,840.00,839.85,839.45,26179,915,22475,85.85
26-Aug-2016,839.85,838.95,840.05,825.00,828.00,829.95,830.38,10337,839,6588,63.73
29-Aug-2016,829.95,830.70,836.00,821.00,821.40,823.70,829.25,5999,787,3849,64.16
30-Aug-2016,823.70,824.85,842.00,823.50,837.00,838.40,837.61,19110,1559,13521,70.75
31-Aug-2016,838.40,838.40,845.00,828.00,833.60,836.85,833.87,16941,2819,10925,64.49
01-Sep-2016,836.85,839.60,846.35,826.30,828.50,829.80,835.92,19816,2516,12540,63.28
02-Sep-2016,829.80,832.80,832.80,812.00,818.00,818.60,821.06,16471,1707,8995,54.61
06-Sep-2016,818.60,819.10,834.90,816.15,834.00,829.60,822.12,39162,3967,27562,70.38
07-Sep-2016,829.60,831.50,855.00,830.00,846.05,848.10,839.05,20125,1542,9287,46.15
08-Sep-2016,848.10,848.10,864.00,841.75,862.90,860.30,859.78,217000,1514,207243,95.50
09-Sep-2016,860.30,861.05,873.00,848.00,848.05,850.65,852.39,26886,1066,21568,80.22
12-Sep-2016,850.65,847.65,847.65,816.00,817.00,819.15,829.76,18297,1840,7114,38.88
14-Sep-2016,819.15,824.95,830.00,815.00,830.00,822.85,822.87,42994,564,39003,90.72
15-Sep-2016,822.85,829.00,840.00,820.00,820.00,824.70,830.98,6147,686,2967,48.27
16-Sep-2016,824.70,824.75,907.00,824.75,892.00,893.45,871.85,98750,6744,52317,52.98
19-Sep-2016,893.45,890.00,912.45,818.60,894.00,894.80,892.01,44282,3975,18102,40.88
20-Sep-2016,894.80,894.00,894.00,875.35,879.95,884.35,882.06,9188,715,4344,47.28
21-Sep-2016,884.35,884.50,910.00,878.05,894.00,885.75,892.48,35329,3863,17460,49.42
22-Sep-2016,885.75,885.25,899.00,878.75,883.30,885.20,889.01,6661,1214,2790,41.89
23-Sep-2016,885.20,891.45,892.75,855.25,856.20,859.55,871.62,30833,2769,21320,69.15
26-Sep-2016,859.55,860.00,869.00,842.20,849.00,850.00,852.34,8860,956,4979,56.20
27-Sep-2016,850.00,851.35,892.20,850.00,863.00,867.35,880.21,51556,5009,15926,30.89
28-Sep-2016,867.35,868.80,869.00,846.10,860.00,860.40,858.28,39517,3046,25028,63.33
29-Sep-2016,860.40,864.95,870.00,826.00,850.00,853.35,850.85,27252,2169,16770,61.54
30-Sep-2016,853.35,835.00,853.35,832.40,850.15,845.20,842.84,11156,1937,5963,53.45
