DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,194.75,196.35,199.00,194.00,195.50,195.45,195.62,177502,2852,114723,64.63
03-Aug-2016,195.45,194.00,198.30,192.00,197.25,196.25,194.73,189020,2160,143370,75.85
04-Aug-2016,196.25,197.00,204.00,194.10,198.00,197.30,198.60,680468,10731,290110,42.63
05-Aug-2016,197.30,204.00,208.00,196.70,197.80,199.20,202.93,801390,12569,210611,26.28
08-Aug-2016,199.20,200.00,205.00,197.05,202.95,202.80,202.33,278318,6678,110374,39.66
09-Aug-2016,202.80,202.80,203.45,198.65,199.95,199.90,200.28,136878,3264,84184,61.50
10-Aug-2016,199.90,199.00,202.00,197.10,199.90,199.20,199.18,152253,4448,73604,48.34
11-Aug-2016,199.20,197.05,200.25,196.80,200.00,197.90,198.07,156042,5558,96175,61.63
12-Aug-2016,197.90,199.00,201.50,195.10,199.75,198.90,197.41,172029,4867,99632,57.92
16-Aug-2016,198.90,198.90,201.80,198.35,201.00,200.25,199.76,152612,3263,103357,67.73
17-Aug-2016,200.25,200.50,204.90,198.50,199.50,200.05,201.70,190385,3105,97317,51.12
18-Aug-2016,200.05,201.65,201.90,198.50,201.25,200.35,200.71,231380,6472,182721,78.97
19-Aug-2016,200.35,200.35,202.20,196.40,198.90,198.35,199.58,108414,2432,49327,45.50
22-Aug-2016,198.35,198.35,200.35,194.50,196.00,196.20,196.25,191793,4758,110492,57.61
23-Aug-2016,196.20,195.25,198.60,194.80,196.00,196.50,196.57,188488,2510,91571,48.58
24-Aug-2016,196.50,197.65,198.60,196.05,197.10,196.75,197.13,101147,1886,70038,69.24
25-Aug-2016,196.75,196.65,205.00,195.00,199.40,199.05,201.26,757308,12814,146173,19.30
26-Aug-2016,199.05,199.10,201.85,195.10,195.90,196.40,198.45,141773,2708,63029,44.46
29-Aug-2016,196.40,197.00,200.00,196.00,198.80,198.90,198.22,88587,1801,47226,53.31
30-Aug-2016,198.90,197.10,203.00,197.10,202.70,202.05,201.17,163819,3279,76739,46.84
31-Aug-2016,202.05,203.20,204.50,197.70,197.70,198.70,200.40,131040,2121,73655,56.21
01-Sep-2016,198.70,198.00,198.90,195.25,197.50,197.20,197.04,138781,3218,58469,42.13
02-Sep-2016,197.20,198.00,203.95,196.90,198.80,198.50,200.01,188694,3854,104826,55.55
06-Sep-2016,198.50,197.15,200.00,195.00,195.20,195.90,196.58,212392,3537,143518,67.57
07-Sep-2016,195.90,196.20,197.50,193.60,194.50,194.70,196.01,127607,2346,95518,74.85
08-Sep-2016,194.70,195.00,202.50,194.65,199.85,199.05,198.93,276463,5723,128364,46.43
09-Sep-2016,199.05,200.95,202.00,197.50,200.00,199.95,200.05,161126,3233,81473,50.56
12-Sep-2016,199.95,197.00,199.00,192.55,194.45,194.30,195.70,96617,3053,64279,66.53
14-Sep-2016,194.30,195.05,199.80,194.10,197.30,197.60,196.15,118368,2748,70565,59.61
15-Sep-2016,197.60,198.15,201.60,196.25,196.25,197.45,198.52,175254,3507,81325,46.40
16-Sep-2016,197.45,198.50,199.00,195.10,198.95,197.35,197.44,97590,2027,47394,48.56
19-Sep-2016,197.35,197.95,199.30,196.40,198.05,197.80,197.46,85544,1699,47412,55.42
20-Sep-2016,197.80,198.00,203.35,197.05,200.00,199.50,201.19,343069,5257,159329,46.44
21-Sep-2016,199.50,199.50,202.50,197.55,197.65,199.15,200.43,138021,2581,61976,44.90
22-Sep-2016,199.15,199.40,201.80,196.15,196.50,196.90,199.11,153623,2428,64736,42.14
23-Sep-2016,196.90,198.60,198.60,196.95,198.00,197.95,197.81,90593,1568,56105,61.93
26-Sep-2016,197.95,197.95,201.90,197.25,199.70,199.35,199.39,202256,6732,131517,65.03
27-Sep-2016,199.35,200.00,200.75,198.55,199.95,199.65,199.65,95478,3217,51635,54.08
28-Sep-2016,199.65,199.65,201.00,198.10,199.00,199.45,199.43,80635,1324,50239,62.30
29-Sep-2016,199.45,200.00,200.50,194.85,199.00,198.00,198.86,522967,7594,431990,82.60
30-Sep-2016,198.00,196.00,201.00,195.20,199.60,199.45,197.84,128966,2233,74725,57.94
03-Oct-2016,199.45,199.40,206.00,197.05,204.50,204.70,202.70,383910,5170,200128,52.13
04-Oct-2016,204.70,205.10,207.40,200.45,203.40,202.65,203.85,200275,4502,109672,54.76
05-Oct-2016,202.65,203.50,205.40,202.00,204.90,204.40,203.87,123007,2056,74481,60.55
06-Oct-2016,204.40,204.80,205.90,202.50,203.10,203.25,203.80,86594,1301,59577,68.80
07-Oct-2016,203.25,203.25,205.80,201.25,201.90,202.90,203.56,134017,2010,66514,49.63
10-Oct-2016,202.90,206.00,209.55,204.50,208.50,208.45,207.27,878292,9239,599813,68.29
13-Oct-2016,208.45,211.00,211.20,200.60,202.00,202.05,205.90,355807,6293,142334,40.00
14-Oct-2016,202.05,203.70,205.35,201.10,202.65,203.55,202.91,105719,2989,64507,61.02
17-Oct-2016,203.55,201.50,204.95,201.20,203.30,202.80,202.96,69835,1936,36657,52.49
18-Oct-2016,202.80,203.55,206.90,203.00,206.00,206.15,205.28,104814,2386,69361,66.18
19-Oct-2016,206.15,211.15,213.70,210.00,210.20,210.25,210.82,249103,4019,112543,45.18
20-Oct-2016,210.25,208.30,220.00,208.30,216.30,217.15,215.05,431752,6584,264535,61.27
21-Oct-2016,217.15,217.50,217.50,213.00,213.85,214.85,214.69,180058,2961,102334,56.83
24-Oct-2016,214.85,214.00,222.00,213.00,217.65,219.80,218.40,304739,4259,131182,43.05
25-Oct-2016,219.80,219.95,221.00,217.55,219.50,219.85,219.56,160868,2984,84576,52.57
26-Oct-2016,219.85,218.00,220.50,213.00,213.75,213.55,215.42,169494,3148,98119,57.89
27-Oct-2016,213.55,216.90,219.50,214.50,218.00,216.65,216.46,444276,6638,176309,39.68
28-Oct-2016,216.65,218.60,218.60,214.65,216.20,215.30,215.27,112674,1608,75825,67.30
30-Oct-2016,215.30,218.95,218.95,216.00,217.00,217.45,217.01,44890,830,32145,71.61
01-Nov-2016,217.45,215.75,216.95,215.00,215.00,215.05,215.56,85958,1600,60567,70.46
02-Nov-2016,215.05,213.05,217.00,213.00,215.80,215.35,215.20,160835,1745,110766,68.87
03-Nov-2016,215.35,215.50,219.15,213.35,216.70,215.15,215.85,235127,2167,162345,69.05
04-Nov-2016,215.15,215.15,218.00,209.10,209.10,211.25,214.00,192062,2335,130762,68.08
07-Nov-2016,211.25,213.25,221.90,209.35,217.35,218.55,216.06,119653,1922,62612,52.33
