DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,558.75,562.45,570.00,554.55,564.75,565.00,563.83,114325,3864,80125,70.09
03-Aug-2016,565.00,562.60,566.80,553.80,566.10,564.20,561.63,70064,1865,34202,48.82
04-Aug-2016,564.20,565.90,567.10,551.00,551.00,553.30,556.65,22919,931,14367,62.69
05-Aug-2016,553.30,556.30,562.75,549.00,550.00,550.70,554.52,21285,1423,11080,52.06
08-Aug-2016,550.70,550.50,557.95,545.75,548.00,546.65,549.23,44856,1855,16707,37.25
09-Aug-2016,546.65,549.90,559.10,548.15,554.80,555.10,553.61,48926,1993,19428,39.71
10-Aug-2016,555.10,556.95,568.50,541.00,555.00,555.95,556.38,84638,3455,30039,35.49
11-Aug-2016,555.95,556.95,560.50,546.00,549.90,548.70,554.75,31396,1774,8315,26.48
12-Aug-2016,548.70,549.90,562.00,546.10,561.80,559.75,556.88,97529,2521,64581,66.22
16-Aug-2016,559.75,559.00,575.00,551.75,569.50,573.05,568.72,308656,3413,42562,13.79
17-Aug-2016,573.05,573.95,578.00,566.05,566.30,568.95,573.83,39773,2095,17733,44.59
18-Aug-2016,568.95,569.90,579.90,562.45,566.00,568.90,572.19,63406,1944,34416,54.28
19-Aug-2016,568.90,569.00,571.95,560.55,570.00,567.75,567.42,27943,1109,12304,44.03
22-Aug-2016,567.75,563.10,572.00,562.30,565.40,564.30,567.13,16459,748,5259,31.95
23-Aug-2016,564.30,560.10,568.70,558.90,561.90,561.35,562.46,18597,1043,6935,37.29
24-Aug-2016,561.35,567.00,567.00,558.00,559.00,558.80,561.54,18496,925,7493,40.51
25-Aug-2016,558.80,560.90,563.15,552.05,553.95,554.55,558.37,21340,1172,10819,50.70
26-Aug-2016,554.55,556.00,559.00,549.05,554.40,552.20,554.38,26363,1353,11136,42.24
29-Aug-2016,552.20,554.45,578.00,549.80,575.00,572.70,563.72,76732,3037,46581,60.71
30-Aug-2016,572.70,574.50,604.40,569.75,600.10,600.15,591.63,339051,11101,127512,37.61
31-Aug-2016,600.15,601.50,636.70,601.50,618.00,619.45,618.93,426006,17275,166918,39.18
01-Sep-2016,619.45,618.90,623.40,605.25,618.30,617.05,615.23,91504,3450,37172,40.62
02-Sep-2016,617.05,616.95,668.80,610.50,631.00,632.50,647.55,832659,22232,176160,21.16
06-Sep-2016,632.50,637.95,644.00,617.70,618.50,619.85,626.66,120533,4868,50447,41.85
07-Sep-2016,619.85,620.00,630.00,610.00,611.95,614.15,621.05,54946,2353,16361,29.78
08-Sep-2016,614.15,611.60,628.00,607.00,614.90,614.80,616.36,61108,2248,21696,35.50
09-Sep-2016,614.80,610.15,635.15,605.10,615.00,619.15,625.87,174183,4465,89450,51.35
12-Sep-2016,619.15,610.00,618.70,605.30,608.00,607.75,611.85,61785,3722,26731,43.26
14-Sep-2016,607.75,611.00,620.00,595.10,597.40,599.90,608.02,92643,3422,67398,72.75
15-Sep-2016,599.90,603.75,614.00,601.00,604.25,604.10,604.99,145681,2865,102799,70.56
16-Sep-2016,604.10,609.00,640.00,608.05,639.50,638.10,631.42,263377,8398,107283,40.73
