DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
10-Oct-2017,564.60,595.00,649.95,565.00,569.95,569.35,575.19,16103,703,8824,54.80
11-Oct-2017,569.35,575.00,632.00,565.00,587.00,581.30,578.77,103828,1811,95351,91.84
12-Oct-2017,581.30,576.00,619.70,576.00,595.15,600.80,604.45,77247,2549,45634,59.08
13-Oct-2017,600.80,594.20,613.45,580.70,590.00,586.30,601.67,50753,1941,40501,79.80
16-Oct-2017,586.30,586.00,602.00,574.25,585.00,584.65,588.88,35069,1121,28897,82.40
17-Oct-2017,584.65,575.00,603.00,575.00,599.00,600.00,598.90,236107,3433,228775,96.89
18-Oct-2017,600.00,604.95,604.95,587.00,600.00,599.85,598.97,89987,1111,78561,87.30
19-Oct-2017,599.85,604.00,609.50,600.00,602.00,602.25,603.05,3227,105,2579,79.92
23-Oct-2017,602.25,617.85,617.85,590.50,599.95,598.20,597.89,24100,1132,20083,83.33
24-Oct-2017,598.20,590.00,601.00,590.00,591.00,593.05,598.52,56003,1256,48800,87.14
25-Oct-2017,593.05,595.05,598.30,581.10,590.00,589.80,594.83,598054,1611,584304,97.70
26-Oct-2017,589.80,587.00,597.00,569.40,579.95,577.35,581.69,15786,822,10158,64.35
27-Oct-2017,577.35,580.00,584.00,571.10,581.75,578.25,579.83,6643,307,4019,60.50
30-Oct-2017,578.25,580.00,589.95,578.05,585.10,586.30,585.38,17855,1673,13075,73.23
31-Oct-2017,586.30,578.00,591.95,577.00,588.00,588.20,586.97,370461,558,365514,98.66
01-Nov-2017,588.20,585.05,609.95,585.05,600.00,603.05,605.24,49907,854,40280,80.71
02-Nov-2017,603.05,593.05,608.95,583.75,596.00,591.25,595.64,22507,832,17104,75.99
03-Nov-2017,591.25,600.00,601.80,588.20,594.00,598.20,595.66,82337,1236,53199,64.61
06-Nov-2017,598.20,600.00,602.15,581.60,601.00,601.80,599.28,29144,1374,24862,85.31
07-Nov-2017,601.80,599.00,605.00,591.10,591.15,601.80,601.13,92869,1650,89002,95.84
08-Nov-2017,601.80,607.95,607.95,591.00,597.50,595.05,602.54,183633,544,173916,94.71
09-Nov-2017,595.05,600.00,601.00,585.00,589.95,590.10,591.78,7508,320,5542,73.81
10-Nov-2017,590.10,570.65,590.15,570.65,576.40,572.65,579.70,79179,1226,70950,89.61
13-Nov-2017,572.65,575.00,580.00,561.55,565.85,563.30,570.12,12246,520,10058,82.13
14-Nov-2017,563.30,559.90,567.95,550.55,551.15,551.95,563.02,130383,418,126431,96.97
15-Nov-2017,551.95,560.20,564.80,547.00,550.00,550.15,554.09,14690,373,10853,73.88
16-Nov-2017,550.15,563.00,566.00,548.00,560.00,561.35,555.66,36752,1210,17291,47.05
17-Nov-2017,561.35,556.00,569.45,556.00,561.00,561.65,562.79,44936,972,38350,85.34
20-Nov-2017,561.65,561.65,579.00,558.55,572.00,568.75,569.96,278050,844,273497,98.36
21-Nov-2017,568.75,576.00,585.50,575.10,584.90,577.40,577.55,41028,701,38019,92.67
22-Nov-2017,577.40,579.10,589.00,577.00,580.20,584.60,584.27,12177,929,9986,82.01
23-Nov-2017,584.60,584.60,594.55,572.30,572.70,581.90,586.77,48836,1052,46080,94.36
24-Nov-2017,581.90,586.50,592.00,570.05,574.15,576.00,580.94,13274,634,9796,73.80
27-Nov-2017,576.00,580.00,585.00,573.10,576.10,576.45,578.16,332256,1134,311427,93.73
28-Nov-2017,576.45,577.00,580.00,560.20,561.00,564.10,573.45,319341,607,312710,97.92
29-Nov-2017,564.10,566.00,577.80,549.25,557.05,554.75,560.09,35369,817,30537,86.34
30-Nov-2017,554.75,554.75,579.55,545.85,570.05,565.15,571.05,650862,2791,619691,95.21
01-Dec-2017,565.15,577.00,590.45,567.05,580.00,585.65,583.36,37930,782,27950,73.69
04-Dec-2017,585.65,590.00,603.90,582.15,593.95,589.30,597.61,44657,1044,30893,69.18
05-Dec-2017,589.30,594.00,602.95,584.05,600.00,599.70,599.35,147826,6159,133959,90.62
06-Dec-2017,599.70,595.00,604.90,586.80,599.95,596.70,597.64,86998,3305,72667,83.53
07-Dec-2017,596.70,592.10,601.90,592.10,598.90,598.80,599.90,164810,2986,154661,93.84
08-Dec-2017,598.80,600.85,600.90,595.00,598.30,598.50,599.65,44289,1075,39090,88.26
11-Dec-2017,598.50,599.00,603.00,596.00,600.00,602.00,601.97,532792,482,530140,99.50
12-Dec-2017,602.00,609.90,609.90,584.05,598.25,600.35,595.92,49991,3315,39913,79.84
13-Dec-2017,600.35,585.00,602.95,585.00,595.00,596.30,595.09,41156,477,38236,92.91
14-Dec-2017,596.30,583.20,600.00,583.20,587.05,591.25,594.83,16083,967,11932,74.19
15-Dec-2017,591.25,599.60,602.00,592.20,595.00,599.35,599.27,57140,3212,47702,83.48
18-Dec-2017,599.35,604.25,604.95,581.00,594.00,595.20,597.08,15612,645,9193,58.88
19-Dec-2017,595.20,590.75,605.95,590.75,600.00,599.60,600.02,30507,1021,22438,73.55
20-Dec-2017,599.60,599.05,616.00,599.05,615.00,612.90,611.00,143048,1589,104122,72.79
21-Dec-2017,612.90,634.00,634.00,603.05,608.55,606.65,612.58,32926,853,23578,71.61
22-Dec-2017,606.65,615.00,617.45,601.55,615.30,616.25,614.35,21161,540,16520,78.07
26-Dec-2017,616.25,615.00,689.50,612.65,688.00,677.60,647.53,462759,5214,290774,62.83
27-Dec-2017,677.60,689.90,724.80,665.25,688.10,686.75,699.46,149213,5001,61019,40.89
28-Dec-2017,686.75,701.00,701.90,671.80,685.00,682.80,684.25,34771,1518,23150,66.58
29-Dec-2017,682.80,700.00,700.00,677.90,690.00,687.30,685.15,48854,991,40290,82.47
01-Jan-2018,687.30,691.00,709.95,681.05,690.00,690.15,691.88,43681,1154,34696,79.43
02-Jan-2018,690.15,685.00,706.50,680.95,700.00,700.90,695.64,54641,1253,47289,86.54
03-Jan-2018,700.90,708.00,709.00,686.00,697.95,695.90,699.17,87791,574,81046,92.32
04-Jan-2018,695.90,695.90,707.95,680.05,690.00,696.00,691.93,28705,1283,22876,79.69
05-Jan-2018,696.00,698.55,699.85,682.05,682.10,687.40,688.42,21697,884,15930,73.42
08-Jan-2018,687.40,687.40,702.10,684.00,693.05,697.50,692.94,48416,2287,40336,83.31
09-Jan-2018,697.50,699.35,702.00,690.00,696.75,698.10,697.57,39236,730,31401,80.03
10-Jan-2018,698.10,702.30,704.00,692.00,700.00,700.30,698.81,44877,950,39419,87.84
11-Jan-2018,700.30,702.25,704.70,692.95,703.00,700.55,699.53,27950,643,22462,80.36
12-Jan-2018,700.55,698.25,707.95,691.00,697.00,700.10,700.20,142090,959,134269,94.50
15-Jan-2018,700.10,704.30,707.95,691.85,700.00,698.15,699.77,36484,1146,30585,83.83
16-Jan-2018,698.15,691.00,701.00,691.00,695.00,697.30,696.23,112773,3667,104197,92.40
17-Jan-2018,697.30,700.35,704.00,682.65,700.00,701.35,699.43,39416,1129,35420,89.86
18-Jan-2018,701.35,703.00,722.10,698.00,704.25,700.55,702.36,44385,1819,37288,84.01
19-Jan-2018,700.55,697.95,719.95,697.45,708.75,709.45,710.49,12650,877,8610,68.06
22-Jan-2018,709.45,708.25,739.00,696.00,725.00,724.10,714.13,30126,1222,21482,71.31
