DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,422.30,422.95,429.00,421.65,423.50,423.45,425.12,737731,14818,359198,48.69
03-Aug-2016,423.45,424.70,427.00,395.30,413.65,414.75,413.72,3494599,45449,398645,11.41
04-Aug-2016,414.75,410.00,411.65,398.10,408.00,408.20,404.04,1763216,36604,826043,46.85
05-Aug-2016,408.20,410.00,418.15,404.50,416.25,416.45,412.80,1055018,22507,511298,48.46
08-Aug-2016,416.45,420.00,422.20,415.00,419.35,419.70,418.18,616890,10092,293637,47.60
09-Aug-2016,419.70,405.00,421.75,405.00,419.90,420.10,417.05,813302,12057,538937,66.27
10-Aug-2016,420.10,420.10,420.10,402.35,404.90,403.95,407.28,915542,10268,612678,66.92
11-Aug-2016,403.95,404.80,405.95,398.45,400.00,400.35,400.46,1784058,26141,1435718,80.47
12-Aug-2016,400.35,401.20,407.80,399.60,401.90,401.95,402.10,1055193,27613,769094,72.89
16-Aug-2016,401.95,402.15,407.90,392.50,407.05,404.55,399.58,985377,27329,539989,54.80
17-Aug-2016,404.55,404.85,409.90,401.10,405.00,404.65,404.37,902574,22894,269644,29.88
18-Aug-2016,404.65,405.00,407.80,397.10,397.45,398.15,401.31,745822,18001,461527,61.88
19-Aug-2016,398.15,400.00,403.35,394.15,401.10,402.00,399.66,1115131,54403,756101,67.80
22-Aug-2016,402.00,402.50,406.50,399.15,401.55,402.95,403.53,618307,36228,322277,52.12
23-Aug-2016,402.95,403.00,407.50,401.60,405.65,406.75,405.37,1353924,29200,956687,70.66
24-Aug-2016,406.75,406.90,410.35,401.60,403.70,404.15,405.97,568052,12574,283325,49.88
25-Aug-2016,404.15,405.45,408.10,392.00,400.00,395.10,396.77,1667694,13248,1170132,70.16
26-Aug-2016,395.10,398.40,407.30,398.05,406.60,405.75,403.37,586830,22981,278264,47.42
29-Aug-2016,405.75,405.75,405.85,400.25,403.35,403.20,402.51,232134,7722,110938,47.79
30-Aug-2016,403.20,403.95,410.50,402.10,408.40,407.60,407.58,866952,20104,414445,47.80
31-Aug-2016,407.60,408.00,420.25,408.00,420.05,418.50,417.12,1679311,45897,886753,52.80
01-Sep-2016,418.50,419.00,424.20,411.25,415.00,413.50,419.72,771295,13730,214933,27.87
02-Sep-2016,413.50,415.80,420.10,415.00,417.80,418.35,418.81,653097,21437,378018,57.88
06-Sep-2016,418.35,419.15,440.00,419.00,440.00,437.45,429.50,1339453,39153,591800,44.18
07-Sep-2016,437.45,444.00,444.50,423.30,424.10,425.30,432.88,1104546,31849,431781,39.09
08-Sep-2016,425.30,425.40,434.90,423.35,432.65,432.85,429.68,990006,21911,351386,35.49
09-Sep-2016,432.85,434.20,434.20,422.10,423.00,423.95,426.14,975257,27136,601836,61.71
12-Sep-2016,423.95,420.00,420.00,410.00,411.60,411.30,413.47,994629,23712,455365,45.78
14-Sep-2016,411.30,414.00,418.00,406.00,413.90,414.55,411.97,1555042,26436,924737,59.47
15-Sep-2016,414.55,417.90,417.90,404.40,404.70,406.40,408.11,1551475,27103,959777,61.86
16-Sep-2016,406.40,408.50,410.80,403.20,404.25,407.60,407.80,1324334,32651,846089,63.89
19-Sep-2016,407.60,406.00,409.50,401.50,402.00,402.85,404.23,860013,36769,524308,60.97
20-Sep-2016,402.85,401.00,406.50,399.70,401.10,402.85,403.41,515849,16930,207209,40.17
21-Sep-2016,402.85,405.70,409.90,402.25,405.10,406.45,406.73,1052732,36838,453580,43.09
22-Sep-2016,406.45,409.85,417.00,408.55,413.65,414.40,413.76,1140943,22172,466185,40.86
23-Sep-2016,414.40,414.00,419.00,407.30,409.60,409.00,411.48,834603,22717,280658,33.63
26-Sep-2016,409.00,408.50,410.85,401.50,405.00,404.75,405.65,555483,14790,271694,48.91
27-Sep-2016,404.75,402.00,406.75,402.00,405.95,405.35,404.51,599703,24341,330968,55.19
28-Sep-2016,405.35,405.00,410.90,402.00,408.25,409.70,405.67,1071066,34478,688559,64.29
29-Sep-2016,409.70,413.00,413.95,391.05,395.10,393.15,401.15,1437151,25298,812776,56.55
30-Sep-2016,393.15,393.05,399.20,383.20,397.40,395.10,393.37,1517886,50633,1003878,66.14
03-Oct-2016,395.10,398.00,408.55,395.10,406.35,406.60,402.64,1133074,33273,465456,41.08
04-Oct-2016,406.60,407.35,408.20,400.60,407.50,406.55,405.21,784343,18769,386640,49.29
05-Oct-2016,406.55,406.70,408.85,400.70,405.75,405.90,404.60,734681,14124,224815,30.60
06-Oct-2016,405.90,406.50,408.90,395.10,398.00,398.85,403.21,903119,21815,303714,33.63
