DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,1458.10,1458.00,1494.45,1458.00,1483.00,1483.65,1485.13,259567,14218,120648,46.48
03-Aug-2016,1483.65,1480.00,1490.00,1454.40,1454.40,1463.55,1469.14,64233,9754,28744,44.75
04-Aug-2016,1463.55,1466.30,1486.95,1452.55,1473.85,1464.90,1468.68,49044,4992,25414,51.82
05-Aug-2016,1464.90,1465.00,1528.90,1465.00,1521.20,1519.60,1507.07,292037,14649,153407,52.53
08-Aug-2016,1519.60,1521.00,1535.25,1505.55,1528.50,1526.45,1523.77,87344,9561,49258,56.40
09-Aug-2016,1526.45,1534.00,1534.90,1487.60,1490.30,1501.50,1507.00,127352,14787,60304,47.35
10-Aug-2016,1501.50,1495.00,1523.95,1470.20,1471.95,1479.25,1482.92,76932,7445,34879,45.34
11-Aug-2016,1479.25,1479.25,1489.95,1461.40,1484.95,1478.60,1473.03,48271,4606,9073,18.80
12-Aug-2016,1478.60,1478.60,1495.00,1466.55,1480.00,1486.90,1483.22,70680,6684,32051,45.35
16-Aug-2016,1486.90,1500.00,1524.85,1486.00,1490.00,1490.45,1501.52,134700,15731,78071,57.96
17-Aug-2016,1490.45,1497.00,1510.00,1490.10,1500.80,1505.55,1500.57,106238,8234,73897,69.56
18-Aug-2016,1505.55,1507.25,1594.55,1505.95,1589.95,1569.60,1550.19,298009,16424,145648,48.87
19-Aug-2016,1569.60,1580.00,1580.00,1539.15,1552.00,1551.20,1556.18,157972,9685,71264,45.11
22-Aug-2016,1551.20,1551.20,1560.05,1516.00,1545.00,1542.20,1533.24,64428,5394,18958,29.43
23-Aug-2016,1542.20,1540.00,1592.00,1521.00,1586.15,1584.70,1574.50,153221,8093,71278,46.52
24-Aug-2016,1584.70,1584.95,1721.60,1584.95,1688.00,1701.00,1683.76,1064056,43983,377273,35.46
25-Aug-2016,1701.00,1690.35,1769.50,1593.65,1615.00,1612.20,1680.65,1125739,56444,272638,24.22
26-Aug-2016,1612.20,1622.00,1668.90,1580.00,1617.05,1615.50,1615.77,607250,27770,65209,10.74
29-Aug-2016,1615.50,1618.00,1640.00,1591.05,1614.00,1616.10,1611.94,171386,9213,25814,15.06
30-Aug-2016,1616.10,1628.80,1632.00,1590.10,1617.15,1612.75,1608.51,158549,11377,52556,33.15
31-Aug-2016,1612.75,1614.50,1652.00,1605.55,1632.90,1631.95,1628.71,173474,11538,47269,27.25
01-Sep-2016,1631.95,1638.00,1639.65,1593.00,1597.00,1599.30,1606.55,164797,11647,50914,30.89
02-Sep-2016,1599.30,1599.30,1624.00,1591.25,1607.00,1610.45,1608.87,101137,6494,44020,43.53
06-Sep-2016,1610.45,1619.95,1635.00,1607.00,1633.00,1631.30,1625.43,102685,6568,46576,45.36
07-Sep-2016,1631.30,1634.25,1647.00,1608.05,1624.90,1618.20,1626.76,149019,15898,52456,35.20
08-Sep-2016,1618.20,1618.15,1694.80,1615.55,1685.20,1682.05,1662.90,239414,14861,67912,28.37
09-Sep-2016,1682.05,1689.15,1710.20,1642.00,1673.35,1663.10,1683.51,360946,16235,138938,38.49
12-Sep-2016,1663.10,1645.00,1686.90,1613.10,1656.00,1655.55,1656.42,214294,11514,69516,32.44
14-Sep-2016,1655.55,1655.55,1682.05,1617.95,1632.00,1628.40,1645.98,199441,11168,84954,42.60
15-Sep-2016,1628.40,1636.00,1653.65,1621.50,1630.30,1627.40,1633.68,80843,5828,30641,37.90
16-Sep-2016,1627.40,1648.95,1648.95,1582.25,1590.05,1595.95,1608.12,298743,14051,179286,60.01
19-Sep-2016,1595.95,1614.90,1629.55,1593.75,1605.00,1604.80,1607.66,125437,12837,57642,45.95
20-Sep-2016,1604.80,1606.70,1629.00,1598.05,1606.50,1605.60,1612.48,112776,6571,34814,30.87
21-Sep-2016,1605.60,1607.35,1628.25,1601.15,1615.00,1616.90,1615.98,97494,7165,37184,38.14
22-Sep-2016,1616.90,1628.95,1654.90,1616.90,1652.35,1649.05,1640.20,393591,7933,300040,76.23
23-Sep-2016,1649.05,1650.00,1660.00,1638.15,1641.00,1640.85,1643.94,94312,7785,43903,46.55
26-Sep-2016,1640.85,1640.90,1675.00,1638.05,1655.00,1653.40,1666.16,359915,11403,291000,80.85
27-Sep-2016,1653.40,1655.20,1684.00,1648.00,1657.00,1656.85,1669.89,134693,7827,51932,38.56
28-Sep-2016,1656.85,1655.00,1677.00,1640.20,1644.00,1646.60,1666.92,335725,7714,250443,74.60
29-Sep-2016,1646.60,1656.25,1669.75,1585.05,1632.00,1622.80,1627.37,263466,12874,152719,57.97
30-Sep-2016,1622.80,1616.00,1646.60,1611.90,1639.00,1623.55,1630.09,103456,10089,43267,41.82
03-Oct-2016,1623.55,1637.00,1665.00,1631.05,1665.00,1660.10,1656.72,114011,6607,68878,60.41
04-Oct-2016,1660.10,1669.50,1676.90,1634.80,1640.00,1642.05,1649.76,214709,21110,116046,54.05
05-Oct-2016,1642.05,1657.00,1672.00,1638.00,1664.00,1666.70,1656.28,177737,10443,115994,65.26
06-Oct-2016,1666.70,1676.70,1699.00,1625.45,1635.70,1637.60,1672.05,446267,20522,232459,52.09
07-Oct-2016,1637.60,1639.85,1648.00,1617.05,1627.60,1630.65,1633.90,163443,6748,96843,59.25
10-Oct-2016,1630.65,1631.05,1638.15,1618.20,1629.95,1628.90,1627.05,62865,2869,28527,45.38
13-Oct-2016,1628.90,1625.75,1638.00,1607.90,1630.05,1632.05,1625.63,113078,7400,57837,51.15
14-Oct-2016,1632.05,1620.20,1648.00,1620.20,1638.90,1637.50,1634.35,103580,5073,68742,66.37
17-Oct-2016,1637.50,1633.05,1659.85,1626.00,1633.10,1629.95,1640.28,109481,13796,28737,26.25
18-Oct-2016,1629.95,1634.35,1652.00,1626.90,1645.00,1648.10,1639.95,106968,15613,39125,36.58
19-Oct-2016,1648.10,1651.90,1655.00,1616.10,1620.00,1623.55,1629.68,174257,23349,61174,35.11
20-Oct-2016,1623.55,1639.95,1639.95,1600.20,1603.00,1604.00,1609.81,130047,8418,81391,62.59
21-Oct-2016,1604.00,1605.65,1618.00,1561.55,1592.80,1582.75,1576.90,208135,25784,92117,44.26
24-Oct-2016,1582.75,1591.00,1618.20,1566.45,1612.95,1612.30,1600.58,105559,11974,34817,32.98
25-Oct-2016,1612.30,1623.00,1630.00,1595.05,1601.00,1600.90,1606.96,72928,7302,24225,33.22
26-Oct-2016,1600.90,1582.00,1600.95,1560.40,1563.50,1566.80,1576.83,103771,6438,48670,46.90
27-Oct-2016,1566.80,1480.00,1495.00,1393.30,1429.20,1425.75,1436.99,976664,51619,318961,32.66
28-Oct-2016,1425.75,1427.10,1440.00,1401.00,1413.00,1415.25,1414.59,264056,18047,108169,40.96
30-Oct-2016,1415.25,1425.00,1431.05,1414.00,1414.50,1416.60,1419.59,19036,1106,9601,50.44
01-Nov-2016,1416.60,1416.60,1417.80,1371.00,1379.90,1379.65,1385.58,325731,23643,190566,58.50
02-Nov-2016,1379.65,1366.00,1369.50,1335.00,1338.70,1343.65,1356.33,212078,18197,119835,56.51
03-Nov-2016,1343.65,1338.00,1356.75,1306.45,1321.00,1317.25,1332.98,204060,24293,108112,52.98
04-Nov-2016,1317.25,1317.00,1339.80,1269.05,1291.70,1294.85,1305.13,433378,28789,249329,57.53
07-Nov-2016,1294.85,1310.00,1345.60,1294.85,1331.00,1333.30,1328.99,211451,15763,106988,50.60
08-Nov-2016,1333.30,1345.00,1353.95,1309.55,1312.00,1314.60,1333.13,184376,15519,115598,62.70
09-Nov-2016,1314.60,1265.00,1364.00,1194.10,1355.80,1354.00,1294.86,375100,33083,163518,43.59
10-Nov-2016,1354.00,1372.00,1384.30,1345.00,1345.00,1354.70,1372.60,220612,11107,116445,52.78
11-Nov-2016,1354.70,1330.20,1337.90,1289.65,1302.00,1304.60,1310.66,315822,26157,185554,58.75
15-Nov-2016,1304.60,1305.00,1321.70,1241.30,1254.90,1255.50,1258.32,219623,24914,124473,56.68
16-Nov-2016,1255.50,1264.20,1279.95,1211.05,1229.90,1227.00,1231.64,240178,20077,129439,53.89
17-Nov-2016,1227.00,1225.00,1269.60,1215.00,1269.20,1264.00,1256.93,121568,13332,55035,45.27
18-Nov-2016,1264.00,1270.00,1318.35,1241.50,1310.80,1310.05,1288.86,171176,16423,82821,48.38
21-Nov-2016,1310.05,1310.95,1323.70,1294.00,1302.00,1305.25,1304.88,134896,4700,91884,68.11
22-Nov-2016,1305.25,1315.00,1341.00,1296.30,1338.00,1335.00,1321.72,157029,13198,78398,49.93
23-Nov-2016,1335.00,1328.00,1348.00,1318.15,1332.20,1338.40,1333.24,194137,22555,65938,33.96
24-Nov-2016,1338.40,1328.25,1364.50,1319.00,1341.35,1346.95,1344.13,161894,18386,48028,29.67
25-Nov-2016,1346.95,1348.90,1371.55,1333.70,1358.00,1366.20,1359.80,96005,7140,41437,43.16
28-Nov-2016,1366.20,1364.50,1412.00,1356.75,1411.00,1406.10,1384.16,200268,10151,146286,73.05
29-Nov-2016,1406.10,1405.05,1423.00,1390.10,1404.65,1408.55,1405.50,108101,9815,49615,45.90
30-Nov-2016,1408.55,1438.95,1465.95,1346.35,1376.00,1377.15,1406.45,496038,34375,228894,46.14
01-Dec-2016,1377.15,1392.00,1406.25,1380.20,1393.00,1391.60,1394.36,77741,7748,26530,34.13
02-Dec-2016,1391.60,1392.80,1392.80,1338.85,1339.20,1346.35,1360.46,82962,4740,41355,49.85
05-Dec-2016,1346.35,1330.00,1344.70,1303.00,1344.70,1335.95,1320.23,168304,12109,58214,34.59
06-Dec-2016,1335.95,1336.00,1362.35,1336.00,1344.00,1346.25,1352.00,50388,2899,12677,25.16
07-Dec-2016,1346.25,1361.95,1362.40,1335.60,1340.00,1343.75,1342.80,85673,8029,42901,50.08
08-Dec-2016,1343.75,1359.00,1359.00,1332.55,1343.55,1343.80,1341.05,71090,3556,38495,54.15
09-Dec-2016,1343.80,1353.00,1353.00,1334.00,1340.00,1339.35,1339.33,104103,10520,60269,57.89
12-Dec-2016,1339.35,1340.00,1357.45,1323.60,1341.55,1347.25,1342.42,46294,2713,21018,45.40
13-Dec-2016,1347.25,1348.00,1350.70,1303.55,1311.00,1312.35,1313.68,314388,17858,209341,66.59
14-Dec-2016,1312.35,1312.35,1333.15,1296.00,1323.50,1322.95,1316.60,200831,12788,77874,38.78
15-Dec-2016,1322.95,1313.55,1337.00,1302.55,1308.50,1307.70,1320.81,84012,8076,17264,20.55
16-Dec-2016,1307.70,1301.55,1317.50,1301.55,1305.00,1305.60,1308.23,35846,3217,12422,34.65
19-Dec-2016,1305.60,1305.60,1315.45,1284.05,1303.80,1300.80,1296.80,90155,10486,29873,33.14
20-Dec-2016,1300.80,1306.50,1311.95,1285.00,1295.00,1291.10,1292.76,76883,5429,32982,42.90
21-Dec-2016,1291.10,1303.75,1338.00,1291.95,1337.00,1327.70,1313.91,143910,17547,36558,25.40
22-Dec-2016,1327.70,1332.00,1338.00,1292.30,1300.00,1298.00,1314.20,164767,18843,65949,40.03
23-Dec-2016,1298.00,1298.05,1306.40,1273.40,1293.00,1282.25,1294.18,202407,18973,134108,66.26
26-Dec-2016,1282.25,1285.00,1287.00,1260.00,1260.00,1262.70,1267.77,102696,7573,58993,57.44
27-Dec-2016,1262.70,1272.00,1295.00,1257.15,1286.05,1291.00,1269.91,116481,12176,58869,50.54
