DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,171.00,173.00,179.35,170.25,172.25,171.85,175.66,2150801,20640,1036229,48.18
03-Aug-2016,171.85,159.80,175.90,159.80,173.70,173.65,169.71,2704211,35007,1128415,41.73
04-Aug-2016,173.65,174.25,175.80,169.50,175.15,174.90,172.18,696020,11117,377864,54.29
05-Aug-2016,174.90,175.15,179.00,172.95,177.65,177.60,177.15,774041,6669,468255,60.49
08-Aug-2016,177.60,177.60,188.40,177.60,186.45,186.65,184.61,1719043,18401,770555,44.82
09-Aug-2016,186.65,186.50,188.80,183.00,187.60,187.50,185.67,559900,7491,258744,46.21
10-Aug-2016,187.50,187.75,188.60,181.00,183.90,183.45,183.92,384926,7267,169090,43.93
11-Aug-2016,183.45,183.10,184.80,178.00,179.25,179.65,180.96,509880,7007,228915,44.90
12-Aug-2016,179.65,179.90,184.25,179.35,181.85,181.75,181.66,238831,4637,78322,32.79
16-Aug-2016,181.75,183.65,184.80,176.90,179.50,178.90,180.08,433829,9841,177908,41.01
17-Aug-2016,178.90,179.80,181.55,177.25,177.50,178.55,178.99,332671,9243,166691,50.11
18-Aug-2016,178.55,178.35,180.00,177.00,177.70,177.55,178.93,440120,4869,330834,75.17
19-Aug-2016,177.55,177.55,188.60,177.55,186.50,187.25,184.34,908647,11364,450974,49.63
22-Aug-2016,187.25,188.30,188.95,182.25,183.30,183.05,184.88,369814,4115,160931,43.52
23-Aug-2016,183.05,183.40,183.85,179.45,180.95,180.55,181.12,260898,5139,116808,44.77
24-Aug-2016,180.55,180.75,186.50,179.60,184.20,183.45,183.56,339523,6979,145176,42.76
25-Aug-2016,183.45,184.45,188.25,181.20,187.00,187.45,185.88,750023,16474,443853,59.18
26-Aug-2016,187.45,188.00,196.00,184.00,194.70,193.60,191.01,1218836,11740,540388,44.34
29-Aug-2016,193.60,193.80,195.65,187.15,188.40,188.55,190.51,536314,7932,194603,36.29
30-Aug-2016,188.55,189.70,193.40,188.30,190.25,190.40,190.87,351383,4799,119844,34.11
31-Aug-2016,190.40,190.05,193.25,187.30,188.30,188.45,189.76,302392,6516,107769,35.64
01-Sep-2016,188.45,188.65,189.90,182.80,184.70,184.50,186.19,232852,2973,121066,51.99
02-Sep-2016,184.50,183.95,185.50,181.20,182.15,181.90,182.90,212080,3194,137829,64.99
06-Sep-2016,181.90,183.10,189.60,182.55,188.60,188.55,186.80,523400,11671,185267,35.40
07-Sep-2016,188.55,188.75,188.75,182.50,184.00,183.85,184.35,387618,13106,184166,47.51
08-Sep-2016,183.85,183.85,183.85,180.10,181.20,181.40,181.80,380659,12231,245196,64.41
09-Sep-2016,181.40,181.45,185.80,181.35,182.80,182.65,183.24,307568,8582,135634,44.10
12-Sep-2016,182.65,179.50,181.00,178.00,178.80,178.80,179.33,184293,3745,109123,59.21
14-Sep-2016,178.80,178.10,181.00,178.00,179.10,179.50,179.42,146198,2203,64993,44.46
15-Sep-2016,179.50,179.90,183.55,179.50,180.40,180.40,181.21,231279,3456,82454,35.65
16-Sep-2016,180.40,181.80,184.00,179.05,180.70,179.70,181.15,313167,6490,178843,57.11
19-Sep-2016,179.70,180.75,181.85,177.00,177.00,177.30,178.26,264511,3991,178213,67.37
20-Sep-2016,177.30,177.80,178.80,174.80,174.85,175.45,176.47,322825,6748,232041,71.88
21-Sep-2016,175.45,176.00,184.00,174.70,182.95,182.05,179.87,669608,8955,376909,56.29
22-Sep-2016,182.05,187.50,191.00,184.50,189.90,189.75,187.98,1566577,20075,803213,51.27
23-Sep-2016,189.75,190.00,190.40,183.25,184.20,184.10,185.96,482502,7270,266073,55.14
26-Sep-2016,184.10,183.05,192.30,183.05,189.65,189.90,189.18,831273,9820,311665,37.49
27-Sep-2016,189.90,189.20,191.00,180.55,182.75,182.70,184.31,585154,11229,332662,56.85
28-Sep-2016,182.70,183.10,186.00,180.25,182.15,182.30,182.72,780790,14306,466087,59.69
29-Sep-2016,182.30,183.00,184.60,170.20,175.55,175.10,176.88,985639,15522,523320,53.09
30-Sep-2016,175.10,175.00,181.95,171.30,180.50,180.30,178.72,1074807,16991,413877,38.51
03-Oct-2016,180.30,181.45,183.60,179.25,180.00,180.30,180.60,603755,18862,351112,58.15
04-Oct-2016,180.30,180.25,181.90,177.95,179.35,179.70,179.42,449587,6552,230002,51.16
05-Oct-2016,179.70,180.00,184.85,178.65,184.05,183.05,182.13,1044246,9613,716957,68.66
06-Oct-2016,183.05,184.20,186.00,180.00,180.60,180.85,183.10,715957,13995,371039,51.82
07-Oct-2016,180.85,180.70,181.75,178.90,179.70,179.55,179.98,314674,5712,192712,61.24
10-Oct-2016,179.55,179.60,181.55,178.80,179.10,179.35,179.93,286478,7122,191625,66.89
13-Oct-2016,179.35,179.25,179.55,172.10,174.50,173.35,175.05,668936,15198,422721,63.19
