DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,2347.65,2324.25,2392.00,2324.25,2374.00,2367.65,2364.98,2509,335,1683,67.08
03-Aug-2016,2367.65,2385.00,2385.05,2325.05,2337.05,2337.75,2352.86,2912,453,1887,64.80
04-Aug-2016,2337.75,2384.95,2385.00,2348.40,2369.00,2356.95,2369.48,2457,329,1820,74.07
05-Aug-2016,2356.95,2375.55,2477.50,2363.20,2419.90,2421.55,2434.95,22361,2717,9755,43.63
08-Aug-2016,2421.55,2435.00,2474.85,2400.00,2400.00,2406.10,2437.00,5638,661,2840,50.37
09-Aug-2016,2406.10,2424.90,2445.00,2395.00,2401.10,2408.50,2417.80,5656,1286,3381,59.78
10-Aug-2016,2408.50,2432.00,2445.00,2402.95,2425.00,2412.05,2426.04,6193,1368,4033,65.12
11-Aug-2016,2412.05,2425.85,2425.85,2379.90,2379.90,2386.00,2399.74,7241,399,6725,92.87
12-Aug-2016,2386.00,2419.95,2419.95,2375.00,2398.00,2388.60,2389.89,2146,252,1739,81.03
16-Aug-2016,2388.60,2444.00,2444.00,2380.00,2391.90,2389.30,2403.33,1305,319,739,56.63
17-Aug-2016,2389.30,2389.10,2421.40,2389.05,2411.00,2414.00,2412.99,2496,307,1551,62.14
18-Aug-2016,2414.00,2430.00,2578.00,2399.00,2529.00,2533.25,2527.65,19939,2540,8739,43.83
19-Aug-2016,2533.25,2545.00,2584.00,2521.10,2549.00,2537.00,2558.11,7436,929,3759,50.55
22-Aug-2016,2537.00,2503.00,2525.00,2430.00,2500.00,2502.10,2486.42,13448,1450,10034,74.61
23-Aug-2016,2502.10,2530.00,2534.00,2490.00,2510.00,2512.15,2508.06,5632,556,4791,85.07
24-Aug-2016,2512.15,2520.05,2536.80,2503.90,2525.00,2519.80,2517.14,1719,269,1020,59.34
25-Aug-2016,2519.80,2550.00,2554.90,2508.75,2532.00,2525.75,2536.23,3617,1030,2416,66.80
26-Aug-2016,2525.75,2541.10,2549.95,2505.00,2512.00,2511.05,2514.89,3668,355,3068,83.64
29-Aug-2016,2511.05,2520.00,2568.95,2520.00,2534.00,2547.30,2548.04,3482,550,1663,47.76
