DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,293.25,292.45,296.90,290.00,294.00,294.65,293.42,52594,2609,32832,62.43
03-Aug-2016,294.65,294.30,297.50,291.50,296.25,295.25,294.18,29698,1456,19901,67.01
04-Aug-2016,295.25,295.60,303.80,295.35,296.50,297.70,299.49,52060,3662,29034,55.77
05-Aug-2016,297.70,298.30,303.80,297.65,303.00,301.70,301.16,49782,1743,33686,67.67
08-Aug-2016,301.70,301.95,303.10,295.85,296.95,297.25,298.01,45984,4058,31163,67.77
09-Aug-2016,297.25,295.00,299.00,292.10,292.65,292.85,293.82,28342,923,17864,63.03
10-Aug-2016,292.85,293.50,294.40,290.00,290.00,290.35,291.74,19405,828,11185,57.64
11-Aug-2016,290.35,290.00,305.00,286.95,292.00,292.15,291.13,39832,3140,28129,70.62
12-Aug-2016,292.15,292.95,297.00,284.90,294.00,293.05,292.89,52413,3565,35539,67.81
16-Aug-2016,293.05,294.00,295.30,287.95,290.15,290.15,290.14,53013,2780,32923,62.10
17-Aug-2016,290.15,290.75,312.00,289.55,305.20,304.45,302.20,130000,4935,69142,53.19
18-Aug-2016,304.45,305.00,305.95,298.85,300.95,302.80,301.54,48651,3095,30065,61.80
19-Aug-2016,302.80,300.00,307.70,298.00,298.60,299.65,303.05,57451,1876,27902,48.57
22-Aug-2016,299.65,299.80,302.00,297.00,297.05,297.65,298.44,16308,527,7695,47.19
23-Aug-2016,297.65,295.00,298.10,292.85,295.80,295.90,295.19,28538,782,13840,48.50
24-Aug-2016,295.90,294.00,304.80,294.00,300.85,302.10,301.23,59364,2088,29612,49.88
25-Aug-2016,302.10,319.90,320.00,297.00,300.05,298.90,306.91,125485,3382,34267,27.31
26-Aug-2016,298.90,300.05,306.00,298.30,301.90,302.95,303.06,72404,1974,49136,67.86
29-Aug-2016,302.95,302.00,308.10,298.35,299.90,300.10,302.79,46431,1092,19960,42.99
30-Aug-2016,300.10,300.55,311.00,300.55,305.60,306.25,305.72,104163,2358,62317,59.83
31-Aug-2016,306.25,306.50,311.00,306.00,306.25,307.95,308.73,76478,1765,45414,59.38
