DATE,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,NO_OF_TRADES,DELIV_QTY,DELIV_PER
02-Aug-2016,797.15,798.55,813.90,780.60,787.00,784.85,795.11,147880,15766,50909,34.43
03-Aug-2016,784.85,784.85,789.05,770.55,778.00,774.80,776.05,117933,4737,68128,57.77
04-Aug-2016,774.80,780.00,793.85,771.55,781.95,783.20,783.42,120363,5568,44964,37.36
05-Aug-2016,783.20,783.50,807.40,781.65,797.80,800.35,799.68,136755,8744,41199,30.13
08-Aug-2016,800.35,800.50,826.00,795.55,817.50,816.65,817.17,147502,9840,41951,28.44
09-Aug-2016,816.65,818.30,847.40,805.20,839.50,836.00,822.21,240506,10514,85332,35.48
10-Aug-2016,836.00,838.70,840.00,822.70,827.65,827.10,831.40,200721,8315,98718,49.18
11-Aug-2016,827.10,829.95,833.95,809.05,821.55,823.60,821.00,110265,7213,27375,24.83
12-Aug-2016,823.60,828.70,828.70,774.50,786.05,790.35,796.39,338212,12788,114412,33.83
16-Aug-2016,790.35,805.90,811.95,788.50,798.60,795.40,800.14,225295,12291,44649,19.82
17-Aug-2016,795.40,802.00,808.25,795.00,797.55,799.65,801.49,98355,6217,18758,19.07
18-Aug-2016,799.65,795.50,810.00,782.80,800.05,799.50,798.44,185920,9719,40823,21.96
19-Aug-2016,799.50,805.00,809.70,795.30,803.35,801.30,803.62,106208,6568,19956,18.79
22-Aug-2016,801.30,801.90,806.95,791.00,801.00,800.90,797.91,92271,5505,14302,15.50
23-Aug-2016,800.90,800.50,802.15,785.00,794.45,795.15,796.04,91124,5529,28485,31.26
24-Aug-2016,795.15,790.05,805.90,790.05,803.00,802.30,800.46,139748,12466,22055,15.78
25-Aug-2016,802.30,803.00,813.60,795.45,801.25,804.70,805.66,176142,6041,78565,44.60
26-Aug-2016,804.70,809.00,824.25,803.05,822.00,821.55,815.40,160999,7860,50538,31.39
29-Aug-2016,821.55,825.00,829.40,810.35,816.00,816.50,821.67,217318,10249,81178,37.35
30-Aug-2016,816.50,818.00,832.75,816.55,828.00,829.00,825.58,149784,15830,69639,46.49
31-Aug-2016,829.00,829.00,831.20,805.95,818.00,813.25,819.07,195062,10204,61988,31.78
01-Sep-2016,813.25,815.10,820.95,806.50,815.00,813.95,813.51,161285,11071,60911,37.77
02-Sep-2016,813.95,813.95,819.30,812.90,819.00,815.05,815.19,111779,3265,80539,72.05
06-Sep-2016,815.05,816.00,822.10,809.35,821.50,819.50,816.57,98869,5336,49009,49.57
07-Sep-2016,819.50,821.00,831.80,818.85,824.10,823.10,824.71,102346,9649,53902,52.67
08-Sep-2016,823.10,823.00,829.10,816.90,828.20,825.80,822.05,105407,4161,34796,33.01
09-Sep-2016,825.80,826.00,831.10,811.00,817.10,817.05,820.51,127061,9782,24981,19.66
12-Sep-2016,817.05,809.15,821.60,801.00,810.25,814.55,814.38,126807,6381,34315,27.06
14-Sep-2016,814.55,819.95,828.60,809.10,825.90,825.35,817.08,119050,7245,24461,20.55
15-Sep-2016,825.35,827.00,837.90,815.90,816.00,819.00,828.23,154950,8209,29870,19.28
16-Sep-2016,819.00,824.40,892.00,819.00,825.40,828.75,861.75,2514792,60860,343557,13.66
19-Sep-2016,828.75,845.70,884.75,835.65,875.25,876.50,864.75,1844159,62891,458143,24.84
20-Sep-2016,876.50,880.00,888.95,862.00,885.00,883.30,879.26,989380,18545,637602,64.44
21-Sep-2016,883.30,882.00,913.95,879.40,891.20,890.75,898.85,829221,23450,96073,11.59
22-Sep-2016,890.75,895.00,907.80,865.05,879.00,875.45,880.35,541362,26626,147920,27.32
23-Sep-2016,875.45,876.00,896.50,870.00,893.00,888.85,885.86,449346,17053,150851,33.57
